dates,satname,nzd0197-0000,nzd0197-0001,nzd0197-0002,nzd0197-0003,nzd0197-0004,nzd0197-0005,nzd0197-0006,nzd0197-0007,nzd0197-0008,nzd0197-0009,nzd0197-0010,nzd0197-0011,nzd0197-0012,nzd0197-0013,nzd0197-0014,nzd0197-0015,nzd0197-0016,nzd0197-0017,nzd0197-0018,nzd0197-0019,nzd0197-0020,nzd0197-0021,nzd0197-0022,nzd0197-0023,nzd0197-0024,nzd0197-0025,nzd0197-0026,nzd0197-0027,nzd0197-0028,nzd0197-0029,nzd0197-0030,nzd0197-0031,nzd0197-0032,nzd0197-0033,nzd0197-0034,nzd0197-0035,nzd0197-0036,nzd0197-0037,nzd0197-0038,nzd0197-0039,nzd0197-0040,nzd0197-0041
2000-10-17 21:50:01.277000,L7,379.92,368.73,361.09,359.56,375.80,353.99,322.40,306.42,308.48,294.86,290.60,296.58,307.10,230.43,256.31,251.62,232.93,236.03,257.86,261.75,257.69,249.03,246.13,246.66,237.53,250.90,272.39,285.91,278.31,269.30,267.56,270.83,285.03,257.55,308.66,290.91,276.92,245.04,262.64,257.61,246.63,253.27
2000-11-09 21:56:21.390000,L7,,,,,198.35,231.62,190.09,185.42,,,,,,,,,,,,,,,,,,,,,,,,243.36,264.06,,,,237.21,228.38,,,,
2000-12-20 21:50:16.996000,L7,237.39,246.66,181.60,205.78,250.92,208.16,334.18,316.21,306.48,297.57,301.40,298.99,295.31,227.85,251.70,249.85,219.59,238.99,263.93,263.15,259.28,259.94,237.81,243.33,199.87,163.26,280.91,296.08,282.83,273.09,275.27,266.94,285.38,211.88,310.76,293.63,282.44,268.79,265.03,255.88,250.49,257.23
2001-01-05 21:50:16.585000,L7,406.47,384.12,379.52,383.43,388.57,361.14,343.17,322.76,310.83,310.57,311.16,313.66,317.75,226.38,250.96,201.87,209.48,238.15,261.89,259.21,255.68,251.30,242.50,184.27,172.51,,235.71,297.20,285.15,275.00,283.05,267.29,285.88,231.94,290.33,280.17,259.99,274.49,261.27,256.96,196.75,264.27
2001-03-10 21:50:10.732000,L7,392.10,375.59,362.61,372.66,343.16,346.77,326.61,319.89,292.07,282.68,265.01,293.22,299.47,305.84,251.28,251.40,223.82,235.88,263.09,261.72,256.07,251.06,238.08,209.23,227.15,161.18,274.16,247.64,277.07,270.47,274.58,263.78,284.84,248.70,313.16,296.30,253.45,246.75,262.62,259.25,248.45,257.18
2001-03-26 21:50:01.268000,L7,387.89,372.57,370.86,366.49,276.65,239.70,202.54,196.77,215.08,162.93,,,,167.77,248.70,230.18,222.76,235.33,244.32,203.17,183.50,237.10,226.25,,,,247.11,250.22,279.53,271.30,248.54,263.19,281.70,248.88,312.10,244.59,247.34,241.30,220.35,203.75,251.14,248.33
2001-06-21 21:55:29.297000,L7,,,,,207.50,167.92,,,,,,,,,,,,,,,,,209.21,187.80,177.02,175.98,223.91,,273.98,269.57,264.79,225.05,269.51,,255.44,254.48,254.18,240.62,,,236.67,258.56
2001-09-09 21:54:36.880000,L7,,,,,203.62,341.07,326.29,303.29,300.52,299.08,,,,,,,,,,,192.36,242.82,227.84,177.59,174.05,,237.76,252.99,227.56,267.08,257.74,256.89,282.64,,251.83,247.07,246.30,240.83,257.81,252.05,176.25,250.40
2001-09-25 21:54:28.694000,L7,228.34,213.29,178.72,196.01,378.59,355.37,328.90,317.38,310.31,179.69,,,312.65,229.00,219.43,250.50,235.24,234.63,239.73,258.29,251.97,246.35,235.15,214.15,225.53,211.58,274.44,282.94,268.35,271.24,261.76,262.66,281.64,261.86,311.28,290.85,275.77,243.67,265.45,257.03,203.43,
2001-10-11 21:54:09.862000,L7,399.66,372.42,362.93,344.73,384.36,361.91,335.46,322.93,313.28,308.45,320.90,325.02,323.93,329.38,336.65,325.77,324.24,333.85,337.80,325.99,322.05,251.90,246.31,244.99,236.02,252.56,281.26,356.41,356.00,354.52,348.17,320.57,358.91,368.78,354.69,365.25,333.46,349.50,350.93,347.17,334.02,344.24
2001-10-20 21:48:09.707000,L7,370.43,500.92,473.29,447.00,464.66,455.65,436.35,451.64,435.56,426.87,404.75,203.78,231.07,244.80,259.53,253.28,260.74,248.82,268.30,265.95,260.02,254.23,246.47,247.80,236.10,251.92,283.32,292.78,287.66,278.83,279.29,281.94,288.62,298.42,312.40,298.46,287.25,279.51,274.12,265.28,264.84,264.33
2001-11-05 21:48:14.934000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,210.13,250.74,236.19,260.95,242.61,250.81,271.72,,,239.35,238.97,235.00,,,,
2002-01-24 21:48:42.967000,L7,292.08,226.71,178.02,365.48,375.14,356.10,330.19,323.68,304.12,310.61,,,,222.80,250.68,211.57,,,258.04,258.63,227.66,248.12,236.54,237.28,231.73,248.99,240.98,255.14,276.40,272.21,257.42,264.16,285.64,233.14,312.79,248.59,254.38,245.43,249.53,253.82,198.06,256.75
2002-01-31 21:54:50.570000,L7,376.05,367.59,360.01,368.30,379.78,369.66,350.86,344.08,282.84,330.17,338.92,353.46,,219.81,249.04,201.85,,,,261.07,257.25,249.21,229.32,180.16,170.20,148.88,222.14,292.69,273.56,273.71,268.99,264.64,284.74,218.94,308.77,244.59,254.32,244.29,263.12,262.24,177.97,
2002-02-16 21:54:54.191000,L7,487.77,475.85,522.73,505.26,328.06,295.14,364.91,297.51,,,516.10,417.56,297.78,286.23,378.33,327.56,325.79,329.26,265.21,267.35,260.82,252.97,246.40,237.66,230.61,247.08,280.29,287.87,278.82,270.83,272.43,277.70,285.65,293.79,360.29,354.88,338.51,337.09,337.41,330.72,331.79,323.93
2002-02-25 21:48:47.943000,L7,,235.72,179.05,197.73,254.01,346.14,324.30,311.80,293.22,173.23,,,,,,,,,259.11,260.86,250.62,248.62,235.04,168.65,224.96,238.92,272.47,254.42,274.82,272.24,241.98,262.00,282.52,227.99,309.71,290.74,249.50,239.97,241.73,251.22,179.53,
2002-03-29 21:48:39.145000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.73,230.25,,,,
2002-06-01 21:48:28.245000,L7,,,,,189.86,241.90,201.73,187.41,195.84,,,,,,,,,,,206.74,234.58,238.08,232.60,188.33,177.78,174.52,227.98,258.24,275.55,273.19,250.62,271.02,253.58,201.65,,,,,236.60,247.30,,
2002-08-27 21:54:00.253000,L7,396.43,385.69,373.42,379.18,217.20,243.28,209.31,199.80,203.48,178.43,307.81,313.44,318.37,,256.69,,,,,,255.24,246.34,230.21,243.43,224.60,235.69,251.23,276.84,282.58,272.31,264.05,264.51,281.83,255.45,311.61,247.51,250.64,245.49,260.60,,,
2002-10-07 21:47:33.100000,L7,393.31,338.78,334.59,369.73,377.37,350.71,333.63,326.65,328.00,313.89,304.43,293.72,208.14,232.76,258.01,250.86,232.46,238.90,261.08,262.01,256.16,249.67,245.74,244.13,234.31,251.10,279.16,296.10,280.86,275.26,270.98,270.55,284.82,265.49,299.30,266.39,276.23,249.17,264.54,259.73,250.23,258.52
2002-10-14 21:53:43.769000,L7,410.22,387.57,375.00,384.75,383.43,367.82,348.73,336.48,341.84,331.28,338.11,346.32,340.86,358.17,366.82,358.11,357.05,363.46,360.22,342.32,331.86,336.93,348.31,353.70,342.53,353.04,367.07,359.61,305.23,299.72,302.51,299.59,318.02,329.88,344.58,331.00,300.26,296.30,314.02,303.06,309.34,307.75
2002-10-23 21:47:39.211000,L7,363.70,374.90,362.63,367.97,376.88,347.02,321.46,314.82,306.77,299.97,297.13,307.02,314.49,322.52,,,,,,253.12,191.80,240.80,232.73,235.11,224.11,200.91,273.29,282.06,276.19,268.00,246.84,262.42,274.08,216.03,290.20,242.07,256.75,239.80,240.37,245.22,194.87,249.56
2002-12-01 21:54:16.937000,L7,,229.33,174.10,191.72,200.35,224.57,,,,,,,,,,,,,,,224.75,243.39,222.10,175.28,166.18,,222.52,260.96,209.75,257.37,251.69,250.76,271.59,,,,,,,,,
2003-01-18 21:54:30.278000,L7,396.45,375.54,365.90,367.57,377.72,342.28,328.72,319.65,301.79,297.17,300.32,279.22,304.48,307.70,323.49,318.70,217.60,241.40,266.58,261.29,259.23,253.22,248.70,244.08,235.76,250.73,282.07,292.51,285.10,277.84,270.31,270.11,284.67,263.36,312.78,297.76,283.11,277.81,274.83,319.06,322.41,328.72
2003-04-24 21:54:46.433000,L7,,,,,262.25,,,,,,,,,,,,,,,,,,,185.77,223.57,237.27,241.47,253.93,229.38,250.63,,,,,,,,,,,,
2003-05-03 21:48:37.175000,L7,,,,,344.38,339.77,331.80,322.90,317.63,,,,,,,,,,,,189.87,194.63,194.97,,,,,256.39,248.95,256.30,235.15,250.06,266.63,206.05,218.83,,,230.63,228.87,,,
2003-05-10 21:54:46.466000,L7,,,361.24,363.80,363.45,338.02,317.37,309.18,298.36,,,,,,,,,,,193.15,228.23,240.03,223.28,,,,,256.87,262.12,,,253.86,254.03,,232.55,241.05,242.35,188.10,,,,
2003-07-21 21:42:33.857000,L5,259.36,,205.24,217.70,232.28,228.20,205.08,,,,,,,,,,260.72,264.13,250.72,258.40,256.56,247.16,247.95,238.40,234.92,252.59,269.23,,282.11,277.85,283.42,291.91,301.69,280.17,,286.18,297.54,290.47,282.72,,,
2003-08-06 21:42:51.203000,L5,357.15,307.77,261.00,304.55,344.54,311.95,291.39,282.64,273.52,265.74,269.34,268.64,278.51,294.91,300.13,294.45,289.83,279.67,,,,208.79,222.77,272.62,264.74,286.55,316.10,342.95,337.12,325.52,328.35,325.47,333.40,330.29,314.96,309.85,303.01,295.35,289.07,255.21,289.41,288.50
2003-08-15 21:36:48.503000,L5,269.48,180.66,210.28,226.16,313.97,272.57,216.60,260.13,203.37,,232.25,230.85,250.77,262.96,251.99,,269.07,271.12,266.73,260.77,262.34,254.25,255.44,248.49,239.75,255.65,286.63,311.76,293.25,288.26,281.57,289.98,299.88,281.17,270.17,304.12,,,,,,
2003-10-18 21:37:48.406000,L5,292.38,285.62,243.61,290.18,344.44,318.85,286.56,287.58,272.37,264.64,253.65,253.74,268.62,282.38,293.69,286.72,288.39,282.90,284.57,283.00,283.15,273.60,277.93,273.06,262.01,285.84,324.25,333.95,325.04,311.57,312.59,309.99,320.16,330.05,345.51,337.83,328.41,319.93,321.77,307.39,304.81,295.00
2003-10-25 21:44:04.226000,L5,361.96,332.12,335.42,335.93,345.89,313.82,288.38,285.31,268.73,265.79,275.06,274.98,289.67,304.48,315.06,311.19,308.61,291.81,291.41,287.36,287.28,285.43,283.32,281.67,267.11,294.52,321.54,344.70,344.54,328.37,331.87,327.73,334.46,350.63,351.24,336.63,322.61,317.44,317.33,311.23,326.24,320.44
2003-11-19 21:38:14.402000,L5,307.62,273.04,221.91,236.60,317.32,275.38,245.79,245.36,189.96,,228.87,244.40,263.06,269.52,264.73,,254.26,265.56,262.05,267.11,263.76,251.03,243.43,230.89,238.83,257.68,293.30,306.43,306.36,297.12,295.26,303.04,308.61,288.66,322.75,316.29,299.35,297.79,293.54,281.71,284.56,288.05
2004-01-22 21:38:40.402000,L5,,,,,,,,,,,,,,,,,217.69,272.18,256.73,268.42,262.13,258.71,264.43,179.81,238.89,258.43,296.53,313.02,297.37,291.09,288.52,295.22,308.33,246.19,338.64,314.06,306.18,294.77,287.36,216.87,274.17,285.44
2004-02-14 21:44:57.678000,L5,258.21,234.75,205.11,212.27,309.36,266.65,245.89,263.19,241.44,,,,,,,,,,,,,,,,,,,,,,,,,,,293.73,242.25,,,,,
2004-03-17 21:45:08.368000,L5,,,,,,220.88,209.61,247.26,198.52,,217.05,212.71,243.13,,,,224.17,264.30,250.72,254.08,248.07,246.96,242.93,225.82,227.91,247.59,263.04,293.38,253.77,271.54,271.72,293.65,295.41,,260.89,290.79,,,,,,
2004-04-02 21:45:18.969000,L5,361.63,317.49,317.91,314.57,348.40,319.51,293.07,289.00,286.80,272.26,274.17,277.42,284.77,292.28,307.83,292.48,287.71,289.62,286.15,297.60,318.11,273.42,285.46,281.18,260.50,290.89,332.19,345.08,338.05,317.79,312.76,314.91,320.18,329.52,353.38,344.12,327.78,320.10,327.44,313.50,319.69,318.77
2004-04-18 21:45:49.558000,L5,,,,,309.06,206.43,219.58,260.01,211.44,,215.78,228.35,249.78,,,,223.61,268.63,252.22,263.91,,,,,227.16,248.76,286.98,301.56,246.21,279.37,273.35,287.30,296.15,,,,,,,,,
2004-05-20 21:46:44.438000,L5,,,,,,,,,,,,,,,,,235.06,264.92,253.15,258.00,251.37,251.02,252.20,238.71,234.52,253.88,221.95,,,,260.31,290.81,297.13,264.56,,,,,,,,
2004-07-07 21:48:09.180000,L5,,,,,,,,,,,,,,,,,270.97,274.34,264.19,262.37,262.49,259.93,238.44,241.68,237.50,257.80,235.42,,298.86,276.46,281.88,292.79,295.14,258.24,260.32,296.84,,,,,,
