dates,satname,nzd0234-0000,nzd0234-0001,nzd0234-0002,nzd0234-0003,nzd0234-0004,nzd0234-0005,nzd0234-0006,nzd0234-0007,nzd0234-0008,nzd0234-0009,nzd0234-0010,nzd0234-0011,nzd0234-0012,nzd0234-0013,nzd0234-0014,nzd0234-0015,nzd0234-0016,nzd0234-0017,nzd0234-0018,nzd0234-0019,nzd0234-0020,nzd0234-0021,nzd0234-0022,nzd0234-0023,nzd0234-0024,nzd0234-0025,nzd0234-0026,nzd0234-0027,nzd0234-0028,nzd0234-0029,nzd0234-0030,nzd0234-0031,nzd0234-0032,nzd0234-0033,nzd0234-0034,nzd0234-0035,nzd0234-0036,nzd0234-0037,nzd0234-0038,nzd0234-0039,nzd0234-0040,nzd0234-0041,nzd0234-0042,nzd0234-0043,nzd0234-0044,nzd0234-0045,nzd0234-0046,nzd0234-0047,nzd0234-0048,nzd0234-0049,nzd0234-0050,nzd0234-0051,nzd0234-0052,nzd0234-0053,nzd0234-0054,nzd0234-0055,nzd0234-0056,nzd0234-0057,nzd0234-0058,nzd0234-0059,nzd0234-0060,nzd0234-0061,nzd0234-0062,nzd0234-0063,nzd0234-0064,nzd0234-0065,nzd0234-0066,nzd0234-0067,nzd0234-0068,nzd0234-0069,nzd0234-0070,nzd0234-0071,nzd0234-0072,nzd0234-0073,nzd0234-0074,nzd0234-0075,nzd0234-0076,nzd0234-0077,nzd0234-0078,nzd0234-0079,nzd0234-0080,nzd0234-0081,nzd0234-0082,nzd0234-0083,nzd0234-0084,nzd0234-0085,nzd0234-0086,nzd0234-0087,nzd0234-0088,nzd0234-0089,nzd0234-0090,nzd0234-0091,nzd0234-0092,nzd0234-0093,nzd0234-0094,nzd0234-0095,nzd0234-0096,nzd0234-0097,nzd0234-0098,nzd0234-0099,nzd0234-0100,nzd0234-0101,nzd0234-0102,nzd0234-0103,nzd0234-0104,nzd0234-0105,nzd0234-0106,nzd0234-0107,nzd0234-0108,nzd0234-0109,nzd0234-0110,nzd0234-0111,nzd0234-0112,nzd0234-0113,nzd0234-0114,nzd0234-0115,nzd0234-0116,nzd0234-0117,nzd0234-0118,nzd0234-0119,nzd0234-0120,nzd0234-0121,nzd0234-0122,nzd0234-0123,nzd0234-0124,nzd0234-0125,nzd0234-0126,nzd0234-0127,nzd0234-0128,nzd0234-0129,nzd0234-0130,nzd0234-0131,nzd0234-0132,nzd0234-0133,nzd0234-0134,nzd0234-0135,nzd0234-0136,nzd0234-0137,nzd0234-0138,nzd0234-0139,nzd0234-0140,nzd0234-0141,nzd0234-0142,nzd0234-0143,nzd0234-0144,nzd0234-0145,nzd0234-0146,nzd0234-0147,nzd0234-0148,nzd0234-0149
1999-08-12 21:52:44.265000,L7,375.20,378.92,386.40,392.96,409.63,406.21,394.23,383.98,397.57,393.16,395.43,397.62,384.21,392.93,383.16,395.16,399.07,412.18,400.82,397.01,416.68,409.18,407.36,400.06,404.54,411.71,408.24,401.98,391.75,411.81,413.43,394.41,396.63,375.48,399.83,389.12,404.28,384.43,399.53,401.89,397.16,387.16,387.14,385.16,388.43,383.35,396.47,405.73,402.29,401.89,404.28,395.56,402.02,392.04,395.29,412.56,419.57,436.53,427.79,427.07,459.12,459.39,450.69,429.94,410.93,415.20,420.65,419.12,411.75,420.57,437.79,425.00,401.74,406.48,404.88,411.88,416.55,409.03,414.09,414.41,397.03,400.62,396.03,396.74,406.49,405.94,400.24,425.65,413.69,395.72,382.54,402.77,412.06,408.31,409.91,436.11,435.16,434.42,438.01,430.15,444.39,420.81,421.77,426.85,452.91,438.64,439.96,422.23,403.06,410.80,409.10,411.33,411.30,425.48,433.64,442.33,432.91,440.92,442.54,432.03,428.58,408.51,436.05,428.63,393.55,432.33,432.26,447.95,502.54,526.19,487.13,451.85,414.31,395.01,420.16,411.58,406.63,403.21,405.55,434.33,434.29,428.48,461.97,448.46,377.95,382.98,369.18,364.05,368.86,396.27
1999-09-29 21:52:52.243000,L7,369.47,364.87,365.61,364.10,360.96,362.03,363.93,356.91,364.05,357.70,363.27,368.58,375.97,368.67,365.55,362.62,350.39,361.22,354.81,359.93,353.61,360.73,356.39,352.57,347.59,352.71,356.92,353.10,357.81,350.73,360.86,349.99,359.04,344.92,350.43,341.22,345.93,349.85,351.52,368.87,361.72,356.15,343.88,342.13,332.33,347.13,354.19,369.17,372.99,377.99,370.97,356.67,352.05,342.10,353.31,345.53,359.62,356.95,370.47,372.53,382.21,371.02,380.44,377.98,374.08,367.73,369.21,371.93,367.35,372.19,365.16,358.24,348.27,348.60,346.87,345.51,347.28,342.25,349.46,350.27,354.09,351.01,354.39,359.36,357.79,354.89,350.65,348.89,343.71,349.55,348.30,357.90,354.22,362.01,377.22,374.69,382.21,386.19,385.25,374.46,374.91,366.38,373.21,380.42,382.38,391.99,371.54,371.71,361.26,368.57,368.86,371.95,377.82,382.20,382.24,376.51,382.60,378.51,370.94,364.59,368.41,365.53,359.30,367.89,371.16,378.61,384.75,393.62,390.59,388.00,389.43,384.87,374.42,372.61,383.06,381.33,385.18,377.32,382.46,383.09,382.63,384.49,378.61,373.82,369.44,376.44,366.52,367.20,209.21,369.85
1999-10-15 21:52:49.322000,L7,363.02,365.08,368.02,361.81,362.88,362.04,357.54,363.99,356.24,358.96,356.34,365.10,375.98,367.18,353.19,353.65,351.63,358.62,358.00,358.00,362.58,360.36,360.47,354.23,357.97,352.51,358.48,350.71,355.99,351.68,360.76,366.58,351.29,345.67,347.96,343.07,346.04,349.40,344.17,356.27,357.08,344.73,336.40,339.11,334.80,343.70,356.04,372.43,372.38,366.27,364.91,356.73,352.88,341.08,344.37,347.18,361.25,365.40,372.55,373.53,380.31,382.48,381.11,383.02,381.69,373.36,361.78,361.31,360.51,356.56,355.19,366.62,358.41,344.60,349.53,345.28,345.42,330.66,340.58,349.01,343.34,345.81,353.72,350.90,352.30,353.27,344.57,350.15,343.00,347.69,348.82,352.47,355.39,365.20,368.70,376.13,382.12,378.42,371.99,374.46,375.00,374.19,373.61,378.03,382.40,390.13,379.80,372.42,373.46,376.49,370.20,367.76,373.76,373.06,366.80,370.96,377.95,379.61,374.21,368.90,368.55,369.31,363.78,374.83,371.56,382.08,383.03,398.16,395.86,389.93,384.42,384.28,382.50,373.50,381.64,378.02,390.15,389.39,431.89,460.89,499.53,533.34,508.30,394.24,378.18,382.70,372.84,370.78,377.33,373.17
2000-02-04 21:52:37.377000,L7,366.97,357.56,364.70,361.16,362.25,363.86,364.83,376.00,383.12,372.50,371.73,373.90,370.61,363.88,360.37,365.08,376.54,379.52,376.28,370.99,372.21,366.52,368.24,375.80,373.30,371.20,370.70,376.72,378.19,368.96,367.54,369.68,370.14,366.43,362.58,366.65,365.89,365.14,371.54,366.89,366.79,367.16,368.32,379.36,367.83,365.89,370.46,378.40,374.31,379.80,373.62,366.56,366.44,369.55,360.64,354.80,358.20,356.54,371.75,370.40,383.57,392.71,399.85,392.04,379.10,377.67,369.49,375.86,383.74,384.83,371.05,377.18,372.06,366.41,365.20,359.81,358.44,358.69,356.75,361.76,374.14,378.40,377.98,375.38,366.48,371.68,368.41,370.98,365.05,367.12,351.50,354.81,363.75,371.77,376.97,379.27,389.39,391.28,394.80,379.69,376.13,376.60,386.13,392.01,400.68,395.03,390.97,388.28,385.95,381.90,370.13,376.44,383.52,390.21,396.54,397.14,400.00,386.45,385.94,393.95,378.41,372.19,375.04,385.59,397.28,399.03,394.92,401.68,405.65,404.22,399.92,400.94,409.38,411.45,426.36,420.20,415.65,403.33,397.37,392.43,393.32,396.88,395.22,395.41,398.01,402.48,398.08,189.71,210.80,234.50
2000-02-20 21:52:29.720000,L7,201.97,210.55,382.50,552.41,334.38,316.90,315.45,355.28,316.51,373.95,351.46,364.61,509.05,481.73,229.07,491.31,335.81,294.65,399.65,351.51,332.29,360.62,325.00,242.84,347.87,317.84,311.44,279.99,477.93,,,,,,,472.97,450.08,396.86,318.30,295.43,328.45,322.38,331.82,330.77,324.02,330.63,332.06,333.53,322.47,316.15,328.43,329.64,322.12,,,,416.87,431.68,408.73,320.17,335.23,553.96,490.62,,,,,495.93,264.38,259.61,,558.09,,550.73,416.49,396.26,379.92,432.36,460.54,444.94,437.75,462.23,303.00,,,494.36,,,419.84,344.30,336.49,329.03,342.24,338.17,342.94,425.37,534.80,463.58,462.40,443.32,550.86,337.59,426.16,392.41,421.39,480.49,,229.98,429.80,376.61,460.77,381.94,398.65,331.02,295.43,336.41,332.23,369.43,348.83,376.34,496.47,,,432.59,337.27,330.45,,,,554.84,467.18,419.71,477.50,509.25,414.75,,,214.00,529.08,370.97,236.25,,,,,,,490.46,338.37,308.08
2000-04-24 21:52:10.308000,L7,478.81,492.10,460.91,463.98,449.57,448.87,444.08,451.02,500.45,511.59,519.21,455.76,424.14,418.54,414.98,412.31,428.87,420.59,429.32,421.35,401.62,398.19,396.16,405.98,397.16,407.84,418.98,417.52,408.25,414.91,422.37,427.23,446.98,390.82,399.51,428.73,414.03,416.64,420.06,417.02,416.77,410.58,419.75,406.44,412.43,439.93,459.08,479.36,434.27,424.81,412.96,417.08,434.01,431.16,412.96,396.94,414.40,393.76,480.18,503.30,485.96,499.95,491.42,459.95,448.98,443.26,456.90,442.83,436.02,458.60,431.77,431.63,418.15,410.09,411.41,419.17,416.30,396.01,439.88,466.38,407.52,395.46,391.51,386.01,373.74,372.94,397.55,434.99,398.52,480.67,461.79,450.01,450.73,417.87,469.05,434.51,445.49,448.24,446.47,444.37,444.75,479.12,473.60,467.58,488.25,459.07,459.29,409.77,474.94,479.28,463.32,433.79,456.20,472.03,433.17,466.26,454.14,450.18,462.54,471.50,430.57,412.32,409.25,415.25,421.40,423.52,424.80,515.76,423.02,414.53,421.65,494.77,470.04,473.85,489.11,435.30,448.48,429.33,414.59,496.30,481.72,500.34,421.77,508.46,482.17,422.25,184.50,199.30,230.75,247.74
2000-05-26 21:51:48.668000,L7,458.58,472.79,415.11,447.81,436.12,426.23,455.40,459.63,405.33,430.25,434.00,415.89,426.11,427.00,403.45,432.47,431.30,426.96,424.31,419.08,427.64,393.22,379.60,389.98,433.64,412.68,393.84,388.40,420.98,424.55,404.16,415.95,425.07,402.71,399.06,414.58,429.79,443.73,431.36,428.54,423.16,403.70,397.50,381.72,405.50,430.72,442.29,451.25,447.53,435.55,401.93,390.32,407.43,409.32,393.00,383.55,386.70,438.64,462.13,479.72,510.64,524.86,522.16,504.40,521.10,505.68,509.01,494.74,485.96,478.09,459.08,444.78,420.63,425.47,437.35,407.22,401.93,410.52,419.58,417.02,410.79,395.74,398.22,491.43,519.54,536.61,,443.83,407.97,467.33,474.78,489.40,484.47,477.16,469.87,462.24,455.82,454.50,458.97,463.26,472.38,407.95,457.15,451.21,490.17,507.48,516.93,506.69,524.19,500.40,484.83,489.78,498.54,498.20,483.96,481.64,448.69,479.85,487.12,462.38,477.25,475.91,458.45,451.97,525.75,539.59,540.09,548.87,521.24,511.99,522.86,503.12,468.77,494.68,449.28,465.38,452.68,428.16,505.70,515.54,483.87,476.78,480.81,474.42,483.99,521.99,498.48,398.42,404.30,386.32
2000-08-14 21:50:56.232000,L7,389.37,390.30,396.81,395.74,398.23,394.63,399.70,391.59,394.02,387.11,383.59,381.15,382.87,383.02,381.35,383.26,382.53,383.44,381.57,392.23,381.43,386.37,388.22,388.05,377.19,370.43,366.34,361.77,352.84,359.13,366.34,366.82,363.80,363.25,366.18,370.87,380.42,391.46,412.26,354.64,367.90,354.52,362.15,371.19,383.62,397.46,394.21,384.39,370.67,385.67,369.42,368.96,366.64,365.59,363.17,383.31,397.00,403.28,404.27,386.31,394.60,388.04,433.30,374.59,372.94,375.36,375.54,380.81,379.02,376.76,380.81,375.07,387.39,383.41,383.59,371.06,374.42,376.71,370.52,377.85,362.84,361.59,366.77,384.08,381.93,366.35,366.24,366.96,361.44,357.46,372.14,364.32,368.65,371.14,367.89,375.88,362.68,372.08,373.78,388.16,413.91,387.19,397.15,390.60,396.85,398.72,391.44,398.27,409.47,401.70,410.69,398.08,394.32,394.30,396.65,394.26,392.22,396.68,390.88,389.23,385.19,392.92,389.40,395.92,399.21,404.65,404.40,407.68,414.98,405.81,409.81,414.41,414.99,403.81,403.61,404.12,402.16,393.09,399.53,396.14,403.94,401.89,394.76,393.39,400.73,404.83,402.89,193.14,387.21,377.96
2000-09-15 21:50:25.712000,L7,360.42,369.03,377.34,368.63,377.31,380.40,370.12,363.69,363.27,356.30,368.57,366.72,369.46,365.46,362.59,364.52,357.73,365.70,356.44,365.39,351.58,360.66,363.58,355.90,345.19,350.33,342.64,349.06,347.23,350.94,358.05,345.93,354.14,345.46,352.12,360.36,357.03,353.54,354.93,352.05,354.50,345.71,354.98,352.43,365.32,362.95,365.64,380.76,362.81,359.29,350.97,366.27,363.73,362.13,357.90,377.64,383.85,389.47,383.73,376.25,372.45,367.24,364.73,354.90,353.93,348.89,352.69,356.67,358.62,364.95,372.14,373.40,375.69,378.19,373.24,370.76,359.53,363.12,356.26,356.10,357.48,361.82,359.73,360.12,360.82,356.67,351.86,350.38,345.78,341.58,345.04,345.28,345.19,347.69,354.46,359.45,356.30,363.65,366.30,375.44,375.76,385.32,374.65,379.92,382.61,379.94,388.91,382.24,381.34,382.86,378.07,383.18,373.55,385.86,378.59,377.74,377.65,384.68,372.12,380.70,376.33,374.02,381.45,380.02,381.47,389.42,388.03,387.79,390.89,385.57,395.10,391.04,386.95,382.71,386.74,385.96,375.49,372.51,381.60,382.88,381.85,383.02,374.68,378.23,386.26,389.96,385.40,379.74,373.10,361.96
2000-10-17 21:50:01.277000,L7,181.44,209.72,195.63,217.65,222.80,197.61,189.91,197.12,186.75,168.61,304.84,314.14,300.31,302.94,307.64,326.20,309.37,311.83,303.05,314.11,325.22,316.71,321.63,317.97,324.31,317.31,317.72,313.95,317.86,308.76,318.44,311.82,317.37,321.31,315.01,315.04,307.70,309.93,306.93,313.02,310.05,304.33,306.94,312.23,319.84,319.94,324.17,322.71,319.39,317.19,319.23,317.73,318.62,311.67,307.51,309.52,321.93,335.96,330.56,332.12,323.36,321.99,312.97,304.87,298.59,291.70,293.37,300.28,286.61,281.83,287.18,289.01,302.89,315.39,298.50,289.17,283.59,283.76,288.62,286.90,289.32,289.60,289.76,296.95,300.43,297.24,288.65,286.09,286.43,280.59,277.87,278.00,279.63,282.62,298.42,295.88,293.85,290.70,290.03,291.93,300.79,297.24,306.74,319.92,331.78,312.59,307.95,322.55,330.77,312.55,291.68,471.79,301.76,,,511.55,328.66,554.91,538.73,,,534.37,455.79,,,,,,,,,,,,257.30,257.64,,,,,,,,,338.59,479.31,523.18,445.42,,
