dates,satname,nzd0335-0000,nzd0335-0002,nzd0335-0003,nzd0335-0004,nzd0335-0005,nzd0335-0011,nzd0335-0012,nzd0335-0013,nzd0335-0014,nzd0335-0016,nzd0335-0001,nzd0335-0015,nzd0335-0006,nzd0335-0007,nzd0335-0008,nzd0335-0009,nzd0335-0010
1999-11-21 22:12:00.068000,L7,,,,269.61,269.50,,,,,,,,221.96,223.30,231.63,,
2001-01-10 22:09:39.742000,L7,274.50,291.65,295.69,231.02,259.54,266.73,243.17,248.82,171.19,268.40,,,,,,,
2001-11-03 22:01:22.838000,L7,219.73,282.92,204.97,267.45,,,,,,246.69,228.65,248.27,,,,,
2001-11-03 22:01:46.660000,L7,,275.24,241.16,219.78,,,,,,,,,,,,,
2001-12-21 22:02:05.831000,L7,330.41,311.32,306.74,303.29,303.92,385.91,409.89,414.65,398.18,331.77,313.74,356.33,283.72,303.60,536.20,463.44,488.63
2002-01-29 22:07:57.272000,L7,319.38,292.19,285.43,277.61,279.25,278.02,254.88,260.94,188.22,269.32,297.73,192.74,261.94,265.95,261.38,,
2003-08-29 21:50:14.179000,L5,,,,,,249.45,259.37,,,,,,,271.14,266.98,251.09,248.82
2003-09-05 21:56:31.676000,L5,,,,,,,,,,,,,,236.74,216.85,220.07,229.95
2003-10-16 21:50:55.996000,L5,,,,,238.28,236.12,245.86,241.85,,,,,218.28,239.49,228.75,216.13,235.98
2003-10-16 21:51:19.969000,L5,,,,211.19,240.50,238.82,250.50,244.16,,,,,223.10,243.25,234.07,220.64,239.03
2003-12-03 21:51:55.424000,L5,,,,212.81,233.30,237.60,243.18,243.69,183.70,,,176.81,217.22,239.60,229.04,238.29,240.94
2004-01-04 21:51:46.048000,L5,,,253.37,254.36,256.11,230.08,239.51,235.61,189.08,211.26,,188.92,242.04,261.86,239.71,232.20,229.19
2004-01-04 21:52:10.021000,L5,,,,247.07,249.83,224.52,227.77,,,,,,236.75,255.77,229.16,224.54,224.60
2005-02-14 22:05:45.214000,L5,257.09,,,,237.17,219.07,239.41,236.37,,,,,209.81,235.09,229.52,216.39,225.83
2005-02-23 22:00:07.370000,L5,,,,242.53,251.19,224.58,240.68,,,,,,229.80,253.32,245.85,232.15,231.48
2005-03-11 21:59:55.791000,L5,,,,,,228.27,,,,,,,,249.51,243.22,228.88,233.18
2005-03-11 22:00:19.764000,L5,,,,,,199.57,,,,,,,,197.04,240.77,223.10,229.89
2005-03-18 22:06:10.424000,L5,,,,,,,,,,,,,,248.24,222.24,205.37,214.28
2005-09-10 22:07:19.674000,L5,,,,211.57,250.97,239.36,244.74,,,,,,235.07,257.83,251.08,238.22,243.33
2005-09-19 22:01:08.704000,L5,,,,244.48,250.11,242.29,243.70,245.96,,,,,240.16,257.52,254.20,238.94,242.45
2005-09-19 22:01:32.820000,L5,,,,,236.58,,,,,,,,223.08,240.96,237.40,217.36,230.64
2005-11-22 22:01:34.747000,L5,,238.45,236.05,231.43,233.70,236.78,245.36,235.62,182.24,203.27,,184.02,238.08,253.12,248.43,236.56,239.85
