dates,satname,nzd0156-0000,nzd0156-0001,nzd0156-0002,nzd0156-0003,nzd0156-0004,nzd0156-0005,nzd0156-0006,nzd0156-0007,nzd0156-0008,nzd0156-0009,nzd0156-0010,nzd0156-0011,nzd0156-0012,nzd0156-0013,nzd0156-0014,nzd0156-0015,nzd0156-0016,nzd0156-0017,nzd0156-0018,nzd0156-0019,nzd0156-0020,nzd0156-0021,nzd0156-0022,nzd0156-0037,nzd0156-0038,nzd0156-0039,nzd0156-0040,nzd0156-0041,nzd0156-0042,nzd0156-0023,nzd0156-0024,nzd0156-0025,nzd0156-0026,nzd0156-0027,nzd0156-0028,nzd0156-0029,nzd0156-0030,nzd0156-0031,nzd0156-0032,nzd0156-0033,nzd0156-0034,nzd0156-0035,nzd0156-0036,nzd0156-0043,nzd0156-0044,nzd0156-0045,nzd0156-0046,nzd0156-0047,nzd0156-0048
1999-07-18 21:58:25.703000,L7,328.30,282.12,305.37,313.90,257.17,263.05,258.29,264.96,270.96,272.58,279.50,273.66,273.41,269.85,247.12,180.27,242.31,297.71,282.21,323.36,329.54,292.41,337.21,304.29,553.61,445.79,398.51,515.38,439.86,,,,,,,,,,,,,,,,,,,,
1999-10-22 21:58:28.758000,L7,375.37,302.34,308.86,318.06,253.10,332.52,322.02,314.69,240.42,315.35,315.29,316.90,318.12,321.86,323.87,322.48,330.32,332.58,326.19,325.22,318.56,318.01,319.11,256.08,291.63,287.24,239.99,328.28,325.82,317.89,322.89,322.33,321.79,328.05,332.39,333.19,331.51,326.69,331.60,325.97,319.22,287.09,252.79,265.94,274.41,271.23,273.78,293.62,306.63
1999-12-09 21:58:33.708000,L7,381.27,356.00,355.90,374.03,379.78,376.08,374.39,398.10,362.12,368.85,365.38,367.53,367.62,393.96,381.77,369.13,377.80,387.75,380.71,374.57,366.55,364.08,373.71,364.67,354.51,354.92,361.08,359.11,353.94,364.53,370.63,378.00,376.88,378.11,382.78,375.20,367.25,366.99,378.20,384.27,362.13,361.66,363.70,351.49,350.92,351.40,347.41,363.04,368.33
2000-02-27 21:58:16.566000,L7,385.89,361.74,361.78,417.03,458.27,539.08,508.51,490.15,251.28,270.93,253.39,261.87,248.16,201.69,201.36,230.73,249.99,279.58,339.67,361.32,254.26,277.02,280.05,283.73,281.12,284.62,287.44,301.85,299.42,270.73,272.37,280.39,359.18,340.63,308.27,264.60,275.22,252.76,285.91,262.20,283.57,289.20,303.02,276.29,276.63,270.92,272.06,290.45,295.76
2000-03-14 21:58:11.336000,L7,382.51,317.09,357.22,329.56,356.87,359.16,356.01,185.68,217.81,222.96,189.73,194.40,181.16,355.50,359.91,361.91,362.54,372.03,246.36,248.34,278.08,356.94,354.77,272.77,281.64,286.11,228.49,305.97,311.14,354.87,354.49,356.35,359.07,359.37,362.88,361.42,359.92,344.71,287.01,283.16,279.87,285.55,306.01,217.34,298.07,273.53,278.10,296.46,310.45
2000-03-30 21:58:09.573000,L7,326.13,345.13,354.29,327.50,263.04,260.93,353.09,183.24,218.99,224.01,188.63,192.43,179.64,356.10,356.75,335.24,358.77,296.24,356.94,360.91,356.21,265.50,259.10,363.50,352.03,341.44,228.83,299.57,299.55,269.01,267.14,274.30,275.15,282.10,289.42,285.15,278.93,275.56,277.50,281.71,361.84,357.03,355.81,216.64,289.07,271.70,277.64,297.68,302.79
2000-08-05 21:56:44.750000,L7,,403.35,377.05,389.44,387.10,345.00,426.12,420.97,398.40,385.99,398.31,393.17,401.50,463.04,443.78,448.95,445.94,430.39,424.96,416.97,451.75,432.77,405.84,426.28,378.85,380.36,354.79,370.92,350.38,427.62,464.07,483.88,465.69,454.27,473.74,463.60,440.70,444.80,435.48,371.83,399.60,398.20,463.22,365.00,353.29,345.97,349.50,403.04,538.42
2000-09-06 21:56:22.949000,L7,376.27,351.52,355.23,373.39,354.17,276.87,263.88,299.71,299.50,361.10,301.57,301.77,304.26,306.67,312.72,281.07,317.19,323.40,370.19,367.00,361.08,356.76,346.24,564.69,,,273.71,247.90,374.42,357.28,360.34,365.33,365.54,357.81,362.08,371.76,363.39,374.04,416.38,331.32,413.60,487.48,514.11,568.99,472.80,458.19,479.06,478.94,441.44
2000-12-11 21:56:00.959000,L7,329.58,278.64,279.37,283.10,269.94,247.71,263.89,265.06,263.94,274.17,276.96,274.98,277.66,278.78,269.22,259.87,249.17,276.42,257.05,255.56,272.47,273.43,277.17,288.08,303.98,309.86,319.13,310.40,303.19,278.66,281.51,288.38,324.70,326.22,301.38,294.21,273.66,268.25,276.51,235.78,324.40,305.88,318.46,228.18,287.22,278.75,274.62,300.96,307.56
2001-01-12 21:56:06.772000,L7,355.50,336.34,350.27,366.07,357.40,360.00,356.61,344.90,352.69,366.20,351.68,351.00,355.15,353.79,353.79,353.78,360.21,363.76,360.85,359.76,363.28,362.86,347.54,545.13,310.64,396.69,446.72,286.72,302.13,297.78,306.00,312.63,317.26,321.46,322.78,485.27,,483.29,408.50,358.73,,314.49,257.60,420.70,,,,,
2001-02-13 21:56:03.778000,L7,302.07,275.32,190.90,195.08,256.34,220.89,249.31,182.17,181.87,221.91,204.80,196.99,202.94,268.25,264.10,217.06,232.38,262.36,244.67,242.67,225.75,238.46,268.58,,236.30,289.98,300.29,271.88,229.94,269.53,268.85,274.62,270.54,281.81,263.11,275.05,265.91,245.25,216.87,228.93,178.99,,,,,,,273.49,281.08
2001-03-01 21:55:57.624000,L7,297.47,308.59,267.83,276.14,254.62,246.73,250.63,252.33,251.23,265.97,268.68,268.87,265.35,266.72,266.39,247.33,232.74,263.46,250.89,253.78,255.67,262.01,269.21,179.87,277.18,272.13,228.29,304.15,299.37,272.03,267.34,276.73,270.27,414.72,403.51,411.02,270.94,259.53,275.74,275.47,274.81,284.01,308.83,218.60,274.53,269.02,270.53,291.07,300.06
