dates,satname,nzd0432-0000,nzd0432-0001,nzd0432-0002,nzd0432-0003,nzd0432-0004,nzd0432-0005,nzd0432-0006,nzd0432-0007,nzd0432-0008,nzd0432-0009,nzd0432-0010,nzd0432-0011,nzd0432-0012,nzd0432-0013
2002-02-05 22:15:01.569000,L7,,,,531.23,514.81,493.55,510.90,495.22,507.31,481.33,490.46,485.85,495.67,537.48
2002-10-19 22:13:56.779000,L7,,,,,,,,,,,340.89,345.39,386.01,165.53
2003-08-20 21:57:03.003000,L5,,,292.81,283.01,295.07,237.76,267.87,288.15,295.05,294.66,294.01,281.49,284.96,278.23
2003-12-10 21:58:29.659000,L5,242.18,234.53,262.59,265.03,267.05,258.43,228.56,261.53,251.38,262.32,260.95,244.63,250.94,251.38
2003-12-26 21:58:42.145000,L5,228.11,,271.41,272.77,274.11,263.46,236.76,269.90,251.53,267.52,275.39,263.59,260.38,251.08
2004-01-18 22:04:57.325000,L5,236.99,261.04,276.82,269.55,271.00,253.20,230.03,264.92,256.45,261.51,264.01,254.67,255.77,260.17
2004-01-27 21:58:50.060000,L5,248.84,247.64,276.03,274.48,282.17,270.69,249.09,278.11,280.21,275.73,280.23,266.73,268.86,267.75
2004-02-19 22:05:07.713000,L5,250.01,262.80,283.82,277.32,281.24,272.58,252.79,279.45,275.56,267.47,268.88,262.48,265.22,265.67
2004-05-18 22:00:38.480000,L5,,,299.11,295.72,301.76,300.09,281.39,291.05,303.96,300.10,302.05,285.09,206.20,283.98
2004-08-22 22:03:12.259000,L5,,,286.92,280.30,287.56,275.17,,279.27,288.02,283.02,224.06,267.23,274.80,270.36
2004-10-16 22:10:42.774000,L5,,,277.46,273.23,278.39,245.12,222.59,273.81,255.28,209.06,204.26,195.52,209.97,186.71
2004-11-26 22:05:17.306000,L5,242.72,257.94,274.82,276.06,275.53,261.72,237.03,269.72,261.65,266.40,261.37,255.55,256.43,256.98
2005-02-14 22:06:33.160000,L5,,231.10,270.69,267.05,270.48,258.41,,212.69,262.45,269.50,273.88,253.10,263.28,264.91
2005-06-13 22:13:43.158000,L5,,,310.31,305.37,311.05,306.43,294.57,203.19,317.33,312.12,314.05,298.99,301.12,299.47
2005-06-29 22:13:46.730000,L5,,309.33,321.07,315.03,320.31,314.74,301.62,314.34,324.00,223.49,321.87,306.09,309.57,311.23
