dates,satname,nzd0047-0000,nzd0047-0001
1999-08-17 22:10:26.276000,L7,307.44,315.10
1999-09-27 22:04:25.056000,L7,316.62,438.27
1999-10-04 22:10:38.131000,L7,388.71,313.11
1999-11-14 22:04:18.343000,L7,376.20,303.70
1999-12-07 22:10:30.042000,L7,419.09,401.86
2000-01-17 22:04:11.868000,L7,301.22,240.97
2000-02-09 22:10:19.398000,L7,451.12,422.58
2000-02-18 22:04:05.276000,L7,313.33,305.50
2000-04-29 22:09:53.797000,L7,317.93,316.43
2000-05-15 22:09:42.527000,L7,306.03,319.42
2000-05-24 22:03:22.722000,L7,309.94,316.81
2000-06-16 22:09:26.713000,L7,319.35,323.95
2000-08-03 22:08:44.137000,L7,293.09,300.96
2000-08-12 22:02:30.151000,L7,307.64,314.12
2000-09-04 22:08:22.800000,L7,311.90,309.46
2000-10-15 22:01:32.252000,L7,305.22,278.78
2000-10-22 22:07:50.487000,L7,444.18,349.62
2001-03-08 22:01:45.126000,L7,432.21,443.46
2001-03-24 22:01:35.778000,L7,316.74,314.48
2001-06-03 22:07:16.736000,L7,313.97,322.75
2001-06-19 22:07:05.722000,L7,310.32,320.88
2001-06-28 22:00:45.094000,L7,409.16,331.14
2001-08-15 22:00:14.727000,L7,307.14,312.04
2001-09-07 22:06:11.116000,L7,301.95,317.59
2001-09-23 22:06:03.238000,L7,424.04,428.97
2001-10-02 21:59:40.713000,L7,418.49,334.37
2001-10-18 21:59:42.412000,L7,516.16,486.73
2001-12-21 22:00:05.972000,L7,428.60,448.76
2001-12-28 22:06:14.106000,L7,302.00,254.00
2002-01-22 22:00:16.971000,L7,306.35,247.96
2002-02-14 22:06:29.522000,L7,396.86,409.44
2002-02-23 22:00:19.685000,L7,412.66,418.76
2002-03-18 22:06:22.131000,L7,512.12,516.65
2002-03-27 22:00:13.634000,L7,305.05,310.75
2002-04-28 22:00:14.417000,L7,301.22,313.61
2002-06-15 21:59:55.710000,L7,289.44,303.83
