dates,satname,nzd0062-0000,nzd0062-0014,nzd0062-0015,nzd0062-0016,nzd0062-0017,nzd0062-0018,nzd0062-0019,nzd0062-0020,nzd0062-0021,nzd0062-0022,nzd0062-0046,nzd0062-0047,nzd0062-0048,nzd0062-0049,nzd0062-0050,nzd0062-0062,nzd0062-0063,nzd0062-0064,nzd0062-0065,nzd0062-0066,nzd0062-0067,nzd0062-0068,nzd0062-0069,nzd0062-0070,nzd0062-0071,nzd0062-0051,nzd0062-0026,nzd0062-0027,nzd0062-0042,nzd0062-0043,nzd0062-0044,nzd0062-0045,nzd0062-0052,nzd0062-0053,nzd0062-0054,nzd0062-0056,nzd0062-0057,nzd0062-0058,nzd0062-0059,nzd0062-0060,nzd0062-0061,nzd0062-0001,nzd0062-0002,nzd0062-0003,nzd0062-0004,nzd0062-0005,nzd0062-0011,nzd0062-0012,nzd0062-0013,nzd0062-0023,nzd0062-0024,nzd0062-0025,nzd0062-0030,nzd0062-0031,nzd0062-0032,nzd0062-0033,nzd0062-0034,nzd0062-0035,nzd0062-0036,nzd0062-0037,nzd0062-0038,nzd0062-0039,nzd0062-0040,nzd0062-0041,nzd0062-0055,nzd0062-0006,nzd0062-0007,nzd0062-0008,nzd0062-0009,nzd0062-0010,nzd0062-0028,nzd0062-0029
2016-06-04 22:17:16.433000,L8,,174.31,205.06,223.35,237.45,239.22,275.93,241.01,244.08,204.85,239.74,248.70,230.58,218.69,245.07,262.70,235.23,240.62,252.99,244.55,185.68,247.61,258.73,,,251.39,,,,,208.68,221.12,243.91,243.26,244.38,239.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.52,,,,,,,
2016-08-07 22:17:37.552000,L8,,,,,,,,,,,,,,,,,,,,,230.90,226.35,257.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-08 22:17:48.858000,L8,,,,,,,,,,,,,,,,,,,,,,,,217.18,290.96,,,,,,,,,,249.19,219.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.06,,,,,,,
2016-09-24 22:17:49.840000,L8,,,,,,,,,,,,,,,,345.66,388.71,,,,,,,,410.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-26 22:17:56.874000,L8,,,,,,,,,,,,,,,,,,,,,,,,218.20,391.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-30 22:17:38.957000,L8,,,,191.57,236.99,215.61,,,,,,,,,,246.24,245.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-03 22:17:25.727000,L8,,,,,,,,248.03,254.19,243.38,226.67,255.20,238.42,224.24,243.34,255.21,255.77,252.23,,,252.51,253.02,267.22,218.36,267.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.06,215.58,253.26,,,,,,,,,,,,,,,
2017-04-20 22:16:59.468000,L8,,180.72,211.54,227.43,241.21,214.57,,,,,228.49,253.79,235.11,233.96,245.81,244.40,258.31,178.64,205.66,,225.43,255.46,261.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-06 22:16:55.401000,L8,,178.18,209.92,226.73,209.67,216.48,,246.11,252.54,247.04,,252.53,238.33,228.03,187.35,241.45,247.41,249.95,257.00,,254.70,255.33,267.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-25 22:17:30.862000,L8,,187.35,209.75,230.39,263.26,258.04,257.75,274.43,252.98,203.85,300.28,265.65,267.36,271.46,252.67,276.86,244.46,291.79,274.98,278.40,268.67,269.11,288.63,306.65,295.97,255.94,,,178.71,213.83,232.61,231.75,221.95,226.21,205.45,261.44,262.15,281.56,288.50,275.15,270.71,,,,,,,,,222.40,,,,194.76,247.76,254.93,253.55,249.31,247.02,236.65,212.27,239.08,220.57,246.09,271.31,,,,,,,
2017-09-27 22:17:48.664000,L8,,,,,,,,,,,,,,,,,,,,,,,,,383.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-16 22:17:46.727000,L8,,,,,238.72,226.00,242.29,244.81,208.67,190.64,220.72,253.82,239.41,225.97,243.00,255.50,258.43,253.15,209.38,248.10,181.90,252.69,262.68,,,240.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-18 22:17:22.771000,L8,,183.69,211.67,225.53,207.01,220.05,,,,,,,,,,244.11,237.00,248.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-07 22:16:59.037000,L8,,,,,,,,,,,,,,,,,,,,,,,,197.73,240.17,,,,,,,,,,,,,,,,,,333.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-09 22:16:40.331000,L8,,,,,,,,,,,,,,,,,,,,,250.29,230.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-10 22:16:26.226000,L8,,188.23,213.74,234.83,243.67,252.61,195.16,251.88,254.61,246.20,245.19,241.27,240.69,225.43,248.10,268.13,257.40,258.16,260.04,259.07,255.70,258.35,271.35,217.75,276.65,251.52,,,,,224.86,207.42,245.69,186.48,180.76,,,,,,255.96,,,,,,,,,241.29,,,,174.88,247.73,253.81,250.93,254.11,,,,,,,,,,,,,,
2018-07-28 22:16:51.607000,L8,,,204.10,226.39,206.47,245.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-17 22:17:31.986000,L8,,,,,,,,,,,,,,,,269.26,245.00,212.70,209.27,,,,,221.52,387.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03 22:17:30.217000,L8,,,,,,,,,,,,,,,,242.29,240.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-05 22:17:21.574000,L8,,190.58,220.03,236.52,247.22,246.12,245.05,249.65,250.63,236.11,227.44,252.64,237.07,226.51,241.02,264.32,260.50,249.10,249.40,246.13,249.47,258.11,268.80,,,245.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.44,175.84,,,,,,,,,,,,,,,
2019-04-26 22:16:59.330000,L8,237.20,187.35,220.25,237.32,248.92,249.21,248.06,251.00,253.02,242.75,194.39,216.28,239.86,228.50,198.30,265.74,247.47,252.59,229.86,230.67,180.72,262.89,268.78,214.25,390.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-28 22:17:17.913000,L8,239.13,188.08,214.68,232.88,244.24,245.61,,249.37,250.66,203.37,,,,,,239.39,258.00,253.92,206.12,254.93,255.02,260.33,269.25,,391.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-04 22:17:58.697000,L8,,,,,,,,,,,,,,,,198.03,236.94,198.47,206.80,,237.58,242.30,261.93,,405.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 22:17:54.950000,L8,,,,,,,,,,,,,,,,,,,,,,,,,416.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-22 22:17:51.823000,L8,,,,,,,,,,,,,,,,239.15,237.74,,,,238.30,241.49,256.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23 22:17:43.927000,L8,214.50,188.46,219.60,238.24,247.21,241.90,,245.23,246.49,231.81,210.07,219.49,238.82,222.74,234.06,264.03,258.30,252.42,243.72,201.85,249.31,250.78,263.99,216.59,260.97,230.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-08 22:17:38.924000,L8,,177.19,214.40,231.88,244.41,204.03,,,,,,,,,,236.80,229.74,247.59,,,265.60,246.71,257.57,210.93,259.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24 22:17:35.189000,L8,,186.89,221.27,235.87,248.61,245.07,245.87,,,,,,,,,240.31,262.07,251.67,244.93,270.90,269.72,257.82,263.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11 22:17:28.877000,L8,,195.63,221.38,240.25,246.45,247.13,,,,,235.07,263.09,259.23,226.75,,266.67,248.34,249.00,202.92,,229.52,266.71,218.90,186.09,213.28,245.26,,,,,,,253.30,253.30,251.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.99,,,,,,,
2020-03-27 22:17:20.128000,L8,,,,,,,,,,,318.88,,,,,,,,,,,,,,,,,,,,183.85,238.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12 22:17:12.700000,L8,,,,,,,,,,,,,,,,,,,,,,,,,257.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28 22:17:04.952000,L8,,176.24,214.25,229.07,247.36,245.51,,185.62,251.86,182.14,,,,,,234.97,262.83,249.74,253.28,,252.52,261.00,266.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-02 22:17:33.048000,L8,,,,206.53,242.79,194.66,,,,,,,,,,,,,,,246.65,247.85,262.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-03 22:17:46.393000,L8,,,,,,,,,,,,,,,,,,,,,270.77,276.67,241.98,215.22,265.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-19 22:17:52.015000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.49,380.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25 22:17:44.203000,L8,,,,,,,,,,,203.24,225.50,245.66,225.53,197.98,243.20,241.30,249.17,203.49,227.54,248.24,256.42,265.27,218.01,268.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01 22:17:07.841000,L8,,187.65,225.95,241.17,249.26,245.74,245.99,250.24,253.48,221.99,,255.00,245.45,229.42,,232.98,250.01,219.26,204.10,,248.00,251.38,267.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-04 22:17:29.944000,L8,,175.59,214.92,227.49,247.31,243.95,246.93,247.66,253.49,188.35,,255.31,207.85,189.71,239.92,229.76,262.74,252.91,257.14,249.58,254.72,258.55,270.51,,390.38,240.90,,,,,,,236.55,,,320.59,304.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.81,,,,,,,
2021-11-09 22:17:58.951000,L8,,,,,,,,,,,,,,,,,,,,,,,,216.78,264.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-19 22:17:52.616000,L9,,,219.88,230.83,230.28,197.51,,,,,201.05,212.79,213.87,216.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04 22:17:52.138000,L9,,196.48,226.26,243.85,249.44,244.85,,252.99,228.46,224.72,206.04,216.53,243.53,230.05,199.66,234.20,256.08,250.49,205.02,207.46,248.54,249.20,260.39,218.98,264.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12 22:17:49.562000,L8,,194.80,231.52,246.86,255.76,248.60,,,,,217.47,241.59,250.48,232.14,236.48,261.07,264.59,231.83,206.82,240.21,252.36,254.36,263.88,219.15,327.15,,,,,209.52,227.97,232.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-20 22:17:51.591000,L9,,,,,,,,250.80,251.74,190.46,293.08,256.68,238.70,224.08,196.09,228.57,241.43,248.94,203.48,,246.21,245.67,254.78,218.07,263.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-28 22:17:44.030000,L8,,,,,,,365.92,,,,225.69,241.05,245.56,227.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-13 22:17:40.833000,L8,,,,,,,,249.62,251.40,190.63,,,,,,223.66,232.23,199.55,199.82,226.23,244.29,246.37,258.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-21 22:17:43.336000,L9,,187.01,227.52,219.92,251.03,238.47,,,,,,,,,,,,,,,,,,214.60,266.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.76,341.05,,,,,,,,,,,
2022-05-12 22:17:13.223000,L9,243.20,,217.75,235.39,245.87,243.31,,253.61,255.09,185.02,,,,,,215.80,229.73,256.86,,,,236.46,219.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-13 22:17:12.050000,L9,,285.90,283.24,294.45,307.99,309.56,302.36,290.16,271.34,273.99,248.52,263.70,281.00,286.84,299.45,302.46,293.94,291.38,283.75,265.25,269.93,309.90,310.28,280.30,292.82,294.15,227.81,227.96,220.42,211.42,274.56,240.74,292.58,239.43,268.66,289.12,254.33,304.98,293.55,277.83,280.93,,,276.69,289.91,285.79,210.73,250.34,295.63,250.20,272.18,245.59,178.11,259.38,270.97,245.21,237.99,230.75,241.22,241.90,236.19,220.11,214.33,197.25,293.50,,,,,,,
2022-06-21 22:17:48.970000,L8,,194.34,228.11,245.22,250.40,248.84,,255.09,255.15,212.84,233.59,257.44,246.17,235.08,,381.66,379.28,232.36,253.32,,249.40,245.91,261.55,,398.07,241.61,,,,,220.22,230.80,233.05,,,,,,,,359.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-15 22:17:24.696000,L9,232.28,192.60,230.55,236.03,251.16,241.62,250.53,253.34,253.50,189.05,244.36,259.80,242.47,234.88,193.49,275.64,292.40,294.73,403.01,176.14,246.93,240.38,174.60,218.55,288.09,243.31,278.72,326.39,170.85,192.38,227.02,206.81,302.76,433.33,310.66,481.98,536.95,260.32,322.70,355.04,208.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19 22:18:03.080000,L9,,,,,,,,,,,,,,,,,,,,,,,,218.22,265.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-27 22:18:13.761000,L8,,180.53,213.87,224.01,235.62,182.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04 22:18:00.514000,L9,,,213.11,211.54,237.05,179.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-22 22:17:59.519000,L9,,,,,,,,,,,181.90,211.64,217.89,205.60,,,,,199.61,223.77,228.09,225.20,272.48,216.00,265.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-16 22:17:50.035000,L8,,181.32,202.07,222.06,239.90,240.61,,,,,196.64,221.04,208.14,194.25,194.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-04 22:17:37.574000,L8,,,,,,,,247.72,252.42,176.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28 22:17:33.498000,L9,246.66,208.52,233.64,245.52,258.56,242.95,,,,,203.46,254.52,249.12,199.04,192.33,,254.92,256.32,207.37,,,,,222.09,283.61,,,,,,,224.90,,,,,,,,,,209.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-13 22:17:27.047000,L9,,200.53,236.74,247.67,258.93,250.56,,,,,238.13,215.82,208.46,189.63,196.16,,231.73,261.55,205.76,,217.56,258.57,266.18,217.92,278.05,188.95,,,,,230.94,230.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-08 22:17:00.359000,L8,,167.62,228.69,225.12,243.01,238.58,,248.21,254.56,178.60,,216.71,209.48,189.98,194.14,,229.38,252.63,,,,,,,,192.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-16 22:16:54.981000,L9,,,,,,,,,,,,,,,,,230.35,255.34,201.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-18 22:17:12.131000,L9,,208.72,243.19,251.69,258.22,222.29,,,,,246.91,267.68,250.78,245.83,240.00,217.99,270.98,267.67,269.09,256.21,254.79,257.61,266.97,220.44,282.62,245.80,,,174.99,204.89,229.64,233.85,232.18,236.80,238.18,238.82,,,,,186.86,,,257.48,304.76,,294.57,293.72,177.78,,,,,,,,,,,,,,,,240.54,,,,,,,
2023-08-03 22:17:19.817000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.41,418.88,,,,,,,,
2023-09-20 22:17:40.026000,L9,,356.40,298.51,,,349.42,351.91,332.72,313.06,307.98,,,,,,,,,,,,,,216.99,279.12,,344.95,339.56,,,,,,,,,,,,,,,,,,456.94,,,351.53,304.01,275.22,338.44,,,,,,,,384.53,312.63,,,,,424.31,363.36,290.03,329.59,297.90,300.19,321.24
2023-10-14 22:17:45.774000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.25,331.86,383.31,,,,,,,,,,,,,,,,,,,,335.20,346.26,346.65,332.60,,,
2023-10-22 22:17:50.479000,L9,,,,,,,,,,,,,,,,,,,,,,,,,397.64,,311.35,,,,,,,,,298.52,279.31,356.87,357.12,,,,,,,,,,,,324.81,335.53,,362.41,288.60,343.25,306.13,392.01,,,,,,,,,,,,,,
2023-12-01 22:17:46.993000,L8,,,,,,,,,,,207.41,248.97,244.98,231.23,202.89,,,,,218.49,221.42,243.57,259.31,218.18,294.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-17 22:17:48.418000,L8,,206.60,236.54,246.53,248.97,201.06,,216.61,253.32,192.74,,,,,,,259.00,253.97,390.57,519.34,311.28,,544.53,453.84,472.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-03 22:17:41.059000,L8,,,,,,,,250.25,252.53,,200.60,220.54,228.82,228.88,203.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-11 22:17:53.113000,L9,,185.19,201.74,248.29,282.01,217.82,,264.53,261.85,261.06,280.84,263.01,257.20,252.84,196.81,,286.42,199.37,204.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-19 22:17:39.652000,L8,,,,,,,,254.90,230.12,,198.67,252.57,248.53,231.12,234.53,,237.80,258.52,207.74,219.09,218.05,215.80,265.42,215.60,374.14,237.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-27 22:17:43.972000,L9,249.37,,,,,,,253.43,253.11,,200.63,217.72,,,,,,,,,218.01,216.58,261.45,,,,,,,,222.83,227.83,,,,,,,,,,206.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07 22:17:11.830000,L8,241.57,,,,,,,191.11,260.86,,,,,,,,,,,215.55,217.64,214.62,235.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-15 22:17:28.257000,L9,,,,,,,,,,,234.37,255.35,250.25,229.20,192.94,,263.80,256.61,205.94,218.00,216.73,217.25,265.09,,392.11,192.53,,,,181.75,225.79,230.24,,,319.46,332.65,363.43,292.16,,,,,,,,,,,,,,,,,,,,,,,415.35,330.94,325.72,336.23,326.36,253.72,427.71,434.02,,,,
