dates,satname,nzd0062-0000,nzd0062-0014,nzd0062-0015,nzd0062-0016,nzd0062-0017,nzd0062-0018,nzd0062-0019,nzd0062-0020,nzd0062-0021,nzd0062-0022,nzd0062-0046,nzd0062-0047,nzd0062-0048,nzd0062-0049,nzd0062-0050,nzd0062-0062,nzd0062-0063,nzd0062-0064,nzd0062-0065,nzd0062-0066,nzd0062-0067,nzd0062-0068,nzd0062-0069,nzd0062-0070,nzd0062-0071,nzd0062-0051,nzd0062-0026,nzd0062-0027,nzd0062-0042,nzd0062-0043,nzd0062-0044,nzd0062-0045,nzd0062-0052,nzd0062-0053,nzd0062-0054,nzd0062-0056,nzd0062-0057,nzd0062-0058,nzd0062-0059,nzd0062-0060,nzd0062-0061,nzd0062-0001,nzd0062-0002,nzd0062-0003,nzd0062-0004,nzd0062-0005,nzd0062-0011,nzd0062-0012,nzd0062-0013,nzd0062-0023,nzd0062-0024,nzd0062-0025,nzd0062-0030,nzd0062-0031,nzd0062-0032,nzd0062-0033,nzd0062-0034,nzd0062-0035,nzd0062-0036,nzd0062-0037,nzd0062-0038,nzd0062-0039,nzd0062-0040,nzd0062-0041,nzd0062-0055,nzd0062-0006,nzd0062-0007,nzd0062-0008,nzd0062-0009,nzd0062-0010,nzd0062-0028,nzd0062-0029
2003-01-16 22:06:02.914000,L7,,,,,,,442.37,387.07,353.66,341.79,,451.34,,,,,,419.45,442.33,440.76,393.66,379.18,366.99,361.53,357.97,,,,407.14,446.33,496.33,518.66,,,,,,,,,,,,,,,,,,406.68,,,,,,419.97,462.01,403.92,444.45,,524.49,542.90,489.18,463.07,,,,,,,,
2004-04-16 21:57:19.749000,L5,,,,295.65,329.30,318.34,339.88,,,,337.98,359.14,303.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-06 22:00:22.463000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.69,,,,,,,,,,,,,,,,,,,,351.26,348.72,343.65,315.86,,,
2005-03-02 22:04:24.338000,L5,,,,199.77,203.25,225.38,219.58,213.47,216.32,231.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.45,,,,,233.38,258.45,175.12,249.54,,,,,,,,,,,,,,
2005-04-19 22:04:43.597000,L5,,,,,,,237.53,226.39,229.90,238.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.58,,,,,232.81,259.58,247.64,267.93,,,,,,,,,,,,,,
2005-08-25 22:05:41.221000,L5,,395.59,363.32,329.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.10,,,,,,,,,,,,,,,,,,,,,,,
2006-08-28 22:11:11.674000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.68,398.12,302.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.49,,,,,,,,
2008-11-21 22:01:05.982000,L5,,,,,,,,,,,,,,,,,,,,,,,,,441.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-10 22:07:36.102000,L5,,,,,,,,,,,,,,,,,,,,,,,,,238.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-15 22:07:34.670000,L5,,,,,229.61,236.86,236.84,235.70,243.85,242.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.09,258.63,247.18,,,,,,,,,,,,,,,
2013-05-11 22:19:31.249000,L8,,,,,,,,,,,,,,,,237.60,222.06,183.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.64,233.07,266.55,,,,,,,,,,,,,,
2013-06-28 22:19:33.252000,L8,,,,,,,,,,,,,,,,,,,,,,,,,381.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.00,263.75,,,,,,,,,,,,,,,
2013-07-14 22:19:34.707000,L8,,,,,,,,,,,,,,,,,,,,,,,,203.19,271.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-31 22:19:38.558000,L8,,,,,,,,,,,,,,,,,,,,,,,,,368.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-07 22:18:33.391000,L8,,170.40,203.89,222.62,240.69,256.61,267.81,250.19,258.53,258.97,,,,222.04,254.67,264.72,259.56,183.72,256.17,248.33,,,,220.51,264.72,252.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.82,264.91,265.46,269.85,,,,,,,,,,,,,,
2014-02-23 22:18:20.398000,L8,,172.82,203.05,223.37,234.12,252.18,254.72,246.01,249.03,253.23,,,,216.02,243.69,256.99,245.65,188.65,,,236.80,243.09,256.73,,,249.75,,,,,,,254.89,,,,,,,,,,,,,,,,,,,,,,,262.40,261.73,259.63,,,,,,,,,,,,,,
2014-03-27 22:17:50.001000,L8,,,,,,,,,,,,,,,,,,,,,,,,211.49,259.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-12 22:17:37.464000,L8,,,204.11,224.83,240.62,257.48,260.52,245.84,253.24,253.89,,250.74,237.12,221.83,217.10,266.50,256.29,248.66,256.01,248.63,248.02,246.31,265.63,,,252.00,,,,,,,262.15,,,,,,,,264.59,,,,,,,,,,,,,,,264.59,263.14,264.71,,,,,,,,,,,,,,
2015-01-25 22:17:32.812000,L8,,,,,,,253.56,246.49,249.70,250.34,,,233.34,220.25,243.92,,,,,,245.20,246.88,258.13,,,252.75,,,,,,,,,244.36,241.87,,,,,,,,,,,,,,,,,,,250.99,263.81,254.94,,,,,,,,225.78,,,,,,,
2015-02-26 22:17:23.009000,L8,,,203.81,218.76,236.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30 22:17:01.871000,L8,,,,,,,,,,,,,,,,246.51,243.01,243.55,,,225.41,247.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.14,263.17,261.46,,,,,,,,,,,,,,,
2015-07-20 22:17:10.706000,L8,,,,,,,,,,,,,,,,,,,,,,,,,252.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05 22:17:13.094000,L8,,,,,,,219.34,244.11,247.44,211.68,,,,,,244.62,230.03,216.14,247.73,230.88,224.62,222.98,260.16,217.67,281.80,,,,,,,,,,248.81,217.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.55,,,,,,,
2015-12-27 22:17:43.409000,L8,,,,,,,,191.47,239.23,215.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-19 22:17:11.230000,L8,,172.91,206.33,221.33,238.69,234.92,,,,,193.72,215.50,229.59,219.87,,259.92,238.03,239.27,,,249.79,249.59,261.87,,,,,,,,,,,,241.47,238.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.97,,,,,,,
