dates,satname,nzd0313-0000,nzd0313-0001,nzd0313-0002,nzd0313-0003,nzd0313-0004,nzd0313-0005,nzd0313-0006,nzd0313-0007,nzd0313-0008,nzd0313-0009,nzd0313-0010,nzd0313-0011,nzd0313-0012,nzd0313-0013,nzd0313-0014,nzd0313-0015,nzd0313-0016,nzd0313-0017,nzd0313-0018,nzd0313-0019,nzd0313-0020,nzd0313-0021,nzd0313-0022,nzd0313-0023,nzd0313-0024,nzd0313-0025,nzd0313-0026,nzd0313-0027,nzd0313-0028,nzd0313-0029,nzd0313-0030,nzd0313-0031,nzd0313-0032,nzd0313-0033,nzd0313-0034,nzd0313-0035,nzd0313-0036,nzd0313-0037,nzd0313-0038,nzd0313-0039,nzd0313-0040,nzd0313-0041,nzd0313-0042,nzd0313-0043,nzd0313-0044,nzd0313-0045,nzd0313-0046,nzd0313-0047,nzd0313-0048,nzd0313-0049,nzd0313-0050,nzd0313-0053,nzd0313-0054,nzd0313-0055,nzd0313-0056,nzd0313-0057,nzd0313-0058,nzd0313-0059,nzd0313-0060,nzd0313-0061,nzd0313-0062,nzd0313-0063,nzd0313-0064,nzd0313-0065,nzd0313-0066,nzd0313-0067,nzd0313-0068,nzd0313-0069,nzd0313-0070,nzd0313-0071,nzd0313-0072,nzd0313-0075,nzd0313-0076,nzd0313-0077,nzd0313-0078,nzd0313-0079,nzd0313-0080,nzd0313-0081,nzd0313-0082,nzd0313-0083,nzd0313-0084,nzd0313-0085,nzd0313-0086,nzd0313-0087,nzd0313-0088,nzd0313-0089,nzd0313-0090,nzd0313-0091,nzd0313-0092,nzd0313-0093,nzd0313-0095,nzd0313-0096,nzd0313-0097,nzd0313-0098,nzd0313-0099,nzd0313-0100,nzd0313-0101,nzd0313-0102,nzd0313-0103,nzd0313-0104,nzd0313-0105,nzd0313-0106,nzd0313-0107,nzd0313-0108,nzd0313-0109,nzd0313-0110,nzd0313-0111,nzd0313-0112,nzd0313-0113,nzd0313-0114,nzd0313-0115,nzd0313-0116,nzd0313-0117,nzd0313-0118,nzd0313-0119,nzd0313-0120,nzd0313-0121,nzd0313-0122,nzd0313-0123,nzd0313-0124,nzd0313-0125,nzd0313-0126,nzd0313-0127,nzd0313-0128,nzd0313-0129,nzd0313-0130,nzd0313-0131,nzd0313-0132,nzd0313-0133,nzd0313-0134,nzd0313-0135,nzd0313-0136,nzd0313-0137,nzd0313-0138,nzd0313-0139,nzd0313-0140,nzd0313-0141,nzd0313-0142,nzd0313-0143,nzd0313-0144,nzd0313-0145,nzd0313-0146,nzd0313-0147,nzd0313-0148,nzd0313-0149,nzd0313-0150,nzd0313-0151,nzd0313-0152,nzd0313-0153,nzd0313-0154,nzd0313-0155,nzd0313-0156,nzd0313-0157,nzd0313-0158,nzd0313-0159,nzd0313-0160,nzd0313-0161,nzd0313-0162,nzd0313-0163,nzd0313-0164,nzd0313-0165,nzd0313-0166,nzd0313-0167,nzd0313-0168,nzd0313-0169,nzd0313-0170,nzd0313-0171,nzd0313-0172,nzd0313-0173,nzd0313-0051,nzd0313-0052,nzd0313-0073,nzd0313-0074,nzd0313-0094
1999-09-27 22:06:00.877000,L7,,,,,,,,,,,245.48,245.78,240.00,,,,,,,,,,,,,,,,,,,,,,,,,,408.16,392.26,429.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.76,369.06,379.26,384.08,362.07,379.04,289.70,254.64,314.49,298.66,272.67,346.01,357.49,306.81,337.99,,,,,,,,,248.94,252.97,240.88,236.45,216.43,206.35,190.28,181.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-16 22:05:57.846000,L7,372.04,356.35,296.55,379.65,370.14,359.77,354.94,347.51,310.58,321.60,282.40,220.26,272.84,288.98,303.95,306.59,305.13,312.94,327.07,250.92,259.30,259.04,238.28,247.99,349.36,366.81,322.30,275.56,393.00,414.19,303.34,445.80,448.63,466.89,460.53,479.83,483.93,497.16,513.78,511.65,528.72,536.52,453.95,488.90,511.29,516.14,480.26,536.39,513.60,499.18,539.42,524.69,489.49,504.11,506.66,500.89,460.42,481.93,469.45,442.94,428.43,414.93,408.82,415.88,408.88,468.65,488.90,481.15,482.92,501.03,551.06,364.13,383.62,290.76,393.23,395.81,404.62,392.61,393.89,394.63,385.44,392.51,382.99,369.80,363.22,368.78,324.79,200.55,318.24,365.32,535.04,537.72,519.80,529.48,505.47,491.96,495.63,495.55,541.86,524.09,517.04,504.38,494.66,492.05,488.10,486.06,466.89,458.43,448.39,434.42,437.88,451.39,446.28,413.16,405.47,424.57,420.77,406.94,391.74,393.48,392.65,402.11,415.20,417.69,410.54,413.87,406.04,414.26,399.96,401.64,406.39,409.00,401.30,412.38,414.32,425.56,419.38,419.89,432.56,420.77,435.75,453.85,442.86,458.61,461.88,468.15,481.62,479.66,505.39,497.29,511.86,511.32,521.88,528.76,526.17,518.73,527.40,515.46,519.67,535.22,525.83,523.55,530.41,531.90,519.41,514.28,511.86,520.91,510.47,,,,,
2000-03-05 22:05:36.285000,L7,322.49,206.14,344.90,295.25,276.71,199.89,198.18,339.22,280.11,277.09,244.35,264.89,269.15,259.28,260.29,219.30,234.52,238.45,246.77,177.43,196.46,206.16,204.78,219.11,224.72,224.05,237.34,232.24,245.04,263.45,273.91,283.62,295.37,296.82,304.54,311.91,323.93,332.37,340.92,352.91,361.53,363.84,383.97,384.28,398.95,409.27,413.36,503.64,448.80,518.47,473.15,,,510.72,497.53,464.90,468.15,516.75,503.01,509.80,499.05,498.79,494.61,526.36,455.31,507.97,492.08,518.91,415.74,435.18,442.77,463.05,380.22,387.15,396.38,392.23,404.27,398.54,397.10,401.79,393.89,400.49,386.58,367.67,365.49,371.69,326.30,225.47,380.98,497.17,490.93,494.66,483.35,478.18,472.52,463.96,458.47,452.07,432.86,421.95,410.75,389.97,394.36,353.07,347.94,333.68,316.28,311.00,300.19,295.34,299.42,293.58,286.58,253.50,270.21,261.40,268.31,266.68,279.61,260.71,263.40,286.05,262.28,265.78,261.06,257.76,266.16,260.18,264.79,269.87,280.65,263.16,263.15,266.19,274.49,270.03,275.08,277.46,270.99,297.71,296.33,275.16,296.49,301.35,301.26,307.20,322.28,325.86,330.85,334.34,343.08,356.55,357.41,351.02,345.53,316.64,335.66,349.43,347.69,354.06,391.18,393.24,396.49,401.14,443.33,437.24,258.07,360.14,354.67,498.93,490.22,452.99,461.13,482.52
2000-03-21 22:05:37.143000,L7,,,,,,,,253.93,229.87,293.02,219.03,226.85,244.91,,,,,,,,,,,,,,,,,,350.47,361.27,348.37,381.84,403.75,,,,444.96,440.76,467.30,,,,,513.56,528.66,530.65,522.67,514.96,532.43,509.56,493.25,,,,,,480.16,484.65,493.33,483.08,479.34,444.98,481.15,455.00,,,,,548.69,292.49,302.39,,382.47,387.97,298.34,395.30,390.97,393.81,380.20,383.69,372.40,361.25,356.17,367.50,317.13,342.04,,,,,,,,,255.42,198.87,246.60,241.66,227.71,215.94,437.55,424.41,414.47,408.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.33,434.59,447.07,446.53,454.54,447.50,,,449.56,462.32,472.77,478.03,,,,,,,,539.47,520.58,314.99,312.09,
2001-01-03 22:03:24.303000,L7,411.14,397.60,409.72,406.34,403.58,371.97,396.96,393.56,397.35,381.25,328.32,326.62,326.50,329.65,329.69,331.64,209.10,340.36,356.03,348.25,361.99,367.40,378.23,399.88,379.08,403.48,392.73,395.06,416.93,429.89,323.39,450.79,333.13,457.22,478.53,491.08,499.94,518.21,495.89,520.35,531.66,545.33,496.37,506.89,521.05,526.09,525.88,536.63,523.89,,500.73,522.26,539.01,478.14,482.96,502.08,489.81,479.46,512.54,520.91,478.97,487.71,452.89,474.05,484.86,463.71,496.45,491.59,504.64,523.14,542.83,,379.89,390.26,397.84,402.05,408.81,393.81,398.63,399.11,395.45,395.60,379.54,371.55,365.77,373.32,326.61,339.10,358.79,,,550.50,518.09,519.41,527.17,494.07,478.87,477.27,490.50,499.91,439.19,438.09,458.92,496.01,474.43,503.46,467.82,375.67,462.04,457.51,420.15,376.00,421.61,423.59,430.11,439.54,411.19,424.31,402.71,405.36,407.32,418.52,402.76,407.48,404.41,412.96,413.62,415.37,417.10,409.65,408.27,383.05,306.48,314.05,332.10,445.62,448.49,463.60,466.38,471.68,335.52,480.94,471.61,462.76,470.27,483.06,519.96,493.55,494.16,510.48,516.98,445.16,496.16,531.48,424.79,448.40,414.26,463.27,414.59,474.13,479.36,425.44,531.83,524.08,462.08,465.33,475.84,474.68,526.92,509.73,512.43,512.74,522.68,
2001-01-19 22:03:31.103000,L7,354.66,321.96,316.07,296.83,291.79,286.96,273.52,255.04,262.69,262.93,260.82,260.31,259.96,262.03,196.54,265.37,245.14,259.43,217.79,271.64,260.90,269.44,292.21,246.88,293.36,297.45,298.41,313.90,327.80,345.47,357.72,372.97,378.94,381.75,455.74,465.40,478.17,489.31,499.10,510.56,443.12,453.80,457.78,460.60,470.35,485.80,490.41,,,,,482.93,530.93,533.07,533.47,522.34,528.47,527.94,502.34,515.96,493.24,431.46,468.44,467.40,444.20,465.42,437.30,484.13,,488.67,505.58,514.33,381.00,386.11,395.77,397.91,406.72,395.21,396.23,397.33,397.58,394.62,378.93,371.15,368.09,543.23,536.71,535.27,540.05,521.83,532.86,542.76,,540.59,546.15,526.35,474.33,540.83,540.89,479.80,460.81,456.51,454.34,432.63,436.12,444.17,421.68,388.93,398.52,383.99,368.90,,,,,349.65,366.68,363.83,352.11,367.01,394.43,398.16,387.53,340.76,,335.48,345.09,353.68,336.84,334.09,,,333.40,340.46,313.68,354.48,354.89,367.51,369.34,366.59,361.65,392.76,333.99,386.86,390.65,397.65,357.33,403.42,405.89,417.84,420.47,384.50,391.29,418.00,407.78,444.17,452.86,440.29,455.48,409.28,459.31,481.93,446.11,418.38,465.63,414.54,461.08,458.03,451.69,,,540.94,519.01,528.00
2001-02-20 22:03:24.667000,L7,298.84,322.25,300.17,274.62,279.71,264.18,255.35,243.81,245.28,245.11,246.69,243.71,219.83,232.00,225.00,,,,,,,,,,,,,,,,,,,,,379.57,385.89,385.76,400.61,,,,,,,,,,,,,,,497.79,491.33,484.72,482.22,485.75,487.87,481.83,479.84,455.86,,,,,,,,,502.81,273.05,382.41,389.16,398.63,396.78,406.72,397.92,396.82,402.36,389.34,399.32,386.44,373.22,373.16,373.61,329.23,342.86,314.15,538.50,534.82,539.68,,,528.81,525.14,519.14,513.12,476.29,254.41,235.59,224.31,442.75,425.36,411.51,412.77,404.23,379.67,375.32,372.77,356.99,346.48,333.55,,,,,345.91,338.89,327.99,332.07,329.12,326.96,326.26,323.03,331.09,,335.51,318.52,325.65,320.53,312.72,327.17,336.79,,,,,353.84,341.07,353.09,355.46,354.40,354.32,364.12,362.57,382.86,379.86,391.57,394.28,371.75,416.50,415.03,415.13,415.25,419.57,430.29,430.63,438.94,406.18,437.95,451.40,438.20,426.46,428.12,431.52,424.03,415.70,401.50,,,515.28,513.76,549.75
2001-08-31 22:01:41.241000,L7,248.34,268.30,201.19,187.96,182.02,179.57,176.55,248.43,255.80,253.27,256.67,243.87,259.70,308.01,270.11,303.07,243.88,291.71,296.82,222.24,331.88,233.31,275.26,286.03,363.50,345.38,268.90,,379.24,329.72,388.98,413.56,399.18,,,,,259.21,217.23,473.04,460.34,480.51,513.81,530.70,544.24,483.08,,479.52,501.99,484.71,,,,491.55,497.54,500.47,485.13,452.60,485.52,485.83,480.77,475.62,481.02,478.93,492.52,493.11,511.12,,508.09,527.05,533.09,318.58,382.20,386.13,387.98,392.68,402.28,397.80,396.91,396.81,398.51,402.51,391.05,372.73,373.44,369.94,326.32,359.85,386.86,383.13,,,,,333.83,376.00,375.45,282.06,294.40,350.50,320.69,308.50,301.04,420.79,413.98,413.97,409.44,404.29,348.39,394.53,372.04,394.74,360.93,374.21,362.56,325.58,327.72,355.56,345.93,351.69,366.45,366.33,338.37,,,,328.36,326.51,299.71,339.35,339.61,345.19,339.07,295.00,331.13,334.26,308.69,355.85,352.79,350.07,350.90,366.81,376.03,398.53,356.81,388.56,247.47,253.91,408.17,399.56,421.48,434.54,424.51,443.99,454.20,452.02,240.11,233.45,226.90,218.62,214.92,215.59,196.95,269.74,214.96,231.55,496.02,,,,,538.39,322.03,
2001-11-03 22:01:22.838000,L7,200.79,195.59,185.77,,,,,,,,,,,,,,,,,,,,,,,,,371.17,355.66,391.51,416.55,,,,,,,468.81,467.11,488.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.10,368.92,374.33,376.10,385.63,369.89,377.31,376.05,370.37,372.89,362.65,353.68,346.36,356.09,307.93,340.77,,,,,,,,,255.91,252.08,240.70,236.12,219.86,207.73,196.10,181.83,,,,,,,,,,,,,,,,,,,,,,399.78,399.04,410.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-21 22:00:48.324000,L7,282.99,229.23,206.85,197.96,205.67,228.11,207.19,,,201.33,214.42,205.59,207.95,209.59,206.84,197.68,208.13,203.60,229.14,212.23,213.59,226.99,241.00,250.32,272.69,301.42,316.79,333.76,,275.69,306.44,319.64,340.27,,311.43,310.98,383.74,363.29,372.36,385.84,393.35,396.44,426.84,432.16,,,,,,,,,,,,,,,434.24,436.32,440.16,403.22,471.22,383.38,434.33,424.33,,,,,464.59,490.02,375.98,391.98,388.57,395.58,396.84,389.84,394.79,393.53,383.54,388.13,380.44,371.22,362.74,363.28,326.17,349.80,312.01,510.86,509.61,528.74,517.18,520.25,540.44,528.09,472.14,482.60,430.62,451.76,425.05,376.65,415.74,401.17,394.26,386.60,384.28,342.17,353.98,353.08,348.69,366.18,340.95,338.84,320.19,318.24,272.75,306.73,287.29,285.07,286.65,280.28,287.73,,399.39,406.34,428.82,423.86,263.21,238.95,284.79,289.61,,273.45,289.65,,277.50,300.71,309.65,327.80,314.17,312.50,336.16,362.09,372.91,405.67,427.66,374.28,,,356.45,382.27,380.85,320.36,237.34,185.08,294.80,177.37,202.51,225.27,197.51,393.10,400.57,403.88,418.12,,386.88,385.60,383.13,,,470.82,480.04,498.30
