dates,satname,nzd0066-0000,nzd0066-0001,nzd0066-0002,nzd0066-0003,nzd0066-0004,nzd0066-0005,nzd0066-0006,nzd0066-0007,nzd0066-0008,nzd0066-0009,nzd0066-0010,nzd0066-0011,nzd0066-0012,nzd0066-0013
1999-08-26 22:04:44.971000,L7,,,,,254.73,288.49,,255.76,270.20,178.89,308.61,298.80,249.86,309.30
1999-09-27 22:04:25.056000,L7,,332.89,337.47,344.38,347.24,290.18,308.86,305.09,310.84,192.73,236.62,296.58,305.39,309.77
1999-09-27 22:04:48.949000,L7,,273.01,338.43,344.76,346.75,293.14,308.46,304.53,311.36,193.12,305.59,293.70,304.66,308.73
1999-11-14 22:04:42.286000,L7,,,341.68,304.81,342.74,,,,,,,175.18,267.84,296.12
2000-01-01 22:04:13.486000,L7,,,,,336.83,288.72,290.97,260.14,264.89,173.38,,,262.06,295.09
2000-01-01 22:04:37.439000,L7,,,,215.69,338.73,288.47,289.18,255.40,262.79,,,,,
2000-01-17 22:04:11.868000,L7,517.67,375.75,362.80,360.58,366.35,356.67,360.56,371.89,371.22,367.54,358.56,351.99,362.99,355.48
2000-01-17 22:04:35.821000,L7,509.53,379.38,367.73,362.36,367.04,357.82,361.88,382.75,372.18,370.93,358.88,352.50,366.13,356.60
2000-02-18 22:04:05.276000,L7,,,,190.01,222.37,216.20,,,,,,,,
2000-02-18 22:04:29.218000,L7,,,,192.85,224.49,287.86,227.28,,,,,,,
2000-05-24 22:03:22.722000,L7,,,328.59,346.35,337.21,290.53,311.40,263.25,264.79,189.94,226.88,301.71,318.15,314.36
2000-05-24 22:03:46.662000,L7,,,,345.37,319.35,289.85,310.92,261.53,262.64,188.92,224.73,301.30,289.30,298.17
2000-08-12 22:02:30.151000,L7,,,325.63,239.14,337.74,286.53,310.19,261.84,257.66,201.87,,264.65,270.34,313.92
2000-08-12 22:02:54.094000,L7,,,201.83,334.89,337.51,288.16,308.72,258.45,256.18,198.01,,183.78,263.57,312.74
2000-09-13 22:02:02.316000,L7,,304.01,334.90,306.30,344.92,283.92,308.64,,,,,,,
2000-09-13 22:02:26.190000,L7,,316.44,346.13,351.51,352.67,328.53,322.41,306.14,262.03,,,,,
2001-01-03 22:02:12.432000,L7,,,207.00,220.41,226.58,302.18,293.75,267.39,269.21,192.09,,241.32,280.46,307.14
2001-03-08 22:01:45.126000,L7,,,315.50,334.47,333.92,284.89,284.56,254.74,,,,,302.58,300.42
2001-08-15 22:00:14.727000,L7,,,231.48,238.75,332.38,254.92,299.57,,264.81,309.89,,234.97,263.22,301.58
2001-08-15 22:00:38.680000,L7,,,327.61,333.41,334.81,250.00,307.26,305.67,267.70,310.17,308.43,300.35,309.87,314.40
2001-10-02 21:59:40.713000,L7,,,329.69,334.60,336.01,287.55,310.46,303.93,307.77,246.17,220.28,298.64,308.58,311.58
2001-10-02 22:00:04.650000,L7,,,331.10,335.80,304.30,290.94,312.18,306.64,309.38,310.68,308.54,299.63,312.23,314.08
2002-01-22 22:00:16.971000,L7,,,,,221.66,,,262.46,255.03,174.74,,,261.05,296.03
2002-01-22 22:00:40.906000,L7,,360.01,347.60,346.41,341.22,315.68,309.46,306.75,312.84,236.26,308.09,301.29,307.22,313.45
2002-03-27 22:00:13.634000,L7,,,315.98,326.09,333.19,282.97,292.38,260.04,,,,,310.38,239.27
2002-03-27 22:00:37.575000,L7,,,315.80,325.16,332.96,283.25,293.25,262.29,,,,,307.96,314.75
2002-07-01 21:59:51.232000,L7,,306.62,319.86,335.52,343.11,317.82,296.66,315.76,324.18,213.87,191.80,263.13,315.84,322.07
2002-07-01 22:00:15.186000,L7,,,316.90,332.79,341.25,297.30,290.82,206.95,320.82,210.82,,305.01,313.82,316.36
2002-07-17 21:59:44.793000,L7,,,322.68,340.97,199.76,,,,,,309.33,181.91,264.19,314.33
2002-07-17 22:00:08.747000,L7,,,321.05,339.96,340.51,,,,,,310.14,182.31,261.59,291.50
2002-08-18 21:59:33.737000,L7,,,324.11,339.09,339.62,287.62,309.01,270.59,,,307.15,302.37,308.23,304.54
2002-08-18 21:59:57.690000,L7,,,325.23,338.37,338.66,285.54,308.83,269.22,,,,235.96,306.93,304.53
2002-09-19 21:59:11.129000,L7,,313.71,323.50,335.10,343.58,322.73,313.59,312.91,308.75,314.42,315.04,309.95,319.57,317.71
2002-09-19 21:59:35.083000,L7,,313.37,322.78,334.30,343.24,321.73,313.55,313.35,305.37,314.69,272.06,309.94,319.72,318.67
2002-11-06 21:59:17.708000,L7,,297.56,326.68,346.21,344.44,316.24,308.32,297.58,,,275.39,301.11,301.34,276.45
2002-11-06 21:59:41.879000,L7,,,307.54,323.69,324.66,,,,,,,,,
