dates,satname,nzd0373-0000,nzd0373-0001,nzd0373-0002,nzd0373-0003,nzd0373-0004,nzd0373-0005,nzd0373-0006,nzd0373-0007,nzd0373-0008,nzd0373-0009,nzd0373-0010,nzd0373-0011,nzd0373-0012,nzd0373-0013,nzd0373-0014,nzd0373-0015,nzd0373-0016,nzd0373-0017,nzd0373-0018,nzd0373-0019,nzd0373-0020,nzd0373-0021,nzd0373-0022,nzd0373-0023,nzd0373-0024
1999-09-04 22:00:09.953000,L7,391.65,387.74,368.85,356.87,365.83,379.17,382.81,402.03,388.65,383.21,382.49,297.68,301.67,279.58,144.15,367.00,342.37,332.28,307.48,302.97,335.91,193.57,257.69,252.98,229.04
1999-09-20 22:00:08.403000,L7,209.53,198.43,182.86,200.78,179.50,193.20,392.25,402.92,388.16,292.96,383.13,383.92,382.22,265.76,366.44,198.69,325.42,320.38,311.41,308.78,337.92,188.81,261.10,251.14,232.97
1999-10-22 22:00:04.598000,L7,,,510.98,472.69,476.22,479.53,485.76,491.32,484.40,463.34,527.64,,,501.41,492.72,510.94,460.50,437.14,497.73,398.16,408.50,393.18,386.88,372.59,344.24
1999-12-09 22:00:09.551000,L7,,,477.20,453.07,473.60,487.84,481.31,481.64,478.30,459.57,469.18,497.49,513.13,,,,,,,381.20,400.32,379.25,387.12,373.10,343.21
1999-12-25 22:00:04.067000,L7,491.44,412.55,413.99,409.17,456.20,462.15,454.31,438.80,456.55,398.48,400.12,399.75,476.53,407.40,391.52,391.15,360.33,362.69,367.43,340.23,353.83,313.22,266.74,253.22,227.52
2000-01-26 22:00:02.226000,L7,472.78,422.51,416.08,412.80,467.81,468.07,463.37,471.54,419.70,270.35,293.08,447.50,468.85,477.48,402.45,482.16,404.66,388.24,387.58,398.38,406.27,346.38,358.29,330.80,234.88
2000-02-11 21:59:57.866000,L7,490.96,526.00,429.41,419.99,421.38,432.97,434.65,448.59,440.39,413.91,402.99,413.92,424.45,421.07,403.19,417.56,387.28,380.58,388.45,347.77,363.27,340.70,331.10,348.19,235.54
2000-02-27 21:59:52.393000,L7,502.97,528.81,428.76,431.35,466.96,466.28,462.65,467.77,467.49,443.48,297.00,431.29,423.82,407.41,402.91,477.18,400.32,392.77,434.36,378.40,402.57,386.14,332.24,345.90,304.74
2000-03-30 21:59:45.397000,L7,494.36,433.66,421.82,419.96,422.99,411.12,417.20,475.92,470.02,453.24,420.22,480.08,494.57,448.70,406.04,419.77,381.37,385.93,377.35,351.87,362.31,336.46,361.66,261.65,240.03
2000-04-15 21:59:31.785000,L7,471.94,397.14,390.59,393.80,388.55,399.49,398.31,406.49,400.80,393.58,390.11,393.87,401.54,391.53,378.27,383.98,349.98,153.87,241.15,232.25,224.52,229.44,261.77,249.64,226.56
2000-05-01 21:59:30.586000,L7,428.93,416.28,403.01,412.77,399.56,409.60,407.62,409.01,412.87,407.49,252.78,284.87,312.84,261.12,402.79,483.53,362.98,368.85,265.12,302.23,351.64,232.84,269.27,260.52,235.84
2000-05-17 21:59:19.400000,L7,,516.62,424.44,416.75,446.48,441.65,439.90,448.33,430.31,451.89,504.42,450.69,501.32,416.98,401.90,404.81,367.32,363.86,350.84,323.03,355.38,236.71,277.42,262.97,240.18
2000-06-18 21:59:03.789000,L7,194.23,181.51,167.73,183.33,192.03,205.46,195.94,381.98,363.12,379.10,378.72,374.87,379.59,,,,,,,,,182.98,248.51,231.47,223.29
2000-08-05 21:58:20.584000,L7,401.98,399.57,390.57,392.99,380.61,390.80,393.77,405.91,398.10,395.82,244.74,278.72,273.90,265.37,372.29,381.11,348.60,337.22,324.90,315.28,347.28,319.24,263.71,253.30,231.39
2000-10-24 21:57:29.684000,L7,408.44,399.44,390.38,390.44,385.03,397.73,398.66,408.30,395.72,389.52,392.75,491.37,502.08,502.11,377.82,382.20,351.30,347.68,342.32,339.55,346.75,319.94,256.70,244.97,217.17
2000-11-25 21:57:34.931000,L7,481.34,415.22,406.49,414.20,419.02,418.92,420.99,418.51,407.52,401.55,399.54,414.74,477.41,406.76,394.14,414.30,370.88,368.68,389.37,347.20,360.57,339.55,269.89,258.39,228.68
2000-12-11 21:57:36.803000,L7,499.30,410.54,404.05,410.03,408.40,410.94,410.35,414.91,407.70,420.56,417.76,488.63,499.47,512.56,390.54,401.85,366.60,365.08,375.14,345.77,358.99,379.56,385.42,354.43,232.66
2001-02-13 21:57:39.607000,L7,470.36,458.73,413.25,423.83,425.32,426.01,423.63,428.99,415.34,256.98,281.58,267.37,423.96,408.71,403.19,407.90,373.29,382.68,382.34,351.27,360.68,347.17,319.18,332.38,229.99
2001-05-20 21:57:04.892000,L7,223.72,234.87,246.18,226.39,491.01,494.93,351.10,501.47,480.96,230.18,411.86,502.51,505.13,475.01,375.44,376.44,,,,,,205.69,259.72,256.60,239.83
