dates,satname,nzd0323-0000,nzd0323-0001,nzd0323-0002,nzd0323-0003,nzd0323-0004,nzd0323-0005,nzd0323-0006,nzd0323-0007,nzd0323-0008,nzd0323-0009,nzd0323-0010,nzd0323-0011,nzd0323-0012,nzd0323-0013,nzd0323-0014,nzd0323-0015,nzd0323-0016,nzd0323-0017,nzd0323-0018,nzd0323-0019,nzd0323-0020,nzd0323-0021,nzd0323-0022,nzd0323-0023,nzd0323-0024,nzd0323-0025,nzd0323-0026,nzd0323-0027,nzd0323-0028,nzd0323-0029,nzd0323-0030,nzd0323-0031,nzd0323-0032,nzd0323-0033,nzd0323-0034,nzd0323-0035,nzd0323-0036
2001-01-10 22:09:39.742000,L7,226.67,240.54,234.96,226.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-20 22:03:24.667000,L7,278.28,263.59,250.92,248.63,241.01,242.98,249.18,256.95,240.37,225.16,230.94,221.14,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-03 22:01:22.838000,L7,,,,,217.88,219.47,229.40,229.26,231.38,237.15,223.38,219.37,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-15 22:01:45.971000,L7,377.46,417.48,388.78,304.86,279.42,398.56,356.36,328.83,336.10,318.25,348.89,334.97,255.82,274.41,252.79,463.92,431.51,371.37,386.58,337.77,328.35,331.71,302.10,231.20,206.84,245.01,258.17,245.87,253.28,401.73,397.44,295.64,286.06,320.00,287.26,240.53,234.94
2003-08-29 21:50:14.179000,L5,245.86,233.32,220.27,208.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-05 21:56:31.676000,L5,285.00,274.27,259.92,249.56,241.66,245.58,248.86,253.97,250.23,243.66,234.02,210.85,194.51,208.26,218.53,218.55,214.33,185.48,245.06,220.69,205.81,185.66,211.17,206.85,178.59,,,,,,,,178.99,178.81,200.02,200.48,219.88
2004-01-04 21:51:46.048000,L5,223.71,212.45,200.75,179.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-27 21:58:02.115000,L5,230.88,224.61,208.64,189.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-18 21:59:50.535000,L5,285.54,279.15,265.12,254.86,236.15,242.57,248.78,250.25,245.33,239.80,236.57,213.74,200.62,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-12 21:54:23.537000,L5,272.40,263.73,253.11,232.67,205.12,213.33,229.68,217.16,217.76,207.80,198.39,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-05 22:01:15.300000,L5,258.57,259.51,241.24,219.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-14 21:55:18.989000,L5,270.81,261.24,244.48,230.42,209.67,211.54,224.66,213.76,202.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-15 21:56:01.630000,L5,246.75,234.93,220.63,202.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-22 22:02:24.313000,L5,250.76,238.86,223.33,209.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-14 22:05:45.214000,L5,225.11,216.65,202.07,193.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-11 21:59:55.791000,L5,244.19,233.49,219.44,208.93,198.23,204.56,208.88,214.72,201.57,195.84,191.49,191.81,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-05 22:06:25.562000,L5,267.70,250.37,241.48,228.85,211.05,219.85,224.72,231.09,225.71,227.07,214.06,205.43,183.88,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-15 22:00:34.314000,L5,289.98,280.77,261.44,244.69,242.31,231.89,233.23,243.69,227.22,236.87,216.05,180.10,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-10 22:07:19.674000,L5,260.85,251.26,218.98,187.20,194.18,209.36,214.58,222.56,202.71,215.38,175.05,189.15,187.43,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-19 22:01:08.704000,L5,273.22,266.00,246.55,240.17,231.22,242.81,244.16,243.51,238.96,246.31,235.21,226.96,221.11,223.56,221.74,220.96,228.32,190.80,242.61,220.14,215.47,203.51,220.74,208.51,194.92,191.49,219.89,214.57,206.28,214.93,206.30,213.74,201.69,185.04,207.44,199.29,210.31
