dates,satname,nzd0150-0000,nzd0150-0001,nzd0150-0006,nzd0150-0007,nzd0150-0008,nzd0150-0011,nzd0150-0012,nzd0150-0013,nzd0150-0014,nzd0150-0015,nzd0150-0016,nzd0150-0017,nzd0150-0018,nzd0150-0019,nzd0150-0020,nzd0150-0021,nzd0150-0022,nzd0150-0023,nzd0150-0024,nzd0150-0025,nzd0150-0026,nzd0150-0027,nzd0150-0002,nzd0150-0003,nzd0150-0004,nzd0150-0005,nzd0150-0009,nzd0150-0010
1999-10-22 21:58:28.758000,L7,,,173.44,268.83,261.63,287.38,289.74,286.18,287.52,284.71,274.22,268.73,274.66,273.97,253.91,257.34,247.36,283.39,276.85,268.23,286.71,297.41,,,,309.79,,
2000-02-27 21:58:16.566000,L7,457.11,282.77,373.97,381.97,287.04,332.46,341.54,342.38,347.91,347.97,343.24,282.63,350.54,357.90,345.11,291.21,351.62,325.00,315.62,310.52,320.86,330.73,,,,,,
2000-03-14 21:58:11.336000,L7,275.22,272.58,286.46,199.75,,215.35,282.39,281.25,289.28,286.26,278.75,271.57,274.06,200.81,195.61,259.77,249.98,238.56,273.15,269.26,279.07,237.24,274.38,284.11,274.63,308.76,,
2000-03-30 21:58:09.573000,L7,191.83,216.22,246.49,199.00,,,,,262.82,243.25,246.05,253.27,,,,,,,,219.45,263.64,236.06,158.00,232.14,268.92,260.90,,
2000-09-06 21:56:22.949000,L7,240.99,272.47,301.54,266.41,,293.55,293.46,289.34,300.76,247.87,292.79,275.98,281.24,276.17,248.92,262.45,250.73,288.76,275.84,274.21,300.64,307.82,,,296.08,315.77,,
2001-01-12 21:56:06.772000,L7,,,289.79,244.56,,285.33,284.82,213.00,286.02,286.52,275.01,269.66,275.76,274.90,225.07,176.48,182.95,204.10,271.02,268.97,275.88,253.11,,,274.50,299.28,,
2001-06-05 21:55:16.607000,L7,,,295.07,264.19,,289.21,283.91,288.02,292.90,222.35,226.24,,275.45,274.34,253.43,203.76,252.27,240.64,268.33,274.38,279.37,242.71,278.54,282.52,263.02,266.78,,
2001-06-05 21:55:40.577000,L7,,,,,,295.13,291.60,296.41,298.30,302.37,293.34,264.88,279.68,225.22,221.16,211.07,217.14,196.55,279.69,277.58,290.34,314.33,,,,,,261.82
2001-09-09 21:54:12.928000,L7,276.00,274.18,317.07,308.19,296.83,293.44,292.19,294.72,292.92,291.25,288.74,275.57,278.08,199.64,192.16,195.06,250.19,282.23,274.91,268.60,303.26,324.07,272.87,284.19,289.90,313.96,290.18,292.64
2001-09-25 21:54:04.740000,L7,313.53,313.18,336.38,348.93,344.15,305.29,356.65,371.78,363.55,356.59,479.69,415.09,408.16,402.42,402.26,446.53,435.54,354.46,327.65,282.58,335.43,353.32,310.86,363.09,392.39,425.73,345.53,300.98
2001-10-11 21:53:46.024000,L7,244.41,247.92,217.50,203.52,200.01,225.25,196.35,188.18,304.07,287.96,282.24,280.81,285.55,276.00,255.41,265.31,248.93,287.76,280.15,274.31,291.54,315.88,246.63,255.46,249.09,216.06,211.74,226.78
2001-10-11 21:54:09.862000,L7,,,,,,293.35,291.92,295.46,302.47,285.26,276.52,272.56,281.58,270.26,249.19,265.00,248.12,285.50,276.61,271.10,286.61,312.83,,,,,,
2001-12-30 21:54:13.275000,L7,,,,,,290.19,286.19,285.54,293.50,288.96,283.09,266.10,277.56,205.38,247.37,256.60,251.84,260.72,278.94,270.18,281.81,299.52,,,,,227.60,277.13
2002-01-15 21:54:23.534000,L7,516.23,459.30,314.58,315.83,299.90,303.93,296.96,300.47,307.37,303.63,297.08,286.08,290.04,286.68,257.36,282.82,257.30,293.25,285.63,280.91,295.69,259.92,222.82,218.54,202.87,317.38,298.40,295.14
2002-01-31 21:54:26.647000,L7,229.10,236.12,205.86,167.25,157.11,227.39,290.40,294.27,293.89,286.83,285.53,240.63,236.33,202.30,203.94,263.17,250.17,286.96,279.40,271.56,277.90,311.90,240.85,246.32,241.47,231.25,,
2002-01-31 21:54:50.570000,L7,,,,,,207.33,290.70,299.07,300.02,288.79,294.68,269.63,286.72,204.57,208.11,268.18,253.16,292.83,283.65,279.51,287.02,325.77,,,,,,286.09
2002-03-20 21:54:24.081000,L7,,,,,,,,,,191.10,257.40,255.73,248.17,265.63,247.83,210.50,171.08,230.98,238.60,265.80,272.25,290.77,,,,,,
2002-03-20 21:54:48.224000,L7,,,,,,,,,294.08,289.62,285.69,279.02,279.67,275.08,263.26,279.65,254.93,288.40,276.08,271.63,282.93,299.51,,,,,,
2002-04-05 21:54:25.270000,L7,283.84,285.73,,,,192.89,295.70,175.97,302.39,302.05,292.42,280.44,286.87,285.60,265.83,262.45,257.68,291.27,282.74,276.81,289.49,310.17,287.37,294.00,301.95,311.63,,251.93
2002-05-23 21:54:18.991000,L7,,,,,,250.53,217.61,273.51,182.91,236.88,229.46,181.32,283.44,275.03,253.16,255.68,254.58,247.66,258.81,278.81,298.61,317.14,,,,,,
2002-08-27 21:53:36.267000,L7,224.11,244.61,219.17,214.27,199.44,216.75,197.61,195.57,253.97,261.93,237.60,280.58,275.02,197.60,192.37,265.65,255.88,265.96,268.60,277.90,270.16,316.82,236.13,246.11,250.26,238.08,224.13,238.78
2002-08-27 21:54:00.253000,L7,,,,,297.25,277.39,279.25,279.03,283.55,282.51,280.65,270.09,268.53,253.76,250.77,277.20,252.66,281.11,271.95,273.14,328.98,341.37,,,,,288.74,281.00
2002-09-12 21:53:31.762000,L7,278.63,273.38,306.98,284.94,294.15,294.69,292.95,183.10,294.18,298.24,291.15,278.09,286.11,285.03,265.01,259.53,257.35,290.27,280.15,275.42,277.82,312.13,,,291.19,315.48,292.25,292.10
2002-10-14 21:53:19.813000,L7,,268.01,303.12,273.78,,292.63,291.49,228.92,291.16,286.28,289.72,279.12,284.50,197.89,249.34,261.61,253.53,283.80,273.53,272.33,285.10,299.78,241.81,278.70,282.22,315.22,,
2002-10-14 21:53:43.769000,L7,,,,,,,294.44,296.14,296.09,294.37,298.56,282.56,284.83,198.75,256.33,268.58,256.01,285.94,277.01,275.42,292.24,309.65,,,,,,
2002-10-30 21:53:25.867000,L7,274.52,268.08,302.35,267.04,263.44,,,,,,,,,204.09,198.60,255.83,248.73,280.14,272.83,268.94,281.34,301.06,276.78,281.21,295.16,309.46,,
