dates,satname,nzd0056-0000,nzd0056-0001,nzd0056-0002,nzd0056-0003,nzd0056-0004,nzd0056-0005
1999-07-25 22:04:15.362000,L7,289.84,249.66,267.78,240.61,180.69,262.57
1999-09-27 22:04:25.056000,L7,346.36,324.90,269.60,232.57,175.86,260.78
1999-11-14 22:04:18.343000,L7,374.72,357.34,353.78,357.08,209.38,257.81
2000-01-01 22:04:13.486000,L7,371.83,249.41,,,,255.50
2000-01-17 22:04:11.868000,L7,417.24,446.24,443.77,,224.86,249.71
2000-05-24 22:03:22.722000,L7,372.20,360.96,362.56,360.18,223.43,261.51
2000-08-12 22:02:30.151000,L7,345.94,242.64,258.07,231.92,,
2000-09-13 22:02:02.316000,L7,378.82,431.28,443.82,417.31,349.13,248.02
2001-02-04 22:01:50.443000,L7,354.59,295.51,268.80,285.01,235.57,249.20
2001-03-08 22:01:45.126000,L7,416.83,415.12,391.84,413.84,350.46,318.05
2001-03-24 22:01:35.778000,L7,368.57,244.20,,,179.75,246.60
2001-08-15 22:00:14.727000,L7,362.64,247.97,,,,198.34
2001-10-02 21:59:40.713000,L7,284.69,,,,,
2001-11-19 21:59:56.393000,L7,334.69,268.19,274.64,238.91,,249.39
2001-12-21 22:00:05.972000,L7,401.98,341.88,,,175.57,209.94
2002-01-22 22:00:16.971000,L7,366.44,343.51,341.96,350.99,253.84,250.74
2002-02-23 22:00:19.685000,L7,351.66,238.40,,,,
2002-03-27 22:00:13.634000,L7,328.89,222.82,,,,
2002-04-28 22:00:14.417000,L7,229.41,236.87,,,,
2002-07-17 21:59:44.793000,L7,361.07,243.53,,,,
2002-08-18 21:59:33.737000,L7,362.24,244.39,,,,199.47
2002-09-19 21:59:11.129000,L7,335.55,242.11,,,,
2003-03-30 22:00:07.079000,L7,276.66,251.32,271.30,,,
2003-07-28 21:48:04.987000,L5,390.73,325.08,334.71,344.54,330.57,310.37
2003-08-29 21:48:38.429000,L5,309.41,261.12,270.29,,,
2004-06-12 21:52:47.645000,L5,367.85,300.22,304.85,285.06,,
2004-07-30 21:54:04.170000,L5,369.93,301.64,307.85,297.40,,
2004-09-16 21:55:17.605000,L5,315.31,265.40,273.16,220.91,,
2004-11-19 21:56:31.297000,L5,368.99,303.33,310.03,297.37,270.69,
2005-02-23 21:58:07.648000,L5,351.93,298.84,304.49,285.59,,
2005-03-11 21:58:20.185000,L5,375.93,327.67,333.17,339.44,329.50,302.34
2005-03-27 21:58:27.646000,L5,363.83,292.71,288.86,277.38,,
2005-04-12 21:58:31.220000,L5,328.03,257.04,235.28,,,
2005-05-30 21:58:51.383000,L5,366.46,300.54,305.82,290.10,,
2005-07-17 21:59:11.604000,L5,357.95,300.71,304.65,289.19,,
2005-09-19 21:59:32.955000,L5,305.03,261.47,270.03,230.12,,
2005-11-22 21:59:59.141000,L5,311.85,266.95,262.79,,,
2006-02-10 22:01:51.332000,L5,359.39,301.07,307.33,289.81,,
2006-02-26 22:02:11.573000,L5,363.89,303.95,309.10,293.46,,
2006-03-14 22:02:31.280000,L5,372.28,325.07,323.08,326.56,320.37,296.98
2006-05-17 22:03:33.996000,L5,390.74,330.05,337.76,340.15,326.25,285.12
2006-08-21 22:04:55.513000,L5,379.16,316.57,309.60,292.21,237.97,235.80
2006-10-24 22:05:38.832000,L5,356.56,292.55,301.00,287.27,,
2006-11-25 22:06:19.953000,L5,279.85,273.26,279.51,,219.91,255.03
2006-12-11 22:06:28.205000,L5,224.59,221.20,234.97,,242.06,329.11
2007-02-13 22:06:23.395000,L5,354.30,295.57,302.76,283.04,,
2007-09-16 22:10:40.887000,L5,367.28,288.95,291.73,275.28,,
2009-02-02 21:56:58.438000,L5,356.07,299.83,309.64,,,
2010-02-05 22:02:17.935000,L5,329.73,280.68,275.53,250.57,,
2010-10-03 22:01:28.836000,L5,356.56,296.27,299.22,292.09,271.20,
2011-08-19 22:00:12.535000,L5,382.38,305.58,303.78,300.37,286.85,
2011-09-04 22:00:03.630000,L5,367.26,297.12,299.30,291.29,243.30,
2013-04-25 22:19:21.025000,L8,327.28,286.11,287.68,286.44,217.05,239.40
2013-05-20 22:13:26.604000,L8,347.73,289.15,296.85,290.79,181.61,247.04
2013-06-05 22:13:27.306000,L8,350.72,289.27,293.34,287.36,186.21,242.68
2013-09-09 22:13:25.749000,L8,364.35,290.83,293.62,290.02,,
2013-09-09 22:13:49.699000,L8,368.31,298.35,338.01,298.57,,
2013-09-25 22:13:17.289000,L8,320.10,277.63,287.44,200.56,,
2013-09-25 22:13:41.239000,L8,320.62,277.53,287.25,284.84,,
2013-10-11 22:13:17.650000,L8,349.15,287.05,292.46,291.07,,
2013-10-11 22:13:41.596000,L8,366.90,323.42,338.47,334.84,321.46,279.71
2013-10-27 22:13:07.896000,L8,296.66,263.19,277.70,266.72,,
2013-10-27 22:13:31.854000,L8,296.06,261.60,277.56,266.22,,
2013-11-03 22:19:20.378000,L8,305.03,284.47,287.68,287.70,,
2013-12-14 22:12:57.636000,L8,334.10,286.69,296.62,284.73,184.04,223.51
2013-12-14 22:13:21.591000,L8,307.05,272.13,279.42,261.92,,
2014-01-15 22:12:33.689000,L8,339.79,286.96,298.59,288.08,,
2014-01-31 22:12:28.855000,L8,329.42,298.30,303.26,298.88,191.99,249.24
2014-01-31 22:12:52.806000,L8,330.79,299.32,303.81,299.09,191.28,249.23
2014-02-07 22:18:33.391000,L8,292.99,271.33,249.19,,,
2014-02-23 22:18:20.398000,L8,309.75,282.69,285.22,284.01,185.85,235.03
2014-03-04 22:11:59.077000,L8,350.07,284.21,289.10,280.86,192.94,225.82
2014-03-27 22:17:50.001000,L8,310.11,282.32,284.62,284.50,186.45,224.18
2014-04-05 22:11:34.747000,L8,330.80,294.68,298.45,280.01,,
2014-04-05 22:11:58.702000,L8,331.22,295.27,299.07,279.82,,
2014-04-12 22:17:37.464000,L8,329.40,283.65,283.48,282.66,188.25,226.35
2014-04-21 22:11:18.224000,L8,299.68,270.67,278.50,254.34,,
2014-04-21 22:11:42.175000,L8,299.11,271.17,279.22,254.67,,
2014-04-28 22:17:22.576000,L8,313.65,282.93,282.63,282.33,184.25,217.35
2014-05-14 22:17:08.923000,L8,322.03,287.91,287.74,287.33,205.58,222.99
2014-05-23 22:11:18.694000,L8,301.12,270.65,220.17,,,
2014-07-26 22:11:19.207000,L8,360.17,292.16,292.54,286.64,,
2014-07-26 22:11:43.162000,L8,359.56,290.17,291.26,283.70,,
2014-08-11 22:11:51.972000,L8,293.81,256.41,275.09,269.70,,
2014-09-19 22:17:42.798000,L8,291.91,255.32,246.34,,,
2014-10-14 22:11:38.746000,L8,329.38,311.05,313.98,308.53,188.41,228.93
2014-10-14 22:12:02.705000,L8,330.41,311.10,313.88,308.15,188.52,228.50
2014-12-01 22:11:36.363000,L8,353.37,288.94,292.75,290.01,186.07,223.42
2014-12-01 22:12:00.318000,L8,355.57,290.01,294.97,292.23,187.32,248.14
2015-01-02 22:11:27.004000,L8,348.41,312.43,306.52,303.05,190.91,251.94
2015-01-02 22:11:50.958000,L8,348.38,309.38,304.09,297.72,189.26,251.33
2015-01-25 22:17:32.812000,L8,330.53,311.96,309.73,311.16,307.26,235.51
2015-02-19 22:11:13.759000,L8,323.59,285.02,294.40,285.31,,
2015-02-26 22:17:23.009000,L8,280.07,259.54,,,,
2015-04-24 22:10:44.446000,L8,328.22,280.54,285.52,271.38,,
2015-04-24 22:11:08.401000,L8,331.49,284.43,290.38,278.21,,
2015-05-10 22:10:28.533000,L8,338.71,288.45,290.59,283.24,,221.35
2015-05-10 22:10:52.487000,L8,338.93,288.84,290.82,285.22,,222.21
2015-06-11 22:10:40.593000,L8,373.06,307.10,311.78,304.80,296.49,331.35
2015-06-27 22:10:46.339000,L8,354.85,299.99,299.25,297.53,188.69,226.36
2015-06-27 22:11:10.298000,L8,353.44,296.38,297.43,294.81,187.08,225.56
2015-07-29 22:11:01.897000,L8,351.45,288.65,292.86,291.24,,
2015-07-29 22:11:25.856000,L8,352.35,289.62,293.73,292.18,,
2015-08-14 22:11:07.472000,L8,338.12,310.40,312.04,297.58,178.53,225.19
2015-08-14 22:11:31.426000,L8,337.26,306.30,300.03,296.65,,
