dates,satname,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0034,nzd0434-0035,nzd0434-0036,nzd0434-0018,nzd0434-0026,nzd0434-0027,nzd0434-0028,nzd0434-0033
2013-05-11 22:21:55.010000,L8,,237.38,241.83,242.62,257.29,245.01,228.53,236.20,232.78,208.71,236.42,227.16,217.17,212.79,204.05,196.21,182.55,,,,,,,,,,,,,,153.41,340.70,,,,,
2013-05-27 22:22:02.838000,L8,369.91,365.00,387.28,364.23,399.64,413.35,405.05,390.56,392.23,389.42,392.61,345.78,214.33,206.20,201.34,193.45,185.74,311.68,341.33,317.54,321.25,366.16,349.28,342.94,345.05,313.70,327.40,309.64,324.26,328.71,340.94,350.20,,,,,
2013-06-28 22:21:56.988000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.63,,,,,
2013-07-14 22:21:58.456000,L8,367.48,236.61,242.55,241.44,252.34,245.37,226.85,235.77,231.39,175.08,229.70,231.96,206.55,370.28,397.39,376.71,383.18,360.91,367.43,375.32,381.76,,,,364.27,333.17,297.01,312.81,330.29,335.99,349.33,353.82,378.75,341.32,328.96,342.66,326.62
2013-09-16 22:21:57.385000,L8,,352.34,359.37,370.28,387.08,393.41,227.75,249.76,235.81,229.71,229.68,233.06,284.42,286.97,284.98,278.82,187.49,,369.01,369.39,347.47,,,,,,,,,,,,366.41,,,,
2013-09-23 22:28:04.083000,L8,359.85,,234.95,239.76,250.84,406.11,400.14,398.50,373.96,224.54,219.07,225.84,211.63,352.82,372.78,379.44,373.35,356.52,371.67,374.26,373.36,,,,,,,,,,159.84,318.08,,,,,
2013-10-18 22:21:49.490000,L8,,,,,,,,,,,187.49,205.97,195.21,196.77,189.89,179.97,169.10,,,,,,,,,,,,,,,290.11,,,,,
2013-12-21 22:21:27.090000,L8,351.89,330.10,369.48,380.26,257.90,392.80,388.24,391.09,387.60,381.76,399.40,385.77,212.28,209.85,202.39,194.92,190.47,376.62,377.14,381.95,387.36,365.15,365.84,362.52,356.10,,,,,377.79,380.89,388.79,381.02,341.66,362.68,348.22,
2014-02-07 22:20:57.101000,L8,221.75,236.40,245.77,263.07,261.59,259.01,243.35,255.14,239.83,240.56,230.76,228.42,216.63,211.49,202.73,194.11,188.45,,,,,,,,,,,,,,160.85,316.55,,,,,
2014-03-02 22:26:45.220000,L8,328.27,337.48,356.14,363.56,361.33,367.54,368.00,370.75,376.72,348.67,380.16,360.36,366.30,370.68,374.36,369.25,358.45,352.67,351.43,350.17,359.90,360.25,360.44,341.18,344.88,349.01,304.07,343.05,342.07,,160.39,333.63,347.47,344.42,347.76,348.47,339.60
2014-05-14 22:19:32.642000,L8,338.40,181.35,188.44,179.51,181.81,173.68,170.38,262.75,250.16,243.33,245.45,227.83,215.06,212.72,206.50,196.77,191.70,350.58,344.00,359.82,351.73,355.59,354.44,349.12,336.59,318.54,,,,,155.23,354.87,319.67,325.93,315.69,323.43,
2014-05-30 22:19:34.937000,L8,266.04,184.72,209.01,181.04,183.83,175.59,172.69,244.40,243.92,232.23,212.62,224.37,198.02,205.58,199.05,193.29,186.50,,,,,,,,,,,,,,,,,,,,
2014-07-01 22:19:46.174000,L8,371.01,240.16,247.26,246.69,288.23,288.12,242.44,260.39,254.10,247.33,257.60,228.08,210.38,209.76,201.94,194.38,187.32,346.53,329.72,344.30,349.39,,,,,343.40,300.40,307.00,330.96,,,359.57,339.85,345.69,340.28,357.57,341.92
2014-07-17 22:19:52.017000,L8,364.34,372.35,373.16,395.22,373.08,383.63,384.98,397.85,366.04,378.70,253.97,226.17,212.73,211.51,203.70,196.89,193.33,354.23,391.64,411.92,420.73,427.03,411.17,400.25,,,,,,,,358.93,363.35,,,,
2014-09-03 22:20:06.649000,L8,225.78,185.68,187.56,178.90,183.18,182.91,171.70,173.47,246.45,251.20,371.54,379.90,374.10,348.83,369.58,192.99,190.69,,,,,,,,,,,,,,362.95,374.20,,,,,
2014-09-19 22:20:06.551000,L8,327.81,179.48,181.92,173.21,176.61,181.31,170.03,172.90,347.34,360.69,361.81,361.67,372.25,346.66,345.91,351.32,363.68,358.32,376.17,368.82,359.35,358.97,330.63,351.39,356.67,343.87,320.13,346.31,327.56,,359.92,373.46,361.08,360.29,343.61,344.94,326.29
2014-10-21 22:20:13.482000,L8,324.30,328.65,338.26,336.59,351.84,298.32,355.22,353.36,352.17,350.95,363.58,367.12,365.72,363.84,365.20,338.23,325.24,371.03,364.62,364.93,366.45,367.82,355.71,345.40,350.61,341.96,333.32,336.45,353.04,356.52,357.28,348.23,373.88,344.82,342.57,341.95,
2014-11-06 22:20:13.200000,L8,,233.06,241.89,186.76,250.93,266.31,239.57,250.14,237.82,250.30,260.30,243.07,252.67,258.20,268.63,194.50,188.36,,,,,,,,,,,,,,162.20,317.02,,,,,
2014-12-24 22:20:05.791000,L8,224.33,232.64,243.07,250.82,258.66,259.49,237.34,254.61,249.02,252.30,260.75,253.80,247.99,223.70,267.23,196.73,192.73,,,,,,,,,,,,,,168.63,313.49,,,,,
2014-12-31 22:26:11.523000,L8,320.37,314.36,314.19,327.24,317.07,315.43,348.39,352.50,346.48,351.45,354.75,342.05,349.49,327.80,362.76,194.99,186.66,367.53,380.28,378.47,,,,,,329.22,322.64,328.01,331.08,363.68,365.65,358.45,388.44,,,318.57,355.83
2015-01-16 22:26:11.235000,L8,,,,,,,,,,173.40,185.58,209.75,192.11,183.68,185.78,166.00,,,,,,,,,,,,,,,,,,,,,
2015-02-10 22:19:50.748000,L8,314.54,318.46,327.97,345.45,361.92,370.71,371.59,364.70,365.86,361.77,360.07,363.76,364.46,360.11,372.60,257.69,192.99,374.51,383.79,393.35,391.31,400.33,400.35,407.49,421.61,,348.72,354.31,358.78,371.63,388.98,374.77,392.38,418.17,,,363.55
2015-02-17 22:25:59.091000,L8,223.52,232.16,241.80,246.03,256.13,251.88,242.96,256.68,244.98,252.28,259.99,228.71,220.84,246.55,242.06,191.61,189.16,,,,,,,,,,,,,,158.99,319.59,,,,,
2015-02-26 22:19:46.745000,L8,,233.69,244.69,249.96,258.35,258.09,237.91,255.07,246.47,251.78,340.49,334.35,359.60,248.81,239.26,193.79,191.84,,,,,,,,,,,,,363.51,371.61,377.63,,390.76,397.55,402.18,334.22
2015-04-15 22:19:22.587000,L8,,234.08,243.00,244.31,184.24,250.99,239.69,256.62,242.75,247.43,256.72,231.18,214.64,223.93,205.53,196.07,191.15,,,,,,,,,,,,,362.07,360.51,364.67,,,,,353.83
2015-05-24 22:25:14.229000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.39,,,,,
2015-07-11 22:25:41.633000,L8,260.84,193.55,214.25,182.96,182.83,181.35,172.36,173.27,252.30,252.06,264.76,263.32,220.13,231.62,206.35,197.22,189.21,358.98,371.75,378.53,,,,,,,,,,,,,371.22,,,,
