dates,satname,nzd0206-0000,nzd0206-0001,nzd0206-0002,nzd0206-0003,nzd0206-0004,nzd0206-0005,nzd0206-0006,nzd0206-0007,nzd0206-0008,nzd0206-0009,nzd0206-0010,nzd0206-0011,nzd0206-0012,nzd0206-0013,nzd0206-0014,nzd0206-0015,nzd0206-0016,nzd0206-0017,nzd0206-0018,nzd0206-0019,nzd0206-0020,nzd0206-0021,nzd0206-0022,nzd0206-0023,nzd0206-0024,nzd0206-0025,nzd0206-0026,nzd0206-0027,nzd0206-0028,nzd0206-0029,nzd0206-0030,nzd0206-0031,nzd0206-0032,nzd0206-0033,nzd0206-0034,nzd0206-0035,nzd0206-0036,nzd0206-0037,nzd0206-0038,nzd0206-0039,nzd0206-0040,nzd0206-0041,nzd0206-0042
1999-12-25 21:58:52.197000,L7,318.92,318.03,321.21,317.92,326.54,318.19,313.31,311.32,306.33,301.12,303.95,295.11,297.03,301.17,310.80,311.93,298.06,289.95,301.93,310.71,308.10,305.58,296.94,271.94,188.03,205.74,190.70,199.33,231.82,264.20,270.51,284.62,292.42,291.81,526.38,525.89,447.58,381.20,524.30,398.25,532.35,512.56,551.01
2000-02-18 22:04:53.186000,L7,394.00,380.74,374.11,382.79,379.67,360.99,354.34,353.37,340.59,319.13,322.17,289.06,315.45,315.62,325.50,307.97,283.71,287.68,290.94,290.51,284.59,273.64,256.64,224.00,188.16,,,,,192.98,183.32,303.09,281.75,281.95,284.75,280.15,272.28,270.28,257.69,248.07,244.56,258.80,287.18
2000-03-14 21:58:35.291000,L7,292.26,286.97,275.45,217.16,290.82,275.91,216.65,179.70,205.47,235.67,267.95,264.42,273.22,284.12,288.49,272.94,264.41,264.11,279.40,299.78,293.96,265.90,285.93,256.54,233.13,191.80,189.43,184.42,216.50,244.90,249.09,272.26,345.73,,,,,,,,,,
2000-03-30 21:58:33.541000,L7,278.82,280.46,198.80,214.67,224.81,279.76,250.49,257.28,211.62,256.95,237.61,236.05,224.23,271.29,294.13,269.70,270.06,271.35,281.60,297.70,290.34,255.77,289.05,263.05,241.73,199.18,189.90,186.48,211.93,243.22,238.56,265.15,218.27,241.64,245.23,249.07,273.11,308.02,328.27,308.70,344.64,337.28,335.60
2000-05-24 22:04:10.630000,L7,217.33,220.92,243.26,202.01,191.87,276.62,253.79,231.30,239.61,252.89,232.91,212.75,230.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-04 21:57:38.483000,L7,,,,,,224.74,228.21,196.73,207.15,220.55,221.96,210.41,215.55,233.19,240.19,248.04,236.65,242.39,199.17,277.49,270.59,238.24,278.07,257.41,249.97,197.86,186.76,,,,,,,206.36,238.98,254.74,271.25,284.89,295.55,326.67,343.58,208.73,329.26
2000-07-11 22:03:41.691000,L7,348.83,259.46,290.01,286.02,535.83,487.67,439.13,468.40,474.42,427.83,491.55,485.32,266.11,495.45,464.27,444.46,460.82,542.35,522.83,452.96,465.84,480.52,501.68,482.12,230.52,176.96,479.72,504.47,501.47,499.33,464.28,,,,420.61,391.13,416.41,423.42,420.87,331.79,238.80,219.91,265.37
2000-08-05 21:57:08.715000,L7,,,199.47,208.97,221.32,229.77,236.81,207.28,212.40,240.57,232.40,232.61,214.26,239.47,242.79,252.08,259.65,274.02,283.97,300.25,292.88,248.10,286.68,265.49,257.53,200.13,194.56,171.53,211.31,217.20,227.72,,,229.47,249.70,260.76,273.81,293.31,311.71,329.45,343.70,254.99,337.32
2000-08-12 22:03:18.130000,L7,510.98,474.68,445.55,548.38,531.45,298.02,288.16,253.12,289.21,285.73,257.33,255.52,247.12,298.45,298.07,281.31,272.73,279.37,279.82,467.40,505.70,454.95,454.01,394.11,389.30,393.31,349.23,331.00,405.43,357.18,366.47,370.50,338.08,305.27,331.55,324.53,315.38,345.32,260.42,242.39,259.97,211.83,255.13
2000-09-13 22:02:50.153000,L7,225.08,257.51,291.60,287.88,304.82,298.00,331.21,249.19,290.11,280.92,261.74,261.22,241.22,339.10,343.38,289.42,270.24,275.38,279.53,279.97,271.28,262.31,239.72,216.99,186.91,,,,386.83,370.76,373.03,339.92,,,,,,184.58,223.93,209.77,221.68,208.00,247.18
2000-10-15 22:02:20.178000,L7,409.98,386.87,372.65,412.43,404.04,366.12,358.25,351.07,342.17,328.39,322.57,309.18,311.66,361.35,360.39,316.30,295.43,286.37,337.23,333.96,335.02,333.56,252.95,229.77,198.35,,,,174.64,193.13,194.56,294.67,279.75,272.19,486.14,347.72,258.01,260.55,250.56,247.64,246.29,269.83,293.08
2000-11-09 21:56:21.390000,L7,333.52,324.04,329.93,330.12,333.83,323.01,321.77,319.19,317.47,312.25,313.78,304.20,310.75,316.90,327.55,323.67,312.53,305.19,319.49,310.34,312.06,310.54,518.41,,,,,,,,,,390.49,415.64,359.65,237.14,378.23,490.97,322.07,334.21,,,
