dates,satname,nzd0316-0000,nzd0316-0001,nzd0316-0002,nzd0316-0003,nzd0316-0004,nzd0316-0006,nzd0316-0007,nzd0316-0008,nzd0316-0009,nzd0316-0010,nzd0316-0011,nzd0316-0012,nzd0316-0014,nzd0316-0015,nzd0316-0016,nzd0316-0017,nzd0316-0018,nzd0316-0019,nzd0316-0020,nzd0316-0021,nzd0316-0022,nzd0316-0023,nzd0316-0024,nzd0316-0025,nzd0316-0026,nzd0316-0028,nzd0316-0029,nzd0316-0030,nzd0316-0031,nzd0316-0032,nzd0316-0033,nzd0316-0034,nzd0316-0035,nzd0316-0036,nzd0316-0037,nzd0316-0038,nzd0316-0039,nzd0316-0041,nzd0316-0042,nzd0316-0043,nzd0316-0044,nzd0316-0045,nzd0316-0046,nzd0316-0005,nzd0316-0013,nzd0316-0027,nzd0316-0040
1999-08-26 22:05:56.841000,L7,278.84,261.39,258.87,253.37,256.58,215.36,255.22,250.31,242.70,226.83,248.43,249.16,247.74,233.49,247.21,260.09,190.74,256.87,249.09,235.44,248.48,255.18,240.17,239.42,235.12,272.17,280.36,290.05,290.84,290.24,287.86,287.68,283.56,287.42,273.75,309.13,227.72,225.83,242.50,214.15,287.15,281.48,290.07,,,,
1999-09-27 22:06:00.877000,L7,273.63,264.43,253.04,254.03,249.60,245.35,253.55,255.92,242.68,232.94,264.37,251.43,252.19,231.77,253.99,264.99,280.63,272.05,307.94,316.86,268.50,268.15,242.72,283.45,284.70,275.95,,,,256.89,286.12,288.83,297.06,301.38,296.75,309.23,271.00,266.34,284.91,274.15,279.32,280.82,286.73,252.67,212.68,292.87,284.35
1999-11-30 22:05:47.159000,L7,252.59,254.42,249.05,248.34,247.47,240.75,245.41,215.24,244.36,229.55,204.26,251.12,241.52,207.59,243.69,,,177.91,243.43,209.64,200.52,229.43,,,,,,,,,,,242.72,252.63,247.92,248.29,240.61,,,,,,,247.87,228.50,,184.86
1999-12-16 22:05:57.846000,L7,281.24,266.88,259.12,257.24,256.08,269.41,268.62,271.68,275.99,272.39,282.02,268.41,285.40,269.98,287.41,290.40,289.52,276.14,270.01,292.41,273.11,272.61,249.48,263.41,266.77,265.00,267.67,240.09,273.78,281.20,288.75,268.64,280.23,285.22,279.79,280.42,267.61,266.49,269.39,262.99,282.00,284.71,283.06,264.18,267.89,262.24,215.78
2000-03-05 22:05:36.285000,L7,427.61,511.66,458.67,467.08,475.93,483.44,463.50,310.20,308.22,320.90,349.50,386.21,342.34,360.21,366.06,298.86,357.19,405.90,414.13,328.23,307.98,309.74,307.44,298.35,307.78,317.68,286.15,270.59,288.16,287.60,304.68,443.02,458.69,404.28,458.22,296.91,301.94,281.54,286.16,384.02,387.41,417.96,304.71,481.61,403.74,307.58,287.73
2000-03-21 22:05:37.143000,L7,268.92,255.41,252.44,251.33,248.23,205.95,244.81,243.25,242.24,229.29,250.34,248.05,,,,,,211.95,257.50,230.50,257.01,251.30,242.68,237.17,225.05,182.04,188.14,,,,,,239.29,258.83,246.03,242.73,240.69,,,245.74,277.96,251.53,235.05,242.04,224.83,203.96,
2000-05-08 22:05:09.063000,L7,256.38,258.82,248.29,251.50,253.23,252.21,254.91,250.15,253.60,212.04,216.17,246.14,,199.47,249.14,,,216.52,241.21,227.09,253.89,215.70,,,,,,,,450.78,243.77,225.11,241.21,224.52,253.28,233.52,,,,397.96,399.12,411.39,421.57,253.57,219.20,,
2000-09-13 22:03:38.044000,L7,247.42,228.00,240.91,245.54,251.10,276.61,481.40,200.17,218.12,218.26,214.74,245.51,,,,,,,,,,,,,,,,,,,,,,,,,,264.64,260.12,262.09,257.72,179.31,,270.18,198.87,,
2000-10-31 22:03:22.696000,L7,270.06,257.93,251.51,246.56,248.34,221.28,243.19,248.71,244.79,232.27,252.35,251.96,245.32,226.74,244.20,255.63,204.03,255.64,248.82,223.77,255.82,251.54,237.52,232.18,205.99,,,,,,,,235.62,249.48,248.60,243.74,234.96,,,,,,,225.15,206.77,,
2001-01-03 22:03:24.303000,L7,282.72,269.55,261.47,329.39,333.65,337.29,265.24,266.32,267.28,260.11,276.30,270.55,278.98,271.18,280.06,279.97,277.05,273.07,270.82,286.43,274.00,273.19,249.12,264.07,261.94,270.64,314.77,240.99,173.96,401.23,460.38,456.85,327.35,328.13,324.04,330.54,334.90,276.65,330.46,309.88,311.74,305.78,317.87,384.05,271.13,263.00,308.84
