dates,satname,nzd0272-0000,nzd0272-0001,nzd0272-0004,nzd0272-0005,nzd0272-0006,nzd0272-0007,nzd0272-0008,nzd0272-0009,nzd0272-0010,nzd0272-0012,nzd0272-0013,nzd0272-0014,nzd0272-0015,nzd0272-0016,nzd0272-0017,nzd0272-0018,nzd0272-0011,nzd0272-0002,nzd0272-0003
1999-12-09 21:59:21.619000,L7,,,,,,,,,,,226.56,198.24,235.80,201.65,,,,,
1999-12-25 21:59:16.152000,L7,280.34,295.70,172.68,259.63,265.15,232.04,275.02,176.28,281.93,256.48,248.47,226.40,262.59,229.29,266.14,249.65,,,
2000-01-10 21:59:16.407000,L7,244.88,290.64,178.72,259.31,261.20,225.37,274.79,171.94,267.56,281.28,274.93,278.71,267.34,248.93,260.73,244.03,284.78,,
2000-01-26 21:59:14.283000,L7,183.21,194.93,,224.31,245.02,230.35,221.62,183.60,237.65,266.85,255.94,258.51,245.96,221.04,240.13,199.02,265.63,,
2000-03-30 21:58:57.484000,L7,,,,,,,,177.99,267.15,273.65,256.75,212.58,254.76,234.95,265.44,,258.38,,
2000-07-04 21:58:02.420000,L7,,,,,,,,195.28,254.77,257.40,258.26,268.45,251.97,245.95,255.45,,238.99,,
2000-09-22 21:56:53.357000,L7,439.94,448.47,,267.09,416.92,405.16,416.98,189.53,286.52,407.58,419.04,427.08,434.68,235.11,256.04,,397.67,430.71,
2000-11-09 21:56:45.337000,L7,391.87,386.78,334.45,341.51,347.00,341.00,340.40,344.76,334.73,353.84,370.70,371.77,375.15,376.01,374.21,432.11,352.42,379.31,341.82
2000-11-25 21:56:47.006000,L7,,,,291.60,279.68,226.03,261.81,,306.40,306.82,312.73,320.77,309.53,224.25,254.22,,316.02,,
2001-03-17 21:56:40.512000,L7,,,,,248.38,220.28,230.58,,,223.06,252.83,251.26,246.69,244.65,251.56,230.63,,,
2001-09-09 21:55:00.813000,L7,330.05,326.50,297.83,303.67,296.00,293.39,298.62,306.46,313.19,328.41,306.71,313.45,298.26,300.61,299.20,302.28,317.93,309.49,315.62
2001-09-25 21:54:52.649000,L7,,,,260.04,259.77,248.87,264.31,181.98,,,,,,,,,,,
2001-10-11 21:54:33.822000,L7,441.03,434.40,195.76,280.76,446.07,408.31,451.46,273.99,266.03,281.08,285.28,290.39,270.54,272.03,287.85,280.08,286.34,439.71,422.26
2002-02-16 21:55:18.119000,L7,419.09,373.06,396.96,396.35,373.85,392.47,379.60,366.88,356.99,358.43,372.78,372.27,377.19,359.60,364.63,336.07,355.42,371.77,367.23
2002-10-14 21:54:07.948000,L7,,,,233.29,246.04,190.73,250.00,173.20,231.34,250.26,217.54,262.56,237.78,238.75,254.09,,249.03,,
2002-12-01 21:54:40.891000,L7,350.43,349.89,290.29,376.24,362.36,289.79,293.96,282.88,278.48,284.88,279.67,352.95,357.91,353.35,340.21,315.04,309.06,330.81,321.51
2003-03-07 21:55:10.647000,L7,,,,259.51,270.04,249.64,269.73,272.54,280.90,255.75,291.40,288.48,265.87,287.78,267.90,,295.10,,
2003-04-24 21:55:10.390000,L7,,,,,,,,,,251.59,254.92,270.56,244.39,242.63,249.99,,,,
2003-07-21 21:42:57.544000,L5,317.58,325.90,296.21,290.10,287.30,270.14,263.83,288.00,290.89,305.89,296.87,309.69,300.50,284.10,279.29,272.36,309.24,314.18,311.17
2004-03-01 21:45:26.384000,L5,316.37,309.53,300.09,298.32,294.68,297.59,308.57,305.74,294.34,295.48,299.81,300.56,293.30,295.26,302.07,292.78,298.02,310.82,307.99
2004-03-17 21:45:32.199000,L5,323.29,318.10,282.76,279.95,268.83,269.86,279.13,276.57,287.12,301.53,296.26,305.54,293.39,298.68,279.05,273.88,301.79,311.91,306.23
2004-04-02 21:45:42.656000,L5,312.59,305.88,296.95,292.02,284.85,282.21,289.53,281.81,281.66,299.35,293.18,298.65,288.93,295.29,295.71,281.22,299.05,310.27,309.75
2004-04-18 21:46:13.246000,L5,329.89,324.75,307.75,296.06,302.68,287.40,310.76,320.55,304.37,304.09,303.69,325.40,319.47,309.50,294.33,310.42,325.32,322.82,316.97
