dates,satname,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0014,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0018,nzd0181-0019,nzd0181-0020,nzd0181-0021,nzd0181-0022,nzd0181-0023
1999-10-22 21:58:28.758000,L7,407.17,397.92,397.49,388.48,302.24,300.06,300.55,294.14,310.84,314.46,323.27,322.76,325.16,319.87,324.25,301.28,290.60,312.01,338.61,337.12,356.36,409.72,422.47,343.46
1999-12-09 21:58:33.708000,L7,427.73,394.36,400.95,401.79,335.89,347.76,356.52,355.73,347.74,368.59,358.77,370.30,371.41,368.12,455.82,349.05,359.74,372.21,405.81,402.33,399.10,406.17,374.19,387.99
1999-12-25 21:58:52.197000,L7,178.85,297.34,308.61,292.00,292.63,281.32,293.51,288.63,311.85,285.16,321.36,300.22,311.22,317.74,232.39,296.70,276.94,319.44,339.20,336.47,339.32,276.72,,
2000-02-27 21:58:16.566000,L7,340.58,373.11,321.10,513.62,504.47,475.24,446.84,387.78,536.08,,,,255.66,256.00,289.28,308.63,286.52,310.33,191.35,,182.62,513.91,483.67,352.39
2000-03-14 21:58:35.291000,L7,195.55,307.23,305.23,300.40,294.87,291.07,295.96,289.54,306.32,301.51,313.40,310.51,320.48,311.32,283.98,300.99,277.55,311.40,330.13,329.59,337.95,289.71,236.06,281.48
2000-03-30 21:58:33.541000,L7,192.01,304.08,309.46,302.81,293.14,293.95,296.58,283.57,302.85,302.54,317.29,303.20,319.91,309.72,290.10,295.58,276.99,308.57,334.06,330.95,338.61,291.20,294.51,291.90
2000-05-17 21:58:07.485000,L7,325.53,393.92,397.01,392.02,370.77,310.85,367.77,350.08,320.00,450.07,372.04,365.86,403.25,354.17,364.59,311.87,303.15,350.67,353.11,341.46,361.05,314.89,309.77,346.36
2000-11-09 21:56:21.390000,L7,407.94,402.66,376.23,366.83,366.51,364.49,315.09,284.24,235.45,228.67,180.69,170.76,253.17,279.65,312.92,415.18,402.70,407.43,406.81,410.32,412.35,410.09,414.48,432.93
2000-12-11 21:56:00.959000,L7,,,269.82,185.30,179.27,247.77,257.49,236.96,214.91,247.92,276.67,,,307.29,261.66,187.12,259.48,293.07,308.83,312.21,318.42,251.44,,
2001-01-12 21:56:06.772000,L7,210.11,311.10,322.85,307.02,305.21,294.82,300.91,293.74,312.28,310.18,323.83,319.91,325.72,324.40,348.67,303.68,282.28,320.88,352.49,341.54,342.72,290.37,249.70,303.15
