dates,satname,nzd0461-0000,nzd0461-0005,nzd0461-0006,nzd0461-0007,nzd0461-0008,nzd0461-0009,nzd0461-0010,nzd0461-0011,nzd0461-0001,nzd0461-0002,nzd0461-0003,nzd0461-0004
2003-12-01 22:05:04.787000,L5,,,,,,,,208.81,,,,
2004-09-30 22:10:46.090000,L5,,,,,,,,265.30,,,,
2005-10-10 22:20:47.763000,L5,,,,,,,,248.74,,,,
2013-11-10 22:28:18.375000,L8,,,,,,,198.23,354.90,,,,
2013-12-03 22:34:22.573000,L8,170.07,,,,,,,,,,,
2014-02-05 22:33:44.781000,L8,,321.94,323.11,323.15,307.58,,235.71,271.20,,,,
2014-03-02 22:27:09.178000,L8,,297.79,285.22,293.35,288.41,265.21,310.67,315.58,,,,302.02
2014-12-22 22:32:52.265000,L8,,,,,,,235.59,268.54,,,,
2014-12-31 22:26:35.482000,L8,,296.92,323.88,303.48,302.38,292.17,330.05,336.01,,,278.72,293.92
2015-02-08 22:32:38.133000,L8,,,,,,,235.91,268.54,,,,
2016-01-03 22:26:39.547000,L8,,,,,,,212.97,339.11,,,,
2016-02-20 22:26:27.762000,L8,,,,,,,,237.62,,,,
2016-10-08 22:33:02.908000,L8,185.60,328.54,326.78,324.62,303.46,308.46,290.78,312.09,,,,
2017-10-04 22:26:49.608000,L8,,,,,,,204.64,278.55,,,,
2017-10-11 22:33:02.069000,L8,,349.14,339.11,337.36,328.81,314.50,232.00,255.35,337.42,338.26,345.00,350.96
2017-10-20 22:26:52.422000,L8,,290.74,,,,165.47,244.96,283.92,,,296.12,322.82
2017-11-12 22:33:00.649000,L8,,,,,,,238.37,258.36,,,,
2018-02-25 22:26:18.105000,L8,,,,,326.99,328.63,339.20,339.12,,,,
2018-03-04 22:32:25.254000,L8,,,,,314.81,312.96,321.02,314.20,,,,
2019-01-11 22:26:25.210000,L8,,,,,,160.71,242.73,283.83,,,,
2019-02-19 22:32:28.626000,L8,326.17,315.83,311.65,266.94,302.33,,,,320.11,316.79,329.57,325.88
2019-02-28 22:26:15.313000,L8,,,,,,162.60,205.93,282.33,,,,
2019-03-07 22:32:23.651000,L8,,323.69,301.80,300.92,300.69,,293.60,321.01,,,,330.37
2020-10-19 22:33:05.297000,L8,,,,,347.83,339.51,321.50,353.27,,,,
2021-02-17 22:26:38.002000,L8,,,,,,364.91,376.76,385.58,,,,
2021-11-23 22:33:06.066000,L8,,,,,,,239.34,355.28,,,,
2022-01-27 22:26:50.891000,L9,,,,,,,243.54,289.12,,,,
2022-03-16 22:26:35.026000,L9,,,,,,,171.73,257.13,,,,
2022-03-24 22:26:23.011000,L8,,378.61,374.33,378.37,373.00,376.35,389.91,368.72,,,,
2022-10-01 22:33:06.743000,L9,,,,,,,217.41,250.29,,,,
2022-11-26 22:33:18.630000,L8,,,,,363.05,347.47,354.28,,,,,
2022-12-29 22:27:00.747000,L9,,,,,,,244.31,288.69,,,,
2023-01-13 22:33:05.294000,L8,,,372.21,367.78,365.72,367.69,365.85,,,,,
2023-10-29 22:26:45.187000,L9,,,,,,,200.81,284.77,,,,
2023-11-30 22:26:52.584000,L9,,,,,,,240.89,288.80,,,,
2024-03-21 22:26:42.391000,L9,,,,,,,173.02,259.67,,,,
2024-03-28 22:32:45.510000,L9,,361.20,346.76,344.25,341.82,330.16,350.70,358.82,,,,362.89
2024-11-16 22:26:41.588000,L9,,,,,,,369.27,384.68,,,,
2024-12-10 22:26:33.760000,L8,,359.03,383.11,376.22,379.68,381.25,385.87,401.41,,,,
2025-01-03 22:26:39.216000,L9,,367.46,368.98,356.81,353.15,365.33,368.76,385.53,,,351.53,377.30
2025-01-18 22:32:48.566000,L8,,388.97,377.42,369.01,368.64,363.03,364.89,363.00,,,382.20,396.86
2025-02-11 22:32:55.449000,L9,,,,354.13,347.95,346.57,351.79,340.89,,,,
