dates,satname,nzd0333-0000,nzd0333-0004,nzd0333-0005,nzd0333-0006,nzd0333-0007,nzd0333-0008,nzd0333-0009,nzd0333-0010,nzd0333-0011,nzd0333-0012,nzd0333-0013,nzd0333-0014,nzd0333-0015,nzd0333-0016,nzd0333-0017,nzd0333-0018,nzd0333-0019,nzd0333-0020,nzd0333-0021,nzd0333-0001,nzd0333-0002,nzd0333-0003,nzd0333-0022,nzd0333-0023,nzd0333-0024,nzd0333-0025,nzd0333-0026,nzd0333-0027
1999-11-21 22:12:00.068000,L7,,,,,,,,,,,,,260.24,248.95,183.22,251.11,249.91,249.74,248.47,,,,236.20,235.80,227.72,230.89,228.58,179.98
2000-09-20 22:09:39.085000,L7,,263.48,255.40,258.03,251.33,229.94,191.83,254.29,229.45,233.72,260.99,237.34,256.37,243.90,221.24,,,,,,,,,,,,,
2001-01-10 22:09:39.742000,L7,268.62,255.55,257.93,257.15,225.17,225.79,254.87,252.60,239.21,242.63,252.79,217.47,265.61,250.23,247.87,259.97,250.36,248.06,243.30,,,,,,,,,
2001-02-20 22:03:24.667000,L7,281.81,273.91,268.39,264.24,263.41,264.35,265.45,269.50,263.92,273.59,271.68,268.66,275.69,269.52,295.28,289.81,202.13,189.73,204.33,279.52,283.54,283.86,194.32,197.34,196.74,198.39,399.94,406.13
2001-02-20 22:03:48.640000,L7,,,255.46,244.05,246.05,249.60,252.59,254.83,248.83,241.14,263.54,251.46,267.93,247.72,260.15,262.44,210.32,197.62,213.71,,,,201.19,203.45,202.99,205.02,178.93,182.03
2001-10-02 22:01:16.521000,L7,,,,223.22,223.97,226.88,235.63,238.25,247.67,240.01,262.73,234.57,266.58,253.41,261.32,253.84,208.65,195.23,213.32,,,,200.66,205.15,201.78,201.73,229.13,180.44
2001-10-02 22:01:40.483000,L7,,,,,217.30,221.72,229.08,228.50,241.29,,,,261.65,195.68,259.25,214.40,210.80,197.79,215.53,,,,204.34,211.30,203.58,204.62,174.58,175.59
2001-11-03 22:01:22.838000,L7,,,,,,,,,,,,,254.45,241.45,211.85,,,,,,,,,,,,,
2001-11-03 22:01:46.660000,L7,255.38,,232.67,207.35,220.54,209.95,205.33,226.78,194.18,228.59,248.01,204.43,254.41,241.46,229.32,233.50,236.09,234.29,,235.99,156.29,,,,,,,
2001-12-21 22:02:05.831000,L7,262.35,,,,,,,239.23,228.05,236.49,261.06,258.11,259.35,243.46,243.40,196.75,248.31,247.91,239.12,230.56,,,233.56,230.61,230.61,227.36,221.53,173.56
