dates,satname,nzd0007-0000,nzd0007-0001,nzd0007-0002,nzd0007-0003,nzd0007-0032,nzd0007-0033,nzd0007-0034,nzd0007-0035,nzd0007-0013,nzd0007-0014,nzd0007-0015,nzd0007-0016,nzd0007-0017,nzd0007-0018,nzd0007-0019,nzd0007-0010,nzd0007-0011,nzd0007-0012,nzd0007-0020,nzd0007-0021,nzd0007-0022,nzd0007-0023,nzd0007-0025,nzd0007-0026,nzd0007-0027,nzd0007-0028,nzd0007-0029,nzd0007-0030,nzd0007-0031,nzd0007-0024,nzd0007-0004,nzd0007-0005,nzd0007-0006,nzd0007-0007,nzd0007-0008,nzd0007-0009
2003-10-23 21:55:36.755000,L5,265.78,218.66,222.01,210.23,193.58,285.28,363.43,360.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-18 21:58:14.785000,L5,236.19,201.29,223.35,195.49,,179.05,288.89,310.56,208.12,282.43,311.66,267.49,235.08,256.56,202.02,,,,,,,,,,,,,,,,,,,,,
2004-06-19 21:59:10.521000,L5,260.13,232.63,251.92,230.65,187.69,311.05,358.54,350.58,349.07,312.49,349.58,297.88,279.55,318.72,273.62,167.78,290.63,335.67,183.63,230.13,199.69,204.90,180.45,267.56,284.61,297.50,290.98,282.67,307.41,,,,,,,
2004-07-21 22:00:04.249000,L5,,,,,195.50,269.86,351.30,356.25,347.01,322.16,353.44,294.65,263.48,315.74,270.86,,290.63,329.03,183.09,232.08,,,183.26,267.76,266.61,287.90,185.96,,,,,,,,,
2004-08-06 22:00:22.463000,L5,267.57,232.19,254.76,218.80,186.38,277.23,356.83,348.15,339.01,306.58,344.33,295.03,266.74,309.86,261.61,,296.69,334.96,187.27,233.73,,,178.34,266.75,275.71,281.96,183.59,274.24,292.77,,,,,,,
2005-01-13 22:03:41.143000,L5,240.38,207.44,226.78,202.95,190.25,259.79,352.26,347.52,316.92,297.21,331.75,276.27,262.98,306.10,257.77,,277.09,306.21,181.51,221.69,,,,,,241.08,181.46,257.30,,,,,,,,
2005-02-14 22:04:09.465000,L5,242.77,241.52,248.08,233.52,195.37,276.46,353.87,347.94,351.63,324.82,367.82,299.75,274.46,303.52,257.46,,300.15,339.08,181.09,226.21,203.91,201.16,179.41,272.58,289.03,292.01,287.20,263.22,286.24,,,,,,,
2005-04-03 22:04:40.528000,L5,251.73,214.67,228.64,210.33,181.66,242.10,351.86,341.93,286.23,292.71,333.61,281.71,241.11,295.71,255.61,,275.97,298.20,173.04,197.19,,,,,,,,,,,,,,,,
2005-06-06 22:05:05.724000,L5,265.83,235.07,243.44,228.36,331.73,315.52,360.03,354.13,358.96,320.68,354.91,306.10,271.08,316.77,275.91,169.76,301.85,347.37,183.94,254.53,202.43,215.15,176.32,266.48,288.87,295.22,291.67,279.31,308.14,249.64,,,,,,
2005-08-25 22:05:41.221000,L5,264.53,227.91,245.83,218.20,197.92,269.75,355.42,343.49,332.56,311.35,350.51,298.23,268.93,242.65,270.69,167.12,290.98,339.01,183.22,234.91,204.49,204.64,,,,,,,,,,,,,,
2005-09-26 22:05:42.687000,L5,262.62,238.90,246.83,225.27,187.78,278.77,360.55,352.58,354.75,315.10,352.26,293.01,261.81,300.78,258.23,169.01,299.60,336.92,180.31,239.04,215.65,207.17,183.99,262.58,184.57,275.72,190.36,258.57,295.89,,,,,,,
2005-11-13 22:05:57.059000,L5,246.56,222.24,241.62,213.48,182.72,264.21,339.69,337.38,324.45,299.46,300.96,251.91,255.41,267.00,225.80,,281.87,323.18,,,,,,,,,,,,,,,,,,
2006-02-17 22:08:11.136000,L5,223.70,194.41,223.62,194.13,,,304.22,318.39,205.91,257.36,277.08,267.86,239.15,258.80,212.05,,,,,,,,,,,,,,,,,,,,,
2006-05-08 22:09:38.251000,L5,269.27,232.86,242.74,222.92,180.74,277.77,358.01,350.24,331.89,303.27,348.40,295.61,266.81,308.56,261.73,,292.69,341.53,181.77,244.07,210.62,209.52,179.28,265.90,288.70,279.99,289.63,274.97,306.76,,,,,,,
2006-06-25 22:10:20.606000,L5,263.11,229.00,246.09,216.56,181.75,272.47,366.18,348.09,338.90,315.95,352.67,298.42,270.55,310.80,270.04,,292.60,330.64,177.62,241.66,202.70,200.22,180.14,267.16,274.29,292.02,194.77,274.35,308.36,,,,,,,
