dates,satname,nzd0444-0000,nzd0444-0001,nzd0444-0002,nzd0444-0003,nzd0444-0004,nzd0444-0005,nzd0444-0006,nzd0444-0007,nzd0444-0008,nzd0444-0009,nzd0444-0010,nzd0444-0011,nzd0444-0012,nzd0444-0013,nzd0444-0014,nzd0444-0015,nzd0444-0016,nzd0444-0017,nzd0444-0018,nzd0444-0019,nzd0444-0020,nzd0444-0021,nzd0444-0022,nzd0444-0023,nzd0444-0024,nzd0444-0025,nzd0444-0026,nzd0444-0027,nzd0444-0028,nzd0444-0029,nzd0444-0030,nzd0444-0031,nzd0444-0032,nzd0444-0033,nzd0444-0034,nzd0444-0035,nzd0444-0036,nzd0444-0037,nzd0444-0038
1999-11-21 22:12:47.994000,L7,274.25,258.04,252.87,249.74,241.36,232.97,230.78,247.21,360.17,363.17,369.05,379.96,388.36,391.42,383.84,370.19,361.94,369.84,365.25,359.52,356.46,351.13,350.94,349.37,362.34,379.19,348.66,404.41,412.33,304.73,342.53,365.26,350.85,344.99,336.01,336.49,307.29,332.69,332.36
1999-11-28 22:18:56.993000,L7,464.92,412.12,412.90,382.78,363.11,390.30,395.14,398.04,391.48,383.13,378.54,405.32,423.24,421.33,403.93,426.44,412.38,409.23,256.27,254.85,258.95,374.75,394.45,399.52,403.48,427.37,409.27,431.63,474.75,303.98,278.21,272.78,381.55,393.71,387.86,542.62,530.72,433.79,461.66
1999-12-07 22:12:53.785000,L7,,,,,,,,,189.79,207.93,198.40,231.96,243.95,245.78,230.63,237.19,238.03,235.73,237.74,232.89,240.03,245.26,225.08,244.19,247.11,262.10,277.00,304.43,291.98,250.11,263.56,257.27,249.22,246.26,237.18,242.51,241.40,310.76,315.26
2000-08-19 22:11:01.988000,L7,,,,243.03,235.11,218.48,228.29,220.18,196.35,212.14,217.85,242.68,255.39,259.11,248.13,247.35,246.43,249.22,249.53,249.75,252.80,252.15,251.90,250.78,258.54,266.49,289.51,309.39,294.01,257.96,274.16,263.61,261.06,256.76,247.12,249.38,260.02,,
2000-09-20 22:10:27.007000,L7,,,,,,,,,,,,,,187.42,200.42,224.37,,,,,,,,,,,,,,,,,,,,,,,
2000-09-27 22:16:36.610000,L7,240.79,204.08,179.08,234.37,222.87,,,,,,,,,,236.36,247.31,236.98,233.05,236.35,236.17,243.07,243.80,223.83,217.67,247.24,261.75,279.48,303.06,289.72,255.11,265.59,257.66,252.58,254.70,242.47,245.42,248.28,186.82,200.42
2000-11-07 22:10:17.299000,L7,371.02,369.44,369.24,370.76,366.72,367.24,382.69,377.37,377.07,361.53,376.65,385.70,405.62,407.29,396.67,395.70,395.34,388.17,386.28,391.21,389.12,390.89,390.17,390.18,398.49,402.54,418.69,427.92,432.07,417.85,397.35,383.42,377.89,378.19,384.35,384.00,378.43,382.74,378.54
2000-11-14 22:16:30.766000,L7,273.42,259.47,250.74,251.09,242.02,231.60,232.21,175.32,374.48,372.42,376.83,359.61,405.31,402.48,397.21,397.96,398.48,404.23,395.24,402.50,401.48,364.86,401.06,391.43,399.56,420.65,431.48,450.39,301.33,265.80,279.45,389.78,363.27,362.98,389.19,396.27,349.26,362.87,363.86
2000-12-16 22:16:35.253000,L7,373.67,372.67,380.89,379.60,370.68,374.27,382.75,388.32,376.43,373.30,375.36,387.49,405.43,409.09,396.67,395.94,399.25,403.36,405.02,405.93,405.16,402.65,399.21,417.33,416.04,425.29,391.99,504.73,311.44,267.29,280.91,275.15,270.10,263.93,261.41,263.07,270.35,398.60,413.21
2001-01-01 22:16:33.637000,L7,,,,,,,,,,,,,216.96,207.20,200.97,205.14,217.80,225.14,182.96,179.78,202.81,215.25,212.71,211.06,222.67,247.69,,,,,240.08,229.97,226.15,232.24,221.32,,,,
