dates,satname,nzd0555-0000,nzd0555-0001,nzd0555-0002,nzd0555-0003,nzd0555-0004,nzd0555-0005,nzd0555-0006,nzd0555-0007
2003-10-07 21:58:35.519000,L5,293.17,265.88,258.41,240.87,260.83,265.84,265.61,288.93
2003-12-26 21:59:30.091000,L5,299.23,272.37,267.63,263.32,269.82,268.09,273.95,288.07
2004-01-27 21:59:38.149000,L5,283.59,268.15,260.55,261.80,265.59,264.70,272.78,292.41
2004-03-31 21:59:59.745000,L5,,,,,,,,227.67
2005-01-13 22:06:52.927000,L5,302.74,270.85,267.47,262.43,262.09,273.04,266.53,287.77
2005-02-14 22:07:21.106000,L5,255.03,242.57,229.98,,,,,
2005-09-10 22:08:55.708000,L5,,,,,,,207.83,188.74
2005-11-13 22:09:08.414000,L5,253.93,240.58,231.52,224.94,228.17,238.69,241.99,261.51
2006-02-17 22:11:22.491000,L5,,,,,,,212.84,229.81
2006-04-15 22:06:18.610000,L5,287.19,269.85,263.17,246.42,244.25,263.88,263.72,287.83
2006-08-28 22:14:23.601000,L5,,,,,,,133.32,186.99
2006-09-06 22:08:43.357000,L5,,,,,,,203.51,210.30
2006-11-25 22:09:07.763000,L5,240.14,235.67,222.96,218.70,217.68,229.52,228.80,184.65
2007-02-04 22:15:45.266000,L5,,,,,,,,187.26
2008-11-14 21:58:16.111000,L5,314.12,292.22,284.22,279.75,285.65,287.81,294.12,310.85
2010-10-26 22:10:38.745000,L5,217.36,195.05,182.78,175.01,164.90,173.57,188.32,203.03
2013-10-02 22:22:40.460000,L8,269.56,241.65,228.38,215.72,203.79,187.56,202.75,202.34
2013-10-18 22:22:37.411000,L8,227.03,193.03,140.74,,,,,174.93
2013-11-03 22:22:32.045000,L8,235.03,240.13,216.48,,,,,
2014-02-23 22:21:32.043000,L8,277.31,243.18,229.21,212.47,183.54,180.44,223.26,229.58
2014-03-11 22:21:19.920000,L8,265.14,245.95,212.97,217.28,200.62,183.49,203.31,208.82
2014-08-18 22:20:51.886000,L8,255.43,182.88,,,,,169.21,172.94
2014-09-19 22:20:54.477000,L8,,,,,,,,194.35
2014-11-06 22:21:01.126000,L8,303.48,258.51,241.33,239.19,259.53,261.98,266.95,278.25
2015-03-14 22:20:23.206000,L8,264.03,230.32,228.14,208.19,203.49,181.43,194.00,189.79
2015-08-21 22:20:33.210000,L8,,,,,,,157.30,196.23
2015-10-24 22:20:52.499000,L8,252.13,197.28,182.20,208.39,194.01,178.34,193.94,197.40
2016-03-16 22:20:36.438000,L8,255.85,194.84,,211.38,205.01,183.17,199.19,193.30
2016-09-08 22:21:00.541000,L8,261.68,231.86,,210.64,188.18,177.88,169.75,189.50
2016-11-27 22:21:07.723000,L8,269.60,238.02,213.78,217.06,203.76,209.78,215.73,232.47
2017-01-30 22:20:50.623000,L8,280.09,244.97,230.69,221.64,213.79,224.41,228.51,244.51
2017-04-04 22:20:20.280000,L8,,,,,,,195.13,215.55
2017-09-27 22:21:00.343000,L8,264.37,233.50,210.12,209.96,203.66,182.94,199.22,192.88
2017-10-29 22:21:05.518000,L8,285.27,249.62,234.57,226.17,227.47,245.59,238.14,271.10
2018-01-01 22:20:56.342000,L8,264.38,230.11,202.38,211.01,194.76,186.72,208.43,216.28
2018-09-30 22:20:31.646000,L8,262.42,229.49,228.39,210.21,204.15,182.67,196.65,190.96
2020-01-23 22:20:55.593000,L8,327.68,318.41,278.42,263.66,270.78,278.79,275.83,513.91
2020-09-19 22:21:03.690000,L8,268.40,166.01,,,,193.10,207.02,209.52
2021-09-22 22:21:05.391000,L8,257.16,232.06,216.17,209.33,197.56,185.60,195.51,201.78
2021-12-11 22:21:08.661000,L8,263.79,232.20,218.13,209.50,191.58,191.68,202.23,224.54
2021-12-19 22:21:04.274000,L9,271.62,235.16,223.64,217.06,210.73,215.45,217.94,229.73
2022-01-28 22:20:55.692000,L8,289.80,250.03,238.06,231.33,233.89,246.07,244.34,270.81
2022-02-13 22:20:52.491000,L8,257.44,234.77,213.50,210.13,196.19,185.21,204.75,213.50
2022-03-01 22:20:48.516000,L8,263.77,240.51,214.30,217.39,203.10,184.36,203.06,208.65
2022-03-09 22:20:49.257000,L9,,,,,,,,188.79
2022-04-10 22:20:41.030000,L9,,,,,,,152.04,160.68
2022-05-04 22:20:37.713000,L8,,,,,,,,172.34
2022-09-09 22:21:23.307000,L8,,,,,,,,190.36
