dates,satname,nzd0478-0000,nzd0478-0001,nzd0478-0002,nzd0478-0003,nzd0478-0004,nzd0478-0005,nzd0478-0006,nzd0478-0007
1999-10-13 22:07:12.582000,L7,378.94,367.81,383.60,401.59,402.99,400.27,407.90,389.81
1999-11-30 22:06:59.059000,L7,,,,285.03,310.56,315.84,269.84,
1999-12-16 22:07:09.748000,L7,,,226.69,297.25,279.87,291.78,,
1999-12-16 22:07:33.708000,L7,300.49,299.60,300.58,303.27,311.88,316.28,254.88,287.49
2000-03-21 22:06:49.022000,L7,430.69,416.24,370.37,275.17,314.67,296.21,329.38,355.49
2000-05-08 22:06:20.956000,L7,,,,313.67,318.51,314.26,267.19,291.32
2000-05-08 22:06:44.900000,L7,,,,304.92,313.27,305.15,,
2000-06-25 22:05:55.844000,L7,323.30,313.78,262.40,324.67,329.86,323.32,319.30,323.89
2000-06-25 22:06:19.852000,L7,323.83,314.20,263.33,325.32,331.44,324.28,318.96,323.18
2000-07-27 22:05:24.302000,L7,,,,310.91,318.49,313.66,311.26,314.40
2000-07-27 22:05:48.258000,L7,,,,,311.82,297.78,281.92,308.79
2000-08-03 22:11:31.842000,L7,,,,285.38,308.92,308.19,289.95,299.17
2000-08-12 22:05:17.927000,L7,,,,,310.28,301.21,278.77,297.06
2000-08-12 22:05:41.803000,L7,,,,,323.52,316.57,285.84,248.92
2000-09-20 22:10:50.972000,L7,,,,,298.91,275.85,,
2000-12-18 22:04:37.758000,L7,315.09,305.48,348.97,354.04,329.93,344.61,351.31,324.59
2000-12-18 22:05:01.704000,L7,350.17,347.61,329.39,353.79,344.52,343.90,348.74,325.04
2001-01-03 22:04:36.218000,L7,315.14,306.58,339.98,316.59,338.98,342.60,322.57,315.30
2001-01-03 22:05:00.181000,L7,,,,243.08,300.71,310.61,307.95,
2001-02-20 22:04:36.568000,L7,178.24,295.20,276.23,305.46,310.11,315.73,256.79,
2001-02-20 22:05:00.525000,L7,178.95,297.06,277.19,305.53,309.52,315.13,257.02,
2001-04-09 22:04:17.927000,L7,398.07,391.24,333.33,317.19,318.74,333.25,331.09,341.52
2001-04-09 22:04:41.882000,L7,402.12,394.13,336.18,322.72,323.29,333.78,333.48,341.74
2001-06-28 22:03:32.813000,L7,321.67,309.29,,316.96,316.99,320.80,315.24,326.99
2001-06-28 22:03:56.771000,L7,317.91,262.55,,313.72,313.73,316.13,313.14,323.45
2002-03-11 22:03:07.402000,L7,334.40,327.16,309.89,,,,,
2002-03-11 22:03:31.366000,L7,338.03,330.74,321.17,,,,,
2002-04-12 22:03:01.345000,L7,428.79,403.12,333.21,167.75,,,,
2002-04-12 22:03:25.302000,L7,331.18,322.36,,,,,,
2002-05-14 22:02:55.455000,L7,324.17,315.29,,,,,,
2002-05-14 22:03:19.418000,L7,340.08,333.53,139.90,,,189.70,323.30,325.08
2002-07-01 22:02:38.940000,L7,,,,,,,221.57,314.67
2002-11-22 22:02:21.568000,L7,367.32,362.41,356.77,311.58,372.92,356.87,344.15,341.44
2002-11-22 22:02:45.529000,L7,248.14,229.01,301.60,309.12,308.35,343.89,323.55,322.01
2002-12-08 22:02:27.564000,L7,,281.84,300.85,295.97,296.16,310.85,296.51,302.71
2002-12-24 22:02:33.044000,L7,317.68,306.87,,,,,,
2002-12-24 22:02:57.022000,L7,311.88,303.37,,,,,,
2003-08-13 21:51:08.818000,L5,,,,307.01,307.33,321.00,317.97,265.88
2003-09-14 21:51:42.461000,L5,248.38,229.90,314.96,329.91,324.02,333.76,330.24,307.07
