dates,satname,nzd0482-0000,nzd0482-0001,nzd0482-0002,nzd0482-0003,nzd0482-0004,nzd0482-0005,nzd0482-0006,nzd0482-0007,nzd0482-0008,nzd0482-0009,nzd0482-0010,nzd0482-0011,nzd0482-0012,nzd0482-0013,nzd0482-0014,nzd0482-0015,nzd0482-0016,nzd0482-0017,nzd0482-0018,nzd0482-0019,nzd0482-0020,nzd0482-0021,nzd0482-0022,nzd0482-0023,nzd0482-0024,nzd0482-0025,nzd0482-0026,nzd0482-0027,nzd0482-0028,nzd0482-0029,nzd0482-0030,nzd0482-0031,nzd0482-0032,nzd0482-0033,nzd0482-0034,nzd0482-0035,nzd0482-0036,nzd0482-0037,nzd0482-0038,nzd0482-0039,nzd0482-0040,nzd0482-0041,nzd0482-0042,nzd0482-0043,nzd0482-0044,nzd0482-0045,nzd0482-0046,nzd0482-0047,nzd0482-0048,nzd0482-0049,nzd0482-0050,nzd0482-0051,nzd0482-0052,nzd0482-0053,nzd0482-0054,nzd0482-0055,nzd0482-0056,nzd0482-0057,nzd0482-0058,nzd0482-0059,nzd0482-0060,nzd0482-0061,nzd0482-0062,nzd0482-0063,nzd0482-0064,nzd0482-0065,nzd0482-0066,nzd0482-0067,nzd0482-0068,nzd0482-0069,nzd0482-0070,nzd0482-0071,nzd0482-0072,nzd0482-0073,nzd0482-0074,nzd0482-0075,nzd0482-0076,nzd0482-0077,nzd0482-0078,nzd0482-0079,nzd0482-0080,nzd0482-0081,nzd0482-0082,nzd0482-0083,nzd0482-0084,nzd0482-0085,nzd0482-0086,nzd0482-0087,nzd0482-0088,nzd0482-0089,nzd0482-0090,nzd0482-0091,nzd0482-0092,nzd0482-0093,nzd0482-0094,nzd0482-0095,nzd0482-0096,nzd0482-0097,nzd0482-0098,nzd0482-0099,nzd0482-0100,nzd0482-0101,nzd0482-0102,nzd0482-0103,nzd0482-0104,nzd0482-0105,nzd0482-0106,nzd0482-0107,nzd0482-0108,nzd0482-0109,nzd0482-0110,nzd0482-0111,nzd0482-0112,nzd0482-0113,nzd0482-0114,nzd0482-0115,nzd0482-0116,nzd0482-0117,nzd0482-0118,nzd0482-0119,nzd0482-0120,nzd0482-0121,nzd0482-0122,nzd0482-0123,nzd0482-0124,nzd0482-0125,nzd0482-0126,nzd0482-0127,nzd0482-0128,nzd0482-0129,nzd0482-0130,nzd0482-0131,nzd0482-0132,nzd0482-0133,nzd0482-0134,nzd0482-0135,nzd0482-0136,nzd0482-0137,nzd0482-0138,nzd0482-0139,nzd0482-0140,nzd0482-0141,nzd0482-0142,nzd0482-0143,nzd0482-0144,nzd0482-0145,nzd0482-0146,nzd0482-0147,nzd0482-0148,nzd0482-0149,nzd0482-0150
1999-08-26 22:07:08.722000,L7,294.50,302.93,293.00,309.12,304.84,306.91,315.09,308.09,317.88,323.01,325.76,323.32,333.52,347.50,341.37,335.97,187.09,181.70,275.52,270.76,275.09,284.14,285.71,323.93,318.98,318.65,319.86,317.86,332.19,413.30,436.73,443.60,423.00,307.53,308.05,332.46,344.34,290.86,342.75,332.46,316.54,341.88,349.99,309.79,237.01,351.93,457.67,448.74,403.12,296.21,315.14,362.16,346.71,334.25,330.55,338.96,358.50,463.26,473.70,478.87,482.64,341.67,337.20,500.89,501.25,503.10,337.86,469.64,438.86,517.97,521.71,472.22,310.93,335.71,335.43,335.40,343.98,338.18,341.94,347.05,347.21,352.66,343.21,499.73,210.25,254.11,335.94,339.35,332.38,329.58,514.16,458.11,465.14,448.04,454.37,356.79,306.24,327.26,329.08,324.66,486.65,476.56,473.83,476.74,499.16,485.86,471.45,485.51,490.15,483.19,461.44,347.98,318.83,326.78,337.06,318.05,350.11,341.44,356.86,351.32,356.56,345.92,344.25,355.15,356.89,363.99,363.80,356.72,371.93,359.08,360.56,354.86,355.63,363.90,363.76,369.19,196.33,263.54,230.01,196.26,338.73,344.70,347.30,357.20,352.19,351.39,350.40,351.25,353.59,348.01,349.63
1999-08-26 22:07:32.686000,L7,294.33,302.22,293.78,308.63,304.67,304.70,314.53,306.19,316.24,322.11,325.12,322.28,338.14,345.29,341.73,337.93,332.94,333.29,344.95,328.75,333.97,341.63,337.29,322.85,318.41,315.94,316.27,314.34,333.21,338.36,356.49,331.02,293.61,307.11,338.60,332.32,344.32,291.03,342.72,337.36,321.90,340.53,347.45,308.77,232.55,351.16,348.96,349.74,352.26,293.91,312.40,361.67,347.49,333.24,331.07,338.62,356.75,360.96,318.47,348.95,351.01,342.65,338.28,331.85,323.36,330.08,337.44,342.69,337.48,338.14,337.49,349.15,313.63,335.45,333.01,335.38,343.06,336.47,341.16,345.55,346.37,350.78,341.02,351.76,210.87,253.13,337.12,338.91,332.98,329.54,341.54,344.20,344.52,343.17,355.43,355.20,353.64,358.94,354.74,353.90,363.19,352.92,348.16,356.74,363.76,363.08,360.10,326.02,225.12,349.45,352.20,347.47,353.61,358.96,359.53,353.11,350.43,336.05,357.26,351.75,357.06,346.23,342.74,352.92,358.43,363.05,362.12,357.23,372.31,360.91,360.25,355.54,356.08,362.43,363.64,368.38,355.33,349.85,351.91,341.61,337.82,344.21,346.03,355.98,351.54,351.18,350.03,350.65,354.74,349.44,350.05
1999-10-13 22:07:12.582000,L7,343.55,340.68,358.54,389.67,406.12,425.47,433.86,438.36,454.40,475.32,489.64,365.18,346.26,369.71,357.06,506.08,511.95,516.32,448.89,431.83,430.82,426.45,425.03,442.83,425.47,417.85,416.27,449.96,,,,,,,401.89,509.99,399.54,404.31,389.10,380.90,379.99,403.93,414.32,414.86,426.64,434.42,426.85,405.07,393.56,408.63,418.29,418.22,416.24,405.11,400.80,400.09,412.00,399.25,440.78,434.23,433.64,413.78,405.00,396.83,386.02,387.82,383.96,385.83,409.81,420.35,414.50,406.65,403.79,392.66,408.36,400.56,410.75,406.13,414.59,411.06,425.63,409.69,404.49,404.90,363.31,300.35,346.27,306.29,273.47,281.16,304.80,326.42,306.45,292.97,324.90,326.27,317.10,316.96,326.04,342.49,341.19,325.84,322.16,332.45,358.75,362.61,358.26,364.16,431.15,405.53,414.20,372.58,433.06,423.68,418.51,424.97,432.17,429.27,431.99,426.43,414.26,401.27,402.20,424.74,419.47,454.77,482.00,489.86,480.38,422.87,432.17,439.26,444.85,434.52,442.22,419.26,417.81,432.79,459.83,458.34,450.26,446.35,431.17,420.83,408.39,439.51,412.59,410.05,403.40,382.37,380.72
1999-12-16 22:07:09.748000,L7,264.08,295.84,305.27,309.45,296.13,299.12,360.45,396.68,378.69,422.55,428.15,415.52,376.10,432.25,414.07,305.99,296.61,306.90,320.05,300.13,304.53,355.85,398.32,411.66,420.96,162.20,236.89,232.18,343.78,241.67,250.68,204.33,178.20,323.92,292.08,287.03,281.88,286.66,295.60,298.33,293.96,295.59,296.85,292.43,331.50,317.06,344.57,345.20,344.55,371.36,315.26,322.07,348.24,381.94,373.80,350.02,341.05,342.45,344.08,352.71,347.98,346.81,334.38,342.98,311.13,389.21,379.24,367.05,356.02,313.98,294.89,286.33,331.01,357.80,374.74,369.28,355.53,350.12,372.32,428.95,421.48,415.65,396.21,352.05,205.02,238.35,278.16,278.14,297.10,295.91,280.16,258.67,244.47,221.58,191.00,195.31,178.34,173.13,178.46,169.97,173.33,345.32,342.48,341.43,301.54,304.12,176.89,204.12,280.20,270.87,209.26,185.12,243.65,162.88,365.52,348.74,340.10,325.21,336.83,341.37,344.70,319.30,349.37,352.75,348.14,352.54,354.48,303.55,343.59,282.38,350.87,347.63,347.52,347.93,349.72,343.11,323.84,299.01,335.77,337.10,344.28,345.35,345.32,318.23,320.03,344.26,337.18,325.52,335.50,331.51,323.45
1999-12-16 22:07:33.708000,L7,264.32,294.66,305.92,315.08,295.55,299.98,299.30,306.47,313.83,343.43,349.88,285.73,297.96,430.74,411.11,429.70,435.23,430.18,405.08,362.77,347.67,353.62,329.25,410.28,396.94,160.33,235.13,230.27,343.10,181.62,248.48,201.05,370.15,328.62,357.60,356.04,281.77,285.16,172.31,295.76,292.29,293.83,296.05,291.50,137.47,339.46,343.23,302.85,343.33,370.21,312.85,321.40,347.24,375.01,364.94,349.14,338.44,341.90,341.70,351.57,343.30,343.44,294.96,294.09,310.39,387.25,377.97,366.32,354.48,343.35,294.49,286.86,344.43,355.59,371.80,367.73,354.24,317.41,371.43,397.39,419.51,414.90,394.69,384.79,201.85,238.66,277.73,277.95,296.04,323.17,331.30,354.13,352.38,363.88,369.14,347.46,349.73,351.42,356.99,354.41,351.68,345.83,342.48,342.09,352.08,347.03,344.27,204.08,285.25,344.62,349.70,343.26,348.44,350.36,365.30,347.93,343.93,324.25,337.42,341.18,344.28,318.97,350.07,351.60,347.60,352.39,352.88,302.46,362.17,354.79,350.06,346.51,346.71,347.64,349.92,344.68,323.72,297.24,336.40,338.39,342.99,344.60,344.48,317.14,319.85,321.08,337.20,325.69,337.96,331.43,325.48
2000-05-08 22:06:44.900000,L7,264.35,282.25,230.60,189.06,286.10,287.49,300.79,289.35,302.42,305.61,309.44,312.48,313.11,329.45,327.72,323.99,317.29,327.12,325.66,319.16,321.36,321.55,339.25,318.78,317.37,309.60,310.81,343.64,358.80,410.74,429.29,297.84,273.93,278.64,159.97,317.37,306.75,252.24,321.73,309.33,,309.68,310.14,308.09,,318.87,315.93,315.15,308.27,296.28,302.50,298.95,311.51,309.48,315.43,271.54,289.88,264.38,281.72,267.22,310.09,309.41,299.46,299.68,296.10,314.92,307.42,317.78,305.26,310.95,248.05,296.48,295.21,299.13,276.74,313.94,341.81,335.61,,318.89,338.17,335.40,336.26,322.53,323.74,240.86,324.56,319.54,279.10,270.88,307.35,333.62,331.58,332.44,349.39,340.53,342.96,337.56,335.95,332.86,347.02,337.84,304.86,334.63,344.34,344.35,344.14,180.40,212.61,321.63,310.77,303.68,295.64,287.80,295.80,298.26,297.40,290.02,307.04,345.69,344.77,340.56,337.62,283.69,293.61,339.79,337.87,298.78,311.59,310.76,354.25,350.09,344.14,316.09,322.93,354.61,352.32,267.41,197.20,188.41,299.45,314.96,309.86,315.70,318.22,350.64,344.79,340.79,349.66,331.69,333.99
2000-05-31 22:12:18.480000,L7,223.79,284.48,232.26,186.35,283.74,288.95,295.71,293.71,305.40,304.71,313.44,301.32,309.12,326.87,319.12,322.03,311.59,310.72,312.15,,303.68,297.82,303.57,292.97,303.88,288.12,290.19,280.72,291.70,193.21,,296.31,277.62,290.56,128.81,292.23,294.03,268.09,286.43,292.83,,283.32,289.42,294.47,,385.23,300.09,302.02,295.47,282.09,281.23,304.00,308.45,299.63,305.65,274.09,322.60,304.30,274.34,229.04,311.79,299.66,290.27,298.65,282.94,298.10,301.70,305.59,289.64,303.71,247.95,286.47,292.90,285.96,266.30,308.61,310.68,,,293.10,284.76,274.03,302.75,301.42,316.17,,282.10,311.28,287.78,269.68,311.51,298.81,302.44,310.14,324.49,327.22,331.42,330.51,319.51,294.32,257.75,285.98,244.75,328.28,331.44,326.66,332.61,295.83,198.14,311.42,,,,,,327.47,331.48,288.01,330.22,339.08,337.63,339.97,349.31,315.14,336.97,329.35,332.43,283.21,528.41,470.19,418.33,344.24,385.53,400.94,411.98,,,,,,,,,,,,,,,,
2000-06-25 22:05:55.844000,L7,266.01,273.80,194.65,157.50,282.09,284.48,290.72,284.98,300.31,304.84,295.03,289.40,279.01,313.30,318.24,311.04,319.84,319.68,328.91,301.65,314.26,313.46,313.72,295.76,309.04,301.26,305.61,326.71,304.76,263.86,256.27,294.75,254.92,270.13,,304.87,303.82,256.09,298.26,301.93,,302.96,303.22,328.72,,,331.04,337.55,320.62,310.98,330.09,336.96,310.60,300.46,299.09,216.94,310.91,253.79,,,315.26,304.92,289.06,295.99,293.80,163.31,238.48,241.07,380.03,358.17,245.92,360.45,383.58,354.40,368.45,307.13,295.19,,,306.51,304.32,254.49,312.59,262.09,,,313.42,317.75,320.37,253.98,313.92,341.53,354.52,360.70,372.85,284.41,285.11,275.37,289.64,296.82,363.65,165.07,227.29,328.55,345.44,322.90,321.75,267.94,,,,,,,,213.61,301.41,285.94,308.39,284.94,310.34,337.76,335.63,345.28,261.82,332.01,332.27,255.58,212.25,313.13,299.75,352.97,351.91,338.62,355.34,298.98,264.73,297.43,233.70,294.48,172.96,304.74,311.27,314.37,229.61,346.45,296.86,340.14,326.93,322.53,332.26
2000-06-25 22:06:19.852000,L7,266.01,275.78,195.25,161.12,263.40,286.01,292.82,288.43,300.70,305.99,296.54,290.10,281.94,313.02,319.69,311.58,319.96,321.74,327.16,301.88,314.82,313.26,316.03,297.56,308.71,300.92,307.00,326.86,305.42,263.80,256.94,295.44,257.40,272.32,,305.22,303.62,255.89,298.94,305.26,,303.63,305.10,330.40,,,334.30,338.32,297.66,311.84,331.33,335.29,312.05,246.19,249.84,199.27,311.28,254.54,,,315.97,312.67,291.28,296.36,293.62,162.78,176.69,240.93,292.40,300.29,246.67,360.55,385.29,354.89,344.60,307.35,295.87,,,275.98,304.45,303.59,275.21,263.71,304.88,,305.12,318.37,324.24,254.66,315.48,342.07,354.93,360.95,373.02,286.13,285.29,291.30,289.44,299.15,367.50,369.80,370.90,436.37,424.25,445.89,441.67,392.71,,,,,,,,,300.31,285.86,318.55,286.26,310.44,337.68,336.62,345.04,263.68,333.30,334.24,265.70,214.52,313.15,299.74,352.59,353.77,354.88,356.03,299.13,205.29,217.23,268.55,231.18,240.99,350.56,311.85,314.71,351.49,347.35,344.97,339.45,326.18,323.34,303.56
2000-07-27 22:05:48.258000,L7,277.84,289.29,243.17,215.04,299.80,196.31,295.57,300.40,301.17,305.64,298.30,301.19,311.61,323.45,315.11,310.19,314.15,312.36,309.35,304.29,333.73,334.95,336.52,328.62,318.25,308.76,294.32,291.97,298.33,311.77,327.11,304.05,298.27,298.81,176.06,305.29,289.67,274.64,287.01,318.90,,305.05,295.70,294.61,,,,157.16,266.70,292.97,340.98,348.28,339.88,316.64,339.60,289.64,276.55,171.10,292.68,316.44,320.39,314.44,305.30,306.30,297.82,297.97,300.41,297.38,290.78,312.25,267.92,289.23,294.91,283.65,292.30,264.52,261.17,,,240.21,297.30,289.99,306.79,291.16,,,255.69,290.24,265.00,259.90,211.30,221.95,248.24,316.95,346.63,287.84,286.38,287.23,,,252.53,280.85,161.11,306.71,233.10,187.12,181.41,280.70,223.77,180.56,471.51,465.83,,,,,,274.30,260.09,224.89,231.36,214.25,247.62,228.39,283.82,,,,,,,,,,,,,,,,,,,,,,,254.02,299.35,313.39,266.51
