dates,satname,nzd0174-0000,nzd0174-0001,nzd0174-0002,nzd0174-0003,nzd0174-0004,nzd0174-0005,nzd0174-0006,nzd0174-0007,nzd0174-0009,nzd0174-0010,nzd0174-0011,nzd0174-0012,nzd0174-0013,nzd0174-0015,nzd0174-0008,nzd0174-0014
2000-10-15 22:02:20.178000,L7,422.31,402.17,388.14,382.67,341.90,206.45,217.91,309.83,278.91,284.40,261.66,208.49,260.73,223.04,,
2001-01-03 22:02:12.432000,L7,,,,,303.17,184.71,223.72,218.61,195.08,295.03,271.51,,,240.44,215.10,
2001-02-04 22:02:14.384000,L7,,,,,,242.83,228.09,218.76,300.37,264.65,245.79,230.52,287.11,247.25,,181.17
2001-03-24 22:02:23.691000,L7,422.50,234.60,,,264.43,206.99,316.53,291.43,299.84,279.58,258.49,,,,,
2001-09-09 21:54:36.880000,L7,291.22,339.91,301.26,321.93,311.02,262.30,304.87,228.83,306.32,291.50,282.41,261.46,290.60,281.04,272.88,
2001-09-25 21:54:28.694000,L7,,,,320.78,309.66,236.88,306.41,,,294.80,275.62,256.13,,260.32,,
2001-10-02 22:00:04.650000,L7,,,,312.26,308.50,260.77,206.09,208.63,296.67,298.13,276.65,,,245.85,206.70,
2001-10-11 21:54:09.862000,L7,,342.71,307.12,320.12,313.21,263.51,304.90,215.38,303.50,299.38,279.48,257.36,288.73,264.28,257.29,
2001-12-30 21:54:37.254000,L7,,,,,,,,,193.18,287.26,281.75,,,,,
2002-01-06 22:00:31.992000,L7,,,,276.72,251.36,191.89,205.15,218.04,195.04,294.86,281.74,253.83,285.96,,276.20,
2002-01-31 21:54:50.570000,L7,351.07,351.84,,,,,207.48,215.60,,,,235.05,286.31,,,
2002-02-16 21:54:54.191000,L7,364.15,327.48,,,,,,,,,,188.93,282.83,232.32,,
2002-02-23 22:01:07.592000,L7,410.50,231.80,302.05,261.44,274.91,277.29,328.81,309.84,221.86,282.26,262.26,232.99,263.96,204.78,277.71,
2002-10-14 21:53:43.769000,L7,383.73,272.69,304.11,218.50,311.49,269.89,262.78,215.08,306.06,299.26,280.41,262.32,289.89,,284.76,265.83
2003-01-18 21:54:30.278000,L7,382.08,350.18,,277.05,309.43,269.52,306.70,226.08,304.18,296.36,171.90,262.49,290.10,258.16,234.33,263.25
2003-01-25 22:00:18.779000,L7,,,,,306.87,,,206.83,,,,246.51,288.35,246.61,221.19,
2003-08-13 21:48:45.123000,L5,,,,326.34,313.65,,315.72,,216.93,264.45,250.28,212.01,244.80,,,286.46
2003-09-30 21:49:30.432000,L5,,,,326.81,310.05,,,,,,,,,,,
2003-10-25 21:44:04.226000,L5,,,,321.74,304.01,,,,220.65,284.18,248.52,212.16,244.98,,,246.29
2003-11-17 21:50:09.452000,L5,,,,329.95,319.36,292.12,,,,178.71,196.34,205.24,245.09,,,283.62
2004-02-14 21:44:57.678000,L5,,,,326.98,238.61,299.05,313.30,290.66,244.49,296.48,165.61,,,,236.58,
2004-02-21 21:50:47.082000,L5,,,,322.42,305.02,,,,,,,,,,,
2004-03-17 21:45:08.368000,L5,,,,323.20,309.12,,,,229.88,231.25,190.05,209.60,247.48,,,284.51
2004-04-02 21:45:18.969000,L5,354.35,363.08,338.02,327.37,315.63,,,,,,,,,,,
2004-04-18 21:45:49.558000,L5,,,,,,,,,219.13,219.29,195.14,201.79,245.32,,,289.92
2004-07-23 21:48:33.165000,L5,,,,331.01,321.95,299.89,317.79,291.42,219.80,294.85,304.60,218.70,283.38,234.11,188.22,310.24
2004-08-24 21:49:18.016000,L5,,361.90,344.06,330.36,316.95,257.52,313.77,288.46,241.84,301.24,227.52,222.87,281.95,247.75,288.31,303.88
2004-09-16 21:55:41.721000,L5,,,,324.60,311.28,,,,,,,201.04,249.92,,,296.55
2004-09-25 21:50:07.312000,L5,274.00,358.63,333.69,327.43,312.56,296.85,311.89,285.12,249.32,299.96,238.33,231.41,263.92,249.29,204.83,305.80
2004-10-18 21:56:23.891000,L5,292.34,350.81,315.24,330.22,316.48,298.41,312.94,276.82,234.56,283.04,236.52,208.13,260.24,242.97,201.81,297.03
2004-11-03 21:56:42.977000,L5,300.74,352.71,323.76,321.55,315.08,300.00,313.18,278.38,254.25,301.70,255.85,233.58,270.20,260.98,287.57,303.09
2005-01-15 21:52:09.437000,L5,,,,328.63,246.55,,,,249.08,276.66,213.33,221.60,260.02,241.65,,294.52
2005-01-22 21:58:02.481000,L5,,,,325.12,309.67,,,,234.56,262.11,203.71,214.29,256.17,240.30,174.14,295.78
2005-03-04 21:52:52.217000,L5,,,,,,,,,,,202.24,214.00,260.76,272.58,,307.08
2005-03-11 21:58:44.158000,L5,,,,,,,,,223.41,255.35,228.45,208.66,252.07,,,288.60
2005-11-22 22:00:23.113000,L5,,364.65,343.77,334.52,322.05,300.23,320.80,192.22,231.13,264.72,226.19,209.90,250.92,237.50,,292.22
2006-02-03 21:56:19.035000,L5,299.87,363.97,348.34,336.09,319.50,277.38,310.47,273.53,229.43,290.27,232.75,218.04,253.95,240.22,189.58,276.87
2006-02-19 21:56:39.909000,L5,254.86,293.80,311.82,255.64,243.11,235.61,321.42,299.48,247.32,306.91,295.43,236.21,278.67,260.12,298.71,304.11
2006-04-08 21:57:36.601000,L5,292.41,,,,,,317.21,289.54,225.25,287.44,252.54,210.37,254.78,,202.04,297.87
2006-11-25 22:06:43.926000,L5,421.75,413.26,382.02,392.32,374.08,357.30,350.48,347.64,240.84,319.08,290.49,216.32,253.09,214.71,307.16,283.71
2006-12-11 22:06:52.177000,L5,,,313.24,333.65,316.17,298.00,309.65,,236.08,271.36,212.24,205.28,235.21,209.01,,268.82
2007-09-25 22:04:48.945000,L5,,,,324.39,309.25,,,,229.02,286.64,230.54,214.27,252.11,250.40,,298.90
2008-11-14 21:55:28.444000,L5,407.70,414.10,382.77,377.14,360.13,343.40,342.75,316.52,249.67,304.82,272.53,221.45,234.46,,204.68,182.22
2008-12-25 21:50:34.359000,L5,,361.91,332.01,318.55,312.54,,,,243.39,291.51,245.99,220.65,253.83,236.66,,242.50
2009-11-26 21:56:28.873000,L5,301.00,297.82,,323.04,306.95,289.68,304.13,285.55,243.33,285.55,284.10,220.00,249.34,245.46,190.82,239.02
2010-01-29 21:56:53.427000,L5,301.14,361.79,,324.17,311.16,,,,227.79,292.50,266.09,216.22,244.50,,,233.51
2010-10-28 21:55:51.312000,L5,317.50,360.76,338.85,329.76,312.93,295.91,312.17,279.61,243.28,287.05,237.25,225.45,254.59,244.54,195.14,244.10
2011-01-07 22:01:44.406000,L5,,,,324.78,307.50,,,,,,,,,,,
2011-02-17 21:56:00.979000,L5,298.78,368.57,332.40,329.32,318.67,299.51,319.12,286.94,259.37,297.02,305.95,225.57,266.01,256.08,199.32,307.64
2011-03-28 22:01:38.376000,L5,,,,326.55,310.93,,,,219.70,269.17,197.42,204.56,243.26,,,202.37
2011-04-13 22:01:34.017000,L5,,,,322.93,310.00,,,,219.45,236.69,293.62,208.83,246.54,,,242.58
2011-09-04 22:00:27.603000,L5,,,,322.99,310.89,292.16,312.16,270.05,211.91,292.40,214.05,221.00,259.73,,190.06,292.22
2013-04-11 22:08:15.067000,L8,282.07,347.37,,316.48,310.58,203.89,314.47,238.56,,,,,,282.01,,
2013-08-17 22:08:03.120000,L8,,,,321.57,252.60,,,,316.20,310.66,282.56,,305.98,306.55,,317.20
2013-09-02 22:08:04.598000,L8,253.30,345.75,315.59,320.85,312.17,269.84,315.87,305.72,313.99,310.00,316.83,280.20,302.59,299.22,,237.35
2013-11-05 22:07:46.855000,L8,359.98,348.30,,323.26,310.43,,314.43,222.74,284.53,240.35,181.99,224.68,,,,
2013-11-12 22:13:32.202000,L8,333.81,341.95,,317.31,308.48,181.14,313.51,221.21,285.24,229.06,226.25,225.16,,,,
2013-11-21 22:07:37.752000,L8,235.97,266.11,311.43,326.73,314.50,294.26,320.10,310.39,314.33,312.12,315.61,285.64,301.63,302.35,306.31,311.01
2013-12-30 22:13:37.297000,L8,401.99,391.30,,361.28,342.44,,337.60,,,,,,,,,
