dates,satname,nzd0239-0000,nzd0239-0001,nzd0239-0002,nzd0239-0003,nzd0239-0004,nzd0239-0005,nzd0239-0006,nzd0239-0007,nzd0239-0008,nzd0239-0009,nzd0239-0010,nzd0239-0011,nzd0239-0012,nzd0239-0013,nzd0239-0014,nzd0239-0015,nzd0239-0016,nzd0239-0017,nzd0239-0023,nzd0239-0024,nzd0239-0025,nzd0239-0026,nzd0239-0027,nzd0239-0028,nzd0239-0029,nzd0239-0030,nzd0239-0031,nzd0239-0032,nzd0239-0033,nzd0239-0034,nzd0239-0035,nzd0239-0036,nzd0239-0041,nzd0239-0042,nzd0239-0043,nzd0239-0044,nzd0239-0049,nzd0239-0050,nzd0239-0051,nzd0239-0052,nzd0239-0053,nzd0239-0054,nzd0239-0055,nzd0239-0056,nzd0239-0057,nzd0239-0058,nzd0239-0059,nzd0239-0060,nzd0239-0061,nzd0239-0062,nzd0239-0065,nzd0239-0066,nzd0239-0067,nzd0239-0068,nzd0239-0069,nzd0239-0070,nzd0239-0071,nzd0239-0073,nzd0239-0074,nzd0239-0075,nzd0239-0078,nzd0239-0079,nzd0239-0080,nzd0239-0081,nzd0239-0082,nzd0239-0083,nzd0239-0084,nzd0239-0085,nzd0239-0086,nzd0239-0092,nzd0239-0093,nzd0239-0094,nzd0239-0095,nzd0239-0096,nzd0239-0097,nzd0239-0098,nzd0239-0099,nzd0239-0100,nzd0239-0101,nzd0239-0102,nzd0239-0103,nzd0239-0104,nzd0239-0105,nzd0239-0106,nzd0239-0113,nzd0239-0114,nzd0239-0115,nzd0239-0117,nzd0239-0118,nzd0239-0119,nzd0239-0120,nzd0239-0121,nzd0239-0124,nzd0239-0125,nzd0239-0126,nzd0239-0127,nzd0239-0128,nzd0239-0129,nzd0239-0130,nzd0239-0131,nzd0239-0132,nzd0239-0133,nzd0239-0134,nzd0239-0135,nzd0239-0136,nzd0239-0137,nzd0239-0018,nzd0239-0019,nzd0239-0020,nzd0239-0021,nzd0239-0022,nzd0239-0037,nzd0239-0038,nzd0239-0039,nzd0239-0040,nzd0239-0045,nzd0239-0046,nzd0239-0047,nzd0239-0048,nzd0239-0063,nzd0239-0064,nzd0239-0072,nzd0239-0076,nzd0239-0077,nzd0239-0087,nzd0239-0088,nzd0239-0089,nzd0239-0090,nzd0239-0091,nzd0239-0107,nzd0239-0108,nzd0239-0109,nzd0239-0110,nzd0239-0111,nzd0239-0112,nzd0239-0116,nzd0239-0122,nzd0239-0123,nzd0239-0138,nzd0239-0139,nzd0239-0140
1999-08-12 21:52:44.265000,L7,259.99,239.56,174.38,229.40,249.60,292.55,305.05,294.02,287.58,256.55,281.47,206.09,275.68,216.09,223.17,238.40,260.68,256.97,289.10,224.77,233.13,239.66,243.48,202.56,254.71,251.52,261.81,228.83,245.68,246.26,251.50,260.75,270.21,268.15,224.03,202.88,213.73,265.28,273.80,282.00,279.51,249.34,265.43,284.83,289.23,295.79,297.06,301.06,276.26,277.40,296.13,278.52,273.89,271.24,301.10,298.03,287.80,272.02,295.31,299.60,263.82,275.99,279.15,275.17,273.60,256.97,300.36,288.13,269.38,250.08,237.01,299.80,228.83,222.92,218.47,257.99,312.63,253.99,293.72,240.35,259.48,259.88,253.61,293.35,310.93,321.62,256.18,312.27,322.46,315.96,320.06,309.22,221.55,321.40,200.27,197.43,221.60,264.61,235.66,261.56,270.94,294.54,248.33,268.69,224.65,212.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-22 21:46:36.849000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.49,440.54,446.26,464.99,446.95,458.19,481.08,463.81,441.89,443.61,443.53,445.93,445.45,445.37,437.55,441.00,442.03,441.96,451.04,438.96,439.07,442.60,437.12,439.83,449.54,449.56,462.09,451.70,433.28,453.74,457.61,443.92,444.61,454.32,459.84,442.37,463.56,469.69,465.65,471.14,477.27,493.23,475.88,471.85,477.82,477.62,470.51,467.87,471.64,487.29,472.75,477.42,470.87,459.12,467.73,482.69,477.14,514.04,511.26,438.54,447.22,,,,,,,,,,,,,,449.90,451.78,472.45,432.12,443.14,442.52,448.83,452.70,437.43,439.31,466.67,453.37,449.61,466.89,467.37,462.43,487.70,482.25,475.70,491.74,468.42,439.59
1999-09-29 21:52:52.243000,L7,326.21,312.19,312.97,332.81,353.29,375.76,376.99,374.78,369.66,373.72,377.37,371.16,371.81,372.03,378.50,373.81,367.74,361.30,350.12,347.04,353.78,349.64,348.90,352.07,349.93,354.30,350.36,350.47,353.17,354.22,356.98,365.84,360.31,354.54,332.11,334.56,352.76,353.51,356.13,356.84,353.40,359.61,355.01,365.16,368.47,367.19,366.47,370.87,376.85,377.32,385.51,383.12,376.97,371.66,377.26,373.04,373.81,376.92,370.00,374.02,376.93,376.78,373.70,370.68,377.57,373.41,376.04,374.50,379.69,385.71,378.18,376.95,382.25,382.64,383.48,378.29,383.69,389.86,390.05,377.11,384.21,382.54,388.49,393.46,403.02,408.23,404.03,405.36,412.65,408.11,415.88,413.35,399.44,412.40,419.17,425.43,420.56,418.24,409.71,416.94,403.75,393.96,389.59,386.07,379.18,384.26,361.74,358.39,347.76,353.97,344.34,373.47,370.27,364.44,360.82,355.10,345.80,359.26,358.26,382.64,384.83,376.61,372.52,375.77,377.87,381.25,394.39,383.96,377.49,392.07,398.73,393.84,402.19,398.84,405.98,405.35,410.71,407.04,388.01,373.79,343.11
1999-10-15 21:52:49.322000,L7,293.92,284.36,301.57,319.51,345.54,456.68,510.06,410.61,456.56,509.49,483.20,,,,,,,,500.44,483.54,439.83,,,497.66,506.87,470.38,494.97,509.83,,,,260.87,335.25,323.94,306.61,303.75,279.02,304.37,308.82,315.21,317.05,316.31,319.51,323.04,531.09,356.12,,463.17,495.46,546.84,353.10,357.47,382.55,409.31,393.76,401.28,435.41,363.09,348.49,345.12,332.64,337.15,331.07,348.83,356.14,512.84,537.98,508.79,496.71,393.54,358.05,356.65,362.30,364.11,358.87,361.32,372.22,353.34,361.58,359.27,364.83,359.84,360.10,358.15,377.56,384.50,385.18,386.80,384.38,381.43,385.41,383.66,378.90,384.94,380.68,386.05,382.24,381.49,377.57,373.38,367.31,364.62,355.72,350.64,340.58,343.04,,531.79,538.00,536.69,529.68,468.18,,,365.66,303.50,297.35,236.51,249.63,366.63,356.51,437.61,347.39,337.48,348.89,349.77,348.10,359.56,395.19,359.13,372.04,369.88,368.30,374.07,377.23,389.33,381.69,382.95,342.33,333.57,308.46
2000-02-04 21:52:37.377000,L7,353.61,348.52,356.16,370.45,396.37,430.30,435.02,439.02,445.83,439.47,433.01,407.05,409.44,408.39,421.54,430.02,422.01,419.45,407.71,396.61,397.29,402.67,425.98,422.65,428.62,405.95,393.07,412.68,422.66,425.59,428.94,425.96,408.11,439.54,434.19,405.10,414.39,409.81,412.34,414.24,405.90,404.58,403.40,430.54,427.71,404.44,428.31,441.98,463.79,445.70,441.06,443.81,463.13,473.76,439.81,442.44,457.72,412.31,414.13,421.29,411.80,420.84,427.33,406.54,414.20,421.98,441.64,420.72,422.77,457.27,443.90,434.15,417.32,408.67,431.07,424.64,419.45,427.95,420.79,428.94,433.29,411.29,428.39,424.08,472.16,492.96,459.29,457.57,465.67,471.33,468.20,489.73,449.48,492.60,491.18,517.40,493.83,482.47,505.49,462.10,453.98,460.44,442.44,444.23,421.09,467.02,413.58,413.13,425.34,406.54,403.22,420.16,418.11,424.31,419.00,403.19,423.02,427.97,422.45,447.73,454.90,438.44,417.17,416.85,413.46,417.26,436.63,453.80,461.57,440.86,441.79,447.66,450.56,450.79,467.30,465.26,474.39,467.23,472.02,481.52,430.43
2000-02-20 21:52:29.720000,L7,288.04,290.67,312.57,297.10,317.71,374.68,395.52,345.61,314.23,329.22,325.76,,,,,,286.94,323.10,322.10,357.94,366.01,321.82,316.57,314.59,315.10,314.40,310.59,273.34,310.55,319.67,322.86,321.86,328.74,323.54,307.27,243.28,318.30,325.78,330.79,382.33,395.65,398.27,443.24,350.67,332.14,330.72,332.99,338.58,344.64,346.75,355.28,352.15,345.56,357.42,358.96,355.14,397.08,337.83,402.92,379.08,336.96,331.71,336.01,342.68,344.21,352.36,341.88,339.53,340.79,347.77,341.94,333.04,357.87,359.55,352.53,360.15,350.24,364.29,178.95,328.50,285.34,275.82,210.97,184.90,439.43,450.59,441.75,421.88,332.70,342.38,361.46,390.95,361.42,372.86,417.91,209.90,203.51,173.98,388.52,391.46,406.59,392.17,410.96,377.88,344.74,341.71,333.12,333.21,379.99,417.93,390.47,328.19,325.22,331.50,329.96,239.82,295.10,313.02,315.24,359.02,352.39,355.53,369.41,345.60,345.36,345.30,351.60,367.34,355.38,390.10,405.48,398.63,378.85,427.80,427.49,310.09,412.67,358.24,328.64,332.62,319.16
2000-04-24 21:52:10.308000,L7,275.96,270.39,261.05,279.88,294.34,312.76,325.20,317.33,318.52,318.33,320.25,322.75,327.03,326.36,317.92,294.02,292.38,295.14,305.50,299.74,291.29,284.34,293.50,296.07,299.12,297.89,288.25,254.43,275.11,288.32,297.94,302.66,296.32,286.17,277.07,235.79,291.55,299.67,297.85,303.15,303.26,306.03,309.03,313.15,315.63,316.80,316.23,324.29,330.00,332.62,346.81,330.39,328.19,327.48,329.43,325.79,326.53,325.33,320.86,325.68,497.53,321.47,322.50,326.13,352.40,330.96,328.70,327.27,332.32,334.07,335.73,338.10,438.45,449.34,422.29,335.19,342.49,338.93,345.14,369.50,346.34,396.17,351.63,349.59,423.45,425.31,388.99,378.32,378.08,378.39,389.16,402.79,370.44,391.46,389.11,371.09,369.60,370.56,365.20,364.12,355.34,341.23,337.49,330.57,325.22,305.59,290.83,297.98,286.37,272.61,297.44,304.42,305.64,298.19,293.75,225.63,233.58,243.71,266.84,341.20,344.95,326.96,498.12,489.65,331.37,335.45,341.82,341.95,334.39,350.97,363.29,359.32,369.37,374.17,404.76,376.48,404.62,383.10,303.74,310.42,299.85
2000-05-26 21:51:48.668000,L7,237.95,257.15,,,,256.28,291.14,317.71,292.00,197.09,172.36,281.05,226.94,191.64,224.02,,,,307.57,259.32,284.58,265.67,246.81,227.79,254.62,257.02,266.18,,234.85,203.41,218.27,180.52,,,,,267.25,278.30,281.80,281.75,289.80,289.67,296.31,291.85,301.71,305.04,306.43,305.76,312.82,322.18,314.51,319.46,310.31,283.91,315.58,313.29,316.16,313.37,300.80,306.85,,,305.89,305.50,310.40,312.97,317.49,288.25,311.99,317.24,314.03,322.64,305.47,273.67,313.02,318.54,327.88,328.30,317.81,317.10,324.86,315.83,331.54,310.47,313.59,354.35,361.88,336.13,328.62,333.28,327.35,338.53,352.46,343.30,327.85,340.22,346.47,337.53,340.27,336.57,339.68,325.92,277.88,312.53,271.25,267.13,,,,,,277.50,,,,,,,252.35,297.67,323.92,309.12,306.44,,308.24,318.36,308.87,319.70,319.66,334.64,342.90,342.12,321.69,336.33,318.51,326.45,349.03,347.11,288.78,204.67,
2000-08-14 21:50:56.232000,L7,361.86,372.48,395.14,407.80,417.27,433.51,426.64,427.09,435.26,445.29,436.47,428.62,439.02,443.08,438.81,432.08,433.71,425.53,402.05,418.22,422.04,413.49,409.48,401.64,399.50,401.60,407.43,433.66,419.35,421.70,413.37,429.55,405.69,406.95,405.73,404.99,407.69,419.30,414.82,421.41,415.77,412.13,409.01,413.91,428.10,434.78,433.14,442.34,455.16,448.89,438.17,437.77,444.17,429.21,433.20,423.22,428.71,414.92,430.55,430.06,411.99,415.75,417.88,425.71,442.18,437.45,420.14,427.95,460.24,426.57,413.91,414.83,413.34,422.41,418.56,418.19,431.47,425.98,422.59,435.03,440.84,446.18,441.62,443.75,451.39,446.58,451.02,483.03,442.39,457.75,452.57,442.83,477.69,461.72,459.06,434.92,432.45,446.85,460.48,470.02,445.11,466.97,415.37,424.25,436.60,417.85,428.21,431.16,418.36,421.69,410.09,412.47,406.28,408.25,418.22,404.56,403.08,409.40,418.88,430.51,430.81,422.77,418.99,417.56,425.05,417.33,417.66,420.04,426.11,448.50,444.36,446.95,454.66,456.80,466.83,450.21,489.05,465.04,416.49,408.65,393.62
2000-09-15 21:50:25.712000,L7,338.65,355.26,354.36,378.87,372.16,385.55,387.34,385.59,390.56,408.90,388.15,380.99,385.14,394.61,398.59,401.04,421.67,398.24,364.81,362.16,374.75,378.37,362.01,372.38,362.31,368.44,378.35,401.60,364.30,374.11,377.37,370.14,366.71,369.32,389.19,366.51,373.17,365.21,361.50,366.45,365.31,376.70,390.52,417.16,393.00,380.22,419.63,408.01,397.25,399.26,386.08,407.87,417.02,374.99,386.46,378.73,382.89,379.21,394.01,376.82,381.02,367.83,373.48,373.09,383.99,394.35,386.59,397.50,382.31,382.50,375.55,388.04,381.38,412.20,417.07,394.90,400.11,396.50,410.73,425.03,402.35,432.44,395.56,418.27,413.42,448.63,439.50,423.73,429.51,426.35,426.67,457.58,429.99,415.28,412.40,433.93,425.82,404.04,411.90,404.08,407.03,396.50,395.39,377.92,372.75,369.37,394.21,376.96,364.57,358.43,364.47,375.50,379.10,404.15,377.35,347.21,372.15,363.91,360.30,421.11,406.73,380.05,389.84,373.22,389.53,387.89,392.97,387.51,386.80,415.72,405.59,404.24,422.67,414.94,413.71,427.14,430.05,435.08,361.86,368.55,347.66
