dates,satname,nzd0521-0000,nzd0521-0001,nzd0521-0002,nzd0521-0003,nzd0521-0004,nzd0521-0005,nzd0521-0006,nzd0521-0007,nzd0521-0008,nzd0521-0009,nzd0521-0010,nzd0521-0011,nzd0521-0012,nzd0521-0013,nzd0521-0014,nzd0521-0015,nzd0521-0016,nzd0521-0017,nzd0521-0018,nzd0521-0019,nzd0521-0020,nzd0521-0021,nzd0521-0022,nzd0521-0023,nzd0521-0024,nzd0521-0025,nzd0521-0026,nzd0521-0027,nzd0521-0028,nzd0521-0029,nzd0521-0030,nzd0521-0031,nzd0521-0032,nzd0521-0033,nzd0521-0034,nzd0521-0035,nzd0521-0036,nzd0521-0037,nzd0521-0038,nzd0521-0039,nzd0521-0040,nzd0521-0041,nzd0521-0042,nzd0521-0043,nzd0521-0044,nzd0521-0045,nzd0521-0046,nzd0521-0047,nzd0521-0048,nzd0521-0049,nzd0521-0050,nzd0521-0051,nzd0521-0052,nzd0521-0053,nzd0521-0054,nzd0521-0055,nzd0521-0056,nzd0521-0057,nzd0521-0058,nzd0521-0059,nzd0521-0060,nzd0521-0061,nzd0521-0062,nzd0521-0063,nzd0521-0064,nzd0521-0065,nzd0521-0066,nzd0521-0067,nzd0521-0068,nzd0521-0069,nzd0521-0070,nzd0521-0071,nzd0521-0072,nzd0521-0073,nzd0521-0074,nzd0521-0075,nzd0521-0076,nzd0521-0077,nzd0521-0078,nzd0521-0079,nzd0521-0080,nzd0521-0081,nzd0521-0082,nzd0521-0083,nzd0521-0084,nzd0521-0085,nzd0521-0086,nzd0521-0087,nzd0521-0088,nzd0521-0089,nzd0521-0090,nzd0521-0091,nzd0521-0092,nzd0521-0093,nzd0521-0094,nzd0521-0095,nzd0521-0096,nzd0521-0097,nzd0521-0098,nzd0521-0099,nzd0521-0100
1999-08-17 22:13:37.953000,L7,,,,308.19,332.08,332.22,327.95,338.66,349.56,352.50,458.04,423.35,439.61,312.66,331.36,356.35,353.39,279.50,244.06,261.33,279.71,301.42,284.75,321.91,290.40,312.91,294.00,294.65,324.70,315.53,311.60,287.28,281.34,255.96,294.07,210.67,190.65,285.22,190.89,217.28,213.57,266.00,298.33,294.87,288.06,270.56,246.73,282.47,275.77,260.13,277.73,247.06,,,,240.78,269.95,255.70,274.26,297.35,303.48,300.50,295.82,290.41,286.33,398.24,431.27,460.77,470.83,473.59,455.11,458.91,481.72,455.84,,217.15,225.67,290.45,297.94,216.25,318.23,320.99,333.82,343.24,341.63,313.85,360.93,365.04,347.15,322.45,336.90,339.09,335.70,361.05,394.97,398.95,414.63,429.35,405.80,406.81,408.59
1999-11-05 22:13:40.966000,L7,,,,,147.18,160.54,172.10,214.25,240.23,325.32,350.46,271.16,307.36,329.65,352.28,366.27,357.67,305.79,298.70,293.16,315.21,214.80,,139.64,162.83,182.37,287.13,335.28,328.61,325.18,320.85,315.15,306.67,298.57,297.82,263.97,285.22,191.92,297.53,,,273.58,303.51,314.03,304.97,307.17,419.04,400.63,383.89,385.74,391.39,466.61,266.90,498.00,507.08,476.70,263.45,253.48,278.83,307.89,302.86,311.55,313.33,336.00,483.40,486.30,492.66,493.67,474.08,467.41,475.67,443.39,417.35,174.83,149.58,244.15,256.55,288.32,314.12,335.11,321.40,321.43,334.84,348.54,348.38,352.34,356.54,365.02,372.10,328.66,284.85,311.69,351.65,385.40,393.42,416.78,420.14,416.57,397.75,390.46,395.09
1999-12-07 22:13:41.663000,L7,244.82,465.65,465.47,437.90,420.44,418.10,485.85,339.17,354.31,384.29,394.68,487.03,404.25,405.13,412.33,422.08,421.96,417.50,411.07,410.61,457.50,454.53,501.61,491.28,476.30,484.57,416.91,338.66,401.90,338.58,398.43,392.07,382.63,381.84,380.46,391.19,385.81,311.24,378.59,378.34,362.36,364.53,369.59,371.90,367.73,368.09,299.11,354.41,353.19,349.13,350.97,351.97,351.19,355.09,348.62,345.68,333.05,318.41,319.42,324.22,321.36,318.30,327.37,328.77,334.22,455.31,445.08,440.61,430.63,406.47,414.06,390.31,376.90,377.65,383.61,388.53,398.74,410.15,408.13,403.80,400.48,390.81,393.25,439.11,372.59,388.59,370.68,388.83,396.49,393.34,394.02,409.04,433.34,443.56,442.06,472.34,496.71,483.61,464.84,455.46,460.12
1999-12-16 22:07:33.708000,L7,,,,250.41,330.43,332.74,328.04,330.90,342.28,350.43,349.54,262.00,302.57,272.02,294.74,267.87,344.99,339.27,333.87,329.21,327.91,331.89,328.09,335.51,332.43,328.80,334.00,331.62,325.62,317.57,317.83,313.32,305.14,295.49,291.59,264.47,283.72,303.02,300.68,298.10,294.55,287.22,299.49,300.38,300.78,301.81,291.41,292.40,275.89,275.10,272.62,278.31,203.71,185.90,233.62,249.95,262.96,250.28,271.03,291.83,301.84,304.82,299.43,286.88,280.43,225.08,225.00,242.39,255.67,231.09,217.78,185.88,146.43,,,210.21,219.66,279.83,304.41,316.48,322.83,326.23,327.92,340.75,339.66,350.24,352.02,354.94,356.08,340.05,348.15,340.20,357.55,367.76,390.11,410.10,407.04,400.75,395.97,397.66,390.48
2000-05-08 22:06:44.900000,L7,,,,318.07,330.67,337.07,339.94,339.29,345.78,353.93,350.68,237.34,318.86,345.41,355.77,364.80,365.85,359.09,350.50,349.73,349.42,352.38,353.55,352.61,347.08,465.14,455.79,455.01,459.31,463.77,449.76,329.77,317.33,310.30,303.60,267.47,296.92,308.03,309.08,308.18,296.61,302.45,311.30,312.13,310.58,310.72,302.05,304.86,299.21,284.92,284.70,294.07,311.08,306.63,252.46,256.88,272.67,319.51,343.80,298.75,298.92,294.66,339.97,295.71,301.88,335.12,229.44,261.18,262.91,233.88,231.39,233.28,221.64,184.43,145.88,128.18,118.54,129.12,314.12,370.27,382.49,371.99,345.22,390.58,402.29,397.45,404.28,370.98,376.64,369.46,363.97,358.54,369.20,381.07,403.72,413.08,405.70,421.56,417.55,407.00,411.54
2000-05-15 22:12:54.183000,L7,210.22,138.07,,333.09,345.77,336.56,459.21,446.76,441.97,442.17,456.03,457.43,345.34,354.77,392.17,455.69,415.09,420.83,432.40,425.28,416.24,428.92,425.53,425.32,418.23,423.33,510.53,456.50,496.12,471.12,471.57,494.18,450.14,476.86,467.72,462.43,415.08,419.74,402.90,471.29,469.79,424.28,436.71,442.99,431.10,411.23,413.51,419.24,372.90,370.10,377.90,349.33,362.91,385.82,381.37,304.70,320.32,453.50,422.27,427.20,495.37,498.10,462.84,474.79,475.41,413.31,332.66,364.40,355.41,331.27,319.85,322.73,314.48,331.11,334.68,335.26,315.52,343.36,317.95,375.25,353.21,381.95,407.68,402.10,406.24,424.04,431.48,429.96,429.08,436.68,430.57,442.54,418.82,440.41,469.71,483.87,451.65,445.72,434.96,425.71,483.24
2000-06-25 22:06:19.852000,L7,363.48,328.70,,324.41,366.69,341.90,345.68,352.24,359.60,409.88,406.01,295.83,397.54,410.76,391.78,381.32,367.16,367.99,358.36,353.18,357.08,370.01,363.37,361.60,362.07,297.32,280.28,384.30,381.81,358.24,342.88,342.78,279.19,260.66,316.60,188.24,296.31,318.76,295.92,294.90,382.21,323.58,346.95,378.56,374.02,326.05,243.63,306.54,342.93,297.45,347.37,205.65,392.17,373.36,272.31,253.93,274.03,329.89,271.03,225.20,218.45,204.08,234.28,293.38,294.30,222.94,222.93,267.94,271.07,250.98,227.16,195.46,209.71,237.65,312.58,223.04,221.02,190.25,256.61,325.35,319.16,306.16,338.43,350.85,406.42,361.21,434.08,420.75,433.51,435.60,418.22,424.36,432.73,460.06,477.74,481.16,482.42,484.41,466.91,471.19,435.85
2000-07-27 22:05:48.258000,L7,,,,237.05,324.71,327.86,338.62,346.31,360.44,356.16,345.71,252.79,310.81,345.59,345.46,356.06,358.56,340.66,343.12,332.26,346.94,341.67,330.68,342.55,341.92,341.37,336.95,345.85,328.53,332.76,330.64,322.99,305.05,302.46,300.09,263.98,287.89,312.57,309.86,309.37,300.41,296.66,309.68,313.99,295.74,303.93,298.85,311.37,284.83,282.09,286.44,282.47,303.28,393.02,382.28,370.57,367.77,355.99,364.85,399.14,449.45,455.19,295.27,392.95,376.10,404.98,413.01,401.54,423.90,452.45,492.59,467.28,432.91,388.56,374.15,328.76,318.34,343.13,407.95,359.27,321.11,362.80,480.02,461.67,441.96,,,,456.13,388.00,502.41,322.57,204.14,208.73,502.00,479.58,503.61,,,,
2000-09-20 22:11:14.930000,L7,,,,299.31,318.09,321.51,322.85,327.20,338.19,347.35,343.00,241.62,297.25,237.37,244.46,467.20,464.72,333.78,296.27,235.85,225.41,291.47,281.93,458.10,450.26,460.02,461.72,319.61,322.00,286.75,300.14,280.65,290.74,281.87,282.06,219.13,269.90,292.57,297.77,300.54,293.72,289.45,298.82,300.71,289.90,290.86,283.97,276.20,273.65,281.00,277.60,271.69,401.18,419.30,396.78,413.15,253.71,253.94,267.50,293.84,292.66,287.44,283.84,284.68,272.54,224.96,215.59,239.36,228.99,225.50,205.78,194.92,150.07,138.57,,,211.89,277.71,291.86,307.50,167.86,153.35,173.48,178.74,169.74,165.62,134.88,218.93,188.59,184.04,182.60,338.74,481.91,507.03,489.02,412.73,413.82,187.69,168.67,219.96,156.93
2000-12-18 22:05:01.704000,L7,376.94,199.36,283.85,150.51,400.55,389.51,417.48,417.17,420.48,432.07,471.57,322.45,391.87,394.99,400.01,413.02,347.39,378.02,379.81,389.05,393.52,389.32,396.73,392.43,389.11,385.29,388.31,387.31,383.17,386.94,376.07,362.00,356.78,352.93,360.70,365.69,370.52,369.96,366.49,364.01,300.65,347.53,365.48,362.80,359.05,347.09,345.43,333.33,326.70,333.54,338.15,340.67,342.89,345.13,340.23,336.52,331.57,313.52,318.42,324.48,323.54,327.57,335.21,336.36,324.49,313.83,305.99,440.48,422.23,423.58,418.47,419.79,402.35,373.69,368.38,371.95,367.20,394.75,402.45,431.89,428.68,426.56,437.20,430.59,496.91,491.61,476.48,480.41,512.10,385.30,381.27,386.52,400.68,422.32,435.59,420.73,457.58,456.92,440.39,444.30,457.21
