dates,satname,nzd0267-0000,nzd0267-0001,nzd0267-0002,nzd0267-0003,nzd0267-0004,nzd0267-0005,nzd0267-0006,nzd0267-0007,nzd0267-0008,nzd0267-0009,nzd0267-0010,nzd0267-0011,nzd0267-0012,nzd0267-0013,nzd0267-0014,nzd0267-0015,nzd0267-0016,nzd0267-0017,nzd0267-0018,nzd0267-0019,nzd0267-0020,nzd0267-0021,nzd0267-0022
1999-08-21 21:46:56.985000,L7,308.80,168.50,319.21,290.27,243.60,319.06,297.98,316.18,399.03,374.36,334.97,455.94,362.51,347.15,335.40,327.25,292.50,283.29,270.90,257.93,234.97,259.83,297.38
1999-09-22 21:47:00.785000,L7,,,,429.74,463.30,513.48,511.43,524.74,257.50,244.17,261.99,249.34,237.87,259.67,264.16,258.21,254.18,250.67,245.86,210.08,196.33,228.24,240.27
1999-10-24 21:46:56.203000,L7,335.73,316.06,299.38,289.85,292.74,308.39,320.55,341.63,341.44,329.16,330.47,328.22,316.17,337.36,333.20,328.52,342.21,338.78,324.76,295.18,283.52,298.23,322.54
2000-02-13 21:46:48.016000,L7,,,,,,,165.32,171.20,190.21,207.08,213.62,177.34,184.52,198.90,223.07,213.81,211.44,204.93,185.53,166.52,164.53,185.08,283.03
2000-04-01 21:46:34.573000,L7,,,,,,,208.15,199.04,213.60,236.94,257.07,250.04,224.34,259.63,261.71,256.96,255.39,247.41,240.23,218.67,206.50,226.54,269.04
2000-05-19 21:46:07.873000,L7,,,,,,,206.14,187.98,198.03,257.76,272.86,254.80,230.60,262.60,270.11,256.65,261.09,251.49,249.75,220.86,192.27,269.46,306.10
2000-08-07 21:45:08.975000,L7,,,,,,208.69,245.80,221.88,259.73,263.38,493.18,508.81,483.16,477.30,500.56,266.33,257.94,254.58,248.05,225.61,202.77,200.74,308.41
2000-10-26 21:44:22.850000,L7,,,,,163.51,197.12,223.72,247.77,258.03,241.56,263.25,252.70,,,,,,,,218.13,208.96,236.02,295.13
2001-04-04 21:44:06.948000,L7,335.39,316.68,,391.12,279.22,272.83,311.96,343.44,337.24,323.55,316.94,308.80,238.22,269.72,272.38,328.50,339.95,339.88,312.84,259.60,290.10,290.24,314.94
2001-04-20 21:44:10.657000,L7,340.12,325.48,,299.52,285.52,277.02,317.13,356.90,356.13,344.47,470.93,454.66,432.25,459.07,340.35,305.33,340.93,343.79,318.69,289.45,296.28,300.57,289.40
2001-05-22 21:43:54.652000,L7,341.98,324.17,289.97,337.82,347.42,412.21,392.74,445.86,417.07,406.65,428.44,381.48,363.02,362.49,345.02,328.83,333.83,327.31,312.54,287.98,276.52,285.01,317.07
2001-07-25 21:43:18.753000,L7,,,,,,215.28,233.16,208.24,265.50,274.07,284.05,279.20,284.30,245.89,269.02,272.43,308.47,257.21,251.21,221.68,199.64,265.44,312.91
2001-08-10 21:43:00.495000,L7,,,,,,204.97,225.97,198.68,238.82,260.20,273.24,250.21,231.27,244.84,252.76,249.20,255.26,257.11,246.88,209.84,199.08,238.23,282.13
2001-09-11 21:42:38.257000,L7,,,,,,507.33,518.50,529.20,528.74,252.35,263.11,251.73,249.74,247.83,256.95,252.38,258.41,250.42,245.38,210.32,194.47,216.73,233.28
2001-09-27 21:42:29.269000,L7,383.06,353.30,369.35,386.69,298.84,314.08,338.49,346.57,337.99,349.05,352.04,340.66,342.67,355.71,350.79,340.28,384.35,280.12,278.72,254.28,230.25,295.84,332.49
2001-10-13 21:42:15.922000,L7,352.86,325.41,221.39,281.81,269.78,281.74,311.92,323.06,327.58,324.85,318.49,311.90,303.16,338.05,334.04,335.21,355.81,329.37,317.04,291.13,271.47,281.55,316.76
2001-10-29 21:42:21.289000,L7,363.20,336.02,324.90,286.00,292.15,311.89,331.78,343.54,357.09,352.11,335.36,335.48,335.19,301.13,296.14,328.11,346.09,346.32,324.38,295.85,279.01,288.90,319.45
2002-01-17 21:42:52.816000,L7,308.95,290.98,200.36,217.58,166.99,194.87,225.22,229.11,256.96,247.79,262.76,255.38,231.95,247.87,256.35,252.37,254.09,244.90,247.89,271.32,254.06,258.08,301.75
