dates,satname,nzd0387-0000,nzd0387-0001,nzd0387-0002,nzd0387-0003,nzd0387-0004,nzd0387-0005,nzd0387-0006,nzd0387-0007,nzd0387-0042,nzd0387-0043,nzd0387-0044,nzd0387-0045,nzd0387-0046,nzd0387-0047,nzd0387-0048,nzd0387-0049,nzd0387-0008,nzd0387-0009,nzd0387-0010,nzd0387-0011,nzd0387-0012,nzd0387-0013,nzd0387-0014,nzd0387-0015,nzd0387-0016,nzd0387-0017,nzd0387-0018,nzd0387-0019,nzd0387-0020,nzd0387-0021,nzd0387-0022,nzd0387-0023,nzd0387-0024,nzd0387-0025,nzd0387-0026,nzd0387-0028,nzd0387-0029,nzd0387-0030,nzd0387-0031,nzd0387-0032,nzd0387-0033,nzd0387-0034,nzd0387-0035,nzd0387-0036,nzd0387-0037,nzd0387-0038,nzd0387-0039,nzd0387-0040,nzd0387-0041,nzd0387-0027
1999-09-04 22:00:09.953000,L7,,,271.12,309.58,319.74,304.24,306.91,278.45,378.96,394.63,397.65,399.40,244.61,349.86,383.32,370.98,,,,317.08,322.41,323.75,,,,,,,,,,,,,,,300.29,252.46,246.88,214.37,254.53,262.99,197.87,266.81,311.70,360.65,307.79,311.09,378.93,
1999-10-22 22:00:04.598000,L7,443.37,446.55,453.44,439.31,453.72,464.27,463.78,479.43,517.55,505.33,506.66,500.58,486.25,479.33,469.53,467.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:09.551000,L7,,,,,,,,290.91,232.64,192.14,398.70,296.89,323.21,349.31,370.61,264.52,292.04,,299.87,,197.01,276.48,324.08,274.75,294.16,270.18,279.80,280.04,303.31,296.07,306.45,265.70,267.30,311.79,319.23,279.18,297.91,320.50,311.81,312.42,306.12,327.48,323.52,249.75,299.10,256.24,,361.01,378.62,
1999-12-25 22:00:04.067000,L7,242.46,,,,280.99,314.03,310.48,307.29,374.96,389.87,389.69,385.25,333.20,218.31,375.31,366.71,298.88,155.62,288.18,169.30,208.28,317.31,314.42,287.76,286.71,222.91,246.79,219.89,175.27,270.35,303.09,157.08,254.74,294.67,273.02,280.16,308.94,312.04,304.21,304.30,297.42,319.33,317.09,245.07,297.14,253.69,164.75,155.80,374.36,
2000-01-26 22:00:02.226000,L7,,,,,319.65,332.77,333.32,331.02,148.48,172.63,188.21,172.33,,,,,288.38,,,346.75,352.41,362.34,326.64,335.07,307.00,313.11,316.13,307.86,308.19,285.13,283.77,292.78,292.93,315.94,306.18,304.22,326.52,263.68,262.82,315.48,312.97,322.41,330.69,248.69,300.83,265.72,200.98,153.39,380.31,252.64
2000-02-11 21:59:57.866000,L7,246.99,,214.61,262.98,278.02,319.15,316.29,320.87,,,,,,,,,299.28,294.69,343.77,346.42,204.42,323.12,320.35,303.86,303.82,301.25,305.18,302.47,299.08,,,,,,,286.33,321.00,324.18,315.38,305.55,,,,,294.72,245.76,188.81,153.28,,
2000-02-27 21:59:52.393000,L7,,,,211.33,338.06,326.46,325.09,322.67,381.24,401.66,409.05,407.47,,,,,295.60,179.60,322.43,348.42,354.73,322.74,326.65,335.71,313.42,317.62,315.13,308.27,307.78,282.02,228.23,287.14,316.69,313.29,321.27,289.91,340.22,299.42,321.71,279.80,,,,249.37,209.99,260.50,200.05,159.52,384.31,
2000-03-30 21:59:45.397000,L7,,,251.24,283.42,281.77,301.23,297.88,280.55,,,,,,,,,,,,265.73,235.69,,,,,,,,,,,,,,,,292.77,296.95,302.61,292.93,,,,,,,,,,
2000-04-15 21:59:31.785000,L7,,,275.05,306.93,328.14,309.88,308.51,289.27,373.50,181.14,408.70,415.90,,,,272.18,,319.54,330.61,328.04,319.75,345.29,,,278.81,281.80,,,,,,,183.18,304.83,322.33,,194.03,326.35,313.66,313.30,,,,250.11,301.77,262.81,178.36,161.77,,
2000-05-01 21:59:30.586000,L7,,,285.02,317.49,333.04,311.72,309.87,281.72,165.96,187.66,196.58,185.56,340.49,300.46,293.01,294.66,,,,319.88,331.45,,,,,,,,,,,,306.94,307.77,209.89,,,,,,,342.02,368.34,376.07,199.83,384.95,379.02,379.72,398.90,
