dates,satname,nzd0524-0000,nzd0524-0001,nzd0524-0002,nzd0524-0003,nzd0524-0004,nzd0524-0005,nzd0524-0006,nzd0524-0007,nzd0524-0008,nzd0524-0009,nzd0524-0012,nzd0524-0013,nzd0524-0014,nzd0524-0015,nzd0524-0016,nzd0524-0017,nzd0524-0022,nzd0524-0023,nzd0524-0024,nzd0524-0025,nzd0524-0027,nzd0524-0028,nzd0524-0029,nzd0524-0030,nzd0524-0032,nzd0524-0033,nzd0524-0034,nzd0524-0035,nzd0524-0036,nzd0524-0037,nzd0524-0038,nzd0524-0039,nzd0524-0040,nzd0524-0041,nzd0524-0042,nzd0524-0043,nzd0524-0044,nzd0524-0045,nzd0524-0046,nzd0524-0047,nzd0524-0048,nzd0524-0049,nzd0524-0050,nzd0524-0051,nzd0524-0052,nzd0524-0053,nzd0524-0054,nzd0524-0055,nzd0524-0056,nzd0524-0057,nzd0524-0058,nzd0524-0059,nzd0524-0060,nzd0524-0010,nzd0524-0011,nzd0524-0018,nzd0524-0019,nzd0524-0020,nzd0524-0021,nzd0524-0031,nzd0524-0026
1999-08-17 22:13:37.953000,L7,255.10,266.70,273.81,264.45,274.04,240.70,227.42,254.86,199.51,139.04,191.44,227.89,243.39,201.21,182.37,136.26,254.76,263.33,262.56,265.47,237.93,225.66,246.35,208.46,307.66,309.76,289.70,199.23,309.48,303.42,237.76,300.14,315.14,314.62,314.76,327.57,171.61,314.65,299.02,228.60,238.50,249.17,308.31,183.18,306.96,262.84,249.62,244.67,226.80,270.04,256.76,265.29,236.38,,,,,,,,
1999-11-05 22:13:40.966000,L7,297.39,,378.67,404.82,340.52,333.08,418.35,447.01,437.78,430.18,518.26,492.61,472.68,460.62,454.87,,354.01,361.26,507.42,467.18,,459.59,329.26,343.46,363.31,368.80,374.51,371.18,359.27,370.14,348.23,366.85,379.79,361.00,360.87,362.36,356.37,355.27,352.98,344.49,341.71,339.71,319.75,267.08,336.54,318.47,292.21,294.26,303.42,313.35,280.41,265.21,275.08,484.61,465.06,428.89,444.22,470.74,465.88,352.28,
1999-12-07 22:13:41.663000,L7,389.88,328.28,336.38,340.02,331.59,318.02,328.43,334.05,330.93,332.81,456.28,448.72,430.09,424.68,419.86,347.41,349.80,237.27,226.77,220.35,345.39,337.03,342.89,229.73,229.68,381.71,380.45,397.03,351.47,359.73,340.69,357.78,364.67,357.31,347.69,342.20,344.24,335.46,329.75,320.00,285.83,317.31,315.38,313.47,330.53,374.79,358.64,338.96,328.05,326.23,325.31,321.72,338.49,335.77,458.26,275.12,338.60,350.12,346.55,248.83,351.02
1999-12-16 22:07:33.708000,L7,367.80,329.86,337.00,342.04,338.69,330.31,338.95,334.81,338.10,334.18,327.16,331.25,328.23,321.64,332.83,354.44,390.36,387.01,375.67,371.66,363.13,348.74,362.85,359.16,366.22,368.74,370.22,372.36,376.95,373.36,373.62,382.83,369.93,357.50,384.70,341.79,345.30,343.20,330.72,327.16,312.55,320.08,323.32,320.36,349.33,349.51,344.00,337.23,333.79,328.34,336.22,328.28,358.43,335.08,324.69,274.35,341.82,350.67,346.84,356.57,366.78
2000-05-08 22:06:44.900000,L7,221.97,247.09,255.66,255.33,261.28,212.98,206.51,,,264.40,204.69,222.32,190.03,233.36,282.45,257.46,,,247.28,243.60,,,,249.55,283.31,283.22,273.20,188.23,286.27,293.43,178.21,,270.30,231.97,283.62,304.98,258.25,288.61,254.70,299.37,165.00,313.18,302.06,,,,,245.25,259.36,271.88,,,,234.50,,,,,,176.04,
2000-05-15 22:12:54.183000,L7,368.95,313.94,304.20,305.76,296.68,277.48,272.93,336.83,315.36,303.83,319.97,309.58,302.62,301.61,337.63,330.01,347.67,370.34,337.34,298.44,303.59,294.01,310.52,319.08,326.34,347.36,319.77,340.76,333.10,338.45,339.78,345.57,354.72,334.29,348.18,340.32,356.10,349.49,347.93,343.69,344.66,341.55,338.13,308.26,342.58,371.20,365.29,337.82,305.65,313.33,311.02,314.11,340.69,302.05,315.39,252.29,217.40,245.91,327.87,318.06,383.96
2000-06-16 22:12:38.425000,L7,382.55,317.37,308.58,309.55,304.91,286.77,354.56,283.21,261.42,218.52,328.49,343.80,306.91,308.22,346.48,348.53,349.37,342.55,344.09,301.08,294.72,302.13,313.30,314.89,327.78,338.14,331.97,343.12,333.73,338.11,341.78,351.92,346.09,348.78,339.45,351.80,361.75,346.08,332.08,311.28,308.43,334.42,340.74,326.01,340.87,320.94,308.39,294.61,298.79,325.10,293.61,283.63,346.56,292.96,340.27,255.76,231.39,321.85,352.54,320.84,271.91
2000-09-20 22:11:14.930000,L7,379.94,330.14,319.50,320.93,309.89,295.12,293.47,332.05,317.10,314.04,323.88,317.04,321.21,297.70,283.68,346.82,348.47,340.82,335.46,295.20,317.67,315.13,308.79,282.38,272.08,335.33,340.97,341.75,339.08,344.99,341.27,347.57,357.49,324.30,335.34,339.75,349.06,340.70,308.58,298.58,304.88,305.61,311.29,310.70,329.70,249.83,252.64,277.04,177.45,240.09,247.57,197.38,283.96,284.33,303.00,252.16,222.59,243.87,328.37,276.16,303.61
2000-12-18 22:05:01.704000,L7,391.42,385.80,443.11,,354.50,393.20,374.46,389.40,392.58,389.87,367.81,366.18,366.30,331.33,371.46,438.11,374.41,356.68,376.24,384.22,384.81,375.15,381.29,390.63,386.46,387.31,407.03,389.60,395.45,394.91,396.45,406.80,416.90,414.18,408.92,395.58,393.95,398.14,382.80,365.64,363.71,364.02,364.46,343.51,359.00,360.71,421.50,391.74,404.99,496.13,,,,379.95,364.36,371.57,372.20,378.53,378.83,380.79,387.62
2001-01-03 22:05:00.181000,L7,413.89,416.71,393.89,423.95,412.50,415.04,415.80,421.89,416.08,426.38,400.13,407.72,405.80,379.69,404.30,384.15,349.00,346.49,345.13,342.62,362.50,388.62,379.41,367.46,387.04,392.25,406.21,396.81,395.56,377.83,438.45,354.27,361.75,351.12,411.16,417.41,413.10,405.39,397.27,408.79,291.42,244.23,458.07,396.51,366.32,381.88,367.69,356.39,351.07,347.39,345.67,350.38,354.96,413.81,411.14,417.69,342.82,353.82,347.35,378.15,373.12
