dates,satname,nzd0423-0000,nzd0423-0001,nzd0423-0002,nzd0423-0003,nzd0423-0004,nzd0423-0005,nzd0423-0006,nzd0423-0007,nzd0423-0008,nzd0423-0009,nzd0423-0010,nzd0423-0011,nzd0423-0012,nzd0423-0013,nzd0423-0014,nzd0423-0015,nzd0423-0016,nzd0423-0017,nzd0423-0018,nzd0423-0019,nzd0423-0020,nzd0423-0021,nzd0423-0022,nzd0423-0023,nzd0423-0024,nzd0423-0025,nzd0423-0026,nzd0423-0027,nzd0423-0028,nzd0423-0029,nzd0423-0030,nzd0423-0031,nzd0423-0032,nzd0423-0033,nzd0423-0034,nzd0423-0035,nzd0423-0036,nzd0423-0037,nzd0423-0038,nzd0423-0039,nzd0423-0040,nzd0423-0041,nzd0423-0042,nzd0423-0043,nzd0423-0044,nzd0423-0045,nzd0423-0046,nzd0423-0047,nzd0423-0048,nzd0423-0049,nzd0423-0050,nzd0423-0051,nzd0423-0052,nzd0423-0053,nzd0423-0054,nzd0423-0055,nzd0423-0056,nzd0423-0057,nzd0423-0058,nzd0423-0059,nzd0423-0060,nzd0423-0061,nzd0423-0062,nzd0423-0063,nzd0423-0064,nzd0423-0065,nzd0423-0066,nzd0423-0067,nzd0423-0068,nzd0423-0069,nzd0423-0070,nzd0423-0071,nzd0423-0072,nzd0423-0073,nzd0423-0074,nzd0423-0075,nzd0423-0076,nzd0423-0077,nzd0423-0078,nzd0423-0079,nzd0423-0080,nzd0423-0081,nzd0423-0082,nzd0423-0083,nzd0423-0084,nzd0423-0085,nzd0423-0086,nzd0423-0087,nzd0423-0088,nzd0423-0089,nzd0423-0090,nzd0423-0091,nzd0423-0092,nzd0423-0093,nzd0423-0094,nzd0423-0095,nzd0423-0096,nzd0423-0097,nzd0423-0098,nzd0423-0099,nzd0423-0100,nzd0423-0101,nzd0423-0102,nzd0423-0103,nzd0423-0104,nzd0423-0105,nzd0423-0106,nzd0423-0107,nzd0423-0108,nzd0423-0109,nzd0423-0110,nzd0423-0111,nzd0423-0112,nzd0423-0113,nzd0423-0114,nzd0423-0115,nzd0423-0116,nzd0423-0117,nzd0423-0118,nzd0423-0119,nzd0423-0120,nzd0423-0121,nzd0423-0122
1999-11-21 22:12:47.994000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.50,218.29,232.66,223.83,220.58,219.14,231.02,231.68,232.75,237.13,,243.83,253.56,252.56,241.84,248.30,,,,195.64,240.67,228.97,226.52,227.16,249.09,240.80,236.50,232.51,238.40,236.96,233.71,234.58,241.14,238.51,234.16,239.22,243.36,249.83,250.55,258.72,250.31,241.13,233.93,243.59,262.10,246.25,227.34,234.39,251.80,256.08,256.92,247.88,257.49,232.83,250.05,255.01,242.37,267.03,259.45,270.58,276.84,276.29,269.85,270.30,273.60,257.04,264.80,229.03,267.50,254.63,258.24,254.41,257.22,212.80,209.14,246.68,266.41,221.62,203.80,201.02,182.38,171.79,180.52,,211.92,224.73,231.44,229.42,242.88,268.78
2001-01-10 22:10:27.647000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.90,206.04,200.25,207.70,222.82,217.79,215.82,225.74,225.10,217.43,219.92,,,191.82,229.07,228.87,195.14,204.44,168.22,230.96,,,222.84,242.99,226.30,225.78,213.50,223.62,223.60,242.84,,,,,,,258.31,245.88,246.65,238.29,242.69,,,,208.48,235.98,228.19,219.82,,,191.19,190.99,201.53,197.53,238.58,,,,,,,,170.71,207.30,207.90,227.10,222.11,183.69,
2003-08-20 21:57:03.003000,L5,,,196.43,192.73,193.07,185.32,190.53,194.37,199.88,,,,,,,,,,177.35,187.63,186.25,185.88,181.76,192.67,197.51,202.41,206.46,205.01,202.07,203.73,204.70,212.96,208.35,212.43,212.33,216.22,220.28,222.43,221.75,224.12,226.50,233.67,227.33,234.12,230.33,231.93,222.68,224.63,222.78,227.74,236.03,225.12,232.40,225.38,219.91,223.04,213.51,224.86,225.71,226.44,226.19,218.68,177.38,188.09,195.15,178.70,198.59,177.46,190.89,237.27,235.17,231.51,227.48,223.59,220.48,212.64,221.48,236.45,226.81,234.11,248.91,238.61,241.26,249.88,245.45,249.76,248.32,245.83,256.87,263.87,270.29,264.75,273.03,267.80,266.62,263.07,265.30,260.00,254.58,247.75,252.81,247.30,235.46,238.37,240.54,251.84,252.49,256.95,232.72,279.86,222.36,202.87,188.50,181.24,187.19,177.48,171.93,184.30,207.57,224.94,216.56,,
2003-12-10 21:58:29.659000,L5,326.87,308.77,309.77,296.21,298.83,306.89,299.19,302.45,311.59,325.90,300.79,297.97,298.61,307.72,314.64,315.46,293.31,289.76,267.39,277.01,284.35,274.47,276.35,294.44,291.62,299.43,295.54,299.67,291.51,299.69,295.93,289.32,299.39,289.46,304.35,311.96,311.34,316.56,345.95,337.85,344.56,352.68,353.05,366.08,365.79,338.10,337.74,347.94,345.20,342.81,347.67,366.94,359.51,371.16,363.81,375.37,360.05,363.95,362.56,353.63,344.03,347.07,359.53,353.82,353.10,340.77,339.52,349.47,350.46,355.78,362.35,354.18,359.27,345.50,355.28,341.39,335.02,350.00,365.44,340.96,356.19,358.28,356.48,338.36,353.94,346.74,352.59,346.41,352.04,342.49,354.62,346.48,357.62,354.43,357.97,364.02,364.43,354.89,350.50,352.08,354.80,338.21,344.34,333.23,340.27,345.34,336.20,343.09,355.27,351.97,347.92,335.85,345.11,326.89,319.46,332.96,336.66,311.49,325.29,371.20,327.39,327.20,329.59
2004-01-27 21:58:50.060000,L5,339.18,324.68,346.47,328.38,326.82,329.22,340.71,410.72,480.78,335.73,335.51,324.61,316.28,288.47,282.96,296.54,284.65,296.82,282.58,284.58,278.13,301.70,276.30,268.46,278.08,281.87,295.35,288.72,289.81,296.18,316.98,307.19,309.83,309.00,324.80,320.46,330.08,321.73,323.47,320.99,323.58,327.51,329.13,335.99,342.41,350.04,335.50,319.84,360.29,343.87,353.13,330.97,340.51,332.24,341.86,361.82,356.47,361.71,355.81,374.12,364.51,382.28,357.76,381.73,381.32,369.82,350.95,349.24,338.32,341.72,348.65,352.53,352.35,375.60,383.09,367.03,388.34,378.69,352.63,346.24,348.09,333.42,334.04,329.15,335.96,325.43,334.12,349.06,351.54,357.14,359.41,357.72,365.17,354.73,342.88,351.08,352.60,352.98,350.97,347.70,341.72,346.20,350.75,346.49,361.08,347.32,346.98,346.16,329.85,339.29,337.01,330.45,331.97,326.90,339.52,323.90,325.58,337.65,336.37,370.37,339.81,332.18,319.48
2004-08-22 22:03:12.259000,L5,,,,,,,,,,,,,,,,,,,,,,,167.84,185.01,192.35,197.45,201.91,203.99,198.02,203.81,205.07,210.75,203.66,206.89,201.58,209.08,206.39,212.99,211.23,219.84,211.69,224.71,222.76,232.42,231.45,230.23,227.00,224.00,217.25,221.01,221.80,212.39,222.65,204.80,,,,214.47,213.97,218.86,227.58,205.39,218.16,228.04,227.86,239.46,232.54,234.82,231.22,230.95,217.17,214.03,215.80,215.95,217.44,227.46,199.46,219.52,200.17,209.53,240.87,221.45,226.89,222.89,239.14,221.30,241.25,242.60,257.52,260.35,265.53,254.81,260.49,259.50,253.80,250.97,247.59,241.47,226.95,235.60,243.60,241.04,222.13,222.33,234.24,244.59,248.01,249.85,224.59,274.90,204.54,184.55,180.92,179.16,177.16,177.04,171.31,174.55,,,,,
2004-10-09 22:04:22.371000,L5,223.31,226.48,222.56,228.18,226.81,217.54,214.37,215.49,222.65,230.24,238.89,239.49,238.83,228.13,231.17,231.43,226.09,212.60,214.22,218.73,216.24,213.98,215.99,218.59,226.93,230.66,231.57,227.75,225.77,225.45,230.44,230.19,223.99,225.14,225.56,228.36,236.68,234.76,238.34,,,,,,,,,,,,,,,237.49,252.13,230.60,249.62,271.07,277.20,275.36,267.11,258.18,250.08,260.92,267.72,279.09,277.33,277.27,275.74,280.53,282.28,276.42,279.84,277.33,268.96,276.43,275.98,283.22,279.48,278.99,296.18,288.84,286.00,289.49,289.42,285.45,302.24,293.80,300.19,294.93,304.32,294.86,293.36,293.82,296.76,299.30,303.53,296.27,299.12,290.70,297.35,286.73,281.14,278.11,282.38,278.38,284.32,281.51,281.68,301.90,265.73,260.23,249.22,237.72,248.71,234.64,231.51,254.52,253.24,261.49,261.15,268.78,296.70
2004-11-26 22:05:17.306000,L5,236.82,240.75,240.00,244.03,238.36,236.75,239.75,225.26,224.73,229.20,230.51,234.20,229.53,226.36,238.82,242.32,241.42,240.20,236.21,236.98,233.51,230.55,212.79,213.81,218.75,219.60,224.17,226.01,231.15,239.88,255.46,249.36,253.45,253.29,260.40,258.47,257.66,245.10,245.10,250.07,252.84,256.26,256.90,257.76,279.22,286.99,279.93,287.06,279.56,285.57,281.97,266.44,264.42,266.20,261.29,263.96,265.71,271.65,280.39,290.54,278.73,284.20,281.33,286.83,287.23,283.64,274.68,273.08,272.24,276.72,276.50,271.75,289.28,288.90,286.22,292.09,295.86,292.50,296.64,278.60,287.74,276.71,281.23,281.49,282.06,282.68,303.55,300.40,310.24,311.59,323.43,309.91,319.50,297.10,293.14,295.13,293.56,294.10,292.35,290.35,305.49,300.76,302.16,293.89,299.87,295.04,300.33,285.23,292.43,303.69,269.44,261.67,259.82,248.82,260.24,257.17,257.29,276.06,279.08,277.44,270.44,276.38,295.47
2005-02-14 22:06:33.160000,L5,227.54,224.79,221.83,228.96,226.19,225.18,226.78,229.99,244.16,246.20,249.73,248.59,249.45,245.94,250.18,228.01,226.41,221.44,223.92,219.82,220.84,216.25,224.47,238.49,238.11,227.31,240.33,250.25,254.12,255.21,237.24,238.99,242.30,245.21,242.57,242.36,248.65,267.83,265.39,278.29,281.21,277.62,282.31,282.54,283.55,269.28,272.39,268.63,271.47,269.52,269.05,275.96,292.10,286.32,276.04,262.64,257.26,268.70,269.14,251.68,259.67,256.21,263.33,263.86,279.17,287.14,300.80,288.43,285.94,289.51,295.64,286.82,296.48,269.82,274.59,279.38,284.95,287.38,282.53,289.11,314.54,305.61,303.92,315.98,306.88,302.86,305.67,289.74,294.55,297.78,306.22,297.79,308.12,309.72,317.00,315.49,315.21,309.75,313.43,310.51,297.44,285.59,284.77,287.04,281.45,289.43,287.98,305.79,313.52,321.92,286.67,280.90,274.94,268.43,247.62,239.32,247.32,264.67,262.93,264.87,270.70,297.54,311.62
2005-03-02 22:06:47.890000,L5,190.18,194.36,195.19,197.07,199.30,196.17,189.02,190.20,186.57,192.03,195.73,198.26,189.56,,,,,173.32,197.33,198.06,188.73,183.96,183.25,184.94,185.41,188.90,194.79,201.03,210.52,217.71,218.92,219.38,216.29,219.99,219.97,211.27,211.21,215.68,215.66,218.67,221.32,223.67,233.59,241.05,244.80,243.51,244.96,242.22,243.97,240.75,232.25,230.95,232.92,235.47,221.63,223.36,223.42,240.82,244.10,239.51,238.26,234.52,238.42,239.51,234.37,236.37,237.36,235.94,235.50,238.47,240.15,243.53,248.72,241.61,236.52,235.50,217.23,224.95,207.80,216.26,236.40,217.76,168.41,,,,,,,,,,,,,,221.66,213.58,240.66,248.18,243.05,238.55,235.40,246.65,243.21,233.87,232.15,240.22,221.03,247.53,200.62,187.29,185.74,186.49,203.54,195.45,196.47,218.60,222.31,221.04,219.97,221.74,
