dates,satname,nzd0325-0000,nzd0325-0001,nzd0325-0002,nzd0325-0003,nzd0325-0004,nzd0325-0005,nzd0325-0006,nzd0325-0010,nzd0325-0011,nzd0325-0012,nzd0325-0013,nzd0325-0014,nzd0325-0018,nzd0325-0019,nzd0325-0020,nzd0325-0021,nzd0325-0022,nzd0325-0032,nzd0325-0033,nzd0325-0034,nzd0325-0035,nzd0325-0036,nzd0325-0037,nzd0325-0038,nzd0325-0039,nzd0325-0040,nzd0325-0041,nzd0325-0042,nzd0325-0054,nzd0325-0055,nzd0325-0056,nzd0325-0057,nzd0325-0058,nzd0325-0059,nzd0325-0060,nzd0325-0079,nzd0325-0080,nzd0325-0081,nzd0325-0082,nzd0325-0083,nzd0325-0084,nzd0325-0085,nzd0325-0086,nzd0325-0087,nzd0325-0088,nzd0325-0089,nzd0325-0090,nzd0325-0091,nzd0325-0092,nzd0325-0093,nzd0325-0094,nzd0325-0095,nzd0325-0096,nzd0325-0007,nzd0325-0008,nzd0325-0009,nzd0325-0015,nzd0325-0016,nzd0325-0017,nzd0325-0023,nzd0325-0024,nzd0325-0025,nzd0325-0026,nzd0325-0027,nzd0325-0028,nzd0325-0029,nzd0325-0030,nzd0325-0031,nzd0325-0043,nzd0325-0044,nzd0325-0045,nzd0325-0046,nzd0325-0047,nzd0325-0048,nzd0325-0049,nzd0325-0050,nzd0325-0051,nzd0325-0052,nzd0325-0053,nzd0325-0061,nzd0325-0062,nzd0325-0063,nzd0325-0064,nzd0325-0065,nzd0325-0066,nzd0325-0067,nzd0325-0068,nzd0325-0069,nzd0325-0070,nzd0325-0071,nzd0325-0072,nzd0325-0073,nzd0325-0074,nzd0325-0075,nzd0325-0076,nzd0325-0077,nzd0325-0078
1999-08-28 21:53:35.950000,L7,193.47,268.34,268.24,225.44,242.11,234.34,279.75,209.29,202.20,183.94,210.67,288.17,239.68,248.37,198.34,204.96,282.10,237.96,252.62,263.20,274.40,285.46,250.58,285.92,256.08,282.20,285.24,272.93,226.01,223.97,216.26,214.67,208.63,203.94,203.64,171.38,192.85,202.15,199.56,215.55,223.43,212.00,226.74,244.10,215.62,246.72,201.81,247.71,244.65,248.19,251.82,253.29,254.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-29 21:54:04.102000,L7,458.93,440.85,437.85,436.85,436.79,437.34,427.94,432.65,452.54,481.25,451.37,488.62,470.56,444.83,446.90,442.71,446.60,444.49,454.33,431.53,428.62,454.62,439.06,442.66,443.10,438.61,418.19,422.26,382.24,371.42,360.88,352.63,346.79,348.79,365.03,433.65,440.65,447.09,445.84,429.80,458.30,477.30,421.50,413.56,413.45,379.10,447.87,445.01,469.67,448.33,469.06,521.62,470.40,427.80,451.32,438.61,459.67,473.93,460.89,454.23,440.99,443.97,466.13,467.47,456.45,453.96,469.43,446.41,413.86,431.27,398.32,395.48,429.41,395.44,386.71,379.07,379.11,371.63,365.72,341.05,365.90,335.80,338.98,340.05,369.54,387.46,364.60,398.38,408.88,412.51,419.87,418.47,407.85,400.23,394.11,375.24,380.94
1999-11-16 21:53:32.114000,L7,516.36,500.98,495.30,501.81,496.60,490.52,483.44,483.06,474.97,507.88,523.49,488.17,482.41,496.34,489.67,474.34,489.72,465.52,469.32,468.06,491.88,475.59,484.57,499.73,486.57,465.08,477.16,466.31,379.75,353.20,371.63,354.97,348.50,336.81,351.14,449.01,368.72,450.93,358.75,407.32,418.59,412.08,391.04,378.86,375.98,374.82,382.67,407.05,415.15,414.41,430.42,428.54,453.00,467.85,455.47,498.50,472.07,478.71,487.74,484.61,476.65,470.07,478.74,473.48,469.73,470.55,469.13,474.70,476.19,467.12,439.32,447.08,432.97,429.03,428.10,416.72,415.01,406.50,394.94,337.88,344.85,348.31,344.02,343.37,319.94,383.65,402.82,329.00,344.43,406.38,412.72,396.12,391.20,347.83,330.68,305.67,313.07
1999-12-09 21:59:45.569000,L7,,,,,,408.96,417.45,,500.51,513.23,368.74,372.11,523.19,496.38,446.69,348.86,348.50,356.87,356.53,357.93,355.94,360.63,360.70,365.08,360.54,353.09,344.63,342.84,297.77,290.41,285.44,291.45,286.26,286.91,291.67,269.98,268.43,275.06,275.48,284.56,290.92,288.34,297.35,297.15,302.90,299.28,303.18,309.06,312.49,317.05,317.90,318.19,313.98,453.92,,,364.96,357.61,410.09,355.91,340.48,321.20,340.51,345.76,343.66,342.63,348.79,350.82,347.90,343.70,347.77,345.06,342.68,336.47,333.30,327.60,314.92,308.61,305.83,284.24,293.10,279.69,273.52,279.60,269.66,275.16,282.56,292.52,300.49,305.35,317.02,324.64,324.39,319.63,288.45,265.68,267.65
1999-12-25 21:59:40.109000,L7,345.36,341.69,352.99,338.70,338.46,457.66,549.74,402.19,437.98,,,418.83,442.99,374.48,175.08,362.45,348.37,324.92,332.31,321.24,330.93,335.68,329.76,337.23,345.33,333.12,324.42,319.69,,,,425.62,476.87,388.63,501.22,194.09,204.31,217.27,214.08,216.61,233.86,247.12,535.32,438.66,,,,,286.14,426.46,356.32,328.11,180.49,,422.50,168.77,417.66,424.98,491.28,329.48,310.42,285.61,314.83,323.21,326.23,328.03,338.82,348.91,308.84,308.70,338.88,519.37,408.08,,491.02,188.04,,,,498.42,461.48,483.98,361.80,192.11,173.39,186.44,190.85,183.57,190.88,201.98,200.30,196.84,204.27,206.53,176.41,,
2000-01-19 21:53:25.812000,L7,290.81,294.09,284.48,303.28,300.22,308.26,277.01,300.06,297.80,277.08,304.01,285.83,248.84,290.12,285.44,200.43,223.36,302.27,311.41,265.89,315.00,321.90,301.72,308.66,293.35,218.67,283.11,266.96,224.70,215.67,223.10,203.97,207.69,,,,,,,,,,,,,,,231.44,213.71,225.26,,,,292.47,271.24,276.83,218.27,,256.84,,213.05,195.39,258.92,241.72,289.15,284.99,254.76,257.03,287.35,252.12,261.89,246.90,218.91,279.63,,207.78,260.22,246.87,,,,,,,,,,,,,,,,,,,
2000-01-26 21:59:38.265000,L7,342.91,340.29,341.26,342.28,339.38,341.27,339.14,354.38,350.91,352.41,273.69,380.66,517.51,437.23,374.77,485.42,323.85,,,,,,,373.63,357.76,383.67,406.97,336.64,291.69,279.90,275.01,276.74,266.73,266.43,261.55,222.74,229.18,234.13,252.11,237.61,243.67,254.91,252.90,259.13,270.23,268.87,268.65,288.12,271.66,273.97,281.91,284.94,278.18,335.58,339.10,345.84,436.87,508.62,489.79,417.66,442.91,474.42,492.16,494.91,362.72,412.41,,,338.56,332.08,333.97,334.19,329.45,330.78,319.46,320.75,308.47,299.92,294.57,260.37,256.14,199.67,233.48,234.00,205.64,237.16,213.54,243.24,255.87,256.65,242.21,244.73,239.14,270.26,227.39,212.21,221.88
2000-03-14 21:59:23.204000,L7,271.54,286.35,282.79,223.15,288.79,282.23,281.59,300.05,288.71,279.41,299.00,293.34,250.37,278.32,220.30,300.91,298.80,284.86,308.05,271.71,290.17,286.38,314.68,309.24,291.35,286.07,290.25,261.87,202.73,208.30,213.76,208.35,207.40,,,,,,,,,,,,,,,,202.02,232.52,183.53,,,208.27,239.25,298.07,301.29,289.58,223.86,195.43,209.19,200.98,249.81,217.87,264.26,241.08,252.90,246.91,291.66,217.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:21.444000,L7,277.15,288.89,292.54,289.71,253.93,284.45,285.74,300.33,296.26,278.17,292.74,300.42,257.45,289.20,286.00,301.12,309.62,272.01,307.86,272.70,291.23,312.61,307.77,317.34,309.18,293.78,297.18,274.48,222.06,219.19,226.27,217.10,212.79,199.49,,,,,,,,,,,,,,,,,,,,290.50,280.90,285.78,307.59,295.01,263.92,283.94,212.66,215.39,272.41,273.25,296.32,294.81,311.18,213.76,292.90,305.44,261.65,244.33,279.91,276.48,199.12,211.24,260.15,240.17,195.75,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:06.644000,L7,210.23,271.92,268.85,241.69,245.35,262.46,274.92,266.14,282.06,203.52,246.01,286.66,238.52,250.37,231.86,248.71,275.32,233.82,275.56,259.59,279.66,291.87,300.08,290.73,299.66,295.16,277.14,208.96,,,,,,,,175.35,195.23,200.47,203.88,206.62,220.17,223.18,222.53,237.62,242.25,248.97,,242.08,219.26,254.82,250.38,254.84,254.87,,,,208.96,,182.40,285.99,,,,,218.82,231.07,250.14,207.38,285.22,,,,,,207.08,222.01,,,,,,,,,168.89,172.40,176.24,181.74,191.11,187.90,178.89,189.05,170.12,,,,
