dates,satname,nzd0366-0000,nzd0366-0001,nzd0366-0002,nzd0366-0003,nzd0366-0004,nzd0366-0005,nzd0366-0006,nzd0366-0007,nzd0366-0008,nzd0366-0009,nzd0366-0010,nzd0366-0011,nzd0366-0012,nzd0366-0013,nzd0366-0014,nzd0366-0015,nzd0366-0016,nzd0366-0017,nzd0366-0018,nzd0366-0019,nzd0366-0020,nzd0366-0021,nzd0366-0022,nzd0366-0023,nzd0366-0024,nzd0366-0025,nzd0366-0026,nzd0366-0027,nzd0366-0028,nzd0366-0029,nzd0366-0030,nzd0366-0031,nzd0366-0032,nzd0366-0033,nzd0366-0034,nzd0366-0035,nzd0366-0036,nzd0366-0037,nzd0366-0038,nzd0366-0039,nzd0366-0040,nzd0366-0041,nzd0366-0042,nzd0366-0043,nzd0366-0044,nzd0366-0045,nzd0366-0046,nzd0366-0047,nzd0366-0048,nzd0366-0049,nzd0366-0050,nzd0366-0051,nzd0366-0052,nzd0366-0053,nzd0366-0054,nzd0366-0055,nzd0366-0056,nzd0366-0057
1999-08-17 22:12:26.065000,L7,245.45,280.38,372.56,417.36,474.07,540.47,373.85,371.34,373.34,358.93,349.69,341.46,332.87,336.49,329.57,437.01,441.15,440.02,456.40,527.92,508.06,512.69,519.37,522.88,510.24,515.81,530.09,545.14,309.29,325.99,321.51,310.63,321.23,323.14,546.35,543.41,543.02,541.75,529.89,548.91,538.37,319.21,317.13,316.90,328.74,340.15,343.84,340.84,352.18,345.92,338.01,372.19,361.77,351.77,343.67,324.92,307.59,280.86
1999-08-26 22:06:20.800000,L7,,,269.79,310.85,297.09,340.35,372.79,368.69,365.96,358.65,351.19,336.15,396.66,386.02,360.05,319.21,310.25,318.56,319.73,313.08,309.67,306.44,298.52,310.47,361.99,372.45,376.50,378.60,397.28,404.90,420.47,377.25,367.21,297.50,297.95,295.27,358.31,362.77,374.75,348.90,345.64,360.72,348.57,356.44,360.75,342.79,325.60,351.29,350.01,334.24,333.96,328.09,324.77,322.69,311.38,313.39,295.78,281.55
1999-09-18 22:12:27.821000,L7,248.06,269.06,314.66,347.21,376.91,396.74,465.20,456.46,449.51,435.06,408.92,396.91,399.63,425.11,399.81,422.61,434.25,433.00,371.24,377.46,376.44,398.10,410.24,359.41,362.47,439.17,401.86,439.92,437.94,454.75,438.70,358.97,352.34,351.47,334.43,329.76,349.39,337.58,350.40,472.00,489.19,491.08,511.40,498.89,490.79,493.47,496.62,495.82,508.28,511.82,520.58,516.11,368.93,367.09,383.31,376.21,373.72,396.73
1999-10-13 22:06:24.714000,L7,215.40,295.93,328.96,306.35,282.25,419.81,422.40,423.51,413.59,398.27,390.51,361.31,357.99,341.98,337.60,333.42,330.49,331.91,328.23,325.37,328.44,335.47,331.95,323.56,318.89,316.79,317.74,324.75,319.20,317.21,317.33,316.44,315.36,436.28,412.15,444.90,451.92,447.71,454.77,461.16,468.43,470.11,474.48,475.47,494.72,491.06,474.88,463.21,494.75,507.41,515.41,539.05,487.63,509.74,505.26,505.50,505.65,535.89
1999-11-21 22:12:24.026000,L7,282.82,328.30,342.57,365.83,409.57,432.51,447.43,460.14,450.35,454.28,420.19,409.23,385.87,385.17,367.30,358.01,359.62,369.88,394.04,422.27,376.67,386.94,386.83,357.39,364.57,357.94,361.52,366.54,357.89,376.70,374.21,369.31,358.94,367.69,369.12,379.03,378.94,358.05,354.68,360.53,378.75,382.13,381.16,378.66,389.89,374.59,393.66,402.08,403.07,401.52,401.78,395.63,394.11,398.56,398.29,384.01,392.47,394.69
2000-01-17 22:06:11.705000,L7,252.00,258.32,273.71,301.09,291.22,340.96,372.52,380.14,387.84,377.54,349.38,421.40,398.31,338.23,344.65,327.91,327.73,326.98,332.17,323.71,320.00,324.36,326.95,325.82,326.66,324.25,318.24,316.22,308.30,309.10,303.91,290.98,261.18,240.21,249.47,224.69,215.98,222.43,235.04,,278.69,298.20,311.35,316.48,324.69,337.97,341.17,351.68,350.41,490.91,400.75,399.02,472.83,446.77,443.64,387.93,355.48,487.01
2000-03-21 22:06:01.097000,L7,,269.65,301.35,277.23,285.17,340.71,358.39,360.57,354.96,364.63,389.35,375.77,368.91,388.69,350.52,365.96,368.35,387.67,378.77,344.77,364.77,362.84,359.32,376.37,373.63,321.78,386.15,396.79,405.24,313.75,398.04,406.05,411.19,374.09,404.36,356.52,348.60,411.61,436.91,446.12,455.83,312.25,319.34,311.47,321.96,319.09,326.35,325.26,323.59,328.93,331.72,327.37,329.64,323.21,225.98,179.01,173.51,175.00
2000-05-24 22:05:22.488000,L7,253.08,273.15,262.75,302.65,316.55,353.98,377.41,366.07,406.45,399.29,358.04,363.70,360.16,366.42,344.57,332.25,344.49,335.74,325.03,314.86,316.81,320.52,321.14,327.40,352.25,361.67,333.75,360.36,311.44,313.42,316.57,323.71,313.60,356.00,304.64,309.02,310.09,310.78,319.95,318.99,317.32,374.63,470.79,437.43,485.41,439.83,498.80,510.73,521.12,341.25,534.89,540.91,539.75,512.43,515.14,532.21,542.17,363.33
2000-05-31 22:11:30.559000,L7,,,,,,273.87,294.03,320.09,221.64,292.93,276.66,313.17,310.99,307.35,302.24,295.20,265.16,316.28,234.62,251.45,254.77,272.59,258.39,252.80,222.68,272.53,293.69,285.34,283.52,293.19,291.44,285.93,283.24,226.28,215.24,256.78,226.88,251.59,,,,,,,,,,,,,,,,,,,,
2000-08-03 22:10:43.917000,L7,193.34,227.97,213.78,244.62,309.30,332.97,360.68,364.13,352.88,352.28,364.27,370.39,331.62,357.80,353.93,354.13,326.67,316.20,323.03,326.96,316.18,329.87,324.33,328.07,324.13,320.80,321.87,332.90,458.87,466.38,486.86,483.33,467.22,459.30,449.89,456.80,465.05,457.98,449.16,457.39,494.97,483.80,484.87,496.50,480.60,489.35,499.69,501.30,516.14,522.90,526.85,515.10,378.18,390.83,345.44,497.69,511.28,469.75
2000-08-19 22:10:38.028000,L7,401.01,346.37,447.42,253.98,273.89,335.84,366.83,360.53,355.34,352.85,388.69,395.28,383.29,429.11,398.42,455.25,354.52,356.57,342.89,321.92,318.08,327.70,327.20,322.88,331.47,349.39,336.12,333.07,472.99,479.39,485.87,479.64,478.58,345.35,325.68,321.60,327.34,329.67,341.00,326.53,328.73,358.34,341.18,341.95,347.42,342.97,346.04,350.17,363.68,353.48,356.43,354.90,351.28,336.84,354.89,335.15,406.21,379.30
2000-09-04 22:10:22.552000,L7,,,,,241.64,339.29,365.07,353.45,348.16,343.44,331.01,327.36,321.64,343.01,322.21,328.72,323.19,311.41,317.53,307.92,307.00,305.13,301.18,313.73,302.86,302.02,303.01,283.83,284.09,287.49,294.30,286.70,309.70,290.32,270.56,296.92,310.35,275.45,244.72,267.01,270.57,280.50,296.63,321.43,440.64,477.48,485.78,501.04,471.54,,269.79,280.25,305.93,327.84,247.57,463.71,482.25,510.67
2000-09-13 22:04:02.015000,L7,,,,,,165.89,349.90,355.87,344.71,339.04,325.25,316.96,311.80,310.96,379.95,377.86,365.28,376.17,364.79,363.18,349.41,347.87,355.68,366.16,373.97,384.47,354.33,375.07,387.72,399.88,397.05,389.43,289.88,406.04,419.13,390.39,415.50,353.28,370.65,534.12,500.79,524.51,517.23,545.70,385.80,391.52,409.57,426.03,430.45,389.19,362.58,400.65,407.47,377.05,,,,404.28
2000-09-20 22:10:03.047000,L7,208.06,225.36,212.94,255.35,302.05,344.44,371.65,364.95,386.82,391.34,368.87,359.47,344.14,352.51,347.64,338.16,328.89,320.82,319.52,314.36,314.68,311.92,316.05,313.15,317.19,319.75,312.81,300.81,305.14,305.56,307.87,308.77,310.57,306.97,311.24,312.38,306.25,304.71,308.24,309.56,316.27,313.05,314.44,316.81,330.55,330.01,328.75,333.76,500.59,502.59,508.22,335.30,333.88,328.81,328.28,313.99,287.86,260.88
2000-11-07 22:09:53.335000,L7,,,,239.65,298.44,335.63,360.35,357.79,377.34,380.55,375.67,368.21,331.99,348.77,339.93,334.51,348.41,338.75,333.38,321.52,383.15,385.11,457.20,465.24,472.20,433.58,399.45,412.97,325.06,320.10,319.20,463.55,466.96,393.03,388.93,427.10,431.60,441.00,446.49,525.73,534.34,536.22,423.15,348.64,351.14,373.96,372.90,382.38,386.97,407.95,425.02,420.43,412.97,423.60,420.78,416.44,431.97,257.36
2001-01-10 22:10:03.706000,L7,261.44,237.98,253.88,294.14,341.82,377.15,396.58,412.96,433.13,439.04,440.31,441.92,431.98,432.90,460.31,435.08,451.33,417.88,411.08,423.67,418.53,416.73,419.32,424.65,404.89,421.41,381.21,381.64,380.36,385.19,401.80,403.71,403.40,400.83,427.24,418.17,441.37,437.99,417.25,450.62,352.34,359.78,407.04,408.98,370.61,373.09,386.77,385.23,402.53,405.68,412.08,413.47,421.36,420.81,455.53,390.00,401.59,413.81
2001-01-19 22:03:55.051000,L7,215.91,209.45,204.74,252.94,319.61,339.51,356.90,358.74,360.84,369.23,368.77,362.24,355.47,350.10,344.10,336.45,331.52,333.91,325.43,353.58,348.18,373.48,392.13,398.93,327.29,328.30,324.95,325.33,324.22,333.71,333.17,336.84,333.90,337.65,332.19,337.46,321.06,320.67,312.07,309.51,310.84,321.22,323.35,334.15,344.60,331.93,333.64,333.89,339.75,344.11,348.76,350.57,349.75,338.64,335.43,320.58,298.85,296.23
2001-02-20 22:03:48.640000,L7,253.93,250.35,311.37,304.00,368.35,406.21,425.73,412.11,472.64,450.15,452.58,439.98,439.01,447.63,429.05,418.39,413.75,417.07,414.05,420.07,417.62,418.29,392.04,401.51,399.67,414.96,424.60,421.21,421.13,416.67,397.84,421.68,410.52,419.93,402.02,400.63,405.35,413.14,416.25,390.79,379.61,376.61,394.70,421.88,432.90,421.10,394.50,406.84,415.59,405.75,390.27,398.34,432.39,450.91,446.30,435.73,396.24,377.41
2001-03-08 22:03:44.911000,L7,,,,,275.26,328.18,343.38,350.71,352.05,343.90,336.47,335.76,322.99,329.23,327.20,309.53,319.04,313.37,353.67,367.38,348.68,386.14,389.50,395.67,353.93,357.56,372.41,306.42,304.41,302.64,301.41,301.28,299.17,295.41,298.91,294.64,295.08,294.36,292.36,300.30,298.78,302.37,310.41,308.19,310.35,311.02,314.64,360.28,422.39,371.51,369.89,380.57,409.69,382.76,405.47,280.08,241.04,
2001-03-31 22:09:43.621000,L7,311.99,303.14,481.96,242.95,319.43,370.42,370.99,360.37,354.46,348.95,340.11,330.84,321.54,323.05,324.15,315.14,320.65,317.78,383.66,396.51,401.81,391.65,415.62,396.15,388.10,349.39,357.41,375.28,372.17,408.92,414.84,418.32,415.24,421.64,422.97,415.71,423.26,426.07,428.03,435.68,440.09,441.42,445.90,344.49,471.54,475.97,447.07,367.26,361.76,363.42,356.11,367.63,362.37,357.42,420.51,408.20,368.87,372.58
2001-05-27 22:03:12.319000,L7,511.57,449.16,298.73,413.93,444.81,345.10,369.26,369.25,389.26,402.16,399.73,404.69,407.71,389.88,368.26,321.06,358.28,322.67,325.63,385.60,323.88,328.56,326.42,323.45,319.08,324.41,324.08,334.49,334.12,354.02,343.01,338.88,316.60,321.68,318.08,321.51,320.35,334.30,323.50,329.98,352.23,315.40,325.47,335.40,337.49,336.34,348.87,326.86,352.48,353.31,347.22,346.66,345.14,351.52,341.48,332.47,335.07,364.98
2001-06-03 22:09:16.498000,L7,,,,,238.91,313.92,341.53,354.11,353.10,329.79,332.45,329.61,321.62,305.08,309.62,298.89,305.09,303.85,304.56,220.83,271.20,303.78,216.13,287.09,291.12,286.37,286.58,287.13,292.79,291.88,292.20,292.97,297.85,295.85,286.30,295.62,288.64,279.61,279.74,288.04,292.25,279.26,285.20,278.44,296.40,316.78,283.25,302.06,292.63,283.92,282.00,304.34,294.01,281.05,253.83,,,
2001-06-19 22:09:05.508000,L7,,,,,,334.10,354.96,357.67,365.38,356.77,339.74,333.97,335.05,326.22,325.29,313.92,326.86,319.79,317.25,316.48,323.09,306.40,313.45,311.23,312.16,309.22,311.44,291.77,310.09,306.12,298.73,301.36,292.86,294.28,297.64,302.59,305.32,301.21,320.37,335.84,341.75,304.69,308.36,307.21,306.53,312.13,317.93,314.53,310.03,320.83,317.26,315.52,312.88,319.86,250.53,433.22,449.34,
2001-07-05 22:08:57.615000,L7,,,,,,,,325.30,289.34,288.63,257.20,305.03,300.14,292.96,279.56,283.73,,,,,256.09,277.13,229.12,253.09,289.33,266.00,282.68,276.69,280.34,288.04,281.51,282.89,283.99,274.58,270.43,262.46,,,,,,,,,,241.83,251.15,202.65,,,,,,,,,,
2001-07-14 22:02:45.650000,L7,,,,,,,,340.30,331.66,301.34,301.73,316.99,308.42,298.06,296.03,289.02,280.89,299.51,,,278.76,297.34,220.58,288.71,280.47,317.74,294.90,284.34,292.19,289.43,287.04,279.07,273.90,267.21,277.60,268.85,222.66,229.49,291.41,291.98,293.64,296.93,262.61,275.91,267.12,291.94,292.65,284.40,291.84,272.33,284.49,288.52,175.01,265.66,224.38,,,
2001-08-15 22:02:14.505000,L7,,,,,236.38,331.23,339.81,352.92,351.97,345.39,342.51,340.89,323.85,339.37,316.81,392.50,401.93,388.27,386.30,377.57,371.36,310.77,313.57,309.51,312.40,306.47,315.50,287.33,316.84,368.35,408.31,423.62,427.31,437.84,314.98,316.61,313.06,302.95,307.13,308.04,306.20,308.00,310.16,417.25,397.63,442.54,388.20,392.77,411.80,427.83,435.85,359.94,401.09,347.45,387.50,413.78,432.31,481.71
2001-08-31 22:02:05.221000,L7,,,,,254.16,334.14,341.83,357.00,355.72,361.60,342.68,333.87,329.36,329.06,321.30,356.53,374.42,419.82,419.68,385.13,379.08,367.22,378.07,396.49,407.36,438.97,360.64,349.08,385.63,359.49,375.15,355.57,410.66,401.82,375.54,399.52,392.85,402.67,400.31,404.00,465.74,351.99,360.21,366.61,344.31,358.43,398.18,386.25,397.25,397.61,389.30,393.67,402.40,411.04,420.67,312.46,302.45,271.03
2001-09-23 22:08:02.998000,L7,,,,,286.16,348.26,359.34,367.66,391.28,407.91,416.59,404.25,388.26,366.08,356.89,346.75,349.24,350.06,332.09,325.06,320.66,326.26,321.08,335.09,339.56,331.75,335.42,332.87,317.21,331.11,326.15,327.21,334.50,333.10,318.53,317.39,316.07,324.94,312.91,318.87,322.10,323.69,321.29,326.28,332.03,336.02,344.22,358.61,350.17,342.79,340.99,337.53,337.19,348.87,335.19,327.02,306.85,328.54
2001-10-02 22:01:40.483000,L7,,,,,255.29,325.19,343.45,369.48,379.97,394.54,407.16,416.65,404.54,403.26,374.19,363.69,358.17,351.32,361.31,320.22,318.02,320.24,327.59,331.28,343.32,345.45,333.31,328.91,328.53,327.25,322.58,325.62,322.69,320.32,360.47,371.30,357.72,356.83,340.13,315.69,310.13,315.98,321.09,387.54,352.80,366.91,361.61,368.99,331.82,336.24,333.04,341.84,358.41,374.84,332.34,429.56,417.92,309.46
2001-11-03 22:01:46.660000,L7,,,,,279.29,330.17,351.70,368.05,394.37,364.73,399.35,388.94,384.16,372.99,363.87,433.13,423.52,423.50,397.33,395.12,354.37,394.02,412.06,425.49,438.45,452.94,405.97,443.49,437.25,445.40,428.30,447.49,432.87,350.02,414.64,426.06,426.38,436.97,430.78,405.92,429.31,436.72,433.16,539.92,542.20,545.31,328.78,327.82,324.62,326.74,331.04,359.45,327.20,320.45,310.53,301.70,281.06,266.96
2001-12-21 22:02:05.831000,L7,363.19,411.61,400.57,226.60,267.76,332.80,345.30,355.21,348.15,338.92,401.42,400.20,412.01,417.37,423.14,407.27,396.58,408.73,386.33,381.04,375.38,369.75,376.30,378.50,374.63,375.58,398.41,410.19,429.50,435.05,374.48,326.73,322.96,314.40,358.72,351.30,315.50,341.68,354.61,346.06,313.74,328.65,336.51,334.92,329.93,339.98,334.03,335.64,342.28,349.87,342.11,344.63,352.59,356.31,347.80,353.34,340.13,353.91
2002-02-07 22:02:17.936000,L7,522.93,335.96,506.62,534.87,287.37,319.58,335.16,351.18,377.83,337.01,337.38,329.53,526.68,473.84,403.58,393.22,369.03,380.87,415.06,500.44,,,539.23,362.33,294.55,289.53,213.60,,,,179.16,223.92,341.46,307.75,310.15,306.49,298.54,300.30,306.64,189.09,455.97,268.24,440.03,535.19,,,,294.45,376.28,402.30,488.97,328.30,321.58,320.76,314.97,316.02,312.95,297.49
2002-02-14 22:08:29.220000,L7,180.54,209.55,176.64,,319.54,349.09,349.84,368.72,360.34,346.86,342.20,332.47,395.18,430.55,414.06,414.41,409.59,399.55,351.24,372.18,382.82,377.15,378.09,383.23,392.94,390.23,393.37,395.87,388.32,360.94,364.46,352.19,414.73,426.31,426.53,419.08,412.45,412.04,424.92,421.04,429.98,426.95,323.16,426.55,423.65,426.52,426.48,431.09,423.26,431.95,331.33,337.13,336.57,337.07,339.24,330.27,320.96,316.53
