dates,satname,nzd0361-0000,nzd0361-0001,nzd0361-0002,nzd0361-0003,nzd0361-0004,nzd0361-0005,nzd0361-0006,nzd0361-0007,nzd0361-0008,nzd0361-0009,nzd0361-0010,nzd0361-0011,nzd0361-0012,nzd0361-0013,nzd0361-0014,nzd0361-0015,nzd0361-0016,nzd0361-0017,nzd0361-0018,nzd0361-0019,nzd0361-0020,nzd0361-0021,nzd0361-0022,nzd0361-0023,nzd0361-0024,nzd0361-0025,nzd0361-0026,nzd0361-0027,nzd0361-0028,nzd0361-0029,nzd0361-0030,nzd0361-0031,nzd0361-0032,nzd0361-0033,nzd0361-0034,nzd0361-0035,nzd0361-0036,nzd0361-0037,nzd0361-0038,nzd0361-0039,nzd0361-0040,nzd0361-0041,nzd0361-0042,nzd0361-0043,nzd0361-0044,nzd0361-0045,nzd0361-0046,nzd0361-0047,nzd0361-0048,nzd0361-0049,nzd0361-0050,nzd0361-0051,nzd0361-0052,nzd0361-0053,nzd0361-0054,nzd0361-0055,nzd0361-0056,nzd0361-0057,nzd0361-0058,nzd0361-0059,nzd0361-0060,nzd0361-0061,nzd0361-0062,nzd0361-0063,nzd0361-0064,nzd0361-0065,nzd0361-0066,nzd0361-0067,nzd0361-0068,nzd0361-0069,nzd0361-0070,nzd0361-0071,nzd0361-0072,nzd0361-0073,nzd0361-0074,nzd0361-0075,nzd0361-0076,nzd0361-0077,nzd0361-0078,nzd0361-0079,nzd0361-0080,nzd0361-0081,nzd0361-0082,nzd0361-0083,nzd0361-0084,nzd0361-0085,nzd0361-0086,nzd0361-0087,nzd0361-0088,nzd0361-0089,nzd0361-0090,nzd0361-0091,nzd0361-0092,nzd0361-0093,nzd0361-0094,nzd0361-0095,nzd0361-0096,nzd0361-0097,nzd0361-0098,nzd0361-0099,nzd0361-0100,nzd0361-0101,nzd0361-0102,nzd0361-0103,nzd0361-0104,nzd0361-0105,nzd0361-0106,nzd0361-0107,nzd0361-0108,nzd0361-0109,nzd0361-0110,nzd0361-0111,nzd0361-0112,nzd0361-0113,nzd0361-0114,nzd0361-0115,nzd0361-0116,nzd0361-0117,nzd0361-0118,nzd0361-0119,nzd0361-0120,nzd0361-0121,nzd0361-0122,nzd0361-0123,nzd0361-0124,nzd0361-0125,nzd0361-0126,nzd0361-0127,nzd0361-0128,nzd0361-0129,nzd0361-0130,nzd0361-0131,nzd0361-0132,nzd0361-0133,nzd0361-0134,nzd0361-0135,nzd0361-0136,nzd0361-0137,nzd0361-0138,nzd0361-0139,nzd0361-0140,nzd0361-0141,nzd0361-0142,nzd0361-0143,nzd0361-0144,nzd0361-0145,nzd0361-0146,nzd0361-0147,nzd0361-0148,nzd0361-0149,nzd0361-0150,nzd0361-0151,nzd0361-0152,nzd0361-0153,nzd0361-0154,nzd0361-0155,nzd0361-0156,nzd0361-0157,nzd0361-0158,nzd0361-0159,nzd0361-0160,nzd0361-0161,nzd0361-0162,nzd0361-0163,nzd0361-0164,nzd0361-0165,nzd0361-0166,nzd0361-0167,nzd0361-0168,nzd0361-0169
1999-08-17 22:12:26.065000,L7,326.50,314.20,276.29,419.91,536.14,355.68,360.39,380.51,303.80,344.81,344.27,344.56,360.10,366.46,368.95,378.56,381.14,379.66,387.82,379.41,439.98,475.85,481.88,462.08,426.54,442.22,439.64,443.80,402.13,496.63,385.73,402.78,467.32,426.79,391.94,362.70,368.29,369.56,384.54,393.09,407.96,419.21,425.52,440.91,413.25,465.34,495.06,271.29,279.71,291.16,279.83,278.46,283.49,297.06,295.09,267.97,283.68,279.83,279.95,293.14,282.26,281.81,291.88,287.76,303.34,285.60,283.45,295.06,296.45,327.65,268.82,285.63,273.38,268.49,260.67,281.83,273.39,254.93,271.69,257.25,275.96,254.58,251.91,258.41,252.26,253.32,364.85,479.62,496.75,525.44,539.40,521.84,541.60,543.10,501.06,476.55,483.58,477.48,274.88,257.73,256.47,233.19,239.41,250.01,261.32,237.56,266.86,252.48,274.55,258.27,254.63,240.32,248.28,253.50,257.57,258.75,260.89,267.15,262.89,260.95,249.21,256.42,257.06,252.04,261.98,264.08,276.61,281.63,268.78,275.12,284.62,280.67,277.21,262.59,268.74,256.52,267.82,271.47,291.31,268.94,266.28,291.15,269.46,259.02,255.77,267.12,243.79,257.56,246.44,246.18,239.55,245.40,240.86,250.82,247.12,247.96,249.31,461.04,452.17,446.44,452.08,287.71,461.99,435.41,480.84,474.85,482.89,476.40,501.30,401.76
1999-08-26 22:06:20.800000,L7,,,,,,,,,281.90,299.98,290.84,,279.71,288.46,293.01,300.64,300.76,298.45,293.78,304.38,259.07,230.82,224.72,222.90,201.50,199.01,246.98,236.75,218.75,201.23,220.39,,,,,,,,,,,,,225.68,230.38,234.68,224.52,231.69,246.23,251.21,228.86,221.19,203.80,230.78,226.24,217.60,196.07,186.19,,,,,,,,,,,,,181.55,181.20,185.09,192.59,213.09,206.12,197.51,166.92,172.12,189.54,183.65,190.49,192.75,183.00,201.93,213.01,236.61,218.61,,,,,227.72,219.35,238.20,232.49,252.21,253.77,,,,,,,,,,,,,,,,,,,,,,,198.66,213.05,219.23,222.18,255.88,225.09,222.20,216.87,210.31,221.92,223.40,206.31,218.56,189.83,210.21,196.70,218.40,219.22,237.34,215.29,219.35,228.14,234.17,263.96,249.95,237.36,181.01,194.74,,,,,,219.67,231.54,233.28,206.18,203.92,187.16,191.99,215.61,180.18,193.31,193.99,195.69,192.77,188.09,,,
1999-10-13 22:06:24.714000,L7,397.54,397.66,419.04,415.69,407.74,397.89,380.76,358.90,360.02,354.23,358.65,354.27,351.93,356.53,358.45,348.60,336.15,353.50,385.42,359.61,363.07,325.58,315.66,325.87,328.42,318.52,309.39,301.47,283.69,286.83,286.11,294.70,305.49,316.14,320.44,316.38,305.23,299.63,319.62,321.66,322.40,333.42,343.46,358.99,375.47,391.75,396.53,324.83,376.44,332.13,352.01,361.10,353.27,352.16,353.24,368.82,390.70,437.41,417.61,350.82,397.66,401.14,418.86,441.98,264.27,267.71,269.70,270.63,266.60,265.01,263.78,268.76,282.89,290.98,297.84,310.71,309.60,313.71,341.12,364.85,318.91,268.33,237.95,243.39,243.54,244.57,245.88,240.67,244.18,261.41,255.01,277.06,263.87,250.58,247.33,259.96,254.21,243.12,238.91,242.48,231.70,215.84,220.01,224.17,224.33,227.44,241.78,239.52,258.53,255.79,265.12,230.38,243.32,236.73,242.86,242.45,431.06,448.60,509.19,496.94,244.24,248.41,256.20,254.60,261.72,279.41,260.30,252.17,258.75,253.07,259.94,260.31,254.59,248.51,249.29,251.65,258.48,255.23,283.73,285.47,266.61,273.33,256.32,263.68,284.34,290.73,221.44,218.56,215.09,221.69,235.51,226.22,222.87,254.19,250.43,250.72,240.85,233.58,231.12,372.68,373.00,373.43,360.61,400.30,376.01,371.31,385.85,389.93,374.72,391.36
1999-11-21 22:12:24.026000,L7,312.28,318.48,347.26,343.14,357.41,360.04,415.67,382.00,396.54,413.97,394.55,404.59,344.34,345.98,347.33,350.61,362.85,366.66,353.09,345.40,335.48,338.52,341.08,349.69,330.15,323.69,327.34,326.37,303.27,287.53,276.59,285.06,290.63,273.24,265.21,248.64,250.91,231.59,232.48,238.09,284.93,270.71,285.56,290.04,299.37,335.35,308.98,395.88,306.18,299.12,300.16,304.82,309.09,305.56,304.91,311.28,330.29,318.83,326.87,324.63,324.66,325.10,325.06,320.12,384.42,328.63,324.58,330.74,320.23,318.31,329.19,344.96,343.44,312.42,311.16,329.95,318.21,308.73,309.41,310.52,304.14,309.81,306.34,312.14,305.33,293.92,275.70,283.49,290.78,305.27,305.36,300.47,292.43,289.16,319.60,291.81,292.78,288.63,284.27,287.78,281.40,288.06,294.05,283.60,274.85,279.30,294.91,300.74,295.69,283.90,294.01,314.13,306.58,301.97,303.57,295.38,290.08,288.93,301.88,306.95,311.75,309.31,321.61,301.92,302.41,296.18,308.66,312.81,310.42,315.25,344.02,319.29,321.14,322.08,332.26,321.01,332.36,316.82,323.31,320.21,331.29,298.57,266.59,311.24,314.87,306.05,295.26,285.92,272.13,279.84,305.20,293.15,299.70,286.24,284.61,365.91,280.22,287.34,300.71,277.37,289.67,299.85,300.43,297.77,305.26,290.74,289.08,284.73,312.74,307.04
2000-01-17 22:06:11.705000,L7,487.53,441.59,495.83,454.86,493.62,431.01,489.13,538.38,547.34,,,,,,,,,,,,,,,542.16,505.34,428.59,452.48,457.85,427.52,402.45,380.59,415.74,432.07,390.37,403.19,369.46,353.43,310.58,291.41,357.00,350.06,386.63,384.79,403.85,391.88,354.18,381.15,365.39,365.42,376.78,419.05,405.98,419.93,390.35,399.94,412.06,463.14,445.90,450.40,431.53,446.27,421.74,391.21,377.02,376.25,369.42,429.17,439.59,407.02,400.71,427.24,419.95,404.76,418.25,416.54,402.26,396.80,430.11,388.49,403.29,378.17,363.45,346.63,375.59,346.56,357.13,383.04,418.32,393.74,377.50,367.16,341.39,385.49,361.32,394.64,397.49,401.67,400.14,364.31,363.48,360.54,375.34,420.66,389.33,389.87,416.76,405.42,417.27,405.66,423.35,424.89,418.35,431.62,406.32,395.79,431.09,444.37,382.17,381.12,392.41,356.15,368.00,396.78,393.76,365.58,356.85,373.08,406.26,413.92,414.23,421.56,441.96,406.38,424.64,403.64,422.16,441.77,443.88,432.01,448.06,383.28,372.63,372.05,396.87,393.54,478.12,451.96,483.81,,,,,,,,,,,,521.74,422.70,366.09,327.18,349.78,374.88,411.32,420.95,380.15,429.16,420.89
2000-03-21 22:06:01.097000,L7,261.23,239.16,242.06,221.61,281.55,298.96,318.85,328.58,379.34,374.68,372.99,336.58,372.49,399.50,298.54,312.77,321.65,340.49,380.64,379.24,293.09,297.83,287.28,282.86,262.82,263.19,259.14,258.64,252.72,202.89,241.73,232.84,318.25,297.38,335.65,350.66,,,,,211.55,213.89,224.80,232.39,254.01,336.24,266.97,267.65,280.51,289.30,248.25,245.91,252.42,252.74,248.63,240.62,270.66,288.98,322.13,312.44,304.33,305.23,316.39,263.24,266.85,272.09,292.09,300.11,313.18,325.60,338.74,351.14,340.33,278.61,297.76,311.07,338.34,339.70,330.07,341.83,223.96,221.43,223.30,219.50,214.80,223.66,227.12,225.84,229.35,230.01,240.06,274.33,274.50,236.00,233.22,232.34,238.14,258.87,225.84,218.52,199.45,,,205.94,193.53,216.99,219.88,226.30,227.82,224.33,,185.62,222.62,221.70,228.22,224.39,216.79,226.96,217.69,221.40,230.19,238.54,242.24,239.92,245.31,250.75,249.01,244.49,242.84,234.95,240.23,243.24,234.84,237.64,242.05,240.08,249.29,249.67,249.78,245.04,262.15,278.03,283.43,283.73,284.90,235.80,223.04,215.79,215.04,216.75,232.02,234.74,233.84,251.17,249.90,261.36,220.81,224.11,229.91,217.50,254.28,252.37,254.30,254.38,244.04,250.87,261.72,268.15,286.55,237.98
2000-05-24 22:05:22.488000,L7,308.28,315.97,253.32,314.61,285.08,291.28,309.85,304.71,303.47,314.27,315.24,308.36,309.91,309.82,321.75,323.85,324.45,339.31,330.44,330.33,315.10,293.24,288.14,288.55,278.75,263.77,272.59,270.48,271.28,256.03,252.65,257.91,249.46,246.47,246.24,214.03,235.48,213.87,229.87,244.78,230.21,256.66,242.90,246.37,250.09,265.83,253.45,277.73,267.78,271.70,272.86,270.91,278.76,292.40,277.39,275.13,299.45,258.98,274.42,275.60,272.10,268.30,268.86,277.87,280.38,277.16,298.38,284.01,288.39,281.28,274.28,284.81,273.96,416.39,429.79,434.39,431.50,432.28,426.25,421.10,426.63,413.60,421.13,427.14,433.00,439.76,438.72,425.39,440.55,444.13,445.16,446.39,444.23,449.90,445.67,454.24,462.18,456.52,457.14,360.96,442.48,452.18,220.57,251.68,255.39,265.91,265.26,252.84,256.01,260.39,249.13,247.92,230.85,233.29,251.68,244.80,247.50,250.24,244.16,257.85,258.40,255.28,261.47,263.85,265.70,266.93,287.61,266.08,270.49,268.08,260.07,255.99,261.84,245.39,252.58,242.58,261.50,280.68,277.47,270.45,270.98,268.05,265.12,264.87,254.97,254.71,247.66,234.38,219.20,224.85,240.54,240.56,230.69,239.48,247.54,244.64,230.23,232.04,210.44,236.15,240.64,239.19,227.88,241.50,232.55,231.61,239.51,239.57,500.13,476.62
2000-08-03 22:10:43.917000,L7,444.13,439.83,410.02,446.20,326.97,291.93,413.77,451.26,446.32,438.97,305.62,320.03,346.68,340.04,367.17,407.33,432.30,440.92,437.04,399.07,403.00,395.96,385.02,282.80,280.64,310.09,282.20,279.05,272.56,249.87,282.94,280.36,282.36,288.92,342.55,346.53,221.08,216.56,202.09,223.44,215.69,215.73,251.92,240.28,235.67,272.23,279.65,289.43,299.03,310.79,310.44,257.43,264.53,297.63,315.51,262.01,293.66,251.58,281.48,300.38,304.04,273.72,316.11,270.21,261.40,282.55,261.48,269.18,268.35,260.30,260.85,251.79,265.61,263.40,300.75,275.33,258.18,274.66,254.09,246.59,248.67,244.75,232.44,241.50,336.76,301.75,325.87,254.60,250.20,275.73,267.38,251.83,270.88,248.53,256.13,245.71,231.48,225.63,227.74,226.41,217.76,203.46,208.33,232.43,237.96,234.72,230.26,328.80,353.02,368.95,414.71,222.18,239.44,226.23,239.48,241.76,240.62,240.61,237.23,248.93,244.08,246.61,251.45,264.25,261.38,259.83,262.95,268.64,253.41,248.57,255.42,253.82,261.65,237.50,255.00,241.52,253.21,276.30,264.57,261.82,252.23,267.40,262.99,269.03,266.91,264.52,252.47,227.65,224.85,215.10,233.66,236.73,226.35,248.43,240.30,242.91,235.46,220.92,228.78,227.11,233.13,232.62,231.54,232.08,227.12,228.82,224.87,236.46,242.02,252.86
2000-08-19 22:10:38.028000,L7,461.01,430.85,471.60,436.77,396.52,456.70,296.48,412.68,404.97,410.11,326.77,419.64,416.58,418.45,433.29,434.39,431.68,418.86,425.16,433.87,320.92,327.62,326.45,312.50,301.30,296.27,280.88,279.79,272.78,260.38,255.51,256.21,275.83,285.20,284.80,285.84,288.70,299.68,284.45,269.84,276.81,288.25,306.65,227.59,277.74,344.06,311.91,310.50,305.27,311.95,312.52,306.36,297.70,294.93,313.42,311.67,315.94,263.30,256.33,298.89,293.28,290.53,300.71,309.94,264.37,269.11,274.24,336.76,352.72,335.56,334.63,340.98,347.19,306.38,321.72,256.92,254.12,248.86,245.32,247.08,243.09,236.92,246.23,248.08,226.82,242.60,256.18,259.05,258.30,256.50,265.81,256.24,257.10,250.88,258.80,253.09,262.40,261.44,261.28,226.68,218.63,202.24,201.69,221.71,223.22,230.21,237.12,235.06,247.26,244.64,231.28,232.15,241.56,233.18,250.43,239.19,239.25,235.44,228.94,237.93,250.38,244.74,251.27,258.26,267.23,260.72,256.81,255.60,256.27,256.10,252.58,257.25,251.19,247.59,255.38,252.20,256.19,259.62,259.56,260.58,261.36,263.50,267.51,255.02,256.25,247.54,239.88,227.02,237.76,217.48,229.90,224.93,226.44,241.69,245.60,298.13,312.97,226.54,228.53,230.13,280.14,257.70,253.19,291.20,299.49,308.48,309.11,310.13,321.17,311.03
2000-09-04 22:10:22.552000,L7,293.07,287.74,277.83,320.73,361.46,300.85,309.84,353.14,300.66,442.39,435.90,426.74,424.42,412.76,409.21,478.34,463.76,443.49,405.36,443.06,437.62,437.72,381.07,410.00,461.52,382.41,381.13,378.52,361.69,362.91,407.82,415.54,380.81,371.58,373.40,292.39,415.56,410.79,407.11,399.94,387.29,388.28,396.67,406.69,417.02,430.31,441.79,442.27,444.84,426.78,404.33,411.65,409.77,388.58,402.56,451.36,438.59,267.13,264.98,266.91,285.38,276.08,279.30,281.30,309.25,306.32,302.30,304.22,315.95,280.80,317.82,271.06,282.21,264.80,260.72,402.34,400.08,405.93,418.13,423.39,432.03,444.11,458.26,442.05,435.29,440.80,449.60,451.71,451.32,464.23,467.32,478.11,477.06,479.60,490.29,493.91,467.69,465.41,467.34,455.44,426.37,445.02,440.28,188.82,227.24,235.66,473.53,384.32,265.49,269.17,237.03,228.77,240.97,236.91,269.90,233.88,236.34,240.02,229.79,237.50,243.84,249.36,276.42,263.92,280.58,287.35,272.89,274.86,265.39,277.30,260.25,260.28,266.38,253.55,257.59,262.03,269.41,265.34,267.40,265.28,266.58,265.18,250.20,245.09,242.33,233.16,212.80,209.73,211.71,210.34,223.54,220.02,219.29,227.13,237.41,231.39,223.18,218.08,221.78,221.36,222.37,218.69,222.75,218.14,220.21,215.20,224.70,231.05,234.88,239.40
