dates,satname,nzd0375-0000,nzd0375-0001,nzd0375-0002,nzd0375-0003
1999-09-04 22:00:09.953000,L7,317.09,299.83,300.98,316.40
1999-10-22 22:00:04.598000,L7,374.56,343.98,341.37,360.09
1999-12-09 22:00:09.551000,L7,327.58,313.27,302.79,319.47
2000-01-26 22:00:02.226000,L7,326.03,301.68,318.64,329.63
2000-02-11 21:59:57.866000,L7,345.82,330.35,318.87,330.15
2000-02-27 21:59:52.393000,L7,357.39,341.04,319.77,331.15
2000-03-30 21:59:45.397000,L7,335.57,322.32,215.43,330.00
2000-04-15 21:59:31.785000,L7,331.60,319.01,315.79,323.09
2000-05-01 21:59:30.586000,L7,337.61,320.57,321.31,245.30
2000-05-17 21:59:19.400000,L7,324.44,314.93,314.61,326.47
2000-06-18 21:59:03.789000,L7,302.92,299.43,307.29,321.35
2000-08-05 21:58:20.584000,L7,318.95,311.46,310.68,329.47
2000-10-24 21:57:29.684000,L7,315.45,292.59,298.68,307.83
2000-11-25 21:57:34.931000,L7,342.78,327.20,315.28,325.07
2001-02-13 21:57:39.607000,L7,339.01,236.98,318.95,323.54
2001-05-20 21:57:04.892000,L7,324.98,314.91,318.75,260.43
2001-06-05 21:56:52.440000,L7,316.10,312.38,314.46,324.59
2001-08-08 21:56:12.984000,L7,318.36,233.04,308.01,328.45
2001-09-25 21:55:40.572000,L7,334.99,317.61,212.12,321.91
2001-12-30 21:55:49.115000,L7,344.33,335.72,337.92,179.98
2002-03-04 21:56:09.860000,L7,321.93,304.10,304.13,324.75
2002-09-12 21:55:07.575000,L7,363.76,332.74,343.78,343.27
2002-10-30 21:55:01.471000,L7,356.45,341.25,317.96,328.99
2003-01-02 21:55:34.113000,L7,268.36,337.29,322.94,333.01
2003-01-18 21:55:42.118000,L7,343.40,331.27,318.58,325.42
2003-02-19 21:55:54.479000,L7,355.94,357.95,345.42,333.07
2003-07-21 21:43:45.776000,L5,329.50,314.61,303.91,294.51
2003-07-30 21:37:45.389000,L5,317.88,311.77,301.67,249.25
2003-12-28 21:45:57.554000,L5,308.18,306.36,226.84,
