dates,satname,nzd0546-0000,nzd0546-0020,nzd0546-0021,nzd0546-0022,nzd0546-0023,nzd0546-0024,nzd0546-0025,nzd0546-0026,nzd0546-0027,nzd0546-0028,nzd0546-0029,nzd0546-0030,nzd0546-0031,nzd0546-0032,nzd0546-0033,nzd0546-0034,nzd0546-0035,nzd0546-0036,nzd0546-0037,nzd0546-0038,nzd0546-0039,nzd0546-0040,nzd0546-0057,nzd0546-0058,nzd0546-0059,nzd0546-0060,nzd0546-0061,nzd0546-0062,nzd0546-0063,nzd0546-0064,nzd0546-0065,nzd0546-0066,nzd0546-0067,nzd0546-0068,nzd0546-0069,nzd0546-0070,nzd0546-0071,nzd0546-0072,nzd0546-0073,nzd0546-0074,nzd0546-0075,nzd0546-0076,nzd0546-0077,nzd0546-0078,nzd0546-0079,nzd0546-0080,nzd0546-0081,nzd0546-0082,nzd0546-0083,nzd0546-0084,nzd0546-0085,nzd0546-0086,nzd0546-0087,nzd0546-0088,nzd0546-0090,nzd0546-0091,nzd0546-0098,nzd0546-0099,nzd0546-0100,nzd0546-0101,nzd0546-0102,nzd0546-0107,nzd0546-0108,nzd0546-0109,nzd0546-0110,nzd0546-0111,nzd0546-0112,nzd0546-0116,nzd0546-0117,nzd0546-0118,nzd0546-0119,nzd0546-0120,nzd0546-0121,nzd0546-0123,nzd0546-0124,nzd0546-0125,nzd0546-0126,nzd0546-0138,nzd0546-0139,nzd0546-0140,nzd0546-0141,nzd0546-0142,nzd0546-0143,nzd0546-0144,nzd0546-0145,nzd0546-0146,nzd0546-0147,nzd0546-0148,nzd0546-0149,nzd0546-0150,nzd0546-0163,nzd0546-0164,nzd0546-0165,nzd0546-0166,nzd0546-0167,nzd0546-0168,nzd0546-0169,nzd0546-0170,nzd0546-0171,nzd0546-0172,nzd0546-0173,nzd0546-0174,nzd0546-0175,nzd0546-0176,nzd0546-0177,nzd0546-0178,nzd0546-0179,nzd0546-0180,nzd0546-0181,nzd0546-0182,nzd0546-0183,nzd0546-0184,nzd0546-0185,nzd0546-0188,nzd0546-0189,nzd0546-0190,nzd0546-0191,nzd0546-0192,nzd0546-0193,nzd0546-0194,nzd0546-0195,nzd0546-0001,nzd0546-0002,nzd0546-0003,nzd0546-0004,nzd0546-0005,nzd0546-0006,nzd0546-0007,nzd0546-0008,nzd0546-0009,nzd0546-0010,nzd0546-0011,nzd0546-0012,nzd0546-0013,nzd0546-0014,nzd0546-0015,nzd0546-0016,nzd0546-0017,nzd0546-0018,nzd0546-0019,nzd0546-0044,nzd0546-0045,nzd0546-0046,nzd0546-0047,nzd0546-0048,nzd0546-0049,nzd0546-0050,nzd0546-0051,nzd0546-0052,nzd0546-0053,nzd0546-0054,nzd0546-0055,nzd0546-0056,nzd0546-0089,nzd0546-0092,nzd0546-0093,nzd0546-0094,nzd0546-0095,nzd0546-0096,nzd0546-0097,nzd0546-0106,nzd0546-0127,nzd0546-0128,nzd0546-0130,nzd0546-0131,nzd0546-0132,nzd0546-0136,nzd0546-0137,nzd0546-0151,nzd0546-0152,nzd0546-0153,nzd0546-0154,nzd0546-0155,nzd0546-0156,nzd0546-0157,nzd0546-0158,nzd0546-0159,nzd0546-0041,nzd0546-0042,nzd0546-0043,nzd0546-0103,nzd0546-0104,nzd0546-0105,nzd0546-0122,nzd0546-0129,nzd0546-0133,nzd0546-0134,nzd0546-0135,nzd0546-0162,nzd0546-0186,nzd0546-0187,nzd0546-0160,nzd0546-0161,nzd0546-0114,nzd0546-0115,nzd0546-0113
1999-08-08 22:19:52.507000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,239.59,394.68,418.15,453.19,416.56,319.74,258.79,395.28,354.37,273.75,390.56,424.74,443.59,467.77,272.68,383.75,245.62,302.52,351.42,407.75,460.16,483.34,468.90,415.61,330.04,266.31,338.97,452.25,,247.84,377.33,455.92,436.09,442.65,431.63,365.95,417.07,454.12,458.84,461.53,451.66,464.66,269.08,281.93,514.52,270.77,271.03,414.53,399.83,,,,398.48,379.79,356.98,345.52,338.89,335.37,341.61,330.69,320.29,311.06,294.34,274.95,,,442.46,445.72,451.32,444.16,438.84,430.24,209.08,390.84,410.52,402.44,236.96,403.78,354.74,177.29,383.29,299.72,352.65,333.08,334.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.78,167.76,313.91,332.44,234.45,346.31,296.51,,,414.72,,,234.03,,,,484.37,391.49,420.97,382.54,,,,488.40,455.83,421.86,417.12,,,,,,,,,,,,,169.21,169.50,195.89,333.73,,470.04,446.79,457.24,,,,,,524.38,440.36,434.01
1999-10-27 22:19:51.122000,L7,288.21,181.96,199.92,211.12,209.39,211.15,186.88,190.59,234.63,190.36,259.55,261.39,282.28,298.22,306.82,314.93,350.35,393.21,445.06,471.64,480.73,510.56,505.38,485.54,484.17,484.60,491.86,493.23,497.31,485.10,454.50,440.02,423.18,418.92,418.04,427.04,437.68,267.12,258.97,325.26,373.28,266.71,322.39,370.76,430.07,166.59,212.68,249.10,255.12,354.01,284.82,235.89,220.23,240.65,285.27,483.70,145.95,165.45,400.39,337.90,154.06,209.61,228.68,243.62,213.52,204.28,171.37,224.14,237.61,282.32,230.58,239.68,258.42,227.61,337.84,503.37,461.26,427.12,395.30,394.76,363.11,358.40,364.19,370.02,357.29,345.36,331.06,306.73,293.53,272.72,461.42,448.01,292.57,445.64,440.98,434.31,429.98,427.72,422.81,415.12,409.17,403.84,401.13,390.06,381.49,380.70,370.57,355.34,347.84,352.69,323.14,337.75,337.33,199.90,317.91,312.95,305.57,308.90,302.63,295.95,287.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-05 22:13:40.966000,L7,,459.29,,,500.10,512.39,477.67,463.61,518.53,485.59,,479.38,501.29,522.05,440.66,432.67,505.78,445.05,470.18,,,,265.44,245.55,225.25,505.61,435.94,418.00,407.29,392.05,396.42,393.04,362.38,352.03,338.05,332.94,338.94,345.18,355.49,369.61,417.21,467.07,484.75,207.30,256.08,303.92,350.01,384.75,406.87,348.68,315.41,277.19,284.93,233.16,217.24,355.95,145.84,145.70,142.93,144.11,143.35,,,,,,,,,199.26,144.91,192.93,219.32,249.39,208.85,320.26,350.87,410.76,458.17,397.92,421.77,404.17,400.79,407.27,345.35,206.85,205.02,193.08,181.45,167.02,,,,502.61,458.95,420.39,447.20,476.54,462.64,467.87,436.60,409.41,418.55,377.10,416.17,,,,,,401.96,,,,,,,,,,,476.97,277.46,289.29,396.30,454.11,415.65,474.92,414.48,419.07,226.17,439.74,484.93,288.66,310.43,338.82,371.05,418.27,426.34,432.81,165.52,178.54,211.54,214.90,229.96,242.75,249.12,249.66,252.48,263.72,286.23,291.57,308.40,156.47,379.74,139.35,139.75,142.67,141.75,145.18,,368.26,373.01,,,,435.51,409.02,240.73,398.64,216.51,356.50,334.02,223.53,150.26,179.37,135.93,,,,229.03,,,241.98,442.78,,348.18,506.46,,,,218.67,155.50,,,
1999-12-07 22:13:41.663000,L7,369.70,436.40,515.67,,460.46,498.08,463.29,449.50,458.22,455.39,488.48,,501.67,526.61,519.26,418.49,414.63,490.50,,,,,264.71,237.38,217.69,174.98,177.50,183.55,191.27,200.77,209.48,197.86,180.29,165.29,155.71,155.73,157.02,169.21,186.95,210.80,234.66,255.15,279.89,311.97,345.48,377.40,406.72,436.14,457.61,472.78,493.31,485.82,462.77,428.41,,,318.61,177.01,381.59,455.35,506.07,482.09,466.70,353.08,403.91,499.10,397.35,,,,,,,,336.62,434.88,346.61,273.26,239.10,318.21,289.29,230.91,451.75,452.31,373.13,138.08,379.52,304.81,430.96,422.69,,,,497.48,459.49,421.96,389.37,366.17,381.21,366.36,376.36,496.83,491.57,484.15,351.05,354.37,277.96,245.45,199.91,380.41,155.53,445.70,,,487.76,437.49,431.41,350.67,362.31,354.04,359.87,434.21,270.44,278.59,298.21,342.25,347.06,316.21,165.45,188.20,218.49,242.58,258.65,287.37,294.93,328.32,360.42,401.62,411.77,413.04,153.97,185.60,208.60,217.14,232.32,244.26,251.99,242.38,249.05,261.04,284.99,300.77,286.35,361.37,137.90,139.08,143.60,150.94,144.02,290.89,497.26,363.36,404.68,440.92,486.99,429.13,431.12,310.32,411.54,400.47,286.49,354.33,331.07,302.54,283.08,172.69,159.99,,,,,,,,,,,,,,,,,,,
2000-04-20 22:19:15.385000,L7,218.44,,,,,,,,,,,,151.23,257.97,269.97,190.14,293.84,246.46,150.99,305.78,315.97,372.30,371.80,381.41,356.19,360.60,259.35,166.59,460.65,454.37,435.20,414.00,399.82,371.61,344.70,382.16,373.68,295.28,314.27,356.77,441.78,497.44,312.48,367.22,151.13,256.88,283.83,202.04,291.07,250.56,278.74,232.27,211.13,237.29,276.11,384.98,275.46,433.56,414.80,387.68,327.45,212.94,220.08,223.83,222.11,217.96,,146.16,190.90,276.66,514.05,505.91,254.10,305.12,190.75,196.19,494.06,375.58,350.00,316.63,303.25,306.01,300.33,313.00,326.68,318.22,303.74,290.10,238.00,,,413.84,439.91,391.11,376.58,260.73,233.41,240.78,210.14,348.11,410.90,402.38,394.94,,,,,326.44,347.34,345.76,,,,202.91,290.10,303.20,211.27,146.70,275.58,289.36,211.61,,,,,,,,,,,,,,,,,,,,338.68,297.82,439.73,471.82,,,,,,523.82,221.31,372.28,329.28,427.04,482.09,199.14,144.44,146.39,146.47,334.21,190.51,305.40,301.93,523.71,,150.94,398.32,366.65,,,,,,,,,,407.90,424.40,244.39,190.58,482.30,377.88,257.85,426.34,173.81,462.41,376.82,,,,,,,,
2000-09-04 22:11:34.434000,L7,381.99,,,,,,,,,,,,,,,,,,,,,,231.13,,,,,455.01,475.67,508.33,500.13,512.10,430.38,424.30,428.60,447.47,341.97,149.08,172.70,200.16,231.28,250.64,162.22,207.10,292.50,301.22,206.68,258.84,284.57,276.91,212.97,341.49,285.66,220.19,395.06,314.70,151.71,147.59,189.11,307.33,310.43,179.43,491.85,407.75,,,,,,,,,,325.66,320.47,360.79,377.33,,496.61,471.63,456.10,438.32,437.95,312.08,448.43,456.69,441.77,437.66,422.93,407.87,,,,,486.47,455.39,407.51,400.79,399.54,424.75,465.26,486.94,358.56,369.91,518.67,,,,,,,,,,,481.40,380.22,313.97,322.82,368.22,364.75,,425.04,479.26,455.17,471.13,428.63,499.38,511.00,201.23,301.07,317.53,305.54,316.11,359.13,399.72,402.49,415.46,523.18,484.87,,,184.78,181.14,208.17,223.21,232.13,208.53,210.06,223.91,264.35,273.63,280.52,327.05,137.26,144.71,365.56,149.39,147.05,149.74,210.34,377.29,418.56,255.67,243.06,502.23,,,,,,266.95,258.12,255.41,164.37,167.22,,,,,258.91,233.56,224.49,514.95,488.33,497.36,,,,,,,,,,
2000-09-27 22:17:24.534000,L7,287.34,,,,,,,,,,,,255.24,266.19,277.56,287.45,306.41,357.45,411.40,434.74,458.39,474.40,243.05,273.48,451.76,448.41,428.35,480.87,485.47,393.29,301.72,166.80,417.09,408.82,412.08,418.37,426.72,444.66,466.72,268.38,381.43,419.75,436.48,507.97,431.62,462.67,483.62,476.73,519.01,476.20,402.84,339.65,291.08,371.33,444.46,,,414.56,250.71,407.52,326.97,,,,,,,,,,,297.76,418.95,390.13,420.52,386.99,363.10,322.13,392.54,374.84,302.92,248.09,373.16,381.35,377.39,334.99,319.83,294.23,272.59,243.88,463.72,441.14,448.23,443.31,442.72,443.87,439.44,442.37,425.19,414.91,413.17,404.04,400.90,365.62,384.16,382.29,371.72,359.16,347.87,347.62,262.79,329.23,,,282.65,257.55,181.58,208.93,259.46,261.63,287.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.62,222.34,,233.96,196.89,141.44,139.08,139.98,,,508.40,272.92,271.88,293.99,317.96,291.00,287.89,,,,,,,,,,485.83,,,345.28,,,382.58,249.67,,189.13,332.30,,,,,,,,
2000-10-29 22:17:19.582000,L7,298.44,197.55,220.26,231.53,229.65,213.69,,,,,,,465.91,456.49,350.31,290.43,157.24,416.55,463.92,494.44,509.20,,454.11,423.54,436.11,438.76,522.18,,296.19,362.68,338.51,387.49,301.17,472.81,432.94,436.91,453.25,478.53,486.29,506.70,,,268.95,464.94,180.91,471.66,464.39,418.95,222.17,304.47,388.96,314.33,265.87,447.92,,,,,,,,398.74,304.07,304.52,452.23,,,,,,,,,,,,,507.68,413.54,401.65,370.87,366.33,373.27,389.32,389.08,364.78,350.09,333.05,379.99,319.55,464.34,447.67,271.24,445.99,441.37,439.34,436.23,435.96,426.62,417.22,411.17,372.69,414.35,394.26,392.34,386.20,378.93,365.55,351.52,351.64,348.28,348.75,344.24,325.54,320.02,315.69,309.16,313.53,313.25,304.09,296.36,,,,403.26,431.84,439.31,364.13,268.90,,,,,,,,,,163.73,175.94,,,,427.03,317.72,259.33,445.64,431.12,422.60,447.27,411.60,211.29,416.77,,,,,,,,388.13,,,,,,,,269.51,237.64,220.09,182.32,179.61,175.59,172.04,,,,,,,,512.75,,,,,,454.86,269.95,329.35,,,,,
2001-02-11 22:11:12.788000,L7,336.40,463.27,487.91,,,,,,,,,,502.22,525.47,437.88,427.76,426.02,490.92,,,,,272.73,243.67,221.63,164.55,475.51,424.15,404.59,430.44,409.21,397.19,367.76,347.75,352.58,347.93,431.62,388.94,362.21,446.57,481.32,464.70,280.90,313.55,345.92,377.86,407.65,438.18,459.47,475.24,477.08,475.85,461.25,433.22,417.81,515.31,,,,,,,,,,,,,,202.76,226.68,452.30,,,,292.74,398.57,430.65,469.97,450.85,424.80,417.87,408.32,408.77,199.45,273.37,296.34,294.19,366.02,361.11,,,,507.32,463.68,426.17,389.88,375.27,385.58,373.43,518.54,494.51,486.37,489.91,365.84,369.70,301.05,248.40,257.24,316.50,382.00,335.28,,,469.06,410.42,271.77,,293.65,334.82,338.03,444.57,378.21,420.91,300.31,337.72,351.68,321.47,178.76,198.93,231.39,433.72,400.03,292.40,312.43,332.71,365.28,406.30,422.99,433.91,159.22,182.31,199.21,204.44,225.73,241.79,248.92,245.13,253.93,263.17,285.97,295.55,294.04,495.34,437.84,,,,,,,439.88,432.05,179.39,171.27,178.46,164.23,448.88,369.55,401.76,278.41,358.25,332.35,294.43,268.71,189.86,166.19,,,,,,,,178.80,195.14,250.59,422.13,,,,,,,,
2001-03-22 22:17:09.568000,L7,,,,,,,,,,,,,,,185.87,168.66,282.46,280.32,282.90,295.58,334.64,342.45,,,,,,445.65,431.45,432.00,417.81,408.38,390.95,364.01,310.59,280.98,289.00,230.46,274.02,405.03,493.28,234.01,296.30,344.48,258.29,450.01,276.65,431.13,391.77,251.69,252.17,204.16,203.75,207.90,272.97,386.81,398.04,427.04,410.26,425.87,365.58,394.75,465.76,235.54,472.86,207.53,172.07,303.77,283.29,486.83,338.61,489.56,,,319.92,333.63,200.37,,,,323.72,313.91,300.44,199.66,314.84,313.27,303.11,283.69,,,,,,,,410.12,411.85,413.26,,361.17,386.10,392.99,395.04,,,,,298.91,322.05,340.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.20,278.91,275.11,406.19,381.48,438.49,454.59,378.89,522.00,446.03,456.42,381.02,,479.08,435.46,450.62,349.98,318.99,149.33,392.10,443.27,329.93,496.89,,249.90,241.17,,,,,,,,,,,,311.88,414.32,513.22,394.72,,,,434.72,459.68,,,,,,,,252.45,225.71,371.13
