dates,satname,nzd0533-0000,nzd0533-0001,nzd0533-0002,nzd0533-0003,nzd0533-0004,nzd0533-0005,nzd0533-0006,nzd0533-0007,nzd0533-0008,nzd0533-0009,nzd0533-0010,nzd0533-0011,nzd0533-0012,nzd0533-0013,nzd0533-0014,nzd0533-0015,nzd0533-0016,nzd0533-0017,nzd0533-0018,nzd0533-0019,nzd0533-0020,nzd0533-0021,nzd0533-0022,nzd0533-0023,nzd0533-0024,nzd0533-0025,nzd0533-0026,nzd0533-0027,nzd0533-0028,nzd0533-0029,nzd0533-0030,nzd0533-0031,nzd0533-0032,nzd0533-0042,nzd0533-0043,nzd0533-0044,nzd0533-0045,nzd0533-0046,nzd0533-0047,nzd0533-0048,nzd0533-0049,nzd0533-0050,nzd0533-0051,nzd0533-0052,nzd0533-0053,nzd0533-0054,nzd0533-0055,nzd0533-0056,nzd0533-0057,nzd0533-0058,nzd0533-0059,nzd0533-0060,nzd0533-0061,nzd0533-0062,nzd0533-0063,nzd0533-0033,nzd0533-0034,nzd0533-0035,nzd0533-0036,nzd0533-0037,nzd0533-0038,nzd0533-0039,nzd0533-0040,nzd0533-0041
1999-10-27 22:19:51.122000,L7,283.34,262.84,251.52,281.23,248.45,221.26,221.15,226.19,510.64,492.16,500.51,241.05,238.52,245.23,388.92,410.61,411.42,378.66,344.88,164.64,412.59,373.32,409.22,382.61,387.22,401.59,420.05,384.79,359.19,378.32,379.00,459.22,488.82,392.67,398.95,375.42,246.33,387.06,224.53,215.00,512.01,500.07,497.91,470.18,460.02,469.32,465.00,469.96,444.83,438.50,441.66,460.03,360.85,366.79,392.98,,,,,,,,,
1999-12-30 22:19:45.690000,L7,256.15,253.47,230.52,222.69,210.25,202.09,194.39,200.45,183.17,176.36,179.05,170.04,157.98,164.49,157.51,141.16,166.44,165.53,169.52,170.21,188.57,192.22,198.31,193.40,204.08,205.04,205.35,207.96,215.13,229.23,234.19,231.43,237.62,200.52,229.86,244.23,246.85,227.06,352.33,367.01,360.30,341.04,309.51,281.52,314.05,328.03,327.45,336.75,328.06,319.96,345.43,361.75,143.09,147.92,150.21,241.48,243.45,252.54,248.84,136.30,175.42,212.20,243.62,170.66
2000-04-20 22:19:15.385000,L7,281.94,275.71,253.14,253.25,241.46,233.97,234.27,236.59,245.82,209.16,207.31,197.60,196.54,191.04,195.69,267.12,199.97,192.04,196.86,354.87,366.45,364.87,358.82,369.95,272.86,301.16,298.95,291.57,256.33,302.75,302.15,302.68,312.27,368.92,371.42,379.29,384.32,387.19,384.72,395.73,384.59,382.52,352.26,373.38,385.38,358.93,350.47,366.61,355.90,356.14,377.20,390.09,390.01,390.72,388.33,317.73,322.56,333.38,319.42,262.83,287.16,348.85,347.19,360.93
2000-05-22 22:18:57.481000,L7,270.11,257.21,243.63,244.26,231.14,402.75,532.25,524.93,212.09,194.18,198.13,174.99,177.50,179.15,181.51,161.94,368.30,388.30,479.65,190.16,196.43,203.88,462.23,454.61,458.15,407.03,405.73,401.54,419.61,426.20,276.91,298.49,298.78,360.09,362.70,376.09,379.58,376.95,374.60,380.42,375.43,361.69,323.39,315.40,319.19,333.73,336.25,350.34,344.69,352.83,368.43,384.58,383.24,389.11,384.87,309.14,323.06,325.89,326.64,248.87,280.84,322.97,316.98,345.81
2000-06-07 22:18:48.627000,L7,283.19,266.98,422.98,509.65,486.47,485.41,508.51,486.27,442.29,453.54,475.35,383.86,477.45,441.74,454.50,447.07,453.88,445.90,176.54,199.34,429.32,477.90,399.56,417.85,423.26,452.65,455.16,451.74,421.36,430.72,506.39,472.93,297.66,360.83,365.89,379.91,394.00,371.43,379.95,383.14,395.09,369.51,403.21,416.55,408.02,362.81,365.49,393.30,368.45,390.89,380.83,402.46,460.38,426.75,409.83,302.53,330.56,328.23,328.09,289.51,300.18,323.07,359.76,345.92
2000-09-27 22:17:24.534000,L7,284.56,262.27,243.22,232.95,226.95,214.26,214.30,219.89,202.69,190.84,187.08,179.35,180.09,180.61,175.66,156.40,175.04,179.16,177.68,194.59,206.83,200.58,207.88,208.67,214.67,213.18,210.78,221.75,233.36,240.30,244.39,242.29,246.77,167.61,183.94,216.78,205.44,365.33,364.54,375.26,368.73,359.15,320.15,290.34,315.44,332.99,333.89,344.12,334.80,330.90,360.44,371.48,373.28,373.20,372.28,246.64,257.95,258.45,261.05,496.65,494.49,517.69,505.70,275.06
2001-03-22 22:17:09.568000,L7,270.61,258.87,238.45,229.04,214.91,207.96,202.90,207.69,198.07,185.50,190.04,175.78,177.06,171.41,169.50,160.04,173.13,173.93,176.71,188.64,198.21,389.42,389.81,415.63,208.07,209.20,209.40,215.61,229.20,232.14,237.02,238.42,242.63,296.87,327.65,344.52,350.08,352.31,356.07,368.10,359.40,348.71,318.61,288.39,317.15,336.02,333.97,343.64,335.40,331.49,265.31,312.50,321.47,321.18,371.03,246.23,254.97,259.57,258.47,224.24,208.55,218.47,254.41,268.45
2001-04-07 22:17:01.469000,L7,275.11,261.19,245.47,236.43,229.11,220.93,211.47,216.79,203.58,191.25,194.70,178.47,186.46,178.13,183.07,169.33,179.26,177.26,181.25,202.94,200.71,202.70,207.18,209.61,221.91,221.31,212.01,229.22,237.60,248.46,259.26,267.53,271.60,335.34,348.62,360.41,363.69,361.69,367.24,377.25,369.17,359.78,330.19,304.21,321.56,338.23,336.22,350.00,337.21,334.88,360.43,373.40,375.54,375.53,376.01,282.56,283.99,272.44,280.14,239.50,226.77,245.12,265.84,322.97
2001-11-01 22:15:17.839000,L7,,,,,,,,,143.67,170.68,207.04,434.96,322.37,281.83,421.93,451.82,400.28,383.34,438.68,403.11,488.34,,512.17,469.79,421.06,412.29,510.59,,465.91,453.45,395.01,473.86,470.24,,,430.85,411.28,406.40,403.19,413.03,411.60,398.08,388.55,382.31,380.98,474.73,476.15,476.70,451.58,429.46,377.53,395.57,389.98,384.76,386.75,485.34,415.03,463.92,409.76,364.90,238.88,,,
2001-12-19 22:15:37.819000,L7,263.44,256.89,236.01,227.99,219.46,211.25,204.73,209.95,200.81,188.30,189.71,179.56,172.31,177.52,173.35,155.38,175.62,176.23,179.83,189.92,201.33,209.83,208.32,205.00,215.54,210.69,210.58,218.70,227.20,237.32,239.37,238.91,247.45,197.71,213.44,261.71,364.45,360.37,358.84,374.15,371.59,362.62,320.08,285.48,318.61,336.50,335.70,344.46,334.39,328.74,354.35,370.33,371.64,368.08,363.83,253.38,255.25,262.00,259.73,137.65,194.54,212.88,242.69,265.08
