dates,satname,nzd0175-0000,nzd0175-0001,nzd0175-0002,nzd0175-0003,nzd0175-0004,nzd0175-0005,nzd0175-0006,nzd0175-0007,nzd0175-0008,nzd0175-0009,nzd0175-0014,nzd0175-0015,nzd0175-0016,nzd0175-0017,nzd0175-0018,nzd0175-0010,nzd0175-0011,nzd0175-0012,nzd0175-0013
1999-09-20 21:58:32.521000,L7,342.63,353.69,354.04,365.43,357.21,360.20,378.04,388.38,435.94,485.21,540.07,526.57,491.46,458.69,438.76,,,,
1999-10-22 21:58:28.758000,L7,299.03,299.52,301.90,312.28,291.73,278.56,283.71,290.69,287.26,302.20,302.10,295.01,261.98,175.44,,277.39,250.70,278.87,274.34
1999-12-09 21:58:33.708000,L7,297.68,297.12,295.00,313.80,291.19,283.12,284.72,292.27,300.46,307.48,361.82,296.97,296.70,243.44,232.33,317.61,331.14,348.37,347.95
1999-12-09 21:58:57.676000,L7,296.41,296.07,293.99,314.04,290.02,281.77,284.52,291.84,300.39,307.44,361.65,297.68,297.95,266.58,168.94,317.09,330.02,348.29,355.52
2000-01-10 21:58:52.465000,L7,339.80,350.51,344.14,364.81,321.96,263.33,272.87,306.46,303.34,318.06,323.37,314.76,310.47,292.65,289.91,278.45,272.43,303.56,291.69
2000-02-27 21:58:16.566000,L7,291.54,291.90,293.08,311.60,290.15,283.28,276.43,286.57,293.86,301.18,296.64,267.29,255.18,265.18,268.12,306.15,250.21,275.54,256.47
2000-02-27 21:58:40.521000,L7,301.29,302.24,302.49,320.28,298.83,290.97,287.70,295.06,306.02,267.11,372.04,373.06,388.00,366.51,272.44,319.58,288.10,329.28,350.38
2000-03-14 21:58:11.336000,L7,302.71,309.05,306.80,321.41,302.04,288.47,283.11,300.86,300.49,318.98,377.44,382.49,373.78,373.83,268.13,326.67,345.46,343.58,373.85
2000-03-14 21:58:35.291000,L7,302.22,306.51,305.21,320.89,300.98,286.93,281.73,298.56,297.07,316.80,377.23,381.39,370.76,267.07,267.31,324.02,344.90,364.00,371.46
2000-03-30 21:58:09.573000,L7,307.01,304.98,306.47,323.56,300.24,291.49,283.44,291.63,299.64,304.96,377.24,378.42,312.09,279.21,279.06,310.81,319.91,336.17,359.99
2000-03-30 21:58:33.541000,L7,307.40,305.37,307.24,322.53,300.52,291.09,284.18,291.26,299.00,304.54,333.35,326.04,310.87,280.13,279.26,310.52,320.10,335.39,331.99
2000-08-05 21:56:44.750000,L7,300.86,295.08,296.95,301.35,287.34,270.66,219.84,250.62,262.80,290.51,288.32,288.43,248.45,265.30,265.70,276.68,251.99,274.09,259.20
2000-08-05 21:57:08.715000,L7,251.40,255.10,300.59,307.87,290.16,278.39,274.67,285.19,282.30,294.52,306.79,298.91,258.99,266.10,268.41,286.33,295.89,283.11,268.49
2000-09-22 21:56:05.544000,L7,307.40,301.10,301.91,316.62,249.74,276.20,157.90,,,,304.80,298.41,272.90,263.17,271.43,,294.86,280.63,268.75
2000-09-22 21:56:29.431000,L7,311.24,306.44,306.31,322.31,256.69,280.81,161.74,,,,316.63,300.68,282.24,267.91,274.16,,294.11,284.19,275.34
2000-12-11 21:56:00.959000,L7,286.26,287.62,248.25,175.96,262.97,289.01,211.64,246.73,214.88,191.16,,,,,,227.78,248.42,273.16,219.23
2000-12-27 21:56:05.061000,L7,270.85,278.80,286.13,262.40,277.93,269.85,272.14,256.01,283.53,294.06,,,,,,229.50,250.32,274.65,220.26
2001-01-12 21:56:06.772000,L7,299.21,345.15,334.21,329.62,397.74,303.22,333.80,299.83,287.94,303.56,289.84,274.75,263.62,268.90,268.48,229.30,444.33,471.80,250.29
2001-01-12 21:56:30.696000,L7,298.02,347.08,348.37,329.59,399.02,302.58,333.67,303.48,288.44,303.65,289.59,277.12,263.83,268.50,268.14,229.28,199.66,274.17,250.28
2001-03-01 21:55:57.624000,L7,286.76,286.23,286.30,311.63,287.93,274.33,269.81,267.92,286.50,295.95,298.99,298.59,267.96,277.46,269.79,292.89,295.58,276.58,255.35
2001-03-01 21:56:21.596000,L7,284.66,284.64,286.10,311.14,289.08,268.62,215.81,243.53,286.32,297.35,297.84,296.24,253.58,278.84,271.96,231.52,250.22,275.33,253.60
2001-06-05 21:55:16.607000,L7,285.43,282.29,280.20,196.94,238.50,221.67,202.53,212.45,,289.04,266.42,287.93,250.90,224.74,279.91,233.74,249.43,,
