dates,satname,nzd0046-0000,nzd0046-0001,nzd0046-0002,nzd0046-0003,nzd0046-0004,nzd0046-0005,nzd0046-0006,nzd0046-0007,nzd0046-0008,nzd0046-0009,nzd0046-0010,nzd0046-0011,nzd0046-0012,nzd0046-0013,nzd0046-0014,nzd0046-0015,nzd0046-0016,nzd0046-0017,nzd0046-0018,nzd0046-0019,nzd0046-0020,nzd0046-0021,nzd0046-0022,nzd0046-0023,nzd0046-0024,nzd0046-0025,nzd0046-0026,nzd0046-0027,nzd0046-0028,nzd0046-0029,nzd0046-0030,nzd0046-0031,nzd0046-0032,nzd0046-0033,nzd0046-0034,nzd0046-0035,nzd0046-0036,nzd0046-0037,nzd0046-0038,nzd0046-0039,nzd0046-0043,nzd0046-0044,nzd0046-0045,nzd0046-0046,nzd0046-0055,nzd0046-0056,nzd0046-0057,nzd0046-0067,nzd0046-0068,nzd0046-0069,nzd0046-0070,nzd0046-0071,nzd0046-0072,nzd0046-0073,nzd0046-0074,nzd0046-0075,nzd0046-0076,nzd0046-0077,nzd0046-0087,nzd0046-0088,nzd0046-0089,nzd0046-0090,nzd0046-0091,nzd0046-0092,nzd0046-0040,nzd0046-0041,nzd0046-0042,nzd0046-0047,nzd0046-0048,nzd0046-0049,nzd0046-0050,nzd0046-0051,nzd0046-0052,nzd0046-0053,nzd0046-0054,nzd0046-0058,nzd0046-0059,nzd0046-0060,nzd0046-0061,nzd0046-0062,nzd0046-0063,nzd0046-0064,nzd0046-0065,nzd0046-0066,nzd0046-0078,nzd0046-0079,nzd0046-0080,nzd0046-0081,nzd0046-0082,nzd0046-0083,nzd0046-0084,nzd0046-0085,nzd0046-0086,nzd0046-0093,nzd0046-0094
2002-03-18 22:06:22.131000,L7,208.51,219.21,232.68,231.09,243.80,252.75,261.39,273.90,232.01,230.63,236.20,221.08,237.97,239.43,241.22,238.82,237.31,230.61,528.83,496.76,487.15,493.12,506.76,494.88,516.73,503.76,491.00,498.90,508.72,519.52,547.41,245.34,234.15,204.25,181.23,179.68,239.34,250.28,255.05,239.45,528.10,494.48,495.43,490.02,240.02,236.90,236.64,379.03,379.45,537.11,533.63,528.36,517.90,527.79,237.58,341.49,361.68,366.26,209.78,271.25,424.59,393.20,426.30,408.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-13 22:05:30.425000,L7,,,206.49,188.67,190.55,223.61,219.18,230.96,241.86,233.03,228.71,213.80,206.02,205.15,212.78,234.89,205.66,218.56,191.09,217.00,217.89,217.82,217.53,228.29,211.47,187.65,467.50,465.51,460.65,,,194.73,212.51,215.87,200.87,224.25,,,,,,,,,,,485.15,,,,,,,,,,403.30,438.31,,,472.59,506.82,,,,,,,,,,,,,,486.20,535.39,,,,508.71,479.97,467.72,,,,454.74,439.90,448.14,,,,,514.52,498.93
2002-12-31 22:05:56.221000,L7,,532.13,494.61,516.69,559.32,521.77,473.06,328.12,411.83,478.33,487.29,433.21,549.41,250.59,248.35,387.59,233.40,281.30,283.11,285.97,394.60,335.29,325.97,429.96,207.03,185.70,230.24,214.47,203.70,184.06,456.32,527.69,529.60,486.20,471.16,229.58,234.14,223.83,506.66,218.14,382.69,437.44,515.69,496.29,419.48,450.31,454.29,546.56,545.09,540.33,506.22,521.37,537.65,507.01,466.90,456.72,416.72,373.81,390.94,352.86,465.49,448.16,406.51,419.25,363.10,413.21,399.87,484.40,493.03,369.12,438.99,386.71,,513.92,512.38,496.69,479.33,517.92,356.45,406.08,471.37,430.14,454.73,540.02,369.84,367.59,366.09,349.44,357.06,372.43,370.95,551.81,380.98,443.46,539.61
2003-01-16 22:06:02.914000,L7,370.35,407.17,377.20,398.89,406.83,416.13,464.87,467.30,479.05,469.50,467.44,479.49,465.97,459.40,465.08,379.99,356.74,471.52,502.69,402.24,384.72,408.69,394.61,366.48,346.18,364.10,378.38,398.94,384.54,318.26,331.86,348.46,345.49,418.78,370.08,352.52,367.65,327.95,425.15,352.72,364.43,408.88,446.73,422.64,426.83,447.24,428.70,396.65,378.52,389.09,420.75,351.14,203.78,207.56,205.78,198.99,379.82,397.85,327.00,343.66,391.27,413.63,366.75,447.94,361.92,441.34,393.35,433.09,447.19,447.94,518.29,479.03,478.64,477.32,414.72,417.32,408.09,426.91,440.43,418.79,427.30,392.07,356.35,407.72,405.54,366.40,366.95,339.53,372.26,392.01,394.99,432.46,353.55,474.43,479.14
2003-03-21 22:06:15.912000,L7,399.44,381.38,185.86,185.61,517.11,327.97,257.43,,565.61,194.77,,353.98,247.66,244.85,451.27,522.68,505.45,280.39,538.59,474.73,492.91,284.13,299.20,290.45,279.05,261.90,192.93,263.13,458.55,447.13,431.85,262.86,262.39,270.35,276.94,341.87,339.84,354.53,286.16,500.25,193.93,182.40,187.07,188.72,404.98,430.42,433.16,250.81,346.62,335.54,348.26,367.08,262.55,269.75,257.57,263.08,270.44,263.72,288.34,295.32,284.63,330.02,351.01,348.38,304.89,190.81,190.95,186.15,183.44,184.09,182.10,500.35,484.44,426.13,418.20,435.77,258.16,280.97,285.78,270.68,233.45,365.38,329.26,344.82,393.41,386.76,381.00,361.09,358.99,389.12,352.92,360.04,342.65,361.66,356.82
2003-04-06 22:06:21.012000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.46,377.43,362.88,,,,,,,,,,,,,,,,,,,,,,,,349.28,,,420.14,428.04,417.83,,,,,,,,,,,,,,535.72,475.00,484.14,,,,,,,,,,,343.86,346.83,345.41,424.76,
2003-12-26 21:56:18.593000,L5,194.14,196.05,189.93,201.50,204.13,215.67,215.00,221.67,228.35,231.48,229.34,230.88,224.56,230.19,230.11,227.21,220.33,217.81,226.49,233.87,226.76,229.64,229.98,234.48,228.06,201.46,206.93,194.41,201.94,210.97,212.96,218.13,232.52,236.90,255.05,226.64,220.28,220.39,217.58,214.17,209.41,206.28,210.57,212.56,221.34,224.07,218.76,188.08,198.79,201.03,202.84,206.85,208.64,224.34,244.36,251.51,254.30,238.11,218.94,234.68,231.20,235.85,232.41,233.70,207.25,212.67,219.02,212.67,207.26,206.79,209.45,213.18,205.38,209.35,214.85,219.48,234.96,239.29,236.38,223.74,225.98,232.04,216.28,201.16,223.10,220.83,213.45,197.74,197.88,204.09,217.80,213.02,211.61,239.44,255.57
2004-04-16 21:57:19.749000,L5,213.23,187.40,237.94,277.91,229.43,220.92,242.07,268.05,227.97,221.26,221.17,225.87,223.03,238.13,235.65,240.48,229.74,232.24,243.85,228.89,210.05,230.82,233.08,230.09,243.83,249.34,231.25,231.10,255.87,244.60,243.40,251.67,276.81,258.29,299.28,287.87,237.29,236.45,228.45,231.09,249.55,225.72,271.29,241.39,227.64,236.54,247.35,228.02,217.81,215.56,245.86,271.92,308.25,375.56,241.66,254.60,268.10,347.03,235.79,241.38,239.17,240.80,245.41,247.93,257.24,273.00,309.97,227.47,230.51,288.29,253.88,264.58,276.66,235.20,234.00,246.06,226.26,224.44,228.65,243.07,236.99,258.38,232.14,266.01,264.29,250.19,240.66,239.66,248.11,268.70,253.92,270.06,236.54,246.66,269.00
2004-05-18 21:58:14.785000,L5,201.94,195.26,195.14,202.75,203.23,203.85,207.31,196.53,206.79,211.43,220.66,209.77,209.99,214.65,225.70,213.13,212.03,214.91,205.71,190.98,197.67,197.73,198.06,192.94,198.96,192.72,195.11,180.71,193.68,195.87,205.72,211.72,213.17,206.73,207.64,209.59,211.78,217.55,206.67,197.62,197.96,194.21,196.05,181.92,204.48,221.14,221.41,199.43,202.12,208.21,208.50,220.06,213.69,208.77,204.68,213.59,219.16,219.78,216.76,221.99,213.89,222.88,211.04,210.49,206.29,213.15,197.41,194.16,207.24,186.93,190.13,189.11,,,186.68,215.87,201.01,,,195.69,201.85,194.08,206.43,198.51,211.17,215.34,209.19,209.18,217.61,218.19,214.58,225.18,207.23,223.90,214.16
2004-08-06 22:00:22.463000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.09,185.68,185.95,189.73,187.58,186.38,183.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
