dates,satname,nzd0106-0000,nzd0106-0001,nzd0106-0002,nzd0106-0003,nzd0106-0004,nzd0106-0005,nzd0106-0006,nzd0106-0007,nzd0106-0008,nzd0106-0009,nzd0106-0010,nzd0106-0011,nzd0106-0012,nzd0106-0013,nzd0106-0014,nzd0106-0015,nzd0106-0016,nzd0106-0017,nzd0106-0018,nzd0106-0019,nzd0106-0020,nzd0106-0021,nzd0106-0022,nzd0106-0023,nzd0106-0024,nzd0106-0025,nzd0106-0026,nzd0106-0027,nzd0106-0028,nzd0106-0029,nzd0106-0030,nzd0106-0031,nzd0106-0032,nzd0106-0033,nzd0106-0034,nzd0106-0035,nzd0106-0036,nzd0106-0037,nzd0106-0038,nzd0106-0039,nzd0106-0040,nzd0106-0041,nzd0106-0042,nzd0106-0043,nzd0106-0044,nzd0106-0045,nzd0106-0046,nzd0106-0047,nzd0106-0048,nzd0106-0049,nzd0106-0050,nzd0106-0051,nzd0106-0052,nzd0106-0053,nzd0106-0054,nzd0106-0055,nzd0106-0056,nzd0106-0057,nzd0106-0058,nzd0106-0059,nzd0106-0060,nzd0106-0061,nzd0106-0062,nzd0106-0063,nzd0106-0064,nzd0106-0065,nzd0106-0066,nzd0106-0067,nzd0106-0068,nzd0106-0069,nzd0106-0070,nzd0106-0071,nzd0106-0072,nzd0106-0073,nzd0106-0074,nzd0106-0075,nzd0106-0076,nzd0106-0077,nzd0106-0078,nzd0106-0079,nzd0106-0080,nzd0106-0081,nzd0106-0082,nzd0106-0083,nzd0106-0084,nzd0106-0085,nzd0106-0086,nzd0106-0087,nzd0106-0088,nzd0106-0089,nzd0106-0090,nzd0106-0091,nzd0106-0092,nzd0106-0093,nzd0106-0094,nzd0106-0095,nzd0106-0096,nzd0106-0097,nzd0106-0098,nzd0106-0099,nzd0106-0100,nzd0106-0101,nzd0106-0102,nzd0106-0103,nzd0106-0104,nzd0106-0105,nzd0106-0106,nzd0106-0107,nzd0106-0108,nzd0106-0109,nzd0106-0110,nzd0106-0111,nzd0106-0112,nzd0106-0113,nzd0106-0114,nzd0106-0115,nzd0106-0116,nzd0106-0117,nzd0106-0118,nzd0106-0119,nzd0106-0120,nzd0106-0121,nzd0106-0122,nzd0106-0123,nzd0106-0124,nzd0106-0125
1999-08-26 22:04:44.971000,L7,348.64,306.78,329.25,365.88,378.84,379.04,209.61,292.15,295.33,262.93,281.03,263.57,239.63,241.06,214.81,182.54,178.11,308.02,307.80,303.17,302.24,303.76,305.95,304.25,304.96,304.79,302.73,306.87,311.07,309.09,307.62,306.03,308.41,308.99,304.07,309.92,307.06,303.67,307.13,305.08,309.72,304.04,306.38,298.03,302.15,296.14,305.29,286.33,293.54,309.22,305.98,306.24,306.50,304.71,303.70,303.76,298.89,214.17,238.36,244.30,241.73,296.14,297.68,291.08,293.93,298.01,302.63,305.87,301.97,298.42,300.08,300.80,299.69,303.43,301.81,279.60,293.85,300.03,291.05,283.15,289.09,295.20,287.39,286.91,289.88,292.36,297.17,294.88,294.90,288.53,287.79,285.86,259.26,291.60,295.41,294.91,272.07,291.82,278.51,276.58,274.64,284.73,282.17,289.19,379.79,377.13,378.43,379.07,376.19,365.57,378.60,371.94,371.73,283.99,290.71,263.82,243.48,244.34,292.19,291.29,290.44,290.70,288.42,289.90,289.28,268.73
1999-09-27 22:04:48.949000,L7,460.13,515.80,367.37,377.02,389.98,399.94,392.56,388.71,407.43,426.75,419.07,436.61,400.33,406.15,402.94,401.05,410.46,415.16,398.71,400.16,438.87,423.17,415.17,421.26,403.43,418.73,396.31,394.71,393.52,394.88,395.32,399.10,411.79,408.05,431.51,405.85,411.71,427.81,415.75,413.95,405.40,400.66,397.85,394.89,403.54,410.66,416.93,430.07,392.65,414.60,430.02,401.32,389.63,403.38,388.14,393.73,384.87,391.68,415.91,416.81,389.84,428.94,367.58,385.43,378.05,392.50,393.71,398.39,386.69,392.08,403.02,389.66,420.75,407.16,391.37,389.71,392.81,389.73,376.96,382.25,373.25,373.72,374.07,376.19,381.62,376.55,386.41,394.78,398.77,372.28,386.99,388.36,374.26,375.55,383.18,381.07,379.56,394.59,397.56,394.28,375.98,384.39,368.52,377.25,376.04,372.79,374.46,376.24,371.57,377.05,376.46,384.04,402.26,433.60,432.33,407.75,403.22,392.40,397.52,387.60,382.74,362.94,366.71,371.69,366.99,368.86
1999-11-14 22:04:42.286000,L7,,494.42,216.03,365.36,373.10,376.25,395.96,387.71,387.43,395.52,401.81,392.58,400.05,402.73,401.95,403.39,397.28,400.37,412.62,424.34,413.93,411.42,408.76,431.64,430.56,451.32,425.55,405.13,402.35,397.62,401.29,405.20,404.38,406.44,404.66,418.64,421.01,416.00,331.78,332.57,326.89,332.89,332.89,331.10,449.08,457.78,431.85,406.78,401.98,402.15,402.56,405.82,390.80,397.83,389.87,399.02,396.87,390.02,382.77,396.79,391.01,391.50,396.95,390.60,393.21,395.16,396.68,414.83,416.51,399.15,405.14,397.29,404.24,401.24,404.99,385.46,394.33,398.08,403.32,408.52,390.79,384.39,384.23,389.78,378.63,385.10,387.27,393.75,397.94,400.99,394.49,388.29,394.75,393.06,398.56,413.78,387.87,395.02,392.07,395.93,407.86,417.84,379.52,436.63,407.40,373.12,415.85,404.55,379.14,385.04,394.46,375.83,375.39,385.93,428.24,414.38,396.90,422.78,388.04,402.52,420.53,412.38,415.32,431.09,386.76,373.29
2000-01-01 22:04:37.439000,L7,,,387.54,375.74,381.77,387.00,285.21,336.00,334.63,416.67,412.00,430.73,432.95,432.20,434.65,428.77,308.87,347.43,442.62,446.61,439.73,349.63,436.51,433.37,389.32,307.65,435.51,348.50,309.97,424.33,389.31,309.24,281.39,225.23,219.39,277.35,295.41,232.02,,,,197.58,286.35,356.85,385.55,388.99,309.86,425.99,420.39,350.79,385.88,378.37,450.40,341.84,413.07,415.44,384.86,363.29,358.45,347.06,293.40,287.63,294.46,295.02,276.92,269.64,287.45,256.87,302.27,355.71,367.70,361.21,367.37,387.42,329.73,346.68,321.60,333.88,370.78,367.76,358.99,521.28,417.50,417.02,359.56,372.17,375.89,383.13,387.20,371.54,365.82,380.91,368.50,370.81,375.87,294.39,275.57,292.02,282.99,271.53,271.36,287.52,285.25,291.63,188.82,424.47,435.00,452.59,465.58,422.58,,457.02,476.75,516.95,521.33,513.65,527.95,,,,174.76,250.23,268.64,265.85,296.95,
2000-02-18 22:04:29.218000,L7,,,426.54,526.32,317.91,313.73,522.02,464.61,425.72,427.71,420.34,472.02,482.46,457.46,463.78,459.40,422.75,437.45,450.34,441.65,425.98,418.36,428.26,424.85,433.50,457.49,452.33,453.37,436.36,420.29,433.37,457.29,460.95,456.16,452.72,455.39,456.81,437.46,450.86,462.11,471.16,458.45,438.81,436.53,438.03,435.25,431.40,442.37,445.04,441.50,436.65,412.75,423.58,436.11,427.99,437.20,410.43,419.05,428.43,410.44,415.60,429.91,405.64,430.67,455.85,428.15,431.80,429.29,431.49,451.15,428.95,430.07,454.21,448.05,416.65,436.69,437.51,445.90,448.66,425.69,390.92,420.76,418.61,428.36,411.50,420.49,409.48,421.47,403.99,412.35,415.48,421.83,405.04,399.13,431.03,443.01,425.66,395.51,419.39,408.61,412.24,410.50,396.60,398.93,400.59,410.51,411.59,422.22,418.64,419.96,426.28,411.49,400.44,412.80,420.95,409.10,417.29,420.27,409.91,426.28,398.60,405.75,394.09,422.53,436.60,390.29
2000-05-24 22:03:46.662000,L7,,,,529.15,493.15,383.27,399.30,453.10,,513.58,448.83,392.97,409.28,390.28,397.62,436.01,436.78,446.61,518.29,531.56,495.59,410.82,439.42,498.86,465.67,443.08,469.00,429.94,482.80,456.62,476.99,449.66,467.33,489.04,484.93,497.42,443.63,453.50,454.16,446.48,436.46,444.32,460.84,444.51,447.94,440.88,448.09,466.60,480.64,435.93,437.74,445.43,465.01,445.93,426.62,428.05,430.96,419.09,430.96,425.70,449.78,439.40,409.88,441.50,427.45,418.19,429.52,432.79,449.12,430.93,476.34,458.85,451.02,466.19,441.00,431.80,451.55,469.03,418.36,416.07,417.05,419.38,426.63,430.66,414.14,405.56,437.78,440.44,424.90,420.87,429.33,417.32,417.03,429.74,421.06,424.32,429.39,422.11,411.87,413.42,442.39,410.57,406.77,416.06,411.49,408.54,405.43,420.40,411.36,428.73,431.14,420.87,407.49,404.47,412.24,418.24,410.76,413.81,415.32,417.60,401.62,419.41,422.99,411.55,414.42,407.68
2000-10-15 22:01:56.204000,L7,295.71,,,365.04,382.24,374.23,332.73,381.80,324.33,322.70,380.17,384.15,384.05,379.30,381.55,380.43,382.86,384.69,386.97,381.63,380.41,375.71,374.12,376.40,380.22,383.24,374.15,390.63,453.98,452.36,,,,326.96,332.85,334.43,394.68,482.40,445.37,441.71,333.30,,,481.48,541.61,253.01,320.69,244.38,,,170.69,268.37,535.41,517.08,,,,,409.59,398.26,381.82,292.92,315.34,492.67,410.04,516.96,,498.42,347.85,360.27,366.32,374.46,364.34,356.16,300.74,262.18,291.36,303.17,314.07,344.85,352.96,348.20,353.53,348.49,318.25,324.58,307.91,306.78,329.52,421.12,322.14,267.31,452.48,547.15,292.65,527.76,334.11,364.24,363.76,364.64,361.56,356.56,361.82,355.59,329.46,362.18,330.19,362.69,325.68,358.07,358.56,351.48,359.38,362.62,368.30,358.29,365.41,365.10,357.97,302.35,302.51,304.77,305.14,305.52,304.60,295.53
2001-01-03 22:02:12.432000,L7,,343.69,278.10,545.54,503.85,496.94,498.18,479.80,481.31,476.30,472.12,465.05,465.32,481.39,481.10,467.31,486.73,510.54,506.36,509.68,499.09,497.21,496.50,479.64,482.76,447.18,507.64,490.13,488.62,503.18,493.24,493.44,493.08,457.10,484.03,506.73,501.95,496.21,484.89,480.13,476.55,449.59,498.09,484.06,490.88,453.92,462.23,482.66,483.88,500.90,468.36,458.65,474.41,467.73,465.66,458.02,449.82,476.07,487.29,483.33,454.96,459.34,445.80,460.56,486.66,447.24,506.38,519.16,508.67,499.84,451.52,472.49,477.77,495.43,438.49,449.36,468.81,500.17,504.55,457.34,467.02,495.80,487.61,440.53,453.67,440.10,463.02,469.24,466.75,454.49,461.19,469.22,460.99,489.26,490.54,473.96,481.99,469.93,490.87,443.11,441.40,451.49,451.95,463.63,464.23,467.73,439.98,441.65,427.47,449.00,448.32,448.76,459.79,463.80,452.57,459.81,424.30,458.64,451.26,428.93,439.22,408.93,428.99,432.95,428.02,439.96
2001-02-04 22:02:14.384000,L7,444.40,442.66,521.94,540.70,545.58,428.08,,,,262.60,274.79,302.24,268.32,298.87,279.20,268.84,,,246.84,312.96,367.86,377.35,398.34,357.35,392.75,396.63,384.14,371.78,390.87,276.41,267.54,301.48,303.07,310.58,296.96,309.51,298.92,278.24,274.45,298.73,306.24,305.79,307.38,298.67,309.51,302.01,382.81,380.98,383.42,377.03,382.86,374.57,380.27,374.45,377.75,368.62,374.04,360.77,368.08,339.11,361.10,294.45,338.69,341.48,345.04,337.66,368.19,368.66,160.87,,260.34,301.72,299.50,,,,191.86,305.67,283.53,,,,,279.99,289.30,291.01,292.70,285.56,289.08,283.82,277.16,248.46,237.36,287.68,268.39,,,,,,,280.64,288.03,287.57,284.69,285.52,286.81,289.78,275.82,290.77,286.61,280.98,284.15,289.03,247.59,252.42,534.08,400.61,281.44,240.93,229.43,237.29,292.18,291.46,281.50,269.48
2001-03-24 22:01:59.719000,L7,,,365.28,413.74,467.27,490.19,470.30,469.48,484.14,432.86,467.22,471.29,461.33,448.72,440.82,434.68,437.92,429.77,407.29,464.97,420.67,418.59,419.45,436.45,437.40,438.53,454.52,479.21,445.32,474.26,444.30,472.76,464.84,491.10,435.20,414.36,430.35,432.75,439.59,472.56,427.12,443.81,453.79,419.67,441.16,431.07,467.31,445.86,452.61,448.14,418.72,441.71,415.42,452.25,449.02,432.06,451.75,462.02,456.38,429.21,414.03,404.93,415.66,412.25,435.49,419.13,423.83,425.60,429.56,425.51,407.64,418.42,399.81,414.54,438.03,434.76,399.38,417.36,419.96,414.57,392.90,442.57,450.50,414.49,410.90,435.33,429.69,424.11,437.71,401.73,401.96,394.37,405.47,425.20,423.58,412.82,435.16,438.92,419.72,437.03,421.26,400.24,427.24,405.41,396.20,407.92,416.60,410.40,407.76,421.63,414.65,403.98,465.02,401.51,421.25,417.35,395.84,397.62,396.77,428.99,430.09,433.45,477.88,401.29,388.41,401.98
