dates,satname,nzd0103-0000,nzd0103-0001,nzd0103-0002
1999-08-26 22:04:44.971000,L7,292.89,329.19,340.51
1999-09-27 22:04:48.949000,L7,304.47,329.34,339.65
1999-11-14 22:04:42.286000,L7,237.42,330.68,341.35
2000-01-01 22:04:37.439000,L7,344.71,312.33,338.47
2000-02-18 22:04:29.218000,L7,,,328.26
2000-05-24 22:03:46.662000,L7,353.51,345.94,360.12
2000-09-13 22:02:26.190000,L7,296.63,331.61,341.70
2000-10-15 22:01:56.204000,L7,306.18,317.59,339.58
2001-01-03 22:02:12.432000,L7,210.68,326.03,331.17
2001-03-24 22:01:59.719000,L7,310.11,328.41,337.81
2001-10-02 22:00:04.650000,L7,215.82,268.44,330.00
2001-11-03 22:00:10.954000,L7,294.76,308.31,333.14
2002-01-06 22:00:31.992000,L7,356.90,339.64,359.39
2002-01-22 22:00:40.906000,L7,,318.93,335.07
2002-02-23 22:00:43.620000,L7,332.29,332.73,333.02
2002-03-27 22:00:37.575000,L7,,,317.64
2002-06-15 22:00:19.658000,L7,298.34,337.84,365.15
2002-07-17 22:00:08.747000,L7,293.06,320.23,338.86
2002-11-06 21:59:41.879000,L7,296.35,313.06,326.67
2003-01-25 22:00:18.779000,L7,,,319.95
2003-08-13 21:48:45.123000,L5,291.80,278.53,317.47
2003-09-30 21:49:30.432000,L5,308.36,286.49,324.24
2003-12-03 21:50:19.675000,L5,273.25,266.67,312.84
2004-07-30 21:54:28.143000,L5,308.46,289.25,337.14
2004-09-16 21:55:41.721000,L5,287.69,268.69,314.04
2004-10-18 21:56:23.891000,L5,346.12,353.23,359.96
2004-11-03 21:56:42.977000,L5,350.89,346.41,355.33
2004-11-19 21:56:55.269000,L5,306.37,291.84,331.76
2005-02-23 21:58:31.621000,L5,342.92,332.46,349.31
2005-03-11 21:58:44.158000,L5,284.38,272.30,319.10
2005-03-27 21:58:51.619000,L5,300.02,296.60,335.64
2005-05-30 21:59:15.499000,L5,274.54,258.06,302.16
2005-07-17 21:59:35.576000,L5,302.45,294.40,337.12
2005-09-19 21:59:56.928000,L5,287.81,272.10,313.08
2005-11-22 22:00:23.113000,L5,299.93,300.30,338.71
2006-05-17 22:03:57.969000,L5,315.06,308.33,344.04
2006-07-04 22:04:41.660000,L5,297.82,283.44,326.44
2006-08-21 22:05:19.629000,L5,286.77,276.00,316.39
2006-11-25 22:06:19.953000,L5,216.16,221.64,267.71
2007-01-05 22:00:28.480000,L5,282.38,280.03,331.02
2007-09-25 22:04:48.945000,L5,324.23,314.27,342.83
2008-02-16 22:02:22.163000,L5,309.41,303.67,348.42
2008-10-29 21:55:24.451000,L5,314.51,303.56,341.56
2009-01-01 21:56:31.615000,L5,266.68,236.36,299.30
2009-02-02 21:57:22.411000,L5,298.21,290.31,331.60
2010-02-21 22:02:44.773000,L5,306.22,317.64,346.26
2011-01-07 22:01:44.406000,L5,324.90,330.23,345.42
2011-03-12 22:01:43.554000,L5,370.58,362.52,368.28
2011-04-13 22:01:34.017000,L5,298.66,283.94,332.67
2013-04-11 22:07:51.092000,L8,274.50,283.71,334.65
2013-05-20 22:13:50.559000,L8,282.66,293.49,348.05
2013-06-05 22:13:51.261000,L8,321.01,337.32,348.04
2013-06-21 22:13:43.313000,L8,291.38,295.40,359.64
2013-07-07 22:13:48.209000,L8,292.63,345.26,347.19
2013-08-08 22:13:49.700000,L8,,,290.80
2013-09-09 22:13:49.699000,L8,284.73,315.65,425.63
2013-09-25 22:13:41.239000,L8,274.76,276.07,211.37
2013-10-27 22:13:31.854000,L8,287.62,290.14,342.81
2013-11-12 22:13:32.202000,L8,296.43,335.24,343.22
2013-12-14 22:13:21.591000,L8,275.42,283.18,331.26
2014-02-16 22:12:38.819000,L8,197.66,258.79,302.17
