dates,satname,nzd0449-0000,nzd0449-0001,nzd0449-0002,nzd0449-0003,nzd0449-0004,nzd0449-0005,nzd0449-0007,nzd0449-0008,nzd0449-0010,nzd0449-0011,nzd0449-0012,nzd0449-0013,nzd0449-0014,nzd0449-0015,nzd0449-0016,nzd0449-0017,nzd0449-0064,nzd0449-0065,nzd0449-0066,nzd0449-0067,nzd0449-0006,nzd0449-0009,nzd0449-0018,nzd0449-0019,nzd0449-0020,nzd0449-0021,nzd0449-0022,nzd0449-0023,nzd0449-0082,nzd0449-0083,nzd0449-0084,nzd0449-0085,nzd0449-0086,nzd0449-0087,nzd0449-0088,nzd0449-0089,nzd0449-0090,nzd0449-0091,nzd0449-0092,nzd0449-0093,nzd0449-0094,nzd0449-0095,nzd0449-0096,nzd0449-0097,nzd0449-0098,nzd0449-0099,nzd0449-0100,nzd0449-0101,nzd0449-0102,nzd0449-0103,nzd0449-0104,nzd0449-0105,nzd0449-0106,nzd0449-0107,nzd0449-0108,nzd0449-0109,nzd0449-0110,nzd0449-0111,nzd0449-0112,nzd0449-0113,nzd0449-0114,nzd0449-0115,nzd0449-0116,nzd0449-0117,nzd0449-0118,nzd0449-0119,nzd0449-0120,nzd0449-0121,nzd0449-0122,nzd0449-0123,nzd0449-0124,nzd0449-0125,nzd0449-0126,nzd0449-0127,nzd0449-0128,nzd0449-0129,nzd0449-0130,nzd0449-0131,nzd0449-0132,nzd0449-0133,nzd0449-0134,nzd0449-0135,nzd0449-0136,nzd0449-0137,nzd0449-0138,nzd0449-0139,nzd0449-0140,nzd0449-0141,nzd0449-0142,nzd0449-0143,nzd0449-0144,nzd0449-0145,nzd0449-0146,nzd0449-0147,nzd0449-0148,nzd0449-0153,nzd0449-0154,nzd0449-0155,nzd0449-0156,nzd0449-0157,nzd0449-0158,nzd0449-0159,nzd0449-0160,nzd0449-0024,nzd0449-0025,nzd0449-0078,nzd0449-0079,nzd0449-0080,nzd0449-0081,nzd0449-0149,nzd0449-0026,nzd0449-0027,nzd0449-0028,nzd0449-0029,nzd0449-0030,nzd0449-0031,nzd0449-0032,nzd0449-0033,nzd0449-0034,nzd0449-0035,nzd0449-0036,nzd0449-0075,nzd0449-0076,nzd0449-0077,nzd0449-0150,nzd0449-0151,nzd0449-0152,nzd0449-0161,nzd0449-0037,nzd0449-0038,nzd0449-0039,nzd0449-0040,nzd0449-0041,nzd0449-0042,nzd0449-0043,nzd0449-0044,nzd0449-0045,nzd0449-0046,nzd0449-0047,nzd0449-0048,nzd0449-0049,nzd0449-0050,nzd0449-0051,nzd0449-0052,nzd0449-0053,nzd0449-0054,nzd0449-0055,nzd0449-0056,nzd0449-0057,nzd0449-0058,nzd0449-0059,nzd0449-0060,nzd0449-0061,nzd0449-0062,nzd0449-0063,nzd0449-0069,nzd0449-0070,nzd0449-0071,nzd0449-0072,nzd0449-0073,nzd0449-0162,nzd0449-0163,nzd0449-0164,nzd0449-0068,nzd0449-0074
1999-10-27 22:19:03.197000,L7,247.95,234.44,167.37,170.43,226.50,255.42,269.29,288.89,187.65,232.80,332.42,252.00,213.96,223.88,190.71,171.51,198.22,201.59,196.07,182.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-21 22:13:11.963000,L7,173.76,188.61,191.50,204.71,222.32,222.33,239.81,243.94,245.37,221.77,208.59,244.88,257.71,286.78,277.31,217.16,,,,,233.15,248.56,190.26,181.41,186.47,185.16,208.22,169.63,166.14,182.29,181.52,193.96,194.65,181.40,191.87,194.71,187.18,193.60,201.05,212.11,202.24,217.70,249.05,242.98,217.33,223.18,221.37,220.70,232.10,237.52,244.88,243.99,252.25,271.31,248.64,267.21,315.79,282.73,320.44,341.34,339.20,332.29,341.94,348.38,346.67,365.15,370.85,372.96,383.23,381.36,382.04,403.68,381.58,408.94,403.14,397.01,407.29,378.26,374.02,369.10,363.67,360.87,352.94,358.09,343.19,350.03,351.87,341.65,344.57,332.78,318.77,283.23,270.60,258.44,281.49,203.57,224.25,233.14,222.95,221.95,208.76,175.36,170.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-28 22:18:56.993000,L7,,,,,,205.08,196.25,194.08,242.52,221.36,,,188.71,222.15,293.74,185.17,,,,,195.80,199.38,,,,,,,,,210.26,229.84,178.62,184.39,174.81,,,,,,,,,,,,,,,,175.57,186.47,188.26,191.57,202.84,207.36,210.46,210.30,204.67,209.01,218.05,229.84,314.81,312.37,303.47,312.47,310.54,313.93,317.11,311.49,315.57,311.65,329.50,311.04,318.85,313.19,331.15,314.69,312.35,373.04,336.63,324.11,323.93,324.37,260.30,275.84,265.92,272.15,268.75,259.34,231.69,215.24,214.39,208.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:13:17.706000,L7,172.93,185.98,194.12,211.14,226.48,227.08,258.19,245.32,269.63,271.06,286.61,323.61,247.23,293.36,371.21,332.47,,,,,242.24,260.22,296.81,190.87,190.95,169.73,175.40,168.81,209.49,215.52,215.49,224.74,226.18,219.01,210.69,198.41,198.50,215.65,210.96,203.27,232.95,234.09,202.76,218.14,283.43,270.31,228.70,224.92,248.92,265.62,266.77,267.74,264.50,261.44,253.13,329.49,326.48,356.68,346.04,342.86,370.96,356.72,357.22,373.76,351.74,404.50,366.75,378.76,400.92,369.32,437.39,416.40,419.95,460.11,463.10,450.99,447.64,426.02,371.08,376.50,374.71,282.36,280.05,273.26,275.33,273.66,276.68,381.68,366.20,374.55,338.33,363.90,325.66,264.15,246.65,,179.14,349.35,396.66,423.29,196.17,219.63,,167.99,163.92,174.26,198.85,185.42,183.54,217.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-14 22:19:07.664000,L7,,,,,168.28,177.39,192.46,200.71,240.15,255.54,270.62,,,,,,,,,,186.75,213.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.30,180.59,185.91,189.20,191.05,198.05,194.55,199.31,204.43,208.57,222.92,249.39,253.54,265.52,266.46,312.76,315.68,225.54,237.69,255.07,294.66,308.09,313.93,329.44,346.71,317.69,302.39,292.95,289.50,278.24,281.80,273.10,258.68,267.13,265.04,265.49,276.84,260.31,248.94,242.00,217.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-19 22:11:25.950000,L7,,,316.77,297.28,240.25,264.56,250.52,236.52,265.87,273.12,278.47,340.38,283.76,302.60,344.24,326.69,,,,,238.47,321.05,316.27,314.37,299.49,270.07,194.53,180.72,180.71,184.27,217.32,251.07,202.92,193.46,199.55,215.18,207.91,262.71,244.35,215.10,196.29,222.17,193.34,237.96,248.63,244.53,223.54,234.89,248.43,265.10,260.51,227.10,235.96,286.23,294.72,253.16,247.74,248.32,256.01,295.61,269.37,300.46,298.56,304.68,256.84,267.43,266.27,265.62,265.01,271.35,257.95,292.65,280.26,186.45,206.89,206.08,278.15,212.23,208.51,206.00,318.02,290.10,289.26,292.87,308.06,320.23,276.96,302.82,341.86,329.08,324.58,335.72,278.16,,,,276.00,277.98,259.30,249.92,245.20,276.30,,179.59,186.81,,,,198.45,,176.74,172.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.76,,
2000-09-20 22:10:50.972000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.30,281.24,281.99,,,281.18,265.81,283.26,284.77,292.48,288.03,288.33,285.51,,,,,,,,,,,,,,,246.91,245.34,249.17,247.55,240.40,227.85,,,,,,261.04,269.64,275.70,,,,324.49,315.77,317.04,376.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.61,285.61,285.89,282.58,294.37,,,,,,,,,,,,,,,,,,,,,
2000-09-27 22:16:36.610000,L7,224.84,250.73,258.73,256.14,255.53,253.56,283.37,281.39,278.35,274.53,276.22,279.08,285.21,282.09,267.78,256.72,,,,,274.67,271.59,243.96,230.87,226.40,220.27,245.24,229.84,366.46,354.28,409.21,424.92,397.59,312.05,412.92,498.38,516.23,489.63,,489.41,410.68,367.31,351.08,292.81,264.10,231.06,244.45,314.82,218.97,296.26,232.05,235.10,247.37,247.91,277.41,254.39,268.70,244.20,254.06,284.62,277.74,280.54,267.63,283.06,265.88,319.68,283.92,259.91,260.46,263.42,265.50,272.64,273.58,280.99,292.29,304.68,311.66,360.69,298.31,305.19,315.02,307.91,384.19,319.92,405.82,336.37,326.97,327.95,330.46,324.34,354.28,353.68,325.53,378.17,383.86,327.85,316.86,294.38,282.37,265.08,239.36,210.15,188.18,184.46,364.75,,274.31,231.66,275.60,408.67,399.37,348.15,399.18,487.45,458.76,442.53,432.61,425.76,491.94,432.01,533.57,424.45,287.82,298.94,256.91,288.56,310.73,166.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-14 22:16:30.766000,L7,282.09,308.36,304.24,394.27,359.81,372.09,409.49,387.69,318.82,316.17,316.58,341.39,349.69,354.26,365.31,329.29,275.69,265.22,262.95,,315.85,292.53,327.65,339.81,333.26,332.83,337.92,318.97,327.30,491.61,177.64,320.01,308.94,284.19,279.29,289.68,294.61,341.20,333.41,368.65,328.18,330.35,366.42,388.27,255.04,359.54,480.03,508.49,516.79,411.35,470.35,336.94,326.47,322.47,333.14,328.95,323.72,354.95,406.20,444.89,492.23,506.94,440.23,317.85,306.43,303.11,314.43,301.90,284.14,291.59,317.48,329.48,328.15,328.21,358.97,376.07,433.57,410.23,371.49,450.35,435.15,439.38,476.02,433.24,437.63,437.85,370.12,466.61,455.25,475.69,442.82,504.21,,,203.39,498.77,476.30,397.97,513.95,416.05,408.12,537.47,492.24,324.89,302.08,267.39,256.37,286.68,291.11,505.96,297.72,316.97,340.87,303.98,284.22,283.58,285.42,165.96,174.84,301.73,327.47,,,226.45,411.27,370.06,528.65,511.90,176.31,181.01,182.91,168.90,188.01,198.00,193.98,198.81,196.01,190.23,197.07,218.58,306.84,307.92,310.93,219.45,261.06,301.98,267.41,261.11,275.10,195.53,189.93,170.42,178.82,179.96,174.41,254.54,261.13,244.54,244.32,213.56,424.58,427.15,424.04,,
2000-12-16 22:16:35.253000,L7,196.64,205.63,199.91,,,,,,,230.23,228.59,228.14,227.99,222.70,220.21,213.32,,,,,,,197.70,191.33,193.07,189.29,176.51,169.24,,,,328.17,338.26,321.84,335.67,,,,,,,,,,,,,,170.96,179.08,176.00,190.19,200.61,209.11,173.27,183.82,209.11,202.22,201.44,219.95,225.17,218.22,247.34,217.80,211.54,253.20,256.65,266.17,267.66,266.90,266.46,273.36,281.95,284.26,288.15,302.98,316.44,255.85,253.80,321.62,379.11,293.62,367.62,367.33,297.24,378.09,393.25,245.08,324.51,321.27,314.63,304.69,295.17,,,,,,,,,,,166.08,162.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.96,219.33,228.10,221.53,,,,,,
