dates,satname,nzd0513-0000,nzd0513-0001,nzd0513-0002,nzd0513-0003,nzd0513-0004,nzd0513-0005,nzd0513-0006,nzd0513-0007,nzd0513-0008,nzd0513-0009,nzd0513-0010,nzd0513-0011,nzd0513-0012,nzd0513-0013,nzd0513-0014,nzd0513-0015,nzd0513-0016,nzd0513-0017,nzd0513-0018,nzd0513-0019,nzd0513-0020,nzd0513-0021,nzd0513-0022,nzd0513-0023,nzd0513-0024,nzd0513-0025,nzd0513-0026,nzd0513-0027,nzd0513-0028,nzd0513-0029,nzd0513-0030,nzd0513-0031,nzd0513-0032,nzd0513-0033,nzd0513-0034,nzd0513-0035,nzd0513-0036,nzd0513-0037,nzd0513-0038,nzd0513-0042,nzd0513-0043,nzd0513-0044,nzd0513-0046,nzd0513-0047,nzd0513-0048,nzd0513-0049,nzd0513-0050,nzd0513-0051,nzd0513-0052,nzd0513-0053,nzd0513-0054,nzd0513-0055,nzd0513-0056,nzd0513-0057,nzd0513-0058,nzd0513-0059,nzd0513-0060,nzd0513-0061,nzd0513-0062,nzd0513-0063,nzd0513-0064,nzd0513-0065,nzd0513-0066,nzd0513-0067,nzd0513-0068,nzd0513-0069,nzd0513-0070,nzd0513-0071,nzd0513-0072,nzd0513-0073,nzd0513-0074,nzd0513-0075,nzd0513-0076,nzd0513-0077,nzd0513-0078,nzd0513-0079,nzd0513-0080,nzd0513-0081,nzd0513-0082,nzd0513-0083,nzd0513-0084,nzd0513-0085,nzd0513-0086,nzd0513-0087,nzd0513-0088,nzd0513-0089,nzd0513-0090,nzd0513-0091,nzd0513-0092,nzd0513-0093,nzd0513-0094,nzd0513-0095,nzd0513-0096,nzd0513-0097,nzd0513-0098,nzd0513-0099,nzd0513-0100,nzd0513-0039,nzd0513-0040,nzd0513-0041,nzd0513-0045
1999-12-07 22:13:41.663000,L7,,,,,,356.41,361.88,367.30,375.27,371.45,365.50,357.50,365.24,370.35,364.22,366.02,368.17,363.42,360.02,366.70,366.62,365.48,372.18,363.40,363.29,362.81,493.00,464.81,487.00,449.90,458.22,436.88,436.84,469.11,520.82,515.88,478.25,488.33,286.40,391.85,383.43,379.27,381.77,383.29,379.67,326.27,394.11,384.56,383.61,385.21,383.31,382.42,383.77,393.24,356.38,386.41,377.81,375.12,378.93,361.26,383.02,387.55,390.98,396.12,391.97,381.48,380.78,389.26,370.75,400.11,383.46,399.97,389.48,372.42,378.96,367.80,357.02,379.59,382.40,372.65,371.04,384.49,397.81,397.56,390.46,380.79,379.67,320.39,362.34,366.69,379.75,375.30,370.86,370.80,371.29,374.26,372.22,384.97,227.00,378.70,377.71
1999-12-16 22:07:33.708000,L7,342.45,355.04,336.98,335.72,348.23,343.63,331.44,330.13,330.50,323.91,316.22,317.57,319.25,323.12,314.68,314.87,315.98,316.02,321.76,321.50,321.73,323.86,317.82,323.36,321.60,325.33,317.87,316.83,305.94,318.74,320.06,318.96,320.24,285.74,324.84,327.73,328.12,309.77,188.81,501.32,498.45,495.19,250.49,299.39,300.48,305.19,314.12,322.32,322.58,326.71,331.72,334.59,325.79,336.72,336.64,339.34,337.81,333.50,346.94,347.64,354.23,356.72,361.27,356.94,358.82,353.44,351.03,352.78,356.91,356.03,365.99,365.75,363.61,347.02,337.92,325.81,246.29,334.18,350.46,356.76,359.06,353.66,364.27,356.45,351.86,347.32,341.64,282.45,247.58,314.63,338.76,343.05,336.45,337.57,339.38,347.52,326.92,,,,
2000-05-08 22:06:44.900000,L7,321.22,338.52,328.38,344.98,313.64,301.43,341.38,336.41,333.76,295.26,305.59,325.89,332.05,325.45,327.78,323.15,323.91,326.73,329.78,333.77,338.06,326.68,331.69,336.30,338.43,336.58,335.98,331.59,300.52,334.83,336.46,338.78,334.47,347.59,331.70,340.94,345.92,324.60,202.75,,,,,278.93,307.21,317.90,308.66,343.56,338.81,344.70,252.47,321.66,313.03,322.01,312.91,355.57,470.44,485.29,497.16,468.39,494.86,336.13,370.12,368.15,361.15,356.98,277.86,268.84,299.49,303.17,291.63,374.16,371.52,357.23,352.02,332.55,270.04,334.85,353.69,347.53,357.66,353.21,361.60,362.42,357.23,357.38,354.65,305.66,294.42,320.14,340.39,345.20,338.58,340.00,344.87,344.45,332.82,,,,
2000-05-15 22:12:54.183000,L7,289.24,298.95,307.33,317.11,282.75,240.94,238.09,316.11,301.73,205.70,153.66,,294.25,327.40,233.44,297.19,298.12,314.35,320.93,333.55,336.93,331.13,332.30,333.57,339.73,332.75,329.80,318.81,320.59,334.85,336.53,340.29,279.89,282.96,268.05,262.62,255.93,183.17,,,,,,274.70,279.74,275.33,234.33,260.05,252.29,276.18,333.71,351.10,347.71,356.19,355.58,326.27,322.89,320.50,325.67,321.47,261.11,283.14,316.81,340.27,357.50,361.32,346.26,348.43,315.20,360.70,346.96,344.89,351.74,336.07,335.52,321.47,288.48,334.94,354.18,276.41,354.82,339.20,361.25,341.97,355.98,169.66,198.67,196.09,215.08,247.12,158.85,195.01,188.12,252.09,341.01,346.54,332.68,,,,
2000-09-20 22:11:14.930000,L7,317.94,345.97,337.18,342.62,337.81,338.14,337.27,338.09,330.42,322.84,313.54,308.73,297.23,314.82,289.42,312.92,309.72,314.83,313.00,317.34,308.57,301.12,303.45,312.19,315.83,321.33,314.30,313.76,289.10,287.10,292.43,301.48,246.62,226.86,261.25,256.07,251.54,210.93,164.53,,,,,236.29,234.89,209.06,210.95,,198.83,222.26,249.56,261.74,241.62,254.44,282.23,295.96,329.32,324.64,335.89,340.38,344.87,344.84,346.94,224.96,237.24,220.91,214.55,343.94,343.40,341.64,335.70,223.26,195.73,332.93,221.51,305.00,300.85,271.01,326.67,313.30,343.54,335.24,336.63,331.70,315.20,330.60,307.86,,224.85,196.68,236.65,245.52,305.23,322.34,328.46,330.60,321.05,,,,
2000-12-18 22:05:01.704000,L7,446.07,479.39,479.82,463.20,473.45,448.64,440.35,485.14,456.89,450.39,457.54,456.66,439.62,423.20,457.26,414.19,410.66,481.58,475.53,490.78,442.28,408.88,430.63,412.84,421.50,405.47,444.76,433.41,431.12,441.24,428.81,402.54,406.50,347.65,362.93,367.02,375.24,349.32,372.97,337.03,362.33,371.04,355.87,362.65,360.72,352.31,361.77,371.13,372.99,372.38,367.29,366.70,367.34,365.10,371.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.18,354.32,367.40,365.47,365.33,365.81,369.14,,,370.70,314.67,340.17,367.07
2001-01-03 22:05:00.181000,L7,,,,,362.78,354.75,362.20,356.66,359.33,334.41,362.69,361.99,362.99,359.62,359.38,347.52,320.98,361.95,357.80,364.49,361.73,358.57,363.30,369.42,362.80,338.60,365.15,368.09,374.00,380.86,374.89,371.17,381.10,410.27,378.28,396.63,387.25,386.05,380.68,360.68,386.12,389.38,371.50,379.63,372.65,367.61,376.77,381.56,372.94,375.26,379.82,382.81,376.19,348.05,350.78,371.71,374.63,377.67,353.82,381.80,383.83,389.18,392.96,393.58,395.62,392.26,396.46,393.73,391.89,395.24,403.09,406.44,394.34,382.34,380.34,366.25,363.47,377.53,384.74,395.58,391.34,395.91,399.64,399.30,359.06,352.60,376.47,383.52,389.36,381.35,386.12,378.46,382.39,376.69,374.11,378.75,374.71,389.93,375.55,161.32,384.01
2001-02-11 22:11:12.788000,L7,353.34,348.68,338.91,337.20,347.72,343.06,332.72,331.00,324.39,319.06,316.03,311.86,317.42,312.44,313.19,309.70,311.55,314.14,315.67,319.87,315.63,315.36,311.24,320.76,320.18,321.11,314.35,309.15,291.02,301.98,310.85,316.28,310.17,271.42,318.05,320.64,322.53,320.31,186.43,,,,250.05,301.20,300.30,305.37,317.41,326.76,329.57,330.08,336.43,333.50,327.47,339.08,335.16,334.66,330.75,335.02,340.86,349.17,350.35,350.71,360.68,354.19,360.07,351.95,347.09,347.47,350.04,354.33,357.11,359.07,359.43,342.28,330.72,320.73,289.92,327.46,346.27,353.47,356.44,353.79,363.35,357.06,348.62,344.80,341.86,286.46,252.53,312.19,330.43,335.92,328.11,329.98,332.31,335.95,321.43,,,,
2001-02-20 22:05:00.525000,L7,,,,365.43,366.90,367.75,360.99,355.57,361.36,358.92,365.30,371.72,378.49,383.95,374.46,376.81,368.51,375.30,370.68,370.63,368.21,367.29,464.34,433.70,376.52,339.08,332.15,502.46,505.55,503.16,506.58,497.17,492.51,529.14,386.33,387.01,391.94,386.08,382.85,392.78,396.49,407.67,403.66,404.72,403.39,405.40,404.96,426.75,403.41,398.89,394.89,414.86,390.96,520.62,511.98,495.75,499.74,518.60,505.70,494.68,387.31,392.33,394.57,396.03,400.70,362.84,395.33,391.66,398.44,368.82,409.27,407.63,402.84,388.92,386.64,378.51,366.55,379.06,391.55,395.35,397.49,398.42,403.58,399.63,390.10,392.16,395.55,396.71,386.93,383.61,387.18,382.76,381.96,381.25,345.39,381.76,370.03,391.15,384.19,356.77,404.98
2001-02-27 22:11:06.137000,L7,,379.54,380.24,382.01,382.81,378.99,368.00,370.97,342.20,370.25,376.41,379.84,381.80,506.95,509.85,502.42,497.93,486.73,496.94,492.96,491.17,335.56,492.10,509.10,490.07,493.27,486.53,456.59,446.77,342.88,400.78,399.89,342.05,393.16,395.51,398.18,391.80,394.08,350.60,393.96,397.55,405.32,408.53,409.23,522.49,498.27,485.24,475.54,471.90,461.04,460.17,458.63,462.04,466.10,465.67,455.04,459.45,386.03,394.19,389.54,395.33,404.48,406.93,407.05,370.47,402.27,399.21,404.70,405.20,407.68,414.99,378.29,404.42,395.17,395.85,379.83,378.00,382.62,398.00,409.25,404.12,403.64,407.71,402.67,396.73,394.67,401.82,399.71,402.86,395.21,390.13,389.07,387.14,385.83,385.47,388.65,391.52,206.75,386.04,353.09,404.18
