dates,satname,nzd0402-0000,nzd0402-0001,nzd0402-0002,nzd0402-0003,nzd0402-0004,nzd0402-0005,nzd0402-0006,nzd0402-0007,nzd0402-0008,nzd0402-0009,nzd0402-0010,nzd0402-0011,nzd0402-0012,nzd0402-0013,nzd0402-0014,nzd0402-0015,nzd0402-0016,nzd0402-0017,nzd0402-0018,nzd0402-0019,nzd0402-0020,nzd0402-0021,nzd0402-0022,nzd0402-0023,nzd0402-0024,nzd0402-0025,nzd0402-0026,nzd0402-0027,nzd0402-0028,nzd0402-0029,nzd0402-0030
1999-09-04 22:00:33.926000,L7,355.84,268.94,349.87,353.10,355.58,348.95,324.34,337.20,376.27,333.79,333.26,328.28,337.44,285.70,255.16,242.48,230.82,236.42,235.42,228.98,217.54,209.74,218.90,212.86,216.12,214.33,247.46,231.74,,,
1999-10-22 22:00:28.631000,L7,389.41,354.55,401.59,381.86,395.29,372.48,375.24,394.87,391.42,394.73,371.63,375.50,369.42,304.24,278.42,251.62,246.09,253.24,245.65,238.90,228.18,227.24,226.65,218.44,215.28,212.35,353.41,356.65,357.62,361.25,215.58
1999-12-09 22:00:33.510000,L7,241.90,209.64,318.07,270.15,320.29,310.91,275.40,307.82,287.76,305.33,257.39,254.64,307.12,281.59,244.88,203.52,203.73,148.06,218.74,209.25,202.94,198.90,200.65,196.77,192.01,,,,,,
2000-01-26 22:00:26.187000,L7,362.74,268.38,355.32,433.24,441.04,442.72,438.78,420.93,376.16,325.96,349.05,349.71,341.09,300.00,266.71,239.70,230.66,231.47,228.59,220.40,212.91,210.66,211.51,208.28,200.42,196.95,202.28,190.57,,,
2000-02-11 22:00:21.827000,L7,372.43,300.55,364.74,363.57,375.88,359.01,336.84,373.36,369.50,348.31,355.44,349.51,347.14,304.86,275.76,250.10,239.46,241.17,235.52,225.76,219.15,212.03,218.17,210.40,210.15,214.36,221.28,211.46,269.89,414.15,419.23
2000-02-27 22:00:16.353000,L7,427.13,444.10,457.46,449.40,447.58,442.17,438.19,429.50,436.32,428.77,418.14,391.90,413.63,403.18,391.20,253.60,250.18,254.14,243.83,237.34,228.41,395.49,405.99,401.72,401.11,400.74,385.08,405.76,411.68,299.50,278.36
2000-03-30 22:00:09.363000,L7,376.34,338.87,365.06,365.57,372.89,362.84,342.95,381.36,384.17,345.97,364.92,365.88,350.80,303.29,275.11,247.09,245.74,248.30,243.39,235.61,226.49,220.06,222.73,216.26,218.62,226.44,263.26,245.08,246.94,271.93,159.26
2000-04-15 21:59:55.745000,L7,354.77,252.70,350.06,352.47,361.40,352.56,184.02,194.32,377.42,336.01,334.43,334.58,332.23,289.14,259.14,233.71,230.26,236.32,228.05,220.80,216.98,213.32,216.35,210.91,206.31,209.91,217.46,211.17,,,
2000-05-01 21:59:54.563000,L7,378.83,336.27,359.71,363.01,376.54,361.85,338.62,363.92,391.78,354.35,357.79,364.53,358.85,309.51,284.25,254.17,250.16,256.07,248.54,237.91,222.96,223.05,225.80,220.29,231.10,237.18,265.14,262.82,272.70,283.38,253.33
2000-06-18 21:59:27.736000,L7,351.79,262.93,329.37,349.57,357.31,362.60,327.15,442.00,446.38,337.17,319.12,333.79,326.09,279.83,252.92,221.57,235.39,241.70,234.43,223.80,221.46,214.80,221.71,214.86,208.00,197.12,195.25,187.42,,,
