dates,satname,nzd0421-0000,nzd0421-0001,nzd0421-0002,nzd0421-0003,nzd0421-0004,nzd0421-0005,nzd0421-0006,nzd0421-0007,nzd0421-0008,nzd0421-0009,nzd0421-0010,nzd0421-0011,nzd0421-0012,nzd0421-0013,nzd0421-0014,nzd0421-0015,nzd0421-0016,nzd0421-0017,nzd0421-0018,nzd0421-0019,nzd0421-0020,nzd0421-0021,nzd0421-0022,nzd0421-0023,nzd0421-0024,nzd0421-0025,nzd0421-0026,nzd0421-0027,nzd0421-0028,nzd0421-0029,nzd0421-0030,nzd0421-0031,nzd0421-0032,nzd0421-0033,nzd0421-0034,nzd0421-0035,nzd0421-0036,nzd0421-0037,nzd0421-0038,nzd0421-0039,nzd0421-0040,nzd0421-0041,nzd0421-0042,nzd0421-0043,nzd0421-0044,nzd0421-0045,nzd0421-0046,nzd0421-0047,nzd0421-0048,nzd0421-0049,nzd0421-0050,nzd0421-0051
1999-08-26 22:06:44.761000,L7,482.14,504.58,325.11,325.76,485.41,497.54,462.73,477.54,246.32,281.56,275.14,299.87,495.26,490.00,486.55,482.67,486.60,505.30,506.38,368.14,365.60,324.38,378.84,346.28,355.51,359.58,350.16,334.84,356.78,388.04,342.84,347.12,330.20,332.37,315.37,303.53,311.26,311.59,303.03,302.22,311.03,303.42,309.38,316.38,308.20,319.93,332.98,365.39,349.51,346.68,348.59,370.61
1999-09-04 22:00:33.926000,L7,284.28,274.80,321.03,323.84,302.99,284.44,276.02,193.26,283.51,289.54,277.75,300.47,314.13,296.80,339.42,179.08,339.42,341.92,357.49,362.31,358.74,325.14,358.09,347.22,355.52,358.10,366.26,356.48,354.56,346.43,351.00,342.08,317.65,326.68,312.92,294.63,294.61,300.96,296.63,290.25,320.76,314.11,317.05,311.39,311.84,324.23,325.94,296.94,344.14,357.12,353.92,356.11
1999-09-27 22:06:48.795000,L7,285.65,282.36,333.86,328.37,304.25,297.52,329.36,217.38,333.27,324.07,313.17,326.45,336.08,313.19,342.57,215.99,347.30,359.74,357.90,366.81,377.51,347.33,364.97,352.80,358.21,363.55,350.91,344.21,351.27,350.06,340.57,338.97,328.72,331.52,339.08,330.78,329.80,313.46,303.97,297.42,318.56,309.33,309.80,307.22,310.54,318.80,331.37,354.35,353.03,351.51,353.28,366.10
1999-10-22 22:00:28.631000,L7,386.49,378.47,390.33,381.66,396.28,411.82,410.05,405.77,402.97,404.17,467.22,486.39,485.19,478.54,413.84,405.84,460.66,405.25,409.87,431.23,449.39,483.23,501.92,490.09,472.55,424.66,399.78,396.77,397.84,405.95,408.03,403.90,497.84,497.99,500.58,482.28,473.67,441.24,409.39,383.55,355.73,354.74,355.49,385.54,362.90,373.19,377.07,425.50,448.78,409.77,417.72,429.34
1999-11-30 22:06:35.082000,L7,301.49,293.22,326.08,355.00,381.53,324.08,308.11,330.28,316.73,302.21,296.03,314.47,326.96,312.03,341.26,350.93,363.09,361.47,366.90,371.39,368.73,356.63,357.35,349.33,356.84,351.38,344.32,342.49,343.96,342.41,325.32,331.23,326.30,317.68,305.59,301.49,310.81,311.75,312.43,312.28,294.34,307.61,312.66,313.01,321.14,322.78,328.25,354.22,370.45,360.79,356.68,356.74
1999-12-09 22:00:33.510000,L7,,,,288.35,265.78,236.57,255.65,,,,224.52,248.38,253.70,258.18,207.59,,,237.28,318.76,237.05,277.03,,,296.11,254.09,244.33,230.85,198.33,233.10,263.55,,201.52,235.57,232.44,,,,,,,250.11,186.42,200.57,215.21,199.03,262.61,187.40,236.35,270.61,,252.30,221.16
1999-12-16 22:06:45.781000,L7,264.80,,226.36,288.69,268.95,270.45,252.55,,,,234.39,265.24,263.63,259.65,225.14,,,246.12,261.26,324.59,310.60,279.66,297.16,299.22,287.39,294.49,240.99,233.52,267.68,311.94,303.97,207.83,267.61,262.15,263.61,254.77,235.77,234.12,259.50,199.43,264.84,265.53,262.37,233.44,213.31,271.75,278.90,287.61,286.63,313.00,317.99,326.07
2000-01-26 22:00:26.187000,L7,,,,,,,,143.06,286.21,245.55,222.80,244.22,248.57,292.98,206.25,221.30,149.27,280.17,335.99,336.56,333.55,304.84,,191.64,306.86,247.62,262.21,195.96,223.74,328.85,172.00,237.47,289.98,223.39,256.32,259.45,257.92,,,,,,,,196.58,198.66,218.35,272.11,334.09,348.32,344.72,344.51
2000-02-11 22:00:21.827000,L7,304.20,304.48,322.70,321.18,332.23,345.09,339.38,339.24,341.09,341.10,351.48,398.22,396.03,356.70,359.75,431.97,357.26,447.23,425.15,421.97,368.43,373.04,360.47,371.47,392.94,363.79,360.13,343.72,341.37,339.44,356.56,340.15,330.84,309.77,322.90,302.35,319.11,347.44,315.00,307.13,306.71,314.42,315.65,315.19,356.33,385.48,386.57,443.15,345.44,361.43,365.21,356.29
2000-02-27 22:00:16.353000,L7,299.35,287.52,332.07,325.35,325.71,355.82,356.53,351.67,391.41,390.52,377.63,378.61,373.15,364.34,366.02,365.20,480.57,472.85,467.22,434.23,431.07,150.65,339.20,351.25,345.65,471.92,447.34,420.23,425.10,432.50,426.24,357.61,342.92,329.31,363.87,343.09,282.03,285.19,313.91,316.35,324.20,374.56,301.10,286.15,280.59,283.24,291.05,275.97,340.53,356.92,357.59,356.90
