dates,satname,nzd0205-0000,nzd0205-0001,nzd0205-0002,nzd0205-0003,nzd0205-0004,nzd0205-0005,nzd0205-0007,nzd0205-0008,nzd0205-0009,nzd0205-0010,nzd0205-0011,nzd0205-0012,nzd0205-0013,nzd0205-0014,nzd0205-0015,nzd0205-0016,nzd0205-0025,nzd0205-0026,nzd0205-0027,nzd0205-0028,nzd0205-0029,nzd0205-0030,nzd0205-0006,nzd0205-0017,nzd0205-0018,nzd0205-0019,nzd0205-0020,nzd0205-0021,nzd0205-0022,nzd0205-0023,nzd0205-0024,nzd0205-0031,nzd0205-0032,nzd0205-0033
1999-08-26 22:05:08.926000,L7,181.19,273.17,275.15,288.12,277.95,267.81,167.26,302.48,249.86,313.55,278.27,254.35,267.04,261.11,257.49,257.14,205.74,213.05,217.89,236.71,235.03,215.77,,,,,,,,,,,,
1999-09-27 22:05:12.911000,L7,330.14,316.05,312.57,316.51,299.96,306.37,319.07,334.80,320.36,321.31,321.09,305.87,295.43,292.22,272.56,269.61,228.18,226.09,227.52,247.41,250.06,239.23,303.43,262.02,259.73,251.29,241.32,273.24,250.53,242.97,237.62,171.02,,
1999-10-13 22:05:12.843000,L7,349.47,334.63,330.62,330.92,313.04,325.22,331.64,341.86,334.10,333.40,338.17,319.11,304.99,300.69,292.83,285.28,244.48,385.42,387.00,430.15,265.11,247.60,328.15,280.15,270.83,267.75,257.74,284.26,272.24,260.84,250.59,205.11,,
1999-11-14 22:05:06.309000,L7,362.89,455.39,,493.46,384.58,340.18,337.36,346.69,338.21,338.02,340.12,322.91,310.53,303.41,299.48,296.16,259.75,253.67,257.05,263.10,265.74,251.48,336.97,290.96,280.03,280.51,272.69,291.44,279.54,270.18,262.93,224.02,,
1999-12-25 21:58:52.197000,L7,257.97,259.44,254.52,254.40,252.61,253.44,261.83,287.38,290.81,285.34,302.71,293.27,285.32,281.07,278.59,280.82,291.82,292.18,291.97,300.53,317.48,314.58,255.25,289.22,280.70,278.15,281.94,285.67,296.90,293.70,291.90,290.92,247.58,
2000-02-18 22:04:53.186000,L7,325.81,308.60,310.09,309.91,299.09,291.35,304.58,325.78,321.34,318.56,324.04,306.07,289.74,284.68,271.54,265.85,228.50,221.11,221.79,236.41,242.25,227.23,294.42,261.70,254.40,250.75,238.10,241.65,252.55,240.53,234.70,174.64,,
2000-03-30 21:58:33.541000,L7,271.54,246.65,422.85,456.81,460.92,477.46,537.44,518.20,525.83,509.65,538.05,524.50,517.60,373.18,475.61,422.35,447.27,451.11,437.30,461.33,487.92,499.96,503.04,424.54,,481.62,466.44,478.54,,,454.41,505.70,510.62,521.97
2000-07-04 21:57:38.483000,L7,430.80,454.39,450.49,222.93,232.36,226.12,266.14,272.30,283.37,278.80,281.01,275.03,269.33,268.99,267.11,264.48,270.11,253.89,270.24,285.25,307.18,284.38,255.23,,,254.03,223.99,221.92,185.19,173.86,221.73,248.04,211.43,
2000-07-11 22:03:41.691000,L7,330.18,305.07,318.65,322.25,330.95,338.40,558.59,541.32,527.52,530.83,513.25,317.02,541.74,536.47,523.90,493.02,229.06,224.56,232.56,251.09,257.94,238.66,346.00,230.58,264.54,254.52,231.66,200.15,191.64,236.79,238.04,190.39,494.16,386.85
2000-08-05 21:57:08.715000,L7,396.44,387.19,372.63,353.39,343.68,407.07,413.61,408.69,400.98,301.30,402.48,416.53,442.32,453.71,391.85,389.71,488.15,432.37,493.40,516.78,522.58,487.27,411.65,396.58,423.31,448.26,460.30,435.24,377.87,515.30,484.75,446.89,473.28,510.12
2000-09-13 22:02:50.153000,L7,,285.33,305.08,309.67,294.76,295.84,255.43,233.07,234.40,329.79,291.49,,301.88,311.82,304.77,299.74,213.14,217.08,222.28,236.98,285.25,,306.52,286.62,,,,,,,187.99,,,
2000-09-22 21:56:29.431000,L7,269.47,260.85,262.31,259.09,261.76,268.04,287.24,296.84,302.10,324.59,337.92,339.07,306.71,339.80,450.33,513.59,521.20,293.52,296.92,303.89,321.25,321.69,276.80,503.29,520.56,497.50,527.85,503.45,470.97,509.38,514.36,293.15,251.13,
2000-10-15 22:02:20.178000,L7,443.94,425.51,365.24,367.32,361.54,360.86,382.27,398.13,384.92,372.39,514.03,503.86,441.67,384.83,477.20,531.69,310.79,303.67,289.19,287.73,262.50,245.14,363.85,438.54,324.16,335.62,453.34,333.56,305.71,303.20,301.70,,,375.47
2000-11-09 21:56:21.390000,L7,,363.44,334.81,,,,330.93,394.58,541.05,556.21,,424.15,416.13,431.16,412.41,405.56,421.82,388.23,396.75,382.39,360.29,341.41,227.80,388.41,324.28,383.30,399.88,389.35,376.52,373.76,413.47,316.24,295.35,325.98
2001-01-03 22:02:36.401000,L7,521.56,552.41,540.05,345.17,539.37,531.62,344.11,354.96,346.26,343.49,352.07,335.68,467.72,432.89,310.93,409.39,508.32,518.75,499.22,518.92,544.06,387.36,510.24,429.68,398.52,388.10,395.25,451.40,484.26,440.63,528.01,378.03,389.18,536.96
2001-02-04 22:02:38.355000,L7,345.12,333.46,326.23,326.43,314.29,308.80,321.00,341.07,333.68,342.96,334.76,316.96,314.30,307.03,297.93,288.37,247.63,446.07,459.18,242.70,252.07,247.01,315.53,277.88,265.59,267.51,251.02,277.08,266.97,257.98,259.72,199.54,,
