dates,satname,nzd0204-0000,nzd0204-0001,nzd0204-0002,nzd0204-0003,nzd0204-0004,nzd0204-0005,nzd0204-0006,nzd0204-0007,nzd0204-0008,nzd0204-0009,nzd0204-0010,nzd0204-0011,nzd0204-0012,nzd0204-0013,nzd0204-0014,nzd0204-0015,nzd0204-0016,nzd0204-0017,nzd0204-0018,nzd0204-0019,nzd0204-0020,nzd0204-0021,nzd0204-0022,nzd0204-0023,nzd0204-0024,nzd0204-0025,nzd0204-0026,nzd0204-0027,nzd0204-0028,nzd0204-0029,nzd0204-0030,nzd0204-0031,nzd0204-0032,nzd0204-0033,nzd0204-0034,nzd0204-0035,nzd0204-0036,nzd0204-0037,nzd0204-0038,nzd0204-0039,nzd0204-0040,nzd0204-0041,nzd0204-0042,nzd0204-0043,nzd0204-0044,nzd0204-0045,nzd0204-0046,nzd0204-0047,nzd0204-0048,nzd0204-0049,nzd0204-0050,nzd0204-0051,nzd0204-0052,nzd0204-0053,nzd0204-0054,nzd0204-0055,nzd0204-0056,nzd0204-0057,nzd0204-0058,nzd0204-0059,nzd0204-0060,nzd0204-0061,nzd0204-0062,nzd0204-0063,nzd0204-0064,nzd0204-0065,nzd0204-0066,nzd0204-0067,nzd0204-0068,nzd0204-0069,nzd0204-0070,nzd0204-0071,nzd0204-0072,nzd0204-0073,nzd0204-0074,nzd0204-0075,nzd0204-0076,nzd0204-0077,nzd0204-0078,nzd0204-0079,nzd0204-0080,nzd0204-0081,nzd0204-0082,nzd0204-0083,nzd0204-0084,nzd0204-0085,nzd0204-0086,nzd0204-0087,nzd0204-0088,nzd0204-0089,nzd0204-0090,nzd0204-0091,nzd0204-0092,nzd0204-0093,nzd0204-0094,nzd0204-0095,nzd0204-0096,nzd0204-0097,nzd0204-0098,nzd0204-0099,nzd0204-0100,nzd0204-0101,nzd0204-0102,nzd0204-0103,nzd0204-0104,nzd0204-0105,nzd0204-0106,nzd0204-0107,nzd0204-0108,nzd0204-0109,nzd0204-0110,nzd0204-0111
1999-09-29 21:52:52.243000,L7,438.87,365.41,320.18,314.05,313.36,302.61,308.14,308.16,311.39,332.35,327.78,342.80,349.55,344.09,329.31,331.92,328.76,334.73,342.72,340.66,345.66,345.45,345.22,340.78,343.16,334.79,332.05,316.68,331.86,337.30,334.72,346.97,351.22,350.60,339.93,336.73,340.27,331.24,314.53,339.05,362.70,375.48,376.26,373.08,372.91,371.19,358.56,356.15,354.81,350.08,344.02,339.82,339.65,336.46,332.06,326.15,327.23,340.64,361.95,349.58,342.87,337.58,314.53,312.90,323.27,322.76,323.38,318.84,317.90,324.06,316.29,313.24,309.86,317.26,315.24,315.91,319.35,325.78,326.45,320.96,319.52,325.67,321.84,319.43,332.35,337.26,337.44,348.04,344.57,363.01,353.50,362.05,359.75,359.40,397.95,350.16,359.14,359.62,364.24,363.45,366.33,368.64,375.43,372.30,369.60,377.57,376.72,367.70,366.46,371.55,354.15,361.24
1999-10-15 21:52:49.322000,L7,,377.27,372.05,366.60,395.21,372.81,386.89,375.40,370.79,364.36,345.26,378.57,373.46,375.91,428.40,471.19,468.98,360.90,406.28,396.65,420.32,460.18,399.77,394.73,390.98,389.78,409.36,416.38,407.07,411.96,419.49,404.71,399.80,397.40,386.81,417.52,433.43,365.38,376.79,385.69,394.78,398.59,389.80,384.54,390.74,413.77,379.64,378.68,381.07,379.46,385.07,385.98,380.07,373.63,361.73,365.80,373.23,379.34,364.95,370.10,405.05,366.89,372.63,369.69,347.51,354.97,345.86,352.77,390.54,389.19,374.78,355.54,369.73,390.79,363.60,343.45,346.74,360.79,360.32,377.69,381.03,361.82,363.99,363.17,354.06,346.36,369.88,395.85,362.88,353.91,357.10,357.31,360.15,366.55,416.19,386.90,394.46,399.27,407.33,393.85,403.62,420.23,398.54,419.34,446.49,453.27,435.68,458.90,392.38,390.20,376.68,397.42
1999-12-09 21:58:57.676000,L7,,,,,,,,,,,,529.12,339.04,318.12,319.69,422.27,490.29,521.51,,448.25,394.12,508.25,,,,546.73,368.09,369.84,357.78,357.94,382.92,356.11,352.23,360.47,338.55,342.70,347.43,369.05,323.94,365.90,380.25,386.29,375.94,344.62,346.04,384.24,363.34,355.37,351.59,352.75,348.58,360.26,376.21,368.45,405.51,359.76,350.09,359.59,354.61,366.73,338.14,317.37,325.92,387.65,354.35,335.28,327.08,326.36,329.03,333.36,327.40,346.24,365.79,312.13,313.65,320.60,323.58,323.45,343.18,349.05,347.21,347.09,320.40,313.06,322.64,349.38,356.17,352.78,361.11,370.83,361.58,364.80,354.94,352.82,349.20,356.86,375.11,381.15,372.73,382.69,382.92,401.78,416.21,331.23,338.43,328.30,331.76,420.21,391.07,376.26,352.78,354.28
2000-01-10 21:58:52.465000,L7,393.75,365.42,235.46,213.78,215.53,194.22,260.10,263.53,244.02,283.22,277.47,283.94,294.54,291.32,296.26,309.93,302.85,313.12,323.23,301.07,264.89,257.11,277.24,289.06,261.43,274.21,236.04,239.62,234.60,268.56,272.48,470.98,287.12,285.30,256.59,321.58,273.48,252.81,231.69,284.94,301.34,295.92,302.34,311.87,334.28,294.12,297.27,280.95,279.12,278.00,276.27,270.43,268.23,266.88,262.48,259.79,256.63,256.81,255.04,257.87,256.30,252.29,257.28,258.60,264.12,275.80,269.81,271.93,272.70,268.65,263.68,256.53,262.24,275.18,255.89,257.36,261.02,260.83,256.35,260.74,259.82,252.64,253.62,249.89,261.42,265.32,259.90,258.75,255.56,249.62,244.90,254.84,205.51,250.33,248.88,247.96,233.97,265.10,266.08,275.60,275.77,281.74,281.53,292.95,302.33,298.39,286.34,281.76,278.05,273.29,266.09,
2000-02-04 21:52:37.377000,L7,,370.00,348.61,350.14,347.45,345.05,333.98,339.34,341.99,342.06,336.73,333.69,330.15,334.29,341.18,344.00,355.55,371.06,380.11,349.36,354.66,371.06,366.69,368.34,371.35,364.96,368.22,376.98,372.94,368.22,360.50,363.64,367.73,359.80,361.84,349.52,358.18,353.57,364.79,359.32,361.70,367.13,361.48,356.22,356.79,360.10,362.14,360.19,358.37,359.65,354.52,355.62,360.33,361.91,370.26,352.62,356.31,355.09,353.80,342.06,343.20,334.57,338.01,338.38,344.92,344.19,352.06,385.88,347.85,351.53,357.13,357.41,355.86,340.69,340.26,336.93,335.62,337.02,344.46,351.69,355.39,368.25,356.78,358.48,376.18,368.54,357.09,367.43,378.77,385.21,379.37,381.84,378.12,353.70,353.40,346.62,362.13,368.86,377.42,393.36,401.39,405.91,411.20,405.42,414.59,429.38,430.50,425.18,408.67,396.10,389.84,377.11
2000-02-20 21:52:29.720000,L7,,388.48,332.66,328.46,334.47,334.24,334.74,351.63,373.53,332.11,336.74,327.87,338.59,345.44,340.78,354.61,366.38,352.55,351.89,358.47,353.06,348.03,366.30,347.58,350.45,349.30,351.54,369.02,370.39,369.28,369.81,369.43,362.54,357.58,473.20,436.68,,,386.86,379.11,387.70,377.53,359.58,370.50,358.11,364.33,360.02,366.40,363.09,364.24,347.65,364.61,353.23,359.36,367.52,368.20,360.51,339.06,334.68,338.90,369.25,349.17,351.57,337.87,346.76,350.34,361.99,346.30,362.43,360.45,337.62,341.52,323.16,323.81,328.40,353.99,330.38,352.94,354.36,348.17,367.98,350.60,359.72,364.39,368.58,371.40,359.06,369.74,365.00,363.82,341.79,361.40,368.40,346.58,359.87,361.24,377.42,382.11,384.22,403.22,391.98,401.73,410.26,401.69,407.70,412.50,411.72,398.27,386.59,385.38,371.68,370.15
2000-02-27 21:58:40.521000,L7,,444.64,249.12,233.21,317.35,227.05,247.33,259.46,240.25,269.59,274.67,269.74,260.23,245.86,246.66,277.21,284.07,195.77,287.84,247.19,276.70,452.11,422.89,,,,,,,,480.29,427.04,425.11,340.85,290.22,241.67,268.75,267.66,201.36,284.20,298.53,286.84,285.76,190.09,348.17,284.29,274.07,276.28,270.98,274.66,,,,,,,485.66,292.77,293.25,463.89,345.94,299.96,,,,,,263.99,252.18,269.48,261.11,263.44,166.81,444.05,393.45,393.57,445.74,255.84,253.90,258.47,257.73,252.15,249.28,248.83,262.92,264.41,260.23,256.38,250.73,247.08,245.37,258.68,205.86,252.42,249.71,246.43,199.59,264.19,224.07,270.32,272.91,280.81,283.99,298.40,303.89,299.75,288.48,283.38,275.73,279.35,272.75,264.46
2000-03-14 21:58:35.291000,L7,364.31,,,,,199.46,211.50,237.88,233.12,264.10,263.81,231.82,,,,247.55,269.66,275.45,254.65,246.67,,254.93,226.58,274.33,266.65,274.50,247.40,,194.77,263.93,271.43,289.88,286.73,279.82,248.85,245.95,274.36,255.58,254.44,,265.65,286.74,282.81,285.19,279.07,275.02,273.73,273.31,271.19,275.42,273.81,265.54,266.36,258.54,260.81,260.53,245.38,253.21,250.15,256.21,252.82,250.02,251.07,254.36,243.75,260.47,265.68,258.70,258.91,258.89,258.91,253.03,252.41,249.82,249.62,250.54,250.27,237.42,250.62,255.31,248.95,252.77,245.75,245.67,257.72,263.78,257.20,251.30,240.59,239.88,238.74,240.04,194.93,179.26,243.98,234.76,174.44,261.45,210.33,268.50,254.57,276.42,268.75,211.21,292.50,284.80,279.27,274.73,259.58,269.69,255.22,
2000-03-30 21:58:33.541000,L7,520.24,299.04,262.62,258.51,289.46,273.98,335.23,351.24,336.43,328.85,336.60,338.97,333.15,356.55,324.27,332.64,309.56,345.75,275.63,307.47,301.21,304.74,349.77,338.94,347.77,354.87,373.51,321.14,343.39,339.96,355.09,353.49,350.18,348.11,349.91,337.21,340.31,335.24,330.31,339.39,354.57,322.51,354.28,404.98,428.01,345.54,308.61,344.87,347.40,338.35,348.07,346.35,311.71,337.12,341.12,339.08,333.12,333.87,346.67,344.52,331.38,340.88,340.84,334.94,327.37,343.44,339.19,343.18,346.90,336.30,338.06,333.45,335.39,331.17,334.27,343.14,338.00,296.37,344.90,336.53,332.70,339.84,333.37,338.41,350.65,349.95,347.17,347.50,351.29,351.75,343.34,351.41,356.56,346.47,353.01,357.03,375.29,361.38,331.54,340.49,348.23,441.17,398.88,391.25,407.25,404.78,396.93,385.38,376.92,372.22,328.51,386.43
2000-04-24 21:52:10.308000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.13,250.09,187.59,,250.94,269.78,250.57,258.26,259.53,268.77,267.74,267.66,246.40,260.24,255.28,,,,,,,,,,,,,,,207.73,252.96,229.71,250.81,258.86,243.50,249.54,239.82,243.82,240.85,219.56,240.35,210.35,228.64,231.67,190.84,,,,,,210.43,196.23,185.28,200.08,218.62,219.96,168.49,,,,,,,,189.14,199.00,196.03,202.25,223.50,251.56,248.89,235.61,216.87,224.85,,
