dates,satname,nzd0300-0000,nzd0300-0001,nzd0300-0002,nzd0300-0003,nzd0300-0004,nzd0300-0005,nzd0300-0006,nzd0300-0007,nzd0300-0008,nzd0300-0009,nzd0300-0010,nzd0300-0011,nzd0300-0012,nzd0300-0013,nzd0300-0014,nzd0300-0015,nzd0300-0016,nzd0300-0017,nzd0300-0018,nzd0300-0019,nzd0300-0020,nzd0300-0021,nzd0300-0022,nzd0300-0023,nzd0300-0024,nzd0300-0025,nzd0300-0026,nzd0300-0027,nzd0300-0028,nzd0300-0029,nzd0300-0030,nzd0300-0031,nzd0300-0032,nzd0300-0033,nzd0300-0034,nzd0300-0035,nzd0300-0036,nzd0300-0037,nzd0300-0038,nzd0300-0039,nzd0300-0040,nzd0300-0041,nzd0300-0042,nzd0300-0043,nzd0300-0044,nzd0300-0045,nzd0300-0046,nzd0300-0047,nzd0300-0048,nzd0300-0049,nzd0300-0050,nzd0300-0051,nzd0300-0052,nzd0300-0053,nzd0300-0054,nzd0300-0055,nzd0300-0056,nzd0300-0057,nzd0300-0058,nzd0300-0059,nzd0300-0060,nzd0300-0061,nzd0300-0062,nzd0300-0063,nzd0300-0064
1999-12-25 21:59:40.109000,L7,440.53,447.24,422.17,416.11,411.19,416.13,418.73,421.33,421.85,423.14,418.44,418.63,396.63,407.45,403.73,404.12,385.74,394.33,438.34,444.35,435.96,449.44,443.31,452.01,440.14,432.52,433.28,419.42,427.47,431.94,421.09,410.02,405.44,399.36,385.84,380.75,393.94,389.42,374.92,367.64,362.06,377.84,372.63,384.62,374.58,370.16,373.03,399.76,395.02,502.11,527.92,494.72,509.09,392.92,363.72,373.00,402.22,402.79,435.80,408.36,219.48,260.09,247.57,223.57,224.88
2000-01-26 21:59:38.265000,L7,496.69,523.93,518.73,523.53,492.28,527.56,447.53,426.86,420.29,415.97,397.25,411.70,398.13,390.18,387.39,368.03,360.79,387.90,398.35,426.85,478.09,420.81,432.56,428.01,419.45,406.09,403.45,406.34,412.94,399.77,419.34,406.61,400.64,388.12,377.22,391.88,366.38,390.08,389.53,413.66,380.79,384.47,371.62,391.54,372.45,381.97,367.74,372.17,381.10,412.75,455.06,419.65,411.52,409.29,388.74,388.19,395.54,398.19,404.02,419.25,404.73,404.15,430.93,438.73,450.38
2000-03-14 21:59:23.204000,L7,445.27,457.91,450.56,445.09,417.16,428.20,463.11,437.65,422.22,414.39,397.38,405.33,382.91,514.96,433.78,475.77,452.89,388.25,401.27,427.58,410.84,403.81,418.93,452.88,439.96,426.01,427.24,444.07,415.72,446.73,538.51,522.70,534.90,511.09,526.06,523.09,515.37,485.98,486.51,479.80,489.93,479.03,515.71,518.89,513.51,507.72,495.60,489.02,492.88,491.51,517.41,497.83,498.74,499.87,422.82,388.63,386.94,391.82,394.90,410.52,402.88,399.47,392.45,511.09,503.22
2000-03-30 21:59:21.444000,L7,408.66,420.87,417.56,519.78,520.67,515.50,509.40,486.44,504.03,390.52,405.48,380.72,373.28,389.34,333.48,346.43,341.35,362.33,357.88,365.57,392.26,372.20,479.49,503.35,489.06,485.88,525.61,510.00,483.67,367.60,384.15,413.41,374.23,330.18,322.97,340.98,332.80,346.33,346.75,363.58,355.01,356.63,365.51,359.06,349.62,361.10,362.54,364.91,377.52,381.69,403.48,400.45,401.25,392.39,389.88,376.58,369.10,381.40,457.01,500.38,489.16,497.04,482.89,375.33,516.98
2000-07-04 21:58:26.393000,L7,428.54,423.54,416.18,371.69,406.93,403.97,396.99,399.17,404.42,392.94,389.60,376.68,365.09,343.58,331.07,347.04,360.10,360.61,370.14,362.91,368.34,363.65,363.46,396.04,396.25,384.01,392.20,392.09,381.10,356.73,365.87,354.52,303.23,325.35,500.85,515.96,439.34,487.45,497.54,520.56,358.96,477.85,481.77,526.22,496.86,534.69,502.90,505.24,543.49,533.78,523.22,521.91,409.52,339.21,335.05,336.53,342.67,376.42,361.33,389.70,392.02,386.84,371.17,376.14,394.03
2000-08-05 21:57:56.710000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.52,279.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-22 21:57:17.413000,L7,332.87,339.83,328.91,343.93,400.61,405.93,400.66,420.58,402.63,409.55,386.44,385.60,364.42,339.20,331.02,344.22,348.00,368.39,374.68,372.62,388.50,519.14,532.60,477.26,476.81,433.85,476.53,278.38,288.26,304.31,335.07,340.49,351.87,406.71,379.69,420.15,339.26,352.39,349.53,358.24,354.80,349.50,363.94,354.58,357.90,356.26,349.09,343.12,223.64,376.57,395.00,412.34,404.16,390.87,386.60,374.86,380.10,387.05,381.74,396.27,393.43,385.31,372.93,382.29,445.10
2000-11-25 21:57:10.965000,L7,313.65,256.16,209.52,330.39,,,,,299.94,335.40,327.64,282.42,,,,,,,,,,,,,,339.21,286.41,336.82,323.91,261.56,,,,,,,,,,,,,,,,,,,,,,,,,,,192.20,221.97,277.21,330.47,230.74,214.67,261.77,298.66,279.41
2001-01-12 21:57:18.640000,L7,411.35,407.42,476.89,477.14,466.38,449.85,405.92,419.34,401.01,402.67,402.27,432.18,380.60,389.33,434.30,416.11,372.30,407.09,404.03,405.58,399.43,394.82,422.29,422.49,390.68,395.37,395.73,391.83,380.93,400.40,417.45,389.50,388.85,366.17,360.37,371.48,359.21,379.13,365.80,360.92,356.07,367.87,367.60,369.66,362.33,355.39,354.18,358.63,371.48,431.57,397.06,422.47,430.15,392.30,381.94,370.39,380.15,385.21,378.93,402.12,394.38,387.47,393.44,401.65,440.06
2001-02-13 21:57:15.648000,L7,417.06,416.27,411.54,388.80,411.50,530.95,516.56,497.97,533.48,472.74,528.79,464.40,,,,,,,,489.89,492.25,476.96,492.96,522.87,521.84,522.18,398.95,395.60,382.22,386.25,425.84,388.83,402.62,382.66,373.28,376.62,377.12,386.51,372.84,364.49,360.04,373.09,364.40,368.95,367.59,365.16,357.47,370.32,381.21,443.14,402.24,410.92,408.25,395.23,389.07,372.13,385.30,389.59,395.66,420.47,403.78,396.96,406.09,418.04,439.32
2001-03-17 21:57:04.487000,L7,497.55,425.93,420.41,411.63,460.11,,,,,,,,,,,,,440.55,522.80,370.84,378.00,404.43,304.21,480.73,429.05,428.23,477.02,297.65,447.76,440.88,415.87,385.79,424.28,517.61,455.62,360.27,331.88,340.84,356.52,340.82,440.56,423.88,346.71,347.34,343.87,341.28,348.89,355.28,382.16,421.62,,,463.82,499.62,474.43,477.77,383.85,341.94,359.81,401.79,353.54,379.04,372.05,385.08,412.48
2001-04-02 21:56:54.678000,L7,395.95,381.01,375.59,277.57,357.10,364.70,368.72,389.56,420.67,412.88,405.20,382.99,351.25,381.29,382.29,328.24,349.39,385.29,358.93,322.54,349.14,392.17,502.68,473.83,473.07,449.94,517.20,481.10,471.23,480.77,400.39,416.00,392.47,360.54,334.28,353.70,362.07,366.43,372.19,381.32,478.51,401.69,421.53,456.14,356.25,345.11,339.83,358.76,396.68,406.64,416.59,418.99,401.03,332.59,294.44,375.88,333.22,381.52,384.38,390.23,401.04,392.27,393.45,387.22,436.13
2001-06-05 21:56:28.634000,L7,388.72,386.99,383.15,336.28,348.73,369.30,369.47,379.59,378.98,370.83,363.72,338.72,305.81,305.52,288.65,287.30,294.52,339.40,331.46,312.85,346.98,337.86,339.86,356.62,353.02,366.99,362.18,368.15,339.41,312.96,339.30,298.31,254.98,219.95,265.12,290.47,,,,,,,,,,,,,,,,,,181.32,212.66,,,,,,,,,,
2001-07-07 21:56:12.103000,L7,386.56,382.70,373.24,279.28,,364.26,359.71,374.01,376.34,359.10,357.28,330.77,302.13,299.71,276.41,258.62,294.49,323.65,322.99,296.21,341.45,326.37,326.64,292.56,271.37,354.41,321.38,339.65,319.00,304.71,286.92,250.63,,,,,,,,,,177.90,203.99,302.66,311.78,299.47,299.94,259.11,314.44,332.29,343.76,359.48,364.37,354.27,342.09,320.76,316.08,351.29,,285.49,267.45,265.43,264.11,291.09,282.20
2001-09-09 21:55:24.790000,L7,459.43,449.85,423.91,445.19,407.00,417.39,427.64,433.14,432.72,430.56,414.63,419.80,371.07,396.27,369.42,378.12,398.80,387.89,408.85,396.10,398.01,415.59,400.10,432.31,423.53,410.56,411.07,416.82,415.68,398.71,404.23,420.51,384.41,345.05,336.08,344.63,365.31,360.25,372.59,378.87,366.12,363.14,377.11,366.26,373.91,368.47,367.32,370.95,383.86,393.25,420.45,417.54,418.83,410.36,401.85,387.12,388.35,391.91,392.01,401.61,405.21,400.27,386.24,394.74,420.69
2001-09-25 21:55:16.606000,L7,444.67,449.30,455.47,443.86,418.77,427.35,421.42,430.85,424.09,422.20,413.08,419.59,406.73,394.47,401.42,382.49,385.73,391.27,399.48,406.16,400.60,389.37,410.97,438.36,424.38,423.56,413.70,421.29,416.47,408.75,410.55,416.00,394.52,383.05,375.09,381.30,354.77,392.06,375.26,381.37,375.38,370.92,381.64,372.66,377.22,371.32,367.81,372.26,376.42,405.79,423.39,417.83,422.96,406.81,407.18,387.93,387.88,394.81,393.31,410.50,405.31,398.14,393.50,399.51,529.04
2001-10-11 21:54:57.784000,L7,,,,509.67,491.09,453.08,416.44,424.80,484.76,420.54,469.84,467.84,478.22,542.29,,,,,513.60,499.43,410.29,,471.67,400.68,447.30,536.40,402.66,411.09,407.76,405.92,415.65,403.68,528.43,513.67,506.68,505.98,401.24,385.19,372.56,382.20,374.18,365.20,378.82,375.73,373.79,368.50,367.88,375.33,378.00,403.58,413.73,418.08,419.87,400.83,397.96,384.54,389.36,391.41,394.06,410.26,400.44,394.59,409.53,507.09,
2001-12-30 21:55:25.157000,L7,,,,,,,,,228.40,302.38,352.30,208.85,229.95,248.56,201.27,161.53,,,,,,,,266.67,337.32,329.14,184.94,274.05,199.41,302.08,330.57,296.22,284.71,,,256.87,276.12,189.93,227.07,232.21,280.49,248.74,282.55,313.49,256.92,253.11,295.97,,,,,,,,,,,,,,,,,,299.51
