dates,satname,nzd0477-0000,nzd0477-0001,nzd0477-0002,nzd0477-0003,nzd0477-0004,nzd0477-0005,nzd0477-0006,nzd0477-0007,nzd0477-0008,nzd0477-0009,nzd0477-0010,nzd0477-0011,nzd0477-0012,nzd0477-0013,nzd0477-0014,nzd0477-0015,nzd0477-0016,nzd0477-0017,nzd0477-0018,nzd0477-0019,nzd0477-0020,nzd0477-0021,nzd0477-0022,nzd0477-0023,nzd0477-0024,nzd0477-0025,nzd0477-0026,nzd0477-0027,nzd0477-0028,nzd0477-0029,nzd0477-0030,nzd0477-0031,nzd0477-0032,nzd0477-0033,nzd0477-0034
1999-08-26 22:07:08.722000,L7,353.81,312.60,302.38,298.80,294.52,309.47,312.66,305.49,273.26,252.79,237.64,308.07,305.81,311.66,313.14,173.82,325.92,321.05,320.38,323.03,306.95,311.22,313.16,316.68,311.88,311.59,322.45,317.24,307.11,286.36,308.24,301.77,325.26,356.23,405.95
1999-08-26 22:07:32.686000,L7,352.26,311.32,301.14,295.66,291.49,309.86,312.10,302.22,269.51,251.96,234.58,268.04,245.95,254.33,248.29,169.30,324.57,320.05,318.70,320.01,307.85,306.90,313.85,313.31,311.20,309.28,322.58,315.51,305.77,287.14,306.44,301.02,326.32,357.17,432.34
1999-10-13 22:07:12.582000,L7,341.93,271.08,223.81,,,,,,,,,,,,,285.30,313.87,315.60,312.17,307.65,304.60,306.53,306.03,307.13,305.73,304.19,310.00,309.32,296.84,233.15,200.64,289.96,277.74,329.73,376.58
1999-11-30 22:06:59.059000,L7,333.23,260.61,292.53,302.05,295.37,307.03,301.78,184.52,305.02,301.50,296.29,170.98,,,,,249.08,184.49,188.35,165.63,171.61,293.93,296.33,303.63,290.94,293.37,294.36,302.21,288.26,,,,282.14,277.70,281.39
1999-12-16 22:07:09.748000,L7,,,230.28,276.27,264.00,268.00,263.03,252.06,273.03,149.34,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-16 22:07:33.708000,L7,,,215.70,275.39,264.26,265.14,262.91,250.05,287.49,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21 22:06:49.022000,L7,361.70,357.26,,,155.36,309.25,315.51,313.39,311.28,259.92,305.81,311.16,310.39,311.86,310.50,312.28,321.84,327.56,327.27,319.67,314.35,314.11,314.79,314.47,314.87,314.55,317.46,311.29,309.10,285.15,330.04,312.10,311.18,344.16,382.97
2000-05-08 22:06:20.956000,L7,337.98,314.12,235.50,304.52,,,,,,,310.91,321.02,339.82,312.84,319.86,331.52,333.93,329.45,321.93,322.40,343.73,338.59,323.73,317.33,336.13,334.31,323.76,320.44,311.88,298.28,317.24,301.84,308.73,346.08,338.71
2000-05-08 22:06:44.900000,L7,340.29,315.64,305.42,306.37,304.99,244.50,,,,311.87,305.59,320.04,341.01,313.28,317.93,331.02,335.40,334.26,319.46,320.69,345.93,338.82,324.45,318.64,337.00,334.83,324.19,319.91,313.93,245.86,317.82,306.68,314.69,345.57,358.71
2000-06-25 22:05:55.844000,L7,336.67,312.19,308.19,310.57,305.81,316.85,277.29,,,314.62,328.96,326.71,330.39,327.24,302.61,315.66,331.87,336.87,327.84,330.04,308.14,307.30,301.68,311.81,314.55,314.81,323.28,313.91,306.19,304.06,340.77,336.82,342.56,358.67,385.55
2000-06-25 22:06:19.852000,L7,336.68,311.02,241.46,307.86,,,,,,312.15,327.74,334.73,328.83,325.35,302.92,311.98,324.26,336.19,323.68,323.29,307.62,309.31,300.60,310.92,313.36,305.33,311.90,311.18,302.76,288.20,302.70,333.88,332.59,354.68,380.55
2000-07-27 22:05:24.302000,L7,335.83,312.09,,,,,,,,,225.78,317.03,302.55,308.79,309.99,310.15,322.95,320.61,313.51,311.29,289.17,301.37,299.09,305.03,307.45,303.96,308.24,304.24,186.39,,,,280.95,296.99,362.70
2000-07-27 22:05:48.258000,L7,336.68,313.19,301.11,,,,,315.32,318.91,313.65,323.29,316.80,313.68,310.80,311.49,312.79,324.38,323.57,315.64,315.62,292.76,306.58,302.10,309.25,309.07,306.70,304.32,309.24,306.32,302.72,308.67,298.09,294.08,305.42,357.10
2000-08-03 22:11:31.842000,L7,362.51,349.34,316.39,320.66,328.50,311.74,317.25,340.96,321.23,326.03,308.27,341.14,336.61,320.75,322.04,322.30,323.19,328.52,394.62,389.20,373.51,376.26,386.92,391.51,393.58,384.12,379.64,399.11,388.79,385.48,369.23,348.06,343.64,361.15,382.23
2000-08-12 22:05:17.927000,L7,341.83,312.16,242.29,,,,,,,,302.00,309.78,313.46,308.36,310.95,310.75,320.04,322.08,318.39,317.33,305.28,306.75,302.60,308.25,309.99,305.39,309.78,311.05,294.75,,,,282.38,305.75,366.81
2000-08-12 22:05:41.803000,L7,375.52,340.28,328.56,,,,,,,331.70,332.44,440.39,429.15,421.76,422.31,422.67,416.09,348.50,344.48,341.61,334.80,328.64,322.05,325.83,333.57,381.66,382.88,377.94,362.01,199.81,314.12,313.83,305.90,167.20,362.30
2000-09-20 22:10:50.972000,L7,,,,,,,,,,,,,279.25,248.14,281.80,282.93,309.54,313.28,307.66,308.66,231.67,298.93,297.86,300.83,286.01,276.25,290.94,301.02,237.64,,,,,,
2000-12-18 22:04:37.758000,L7,372.53,374.37,353.50,292.60,288.53,297.44,299.84,299.94,300.27,299.70,303.58,300.94,303.10,298.24,299.72,295.77,371.35,369.84,358.60,359.55,366.30,347.76,347.99,272.75,311.03,305.19,359.30,310.00,302.01,275.63,239.28,251.54,199.01,365.80,371.08
2000-12-18 22:05:01.704000,L7,294.22,371.74,350.07,289.73,285.98,292.41,298.22,298.29,293.79,296.23,301.50,298.66,301.43,295.08,296.19,291.06,307.77,297.95,268.44,264.69,254.28,164.58,249.39,273.18,307.92,302.61,304.09,307.73,300.07,272.84,207.79,252.05,198.24,362.37,369.78
2001-01-03 22:04:36.218000,L7,378.43,364.03,203.03,265.99,254.96,274.56,276.24,311.91,313.75,307.27,304.74,306.42,305.12,303.24,305.44,308.84,317.63,320.38,318.89,323.75,317.47,312.51,301.54,307.55,308.30,304.90,317.20,352.06,334.01,335.43,332.24,335.19,336.90,349.85,371.53
2001-01-03 22:05:00.181000,L7,373.87,361.99,364.70,355.00,360.56,349.41,,281.56,313.39,306.81,303.31,305.87,304.25,303.12,304.35,307.30,316.93,319.44,315.13,322.12,315.00,310.62,300.49,306.25,307.80,303.18,312.03,310.87,306.92,290.64,298.31,296.00,330.04,343.57,366.30
2001-02-20 22:04:36.568000,L7,345.37,298.06,295.32,301.93,296.50,307.54,311.30,307.11,308.18,305.99,302.25,302.50,299.69,301.23,298.31,305.53,315.55,316.19,311.77,309.15,299.73,299.22,297.96,298.67,299.14,295.36,299.08,305.16,296.74,251.79,291.68,286.43,284.84,334.02,364.71
2001-02-20 22:05:00.525000,L7,339.32,296.98,,,,276.23,309.64,305.81,306.74,304.01,300.77,300.56,294.76,298.84,295.05,303.84,312.94,314.72,308.34,307.87,298.31,297.55,296.37,296.43,294.92,292.55,294.98,303.45,294.05,211.82,289.47,284.34,281.67,303.76,360.92
2001-04-09 22:04:17.927000,L7,,,293.04,258.51,251.36,305.74,309.81,256.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-09 22:04:41.882000,L7,,,293.94,264.89,158.79,308.87,311.50,259.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-28 22:03:32.813000,L7,338.30,315.74,313.76,322.07,302.03,321.60,323.13,328.85,324.49,311.84,302.78,319.59,312.73,135.40,287.55,269.88,329.05,329.58,322.25,322.82,315.45,310.81,306.34,308.39,309.90,303.53,296.95,320.18,270.39,312.38,310.53,302.60,279.60,304.05,335.14
