dates,satname,nzd0470-0000,nzd0470-0001,nzd0470-0002,nzd0470-0003,nzd0470-0004,nzd0470-0005,nzd0470-0006,nzd0470-0007,nzd0470-0008,nzd0470-0009,nzd0470-0010,nzd0470-0011,nzd0470-0012,nzd0470-0013,nzd0470-0014,nzd0470-0015,nzd0470-0016,nzd0470-0017,nzd0470-0018,nzd0470-0019,nzd0470-0020,nzd0470-0021,nzd0470-0022,nzd0470-0023,nzd0470-0024,nzd0470-0025,nzd0470-0026,nzd0470-0027,nzd0470-0028,nzd0470-0029,nzd0470-0030,nzd0470-0032,nzd0470-0033,nzd0470-0034,nzd0470-0035,nzd0470-0036,nzd0470-0037,nzd0470-0038,nzd0470-0039,nzd0470-0040,nzd0470-0041,nzd0470-0043,nzd0470-0044,nzd0470-0045,nzd0470-0046,nzd0470-0047,nzd0470-0049,nzd0470-0050,nzd0470-0051,nzd0470-0052,nzd0470-0053,nzd0470-0054,nzd0470-0055,nzd0470-0056,nzd0470-0057,nzd0470-0058,nzd0470-0059,nzd0470-0060,nzd0470-0061,nzd0470-0062,nzd0470-0063,nzd0470-0064,nzd0470-0065,nzd0470-0066,nzd0470-0067,nzd0470-0068,nzd0470-0069,nzd0470-0070,nzd0470-0071,nzd0470-0072,nzd0470-0073,nzd0470-0074,nzd0470-0075,nzd0470-0076,nzd0470-0077,nzd0470-0078,nzd0470-0079,nzd0470-0080,nzd0470-0081,nzd0470-0082,nzd0470-0083,nzd0470-0084,nzd0470-0085,nzd0470-0086,nzd0470-0087,nzd0470-0088,nzd0470-0089,nzd0470-0090,nzd0470-0091,nzd0470-0092,nzd0470-0093,nzd0470-0094,nzd0470-0095,nzd0470-0096,nzd0470-0097,nzd0470-0098,nzd0470-0099,nzd0470-0100,nzd0470-0101,nzd0470-0102,nzd0470-0103,nzd0470-0104,nzd0470-0105,nzd0470-0106,nzd0470-0107,nzd0470-0108,nzd0470-0109,nzd0470-0110,nzd0470-0111,nzd0470-0112,nzd0470-0113,nzd0470-0114,nzd0470-0115,nzd0470-0116,nzd0470-0117,nzd0470-0118,nzd0470-0119,nzd0470-0120,nzd0470-0121,nzd0470-0122,nzd0470-0123,nzd0470-0124,nzd0470-0125,nzd0470-0126,nzd0470-0127,nzd0470-0128,nzd0470-0129,nzd0470-0130,nzd0470-0131,nzd0470-0132,nzd0470-0133,nzd0470-0031,nzd0470-0042,nzd0470-0048
1999-08-26 22:07:08.722000,L7,,,,,,208.49,192.70,201.04,236.97,250.54,268.75,266.40,162.24,202.13,260.05,,,,,,,235.08,262.00,247.95,,,,,,,,,,,,,,,,,,,,,,189.62,278.86,241.07,160.29,237.21,243.14,140.40,266.08,188.88,260.19,271.48,183.35,288.14,291.14,282.08,259.43,241.56,269.65,144.41,197.76,229.86,284.47,289.00,249.73,295.80,268.37,278.40,228.53,270.17,287.55,270.07,,,,264.40,255.01,258.65,146.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.02
1999-10-13 22:07:12.582000,L7,,,,,,,,162.69,283.31,268.87,224.04,281.24,284.14,269.72,244.51,238.01,164.55,,,,,281.17,271.86,191.57,210.87,254.88,263.86,272.62,276.62,257.30,294.17,297.06,299.79,270.88,281.02,248.04,208.44,291.55,272.14,278.85,276.12,266.27,,,,,,,264.17,292.46,288.75,311.59,301.05,305.67,302.29,288.80,280.27,292.27,289.82,297.70,286.55,250.82,148.03,259.08,280.45,259.93,284.25,288.65,278.17,290.49,214.15,258.72,265.52,292.23,284.88,294.81,295.04,298.52,271.40,,,,,,261.26,267.25,224.80,261.21,258.55,236.77,163.03,,,,,,,,,,,,,,,,,,,,220.31,209.20,193.75,179.30,162.30,147.89,,,,162.67,162.34,199.25,171.36,,,,,,,,,294.25,290.52,
1999-12-16 22:07:09.748000,L7,,,,,,,,,,233.18,220.46,206.14,240.08,265.45,252.33,234.49,136.00,,,,,242.00,199.68,229.09,264.97,259.58,258.92,151.88,166.68,,,,,,,,,,,,,,,,,,278.83,273.35,191.24,234.20,288.48,259.46,184.65,262.19,176.05,273.31,282.67,,,,265.25,217.33,171.92,248.09,224.02,265.72,,,187.45,229.78,223.35,284.56,,,,,,,,225.36,241.11,227.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.75
2000-03-21 22:06:49.022000,L7,354.58,351.17,348.86,361.99,358.03,357.78,358.63,341.83,344.40,352.44,349.37,350.96,349.55,350.14,359.68,347.31,368.34,357.10,354.13,356.13,357.67,349.99,362.88,359.22,365.88,365.99,360.61,357.41,377.48,370.52,451.75,378.88,506.49,413.94,506.41,495.07,408.97,483.33,355.89,356.04,359.77,181.12,244.20,277.84,265.85,198.03,495.47,355.63,371.87,367.50,360.93,369.95,377.74,373.51,367.71,354.54,367.29,365.46,365.06,358.02,367.00,368.52,369.69,367.91,380.37,368.61,370.07,360.11,356.85,360.97,362.46,353.87,365.32,367.32,357.21,367.71,369.25,352.29,360.45,357.66,354.64,349.34,340.80,339.11,343.78,346.57,331.49,332.46,337.67,329.41,333.09,336.75,337.63,342.15,348.38,342.47,353.16,351.90,345.27,347.65,341.51,352.65,367.37,364.85,364.43,367.68,372.70,363.13,367.12,375.31,371.77,368.36,368.01,379.88,376.23,360.97,382.55,386.40,382.57,391.82,417.58,533.45,198.89,210.15,254.67,301.44,342.82,341.84,255.20,293.87,471.80,,,
2000-05-08 22:06:20.956000,L7,,,,,,,,,,270.44,277.06,286.10,266.97,274.10,,,,,,,262.55,238.14,253.41,224.69,247.30,245.96,237.23,,,,,231.15,290.19,294.93,236.46,,,,,,,,234.84,285.20,277.69,193.99,183.94,263.98,281.13,268.69,299.42,209.20,230.99,300.17,289.28,277.15,288.38,287.67,160.40,175.50,271.14,,,172.59,220.79,253.44,291.65,281.38,273.55,287.54,282.51,297.55,,,,,,,173.71,279.55,262.48,263.83,275.36,178.89,,,,240.30,188.75,,,,,,,,,,,,,,,,,,,,,,229.69,214.33,196.66,209.20,222.89,221.97,205.34,210.89,211.25,194.16,,,,,,,,,,,,,,221.11
2000-06-25 22:05:55.844000,L7,,,,,,,,,,240.96,256.21,,,,,,261.11,268.51,255.95,263.82,278.66,251.01,255.12,278.50,274.21,276.94,266.97,275.08,260.21,244.89,276.66,281.04,286.24,182.38,149.72,,,178.25,215.95,284.64,283.08,264.22,265.25,277.16,276.52,147.49,,,,,,306.71,305.33,296.90,286.01,,,,,,,,,,,202.68,253.30,265.88,,,150.89,188.07,224.65,277.62,260.86,265.30,243.35,276.57,274.96,269.72,251.03,254.87,242.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.47,209.67,151.98,,,,184.41,181.97,192.52,,,,,,,,,,,,,241.07,264.27,
2000-07-11 22:05:41.532000,L7,,,,,,285.84,240.92,,,279.91,276.11,276.13,193.86,,,,275.67,271.34,282.40,275.03,279.78,268.59,265.54,256.24,275.66,250.90,276.75,280.15,218.12,198.73,142.66,287.48,299.29,260.58,294.17,196.36,,,,301.98,156.62,285.49,288.33,281.22,294.42,273.77,159.09,169.49,,,,,,,,,,,,,,249.87,269.80,267.76,276.64,242.06,287.05,286.11,,253.91,278.19,216.52,253.87,284.13,297.35,299.71,176.66,232.17,266.13,289.36,267.66,281.46,275.72,255.55,,,,,,,,,,,,,,,,,,,,,,,,,,217.48,222.81,233.42,180.40,203.43,209.24,201.32,205.88,212.54,203.93,209.90,197.66,199.76,,,,,,,,,,266.95,267.41,153.20
2000-07-27 22:05:24.302000,L7,,,,,,,,,,,222.83,148.35,203.16,,,,257.62,154.41,251.05,238.79,,,267.32,267.61,237.21,,,268.60,274.87,228.48,198.29,245.30,286.66,231.19,197.59,,,,,,237.30,242.88,232.59,279.83,286.54,273.41,236.81,177.73,,,,,,,,,,,,,,186.29,229.46,275.44,220.05,204.41,230.05,226.38,188.19,190.78,208.17,179.96,253.60,291.02,287.53,276.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.61,251.64,216.58
2000-08-12 22:05:17.927000,L7,,,,,,,,,,,256.79,245.39,223.73,,,,206.71,272.06,249.28,262.45,253.23,265.74,260.65,247.23,251.97,266.11,188.58,217.84,,,267.76,232.59,184.05,,,,,,,,262.03,280.27,280.61,267.68,,,,,,,,,151.18,175.25,219.39,,,,,,,,233.37,279.69,283.90,290.58,279.46,154.48,204.21,288.02,253.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.40,272.41,
2000-12-18 22:04:37.758000,L7,349.65,350.87,353.30,353.95,357.91,356.69,356.60,352.08,349.50,348.93,349.53,355.58,350.99,356.49,348.73,352.00,351.72,357.00,355.67,355.54,357.35,351.76,353.87,359.22,359.87,364.87,364.45,369.92,369.59,365.35,365.46,367.69,366.59,363.78,367.86,365.25,365.73,366.80,361.16,366.77,363.77,358.20,359.96,359.56,355.11,360.99,357.94,359.47,362.42,371.30,372.58,377.54,377.80,376.71,368.51,363.67,368.35,367.88,365.01,368.77,363.91,363.54,362.16,369.43,363.56,371.48,375.69,373.06,365.04,371.07,363.85,366.97,364.59,368.30,360.01,368.36,361.70,374.53,362.02,361.20,359.18,358.77,350.54,345.32,346.92,340.03,339.91,340.19,340.17,335.14,342.82,341.39,337.46,339.69,341.47,348.64,349.03,353.80,345.06,350.91,353.77,355.24,357.09,355.05,364.52,364.39,367.94,369.27,370.41,372.28,368.99,372.69,370.62,371.89,370.68,374.01,371.39,372.87,373.68,379.24,379.64,377.24,361.30,349.90,339.74,180.11,170.28,284.17,303.23,328.78,368.12,363.42,363.64,353.40
