dates,satname,nzd0144-0000,nzd0144-0001,nzd0144-0002,nzd0144-0003,nzd0144-0004,nzd0144-0005,nzd0144-0006,nzd0144-0007,nzd0144-0008
1999-08-26 22:04:44.971000,L7,300.79,300.92,292.37,301.30,301.64,305.65,263.22,237.05,
1999-09-20 21:58:32.521000,L7,286.76,277.26,278.46,287.27,295.91,300.63,255.18,297.92,
1999-09-27 22:04:48.949000,L7,305.51,295.84,277.60,290.58,296.92,305.45,305.42,302.41,301.16
1999-11-14 22:04:42.286000,L7,306.44,300.08,284.70,249.91,303.51,312.26,313.44,303.45,303.10
1999-12-09 21:58:33.708000,L7,288.31,290.05,281.02,,281.92,295.25,248.22,289.29,298.87
1999-12-09 21:58:57.676000,L7,,,,,,,,,287.81
2000-02-18 22:04:29.218000,L7,313.39,299.14,280.38,246.78,288.67,275.01,241.55,296.57,293.50
2000-03-30 21:58:09.573000,L7,305.05,289.26,,,,,,,
2000-03-30 21:58:33.541000,L7,313.20,303.45,290.73,299.46,298.68,306.05,256.03,300.16,302.08
2000-05-24 22:03:46.662000,L7,189.55,302.98,286.66,297.82,304.97,308.37,242.40,298.54,
2000-07-11 22:03:17.779000,L7,313.77,301.65,286.93,298.90,304.50,238.45,260.15,244.90,
2000-08-12 22:02:54.094000,L7,303.12,299.21,289.31,283.21,296.27,303.56,292.13,300.86,
2000-09-06 21:56:22.949000,L7,262.86,296.20,289.20,297.05,291.13,297.49,262.13,291.47,
2000-09-13 22:02:26.190000,L7,306.88,251.92,,,212.71,291.55,256.82,234.99,263.91
2000-09-22 21:56:05.544000,L7,,295.58,275.21,213.91,303.70,309.44,260.84,302.69,258.42
2000-09-22 21:56:29.431000,L7,,,,,282.62,297.21,247.48,,
2000-10-15 22:01:56.204000,L7,,,,,,,185.86,274.93,290.98
2000-12-11 21:56:00.959000,L7,294.26,291.24,278.51,243.92,288.99,295.29,282.53,250.66,292.58
2001-03-17 21:56:16.575000,L7,238.69,293.41,278.32,241.54,298.40,308.99,257.33,303.42,299.04
2001-06-12 22:01:24.980000,L7,,291.59,296.20,296.99,305.90,312.06,264.11,304.21,
2001-08-08 21:55:01.113000,L7,,,,,197.01,228.85,258.23,,
2001-08-15 22:00:38.680000,L7,245.89,292.81,284.82,296.90,301.99,305.40,275.16,260.64,
2001-08-24 21:54:24.664000,L7,246.51,289.89,283.36,246.76,291.03,299.21,286.85,300.15,
2001-08-24 21:54:48.593000,L7,303.20,300.50,301.90,264.47,304.91,306.36,312.81,296.79,
2001-09-09 21:54:12.928000,L7,305.30,295.36,288.59,300.84,301.77,311.36,310.53,301.17,307.21
2001-09-09 21:54:36.880000,L7,,294.34,290.03,,,,271.24,262.30,215.28
2001-10-11 21:53:46.024000,L7,,,,237.57,241.06,233.17,283.44,286.11,292.63
2001-10-11 21:54:09.862000,L7,243.99,289.60,276.58,294.22,296.62,311.74,294.98,298.24,294.95
2001-12-05 22:00:18.987000,L7,249.41,292.48,292.96,298.26,292.39,290.58,282.58,299.65,248.08
2002-01-06 22:00:31.992000,L7,,295.09,288.05,289.42,293.32,233.90,314.73,290.93,303.13
2002-01-15 21:54:23.534000,L7,,,,,,,,,233.40
2002-02-16 21:54:54.191000,L7,296.13,300.86,294.78,263.08,296.15,320.82,309.87,296.83,319.10
2002-02-23 22:00:43.620000,L7,,,,,,232.03,205.36,,
2002-04-28 22:00:38.357000,L7,299.41,293.56,290.26,295.99,299.62,284.03,255.40,238.64,
2002-05-23 21:54:18.991000,L7,,309.86,316.86,304.17,308.61,279.41,263.16,,
2002-06-24 21:54:28.353000,L7,,300.27,285.14,297.09,288.12,237.96,256.02,242.39,
2002-08-18 21:59:57.690000,L7,314.93,316.79,297.70,301.83,304.11,314.60,287.96,237.80,
2002-08-27 21:53:36.267000,L7,251.50,295.21,291.30,287.39,291.26,303.64,290.37,301.77,207.31
2002-10-14 21:53:19.813000,L7,242.35,290.31,277.80,283.13,276.41,305.57,252.72,229.48,
2002-10-30 21:53:25.867000,L7,,,,,,,,237.47,265.92
2002-12-24 22:00:09.147000,L7,314.29,295.77,281.78,276.87,290.72,310.81,283.05,310.54,301.31
2003-01-18 21:54:06.301000,L7,303.23,290.71,296.18,248.68,297.64,286.65,,,403.74
2003-01-25 22:00:18.779000,L7,240.19,291.85,286.10,242.67,271.41,198.52,262.49,211.52,301.60
2003-05-10 21:54:22.508000,L7,307.00,303.40,297.05,304.43,303.21,313.98,307.95,307.04,
2003-07-21 21:42:33.857000,L5,302.33,302.12,307.73,237.78,279.70,241.86,264.74,,
2003-08-06 21:42:51.203000,L5,216.24,230.66,306.56,272.44,281.51,266.73,256.51,,
