dates,satname,nzd0418-0000,nzd0418-0001,nzd0418-0002,nzd0418-0003,nzd0418-0004,nzd0418-0005,nzd0418-0006,nzd0418-0007,nzd0418-0008,nzd0418-0009,nzd0418-0010,nzd0418-0011,nzd0418-0012,nzd0418-0013,nzd0418-0014,nzd0418-0015,nzd0418-0016,nzd0418-0017,nzd0418-0018,nzd0418-0019,nzd0418-0020,nzd0418-0021,nzd0418-0022,nzd0418-0023,nzd0418-0024,nzd0418-0025,nzd0418-0026,nzd0418-0027,nzd0418-0028,nzd0418-0029,nzd0418-0030,nzd0418-0031,nzd0418-0032,nzd0418-0033,nzd0418-0034,nzd0418-0035,nzd0418-0036,nzd0418-0037,nzd0418-0038,nzd0418-0039,nzd0418-0040,nzd0418-0041,nzd0418-0042,nzd0418-0043,nzd0418-0044,nzd0418-0045,nzd0418-0046,nzd0418-0047,nzd0418-0048,nzd0418-0049,nzd0418-0050,nzd0418-0051,nzd0418-0052,nzd0418-0053,nzd0418-0054,nzd0418-0055,nzd0418-0056,nzd0418-0057,nzd0418-0058,nzd0418-0059,nzd0418-0060,nzd0418-0061,nzd0418-0062,nzd0418-0063,nzd0418-0064,nzd0418-0065,nzd0418-0066,nzd0418-0067,nzd0418-0068,nzd0418-0069,nzd0418-0070,nzd0418-0071,nzd0418-0072,nzd0418-0073,nzd0418-0074,nzd0418-0075,nzd0418-0076,nzd0418-0077,nzd0418-0078,nzd0418-0079,nzd0418-0080,nzd0418-0081,nzd0418-0082
1999-12-07 22:12:53.785000,L7,354.08,344.09,343.19,1662.82,1661.40,1661.47,1664.57,330.14,326.12,282.70,290.33,265.73,286.33,313.65,289.05,283.53,276.18,233.95,287.47,310.66,312.18,290.46,289.93,279.59,284.01,267.90,276.81,273.95,284.11,264.49,264.52,255.39,,,,,,256.54,262.21,258.16,256.91,246.47,251.73,261.22,246.02,,,,,,,,,,,,,,,,186.58,188.17,190.27,234.85,230.53,243.39,258.98,254.26,,,,,,,,,,,,,,,
2000-11-07 22:10:17.299000,L7,340.73,337.77,325.29,1658.66,1659.13,1661.78,,,,,,,274.95,268.81,274.63,270.79,251.84,219.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-10 22:10:27.647000,L7,,,,,,,1660.46,286.38,280.64,289.18,285.44,288.86,271.93,285.75,284.16,273.17,265.90,271.73,277.91,272.81,282.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-28 22:07:46.304000,L7,426.28,432.00,418.95,368.02,370.08,474.92,507.84,388.75,384.36,375.17,377.00,382.82,342.19,336.40,334.20,332.25,329.41,321.53,321.77,320.14,320.56,320.59,322.85,316.41,307.49,312.36,296.13,288.58,288.61,284.99,282.42,282.68,288.74,287.61,291.88,290.21,440.93,449.01,442.91,288.38,338.43,332.79,334.66,362.84,369.85,368.59,348.59,375.27,314.62,356.94,368.92,376.56,381.83,392.95,405.13,379.05,411.78,433.28,313.46,319.58,413.52,397.42,260.01,319.87,317.73,330.19,367.06,379.04,385.25,406.44,404.66,380.00,382.14,392.57,396.64,399.60,403.94,410.49,387.14,417.35,267.05,314.28,336.06
2003-08-20 21:57:03.003000,L5,358.75,351.88,353.29,1662.07,1663.12,1664.16,1665.23,316.71,315.81,316.62,314.49,319.06,314.60,310.12,306.65,305.22,303.00,298.45,297.98,294.16,292.49,291.36,293.52,284.71,278.61,274.54,271.75,263.90,267.91,255.98,261.21,257.73,237.36,244.51,236.70,242.43,253.96,244.32,260.24,267.39,266.82,275.10,274.48,271.55,265.57,261.70,263.33,260.10,256.43,261.88,253.37,256.56,237.09,,,,,,,,214.12,219.91,235.38,246.84,259.93,268.45,274.65,273.70,275.87,288.58,290.28,284.06,287.07,275.31,276.90,250.15,,,,,,,
2003-12-10 21:58:29.659000,L5,361.03,357.65,351.33,1663.59,1665.18,1665.42,1666.37,314.64,310.80,309.86,307.32,306.37,302.81,298.46,305.55,311.88,305.76,302.59,302.98,300.76,300.43,301.07,287.43,278.68,272.07,269.86,262.61,254.35,255.40,245.37,266.54,257.37,239.58,246.79,249.43,255.66,255.36,232.50,250.41,253.14,266.05,265.78,264.85,265.55,269.04,264.92,264.81,262.22,261.93,262.34,263.61,258.96,227.02,,,,,,,,205.93,209.61,220.94,246.01,250.60,259.13,268.67,276.85,278.85,290.02,292.37,289.31,287.86,286.61,277.17,234.58,,,,,,,
2004-01-27 21:58:50.060000,L5,346.95,345.04,338.94,1661.62,1662.44,1664.18,1664.87,322.01,319.14,316.47,316.39,312.40,311.59,297.47,298.03,293.76,291.28,291.36,290.19,288.90,286.76,296.43,293.49,288.65,280.19,276.83,272.39,260.20,256.87,245.80,251.63,244.80,230.83,240.05,239.09,245.55,252.53,241.84,258.14,264.14,271.34,273.77,273.54,266.11,259.74,255.91,256.23,253.27,253.11,252.06,248.93,,,,,,,,,,211.67,217.79,232.99,251.40,259.02,267.73,269.12,267.60,269.74,281.26,283.40,280.40,276.60,270.79,,,,,,,,,
2004-05-18 22:00:38.480000,L5,334.53,327.72,326.18,1659.19,1660.10,1661.27,1661.75,299.59,296.42,298.48,295.54,295.91,288.36,287.03,285.60,285.19,281.54,282.94,275.91,276.81,273.08,269.05,270.33,262.00,253.01,248.91,,,,,,,,,,,,,,224.82,236.09,240.53,238.69,242.67,240.06,,,,,,,,,,,,,,,,,,196.39,215.08,225.92,232.41,189.48,248.31,233.60,,,,,,,,,,,,,,
2004-08-22 22:03:12.259000,L5,,,,,,1658.19,1658.89,284.45,283.56,281.79,281.00,279.29,273.35,272.59,272.62,268.19,267.09,264.68,258.42,260.32,253.17,255.42,255.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-10 22:04:59.688000,L5,357.26,353.61,354.18,1661.47,1661.75,1663.16,1663.41,312.17,309.38,307.27,310.06,316.28,313.63,309.56,310.38,308.70,308.04,301.93,302.11,288.12,289.28,287.39,285.69,279.62,271.20,270.94,269.82,260.71,264.06,256.42,258.96,253.50,240.47,249.06,236.81,241.85,243.86,235.46,251.39,253.97,261.34,272.66,269.96,276.15,270.11,266.91,267.38,258.90,,,,,,,,,,,,,206.21,210.99,223.23,241.37,257.85,264.31,279.01,278.02,281.07,208.97,288.59,,,,,,,,,,,,
