dates,satname,nzd0360-0000,nzd0360-0001,nzd0360-0002,nzd0360-0003,nzd0360-0004,nzd0360-0005,nzd0360-0006,nzd0360-0007,nzd0360-0008,nzd0360-0009,nzd0360-0010,nzd0360-0011,nzd0360-0012,nzd0360-0013,nzd0360-0014,nzd0360-0015,nzd0360-0016,nzd0360-0020,nzd0360-0021,nzd0360-0022,nzd0360-0023,nzd0360-0024,nzd0360-0025,nzd0360-0026,nzd0360-0027,nzd0360-0028,nzd0360-0029,nzd0360-0030,nzd0360-0031,nzd0360-0032,nzd0360-0033,nzd0360-0034,nzd0360-0035,nzd0360-0036,nzd0360-0037,nzd0360-0038,nzd0360-0039,nzd0360-0040,nzd0360-0041,nzd0360-0042,nzd0360-0043,nzd0360-0044,nzd0360-0045,nzd0360-0046,nzd0360-0047,nzd0360-0048,nzd0360-0049,nzd0360-0050,nzd0360-0051,nzd0360-0052,nzd0360-0053,nzd0360-0054,nzd0360-0055,nzd0360-0056,nzd0360-0057,nzd0360-0058,nzd0360-0059,nzd0360-0017,nzd0360-0018,nzd0360-0019,nzd0360-0060,nzd0360-0061,nzd0360-0062,nzd0360-0063,nzd0360-0064,nzd0360-0065,nzd0360-0066,nzd0360-0067,nzd0360-0068,nzd0360-0069,nzd0360-0070,nzd0360-0071,nzd0360-0072,nzd0360-0073,nzd0360-0074
2000-04-15 21:59:31.785000,L7,514.13,420.00,374.79,397.88,223.50,225.85,232.85,264.54,362.54,381.82,310.54,480.08,469.77,463.85,368.61,458.37,386.07,415.95,414.61,447.83,445.88,427.29,445.95,409.56,398.33,413.50,412.14,377.76,401.98,371.68,260.64,242.28,233.18,353.21,346.14,217.83,200.05,242.04,250.83,247.02,220.89,310.27,313.47,279.75,277.53,268.01,280.25,249.02,244.10,250.76,218.91,215.91,236.03,236.27,230.88,220.38,217.64,455.52,324.37,315.38,,,,,,,,,,,,,,,
2000-05-01 21:59:30.586000,L7,427.83,408.76,,161.59,217.06,225.12,229.05,272.42,359.21,372.39,304.80,489.13,489.20,274.16,293.98,310.93,372.51,416.84,411.54,405.33,395.44,386.41,436.42,429.78,418.06,402.71,409.46,404.77,406.48,382.71,394.70,399.70,419.81,395.53,419.64,217.44,239.84,249.60,260.51,243.93,335.19,326.69,346.12,320.16,308.69,301.10,308.86,274.62,274.31,267.48,260.75,249.44,267.68,268.78,274.38,266.03,258.05,396.71,418.75,415.33,253.74,234.71,184.64,254.37,200.99,170.60,,,,,,,,,
2000-05-17 21:59:19.400000,L7,432.29,409.61,,384.17,382.80,381.56,242.42,276.92,369.60,380.47,279.72,478.75,470.32,458.24,451.55,461.41,,455.95,451.06,452.72,431.40,429.69,423.35,416.39,406.87,398.97,389.40,382.71,374.83,378.79,378.66,375.68,361.56,343.41,343.31,350.21,346.02,339.02,332.61,315.66,301.77,305.47,309.55,288.92,277.20,264.14,273.30,258.86,273.77,254.40,213.29,220.24,225.77,245.80,232.63,,,176.35,270.34,320.87,,,,,,,,,,,,,,,
2000-06-18 21:59:03.789000,L7,510.31,514.08,518.88,510.19,389.91,490.18,251.42,489.07,460.34,396.18,299.74,468.84,459.00,345.90,373.48,,,332.06,369.43,330.17,402.61,421.14,413.60,410.12,399.33,393.51,382.94,371.81,362.68,362.15,363.26,365.59,356.21,336.39,328.25,336.87,331.58,329.78,325.42,312.39,294.46,301.01,300.89,276.43,270.52,246.56,256.58,217.37,230.71,194.20,75.77,162.59,176.74,218.60,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:58:20.584000,L7,,,,,,,,,,,,,533.88,526.15,522.85,502.45,505.31,501.01,493.36,494.05,522.02,480.55,464.24,458.68,458.19,478.53,454.15,440.19,444.20,423.86,428.36,436.75,421.90,409.67,401.75,411.78,398.40,414.00,400.53,390.22,378.01,368.51,369.32,356.13,322.70,322.87,310.90,311.73,302.98,303.75,309.25,305.72,323.08,307.46,309.75,297.16,293.25,499.54,498.72,508.91,268.99,241.30,224.22,232.03,224.90,215.69,208.58,217.02,220.33,215.78,216.86,189.73,187.29,173.05,199.52
2000-11-25 21:57:34.931000,L7,,,,,,,,,,,,,,,,,,509.53,523.90,505.43,506.06,488.04,473.96,477.50,509.51,489.81,456.53,445.69,451.10,432.82,439.44,444.61,422.62,414.50,416.24,409.10,405.65,403.73,427.49,406.23,388.60,381.42,373.31,357.05,347.21,320.24,323.16,312.15,315.66,304.49,300.14,305.08,345.46,318.38,312.86,304.88,291.92,,,,269.08,240.11,234.90,241.05,243.99,224.22,218.18,219.79,224.40,246.08,207.75,191.40,183.44,183.83,190.03
2000-12-11 21:57:36.803000,L7,501.08,516.64,510.15,313.23,288.02,218.42,251.51,266.98,350.93,282.92,473.90,480.04,459.24,458.89,450.88,427.46,484.12,315.29,341.21,425.42,410.32,419.54,363.21,355.73,348.74,309.57,384.90,372.78,367.02,235.18,271.93,251.48,235.09,345.81,337.42,206.68,261.29,271.35,280.84,263.12,246.90,302.93,289.67,304.41,266.22,251.63,267.07,253.20,251.40,224.16,175.92,164.82,175.84,249.55,155.44,238.27,242.74,498.05,289.53,305.96,,,,,,,,,,,,,,,
2001-02-13 21:57:39.607000,L7,492.31,497.48,524.41,520.99,353.04,264.15,208.63,181.20,216.21,232.12,258.95,262.08,248.30,240.35,205.17,205.56,444.48,417.13,293.80,305.43,330.32,373.21,318.45,413.43,347.61,315.16,415.65,341.54,301.64,305.22,335.45,256.42,231.54,397.26,388.98,389.85,382.19,370.32,254.11,249.89,238.87,203.65,337.96,294.39,275.48,264.90,269.07,250.09,248.81,243.75,240.22,233.30,245.74,238.58,233.81,224.62,222.68,456.66,438.77,424.31,205.53,,,,,,,,,,,,,,
2001-05-20 21:57:04.892000,L7,432.01,436.66,310.01,400.28,386.54,404.40,254.58,357.11,366.58,410.37,277.87,480.17,485.78,474.14,472.80,474.55,473.30,474.49,466.97,466.68,463.37,431.49,434.66,423.82,411.29,402.99,403.90,384.57,383.38,377.44,419.79,396.92,387.21,350.76,335.33,339.92,339.05,376.63,349.16,379.44,309.45,306.69,311.17,277.61,280.48,267.27,269.79,252.27,251.11,215.92,168.82,162.94,233.76,235.28,205.40,,,188.23,297.26,485.84,,,,,,,,,,,,,,,
2001-06-05 21:56:52.440000,L7,432.04,426.31,175.05,523.74,503.90,236.78,493.53,494.75,477.64,438.02,298.62,271.92,230.92,421.64,418.37,377.35,491.59,179.53,224.97,310.85,391.75,475.26,439.99,399.82,393.18,393.32,386.05,386.80,368.87,374.75,372.98,383.35,348.38,349.99,335.06,329.03,328.87,336.34,321.54,320.64,324.04,317.95,312.39,305.52,277.83,277.30,275.80,255.80,236.44,216.78,,185.97,185.36,,,,,486.90,467.58,494.44,,,,,,,,,,,,,,,
