dates,satname,nzd0414-0000,nzd0414-0001,nzd0414-0002,nzd0414-0003,nzd0414-0004,nzd0414-0005,nzd0414-0006,nzd0414-0007,nzd0414-0008,nzd0414-0009,nzd0414-0010,nzd0414-0011,nzd0414-0012,nzd0414-0013,nzd0414-0014,nzd0414-0015,nzd0414-0016,nzd0414-0017,nzd0414-0018,nzd0414-0019,nzd0414-0020,nzd0414-0021,nzd0414-0022,nzd0414-0023,nzd0414-0024,nzd0414-0025,nzd0414-0026,nzd0414-0027,nzd0414-0028,nzd0414-0029,nzd0414-0030,nzd0414-0031,nzd0414-0032,nzd0414-0033,nzd0414-0034,nzd0414-0035,nzd0414-0036,nzd0414-0037,nzd0414-0038,nzd0414-0039,nzd0414-0040,nzd0414-0041,nzd0414-0042,nzd0414-0043,nzd0414-0044,nzd0414-0045,nzd0414-0046,nzd0414-0047,nzd0414-0048,nzd0414-0049,nzd0414-0050,nzd0414-0051,nzd0414-0052,nzd0414-0053,nzd0414-0054
1999-11-21 22:12:47.994000,L7,,,224.44,215.83,208.11,192.27,238.32,256.81,160.16,,,,,,,,,,181.66,196.80,192.36,195.06,180.44,208.96,198.43,215.16,241.14,245.02,238.22,237.31,246.91,244.12,250.09,255.06,247.39,259.42,267.64,273.84,295.18,293.77,255.82,261.45,291.09,285.57,292.08,295.00,270.24,271.21,261.84,220.09,218.21,218.24,232.30,233.33,244.22
2000-11-07 22:10:17.299000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,200.76,235.34,241.07,230.86,218.30,231.33,228.82,235.44,237.56,235.48,252.61,257.71,260.23,,,,,279.68,273.76,281.31,283.34,254.94,251.46,243.18,191.49,,,,,
2001-01-10 22:10:27.647000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.35,255.35,278.57,203.04,236.03,229.78,,,,,,
2002-10-28 22:07:46.304000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,199.21,231.09,240.45,230.19,221.69,239.26,239.15,238.89,243.33,241.93,248.75,255.87,225.44,,,,218.61,287.73,286.14,252.38,,263.99,264.97,258.55,264.75,266.04,259.72,265.52,274.91,293.15
2003-08-20 21:57:03.003000,L5,207.37,189.29,189.92,182.26,183.30,167.93,192.16,221.25,228.41,222.51,217.69,221.20,226.77,234.56,230.39,225.77,206.17,203.95,202.68,206.48,202.42,209.61,212.36,215.29,227.00,232.63,246.22,235.51,239.20,236.75,227.95,231.96,226.64,221.30,227.89,242.75,245.41,254.23,262.49,272.13,282.10,288.91,276.44,275.23,255.25,276.34,260.37,244.07,239.31,237.33,255.78,246.02,,,
2003-12-10 21:58:29.659000,L5,222.64,212.46,204.13,198.09,194.61,199.29,225.60,239.70,241.20,236.49,231.11,231.32,230.63,236.92,241.85,240.24,223.13,215.48,219.38,220.33,225.79,224.99,229.79,232.81,247.77,252.72,268.63,264.22,270.90,264.82,254.12,255.96,245.86,250.83,250.34,257.83,265.54,277.75,283.34,288.42,303.83,312.54,299.54,308.45,302.27,306.02,294.18,272.11,267.26,275.42,290.82,271.88,275.57,277.50,287.13
2004-01-27 21:58:50.060000,L5,,,,,,,179.89,203.14,206.82,198.71,187.00,180.44,196.68,198.69,202.90,192.15,173.77,171.61,,,,,,,,,,,,215.63,206.92,202.86,215.49,207.62,208.88,229.77,235.23,244.76,249.93,254.40,274.82,275.58,261.29,263.42,241.06,264.17,245.55,226.42,222.97,218.72,241.22,188.64,,,
2004-05-18 22:00:38.480000,L5,210.16,187.09,189.49,181.95,179.65,167.56,185.82,220.11,229.19,221.45,215.76,224.20,221.24,230.59,228.97,221.96,205.90,196.95,203.70,207.45,190.15,207.43,216.98,216.40,232.56,238.86,248.31,243.19,240.40,238.73,,,,,,,,,,,205.20,288.55,277.98,,,276.13,263.16,227.42,203.65,,,,,,
2004-08-22 22:03:12.259000,L5,205.16,196.26,190.26,187.32,186.19,175.22,196.70,233.34,235.04,224.98,221.08,224.41,231.87,230.73,239.47,226.88,211.57,209.44,215.57,208.60,205.99,215.68,217.97,220.16,231.94,235.48,249.51,247.98,242.75,242.80,232.75,237.99,233.45,226.58,232.53,247.59,248.72,245.39,266.87,271.95,285.16,292.68,280.62,281.10,265.02,276.98,262.91,242.45,236.52,233.96,254.40,208.67,,,
2004-11-10 22:04:59.688000,L5,,,,,,,191.54,213.12,217.45,206.39,198.44,200.71,202.96,205.42,212.45,200.44,190.49,181.21,186.03,189.11,195.23,194.71,193.07,202.28,212.77,219.78,228.48,227.35,222.84,222.22,206.92,209.43,217.48,206.72,214.66,226.26,231.69,238.72,244.39,261.74,276.32,280.70,269.34,268.32,256.86,269.42,248.21,229.95,226.16,236.76,234.11,215.20,,,
