dates,satname,nzd0145-0000,nzd0145-0001,nzd0145-0002,nzd0145-0003,nzd0145-0004,nzd0145-0005,nzd0145-0006,nzd0145-0007,nzd0145-0008,nzd0145-0009,nzd0145-0010,nzd0145-0011,nzd0145-0012,nzd0145-0013,nzd0145-0014,nzd0145-0015,nzd0145-0016,nzd0145-0017,nzd0145-0018,nzd0145-0019,nzd0145-0021,nzd0145-0022,nzd0145-0020
1999-08-26 22:04:44.971000,L7,345.11,304.42,308.84,310.14,304.29,284.48,288.51,286.99,216.60,288.50,244.79,253.78,270.56,266.66,299.94,279.95,285.40,239.35,244.39,240.01,207.56,274.04,
1999-09-20 21:58:32.521000,L7,330.99,305.40,308.84,314.61,301.65,270.40,295.70,285.30,,238.13,220.94,253.24,,239.03,269.53,292.13,287.84,234.68,244.41,221.98,,267.65,265.18
1999-09-27 22:04:48.949000,L7,351.26,303.36,306.75,305.55,323.13,268.42,281.38,291.57,,288.13,225.97,260.00,243.76,240.99,258.07,279.64,285.09,246.39,221.59,250.11,,314.82,263.63
1999-11-14 22:04:42.286000,L7,345.11,310.53,312.75,314.37,297.11,273.75,285.72,286.75,,293.79,224.22,263.16,239.56,245.67,301.48,287.36,288.70,240.50,220.93,255.17,278.86,264.15,266.58
1999-12-25 21:58:52.197000,L7,340.82,317.10,315.32,315.92,314.01,268.39,274.36,298.23,,293.57,223.32,228.68,228.88,243.99,272.82,279.16,234.67,297.82,215.60,248.05,270.32,289.48,287.25
2000-02-11 21:58:22.025000,L7,347.62,316.41,317.84,329.79,320.39,312.03,296.70,301.25,275.04,307.31,300.55,311.38,311.41,297.34,316.83,305.78,288.82,263.40,267.18,216.58,279.64,290.11,189.18
2000-02-18 22:04:29.218000,L7,361.13,335.45,335.75,342.64,336.06,336.20,301.66,317.76,280.99,346.44,473.92,482.92,449.57,334.81,352.98,336.04,321.97,326.58,319.16,317.29,313.50,323.92,328.20
2000-05-24 22:03:46.662000,L7,348.98,305.73,307.25,308.13,304.32,264.82,288.64,292.64,,,,,270.37,279.86,296.23,292.53,286.28,260.37,,,,,
2000-07-11 22:03:17.779000,L7,367.43,331.85,328.02,336.12,328.91,338.96,327.72,312.29,308.13,311.35,328.66,337.49,333.73,344.19,322.71,330.51,329.37,320.71,304.78,310.62,319.67,326.85,311.70
2000-08-12 22:02:54.094000,L7,340.86,295.57,305.94,299.20,297.61,281.70,281.91,280.53,,,,,,273.89,270.58,286.74,294.47,296.90,297.23,,,,
2000-09-06 21:56:22.949000,L7,300.48,218.92,253.40,268.01,295.07,272.86,,,,,,,,,,255.41,291.76,245.32,194.45,,,258.59,
2000-10-15 22:01:56.204000,L7,343.54,313.07,321.40,319.96,317.28,316.44,294.43,297.85,300.25,299.51,311.59,310.27,321.37,313.33,310.12,303.73,,293.14,299.92,,278.53,317.65,
2000-12-11 21:56:00.959000,L7,328.83,316.58,314.66,315.97,310.38,315.71,297.60,295.22,293.30,293.91,297.23,297.75,297.15,264.78,299.83,301.31,298.28,299.45,289.36,260.21,279.58,303.52,263.36
2001-01-03 22:02:12.432000,L7,337.09,305.46,306.65,311.19,306.40,317.00,290.39,293.97,264.45,291.10,283.61,297.80,292.84,283.21,306.47,287.53,287.73,246.99,254.41,248.28,,,251.91
2001-01-12 21:56:06.772000,L7,339.29,313.57,319.15,318.37,317.38,315.62,300.65,298.40,215.79,295.76,296.23,299.38,310.12,278.50,301.97,292.28,294.68,250.92,288.38,248.58,238.48,259.83,283.92
2001-01-12 21:56:30.696000,L7,304.30,302.88,308.34,308.48,307.80,271.41,290.94,287.61,,195.81,216.56,296.06,,243.13,255.26,292.51,285.93,243.72,,,228.70,251.83,
2001-02-04 22:02:14.384000,L7,358.21,312.52,314.26,334.89,329.50,336.89,284.64,297.36,264.00,296.82,316.11,316.65,297.79,276.94,296.68,276.68,166.24,,,,,395.73,
2001-02-13 21:56:03.778000,L7,320.29,308.33,316.75,315.41,311.76,283.27,293.50,295.56,214.33,296.22,301.48,297.34,299.85,266.56,307.89,302.42,286.40,236.11,,,,,
2001-03-17 21:56:16.575000,L7,318.10,313.26,317.45,317.20,306.39,279.74,289.92,293.57,267.51,198.86,296.63,202.86,300.74,279.74,314.44,289.45,290.07,257.43,215.02,242.81,275.72,276.33,272.59
2001-03-24 22:01:59.719000,L7,314.22,307.92,309.00,314.15,302.69,270.25,281.46,293.04,,293.27,236.51,264.71,,260.26,253.38,281.86,286.82,249.62,250.37,246.01,277.02,267.03,
2001-06-12 22:01:24.980000,L7,219.65,181.88,195.60,329.79,314.92,193.80,278.00,293.37,197.37,303.14,318.49,242.87,320.84,233.34,311.41,315.98,296.37,303.60,263.89,256.72,275.88,295.02,
2001-08-08 21:55:01.113000,L7,333.65,304.31,319.48,325.06,313.33,292.44,280.83,289.25,260.13,290.83,241.31,,,177.07,298.03,296.01,292.22,256.84,247.15,214.27,,,
2001-08-15 22:00:38.680000,L7,363.06,304.59,311.46,322.18,302.66,273.11,191.43,236.17,232.40,194.45,238.42,279.02,302.93,270.15,254.94,285.74,284.29,252.75,245.60,258.41,269.56,278.82,259.64
2001-08-24 21:54:24.664000,L7,330.68,302.09,306.90,313.91,298.25,,,,,,,263.34,266.13,269.58,265.58,287.58,289.25,246.86,214.68,214.75,,248.59,
2001-08-24 21:54:48.593000,L7,308.36,291.70,283.03,303.68,294.82,,,,,,,255.51,279.28,268.16,288.84,269.63,280.41,252.68,248.98,209.63,256.76,306.81,
2001-09-09 21:54:12.928000,L7,340.86,302.53,308.35,305.29,300.56,271.31,282.89,287.83,,293.65,228.03,261.11,175.53,258.53,257.44,289.62,287.29,302.89,244.18,245.58,234.21,271.64,
2001-09-09 21:54:36.880000,L7,329.30,299.83,303.14,313.60,300.61,267.37,280.14,285.79,258.04,289.79,300.05,256.56,252.02,260.06,258.78,290.24,289.96,303.57,293.35,250.10,250.49,302.29,
2001-09-25 21:54:04.740000,L7,322.69,302.52,305.16,306.15,299.37,271.36,283.11,290.86,248.84,289.15,222.60,252.27,232.62,262.54,306.28,295.11,291.43,255.17,245.81,253.21,,,
2001-09-25 21:54:28.694000,L7,266.04,304.02,305.11,307.28,297.24,272.49,281.39,290.58,241.45,290.10,217.48,249.28,232.55,263.92,303.81,293.67,291.66,254.51,242.96,251.04,,,
2001-10-02 22:00:04.650000,L7,357.44,314.31,313.54,327.68,312.65,319.18,295.30,297.71,267.88,305.25,315.58,302.28,323.21,306.54,319.64,318.17,292.29,299.87,258.80,259.11,283.86,316.10,266.65
2001-10-11 21:53:46.024000,L7,316.29,297.94,304.34,306.75,289.45,267.43,182.67,,,292.44,222.44,247.15,230.91,226.47,287.46,272.28,294.74,246.04,228.07,241.26,260.21,252.65,247.77
2001-10-11 21:54:09.862000,L7,316.77,300.10,305.13,307.25,291.08,268.01,184.90,290.16,,292.88,221.85,249.01,229.88,231.09,307.99,271.92,294.99,245.26,223.96,239.78,246.70,253.28,247.43
2001-11-03 22:00:10.954000,L7,,,,,,,384.17,441.61,523.46,295.61,306.35,311.62,317.29,311.18,306.76,303.77,304.40,275.83,294.29,262.68,271.40,275.78,287.27
2001-12-05 22:00:18.987000,L7,198.25,209.61,192.61,306.71,300.54,279.93,282.57,283.39,,,,,,,,287.89,290.77,247.67,,,,246.77,
2002-01-06 22:00:31.992000,L7,,,,,,,,,,292.35,228.50,280.45,305.31,281.70,264.57,297.93,292.03,299.31,242.42,252.69,279.56,306.10,257.04
2002-01-22 22:00:40.906000,L7,312.03,303.85,302.50,306.66,301.86,265.11,280.51,286.49,,191.65,222.66,221.67,279.19,243.39,305.71,244.28,284.91,245.09,203.68,246.19,275.49,264.08,258.76
2002-01-31 21:54:26.647000,L7,336.81,312.87,308.97,308.97,298.58,264.00,273.92,290.20,242.57,287.70,222.31,,309.93,238.54,296.21,294.55,235.95,239.72,215.85,245.39,,,248.55
2002-01-31 21:54:50.570000,L7,348.99,327.68,325.18,324.37,317.50,275.02,300.98,304.74,267.34,298.05,237.30,308.86,322.21,301.70,311.42,308.96,304.33,255.76,250.46,257.53,284.82,314.39,284.09
2002-02-16 21:54:54.191000,L7,334.45,294.13,292.05,296.74,293.92,254.80,273.58,280.77,250.26,283.15,216.67,296.10,273.08,233.95,296.86,246.35,278.96,245.76,243.96,246.68,260.05,258.04,
2002-03-27 22:00:37.575000,L7,345.70,307.91,309.03,314.02,306.95,285.81,280.37,287.07,258.50,290.57,218.98,267.22,247.32,283.62,296.30,287.55,238.61,245.38,217.20,243.05,267.49,298.67,255.07
2002-04-28 22:00:38.357000,L7,355.97,323.57,323.92,323.31,319.51,317.26,305.84,294.95,295.16,305.53,316.38,321.67,323.95,295.01,296.58,309.81,291.96,303.73,289.03,237.43,277.04,314.30,
2002-05-23 21:54:18.991000,L7,346.40,310.68,328.28,328.16,308.22,317.35,298.53,282.38,,,,,,,,280.29,285.31,297.55,217.32,222.32,277.91,317.95,268.76
2002-06-24 21:54:04.370000,L7,347.07,331.11,330.75,334.03,313.69,324.47,317.95,305.34,307.98,310.28,316.66,318.30,326.75,316.03,317.37,318.06,318.07,310.23,308.91,301.53,291.15,307.61,305.14
2002-06-24 21:54:28.353000,L7,339.41,319.22,324.47,330.50,309.18,321.55,312.46,301.65,302.97,305.78,313.24,313.35,323.53,283.64,314.58,313.65,314.71,307.50,305.56,301.22,,,301.82
2002-07-17 22:00:08.747000,L7,353.81,317.42,323.60,324.37,313.08,290.01,300.74,299.00,285.03,303.72,317.74,321.14,321.07,308.96,262.52,223.45,228.15,261.14,305.45,185.34,,,
2002-08-18 21:59:57.690000,L7,311.34,303.02,301.91,307.95,301.43,279.03,283.60,289.95,263.03,289.14,,,267.68,260.25,259.95,292.32,244.91,254.54,,,,,
2002-08-27 21:53:36.267000,L7,350.29,309.96,312.57,311.01,303.91,294.03,292.34,292.98,271.35,286.54,279.32,290.28,297.33,277.86,314.52,319.00,284.72,313.24,250.59,249.32,264.55,317.68,266.43
2002-08-27 21:54:00.253000,L7,309.55,303.74,301.73,305.96,300.09,286.98,283.57,208.10,177.97,188.34,213.94,220.73,293.56,271.83,310.05,314.95,289.88,268.46,252.79,257.68,260.66,317.55,254.45
2002-09-12 21:53:31.762000,L7,332.19,299.90,301.17,305.25,292.50,286.89,282.12,282.28,269.31,255.94,,,296.54,262.00,248.97,281.29,281.62,288.22,268.80,300.92,261.34,281.96,247.95
2002-10-14 21:53:19.813000,L7,318.58,299.34,301.63,179.75,278.91,262.68,,,,,,,,,,,272.78,249.86,,,,,
2002-10-14 21:53:43.769000,L7,347.65,309.07,310.21,312.51,309.34,293.76,289.59,288.80,262.02,288.95,281.95,293.82,299.92,291.50,313.15,287.52,287.31,262.50,276.87,300.05,270.68,288.62,267.65
2002-10-21 21:59:36.443000,L7,353.32,308.24,178.72,,267.33,266.95,285.62,292.51,,,,,,,,,,,,,,,
2002-11-06 21:59:41.879000,L7,,,,,,,283.06,235.97,204.55,285.61,293.89,296.13,305.32,252.99,255.25,292.27,287.93,299.52,275.35,245.97,,292.25,251.01
2002-12-01 21:53:52.985000,L7,315.03,314.53,313.90,323.54,311.02,290.17,292.62,295.22,271.93,295.62,292.83,307.40,310.14,295.33,300.14,296.48,293.69,297.76,245.12,256.60,,198.51,268.39
2002-12-01 21:54:16.937000,L7,319.07,319.41,318.68,329.58,315.56,310.67,295.76,297.14,278.19,297.49,294.70,313.12,314.37,301.74,308.03,302.29,304.13,301.16,233.63,256.63,,223.86,270.14
2002-12-24 22:00:09.147000,L7,349.53,309.07,306.90,315.12,307.11,273.93,283.56,292.86,268.10,289.17,276.34,272.66,288.82,266.35,301.96,286.00,280.18,255.44,253.01,257.39,277.30,256.29,249.28
2003-01-18 21:54:06.301000,L7,346.03,318.18,322.10,317.40,323.31,291.39,288.78,301.95,276.26,299.31,292.40,309.65,319.93,309.10,308.90,289.41,283.18,264.44,263.60,256.53,274.78,314.72,272.26
2003-01-18 21:54:30.278000,L7,310.26,307.07,303.53,305.14,300.03,265.65,278.94,283.28,254.51,190.26,215.71,,,244.07,299.11,280.86,171.95,253.31,249.42,247.44,,,
2003-01-25 22:00:18.779000,L7,349.03,310.25,308.49,313.46,305.49,272.34,285.69,294.17,264.46,293.56,283.16,298.23,299.86,267.31,303.49,285.81,281.47,256.46,252.18,252.73,283.26,315.64,264.22
2003-03-23 21:54:16.760000,L7,312.81,303.73,302.30,227.33,253.86,230.46,169.33,,,,,252.11,226.63,244.45,256.11,280.15,274.02,250.90,,,,,
2003-05-10 21:54:22.508000,L7,320.52,312.93,315.81,314.10,304.32,308.15,282.22,292.17,281.57,294.72,,279.54,303.37,279.11,253.56,287.22,281.19,285.12,247.18,214.74,,,
2003-07-21 21:42:09.884000,L5,331.33,319.67,313.47,314.75,303.16,308.15,289.65,219.73,222.00,221.60,243.59,248.26,241.69,186.56,291.10,294.38,293.24,278.63,261.33,,,,
2003-07-21 21:42:33.857000,L5,336.76,323.16,316.10,318.94,307.67,313.13,292.86,289.03,284.74,290.92,301.92,304.07,311.50,305.41,218.87,216.48,191.66,282.26,268.26,,,,
2003-08-06 21:42:27.230000,L5,338.32,319.38,312.71,304.62,304.70,299.32,282.24,227.51,222.20,223.40,251.22,248.86,252.33,189.61,288.06,275.15,288.76,277.76,241.98,,,,
2003-08-06 21:42:51.203000,L5,342.40,323.37,315.98,311.73,310.23,305.76,285.88,221.81,212.02,218.11,241.12,243.20,243.37,181.65,293.97,291.01,292.18,283.36,268.91,,244.33,272.81,218.56
2003-08-13 21:48:45.123000,L5,331.97,314.89,305.86,309.55,301.54,299.96,288.26,225.32,220.75,227.83,237.30,250.69,241.52,195.54,284.99,277.97,292.70,283.13,261.93,246.51,,,
2003-09-30 21:49:30.432000,L5,330.20,306.67,305.28,304.51,295.03,300.31,286.02,277.98,278.72,280.12,285.60,282.59,299.57,291.00,279.02,277.88,287.88,283.38,274.21,255.32,,,
2003-10-25 21:43:40.253000,L5,338.01,316.24,311.52,315.10,300.33,304.21,286.10,282.81,278.60,283.74,286.34,294.16,298.52,291.76,288.78,287.60,286.37,280.09,286.28,273.92,257.59,279.16,232.11
2003-10-25 21:44:04.226000,L5,334.58,314.04,309.53,312.80,297.78,301.19,283.63,221.26,217.26,217.82,230.67,246.89,296.56,289.35,285.07,215.37,283.73,277.40,283.32,269.50,,,
2003-11-17 21:50:09.452000,L5,322.85,303.15,298.41,301.14,293.61,306.34,284.91,282.92,281.98,282.94,284.83,295.40,302.52,293.76,288.56,283.91,287.67,268.79,255.74,251.27,,,
2003-12-12 21:44:10.398000,L5,336.05,318.93,317.57,319.67,306.86,312.68,290.68,289.74,280.57,289.58,291.14,303.62,304.49,297.68,294.90,284.62,287.79,283.85,,,,,
2004-02-14 21:44:33.705000,L5,335.19,315.39,310.10,307.26,299.59,301.65,281.21,280.73,281.35,283.04,293.83,295.97,299.96,292.33,293.13,287.76,286.68,281.45,257.26,250.35,,,
2004-02-14 21:44:57.678000,L5,335.95,316.10,310.48,307.70,300.19,302.70,281.79,281.38,282.68,283.04,294.31,296.64,301.44,293.24,293.33,288.92,287.18,281.73,257.70,250.35,,,
2004-02-21 21:50:47.082000,L5,354.94,321.63,318.67,319.10,313.23,309.87,293.53,293.14,281.89,292.40,278.08,307.84,303.92,295.30,296.75,290.10,287.69,284.59,273.21,258.57,255.61,280.69,243.55
2004-03-01 21:44:38.581000,L5,335.76,317.29,302.17,,281.98,243.86,280.92,278.74,273.69,284.48,,,,,,,,,,,,,
2004-03-01 21:45:02.553000,L5,342.04,323.27,308.54,300.97,293.95,305.85,287.47,287.64,278.89,291.50,277.34,,,,,,,,,,,,
2004-04-02 21:44:54.996000,L5,336.78,321.71,314.80,313.49,300.69,307.14,292.55,286.58,280.91,290.43,293.42,298.65,307.17,297.56,293.60,287.50,290.30,277.95,266.48,,,,
2004-04-02 21:45:18.969000,L5,337.68,321.96,314.81,314.50,300.59,307.60,293.16,287.62,282.12,290.33,294.03,299.02,307.33,298.39,295.28,288.39,290.85,280.86,267.63,,,,
2004-04-18 21:45:25.586000,L5,335.34,318.25,318.56,313.98,306.71,309.34,290.69,291.36,281.05,289.39,297.92,297.26,309.47,297.91,297.21,288.44,289.23,272.59,,,,,
2004-04-18 21:45:49.558000,L5,338.21,320.01,320.23,317.17,310.03,311.64,292.39,292.87,282.94,291.83,299.37,299.87,311.92,300.82,299.27,292.18,291.36,276.64,183.85,,,,
2004-05-04 21:45:52.076000,L5,339.08,324.29,316.76,317.87,301.19,302.75,288.40,226.95,216.90,224.41,227.98,250.16,242.16,177.26,294.98,289.52,289.65,267.92,271.67,,,,
2004-05-04 21:46:16.049000,L5,337.12,322.76,314.69,316.04,299.41,300.14,286.57,229.63,219.40,226.29,231.84,253.06,245.12,182.71,292.07,287.60,287.99,264.67,232.12,,,,
2004-05-20 21:46:20.465000,L5,339.96,328.59,321.14,326.49,306.47,313.61,291.96,223.61,219.47,224.15,239.41,245.53,243.81,179.57,298.75,296.94,206.41,172.81,228.65,,251.72,274.82,211.47
2004-05-20 21:46:44.438000,L5,335.64,323.82,316.94,323.13,302.76,310.00,287.90,227.78,221.80,227.14,243.19,249.08,250.53,189.42,296.30,241.81,289.03,271.73,272.39,,,,
2004-06-05 21:46:48.916000,L5,319.78,315.11,309.76,311.19,295.85,300.15,287.56,275.21,275.45,282.76,294.46,300.70,302.29,296.51,,,293.17,273.66,,,,,
2004-06-05 21:47:12.889000,L5,332.80,324.41,318.50,320.21,308.06,311.50,295.73,288.02,283.53,293.05,301.53,311.25,313.64,308.11,302.25,299.33,302.96,285.73,273.97,252.53,,,
2004-06-12 21:53:11.618000,L5,331.45,311.20,307.65,306.54,293.13,297.25,191.19,274.34,271.71,281.67,287.55,,,,,,,,,,,,
2004-07-07 21:47:45.207000,L5,337.04,322.34,320.51,320.39,308.90,312.58,293.71,220.70,206.50,223.53,243.28,243.91,234.86,182.40,294.94,298.08,294.12,288.06,274.70,,,,
2004-07-07 21:48:09.180000,L5,332.92,319.52,316.07,315.35,304.53,307.91,172.47,225.44,219.92,228.64,246.52,250.03,248.07,190.56,289.03,292.41,290.87,282.96,268.35,,,,
