dates,satname,nzd0213-0000,nzd0213-0001,nzd0213-0002,nzd0213-0003,nzd0213-0004,nzd0213-0005,nzd0213-0006,nzd0213-0007,nzd0213-0008,nzd0213-0009,nzd0213-0010,nzd0213-0011,nzd0213-0012,nzd0213-0013,nzd0213-0014,nzd0213-0015,nzd0213-0016,nzd0213-0017,nzd0213-0018,nzd0213-0019,nzd0213-0020,nzd0213-0021,nzd0213-0022,nzd0213-0023,nzd0213-0024,nzd0213-0025,nzd0213-0026,nzd0213-0027,nzd0213-0028,nzd0213-0029,nzd0213-0030,nzd0213-0031,nzd0213-0032,nzd0213-0033,nzd0213-0034,nzd0213-0035,nzd0213-0036,nzd0213-0037,nzd0213-0038,nzd0213-0039,nzd0213-0040,nzd0213-0041,nzd0213-0042,nzd0213-0043,nzd0213-0044,nzd0213-0045,nzd0213-0046,nzd0213-0047,nzd0213-0048,nzd0213-0049,nzd0213-0050
1999-09-22 21:46:36.849000,L7,425.35,413.58,405.27,380.74,400.48,400.03,395.84,396.26,384.95,437.43,385.86,387.32,390.82,399.08,396.43,399.08,415.61,421.43,429.82,415.34,419.65,444.08,459.49,454.47,487.41,435.90,479.23,421.38,427.67,451.31,431.76,426.73,425.52,425.24,428.66,438.70,443.92,439.00,435.31,427.87,422.04,432.19,419.43,417.52,433.10,449.14,440.23,445.51,443.09,401.22,423.13
2000-03-16 21:46:15.139000,L7,455.35,416.30,400.08,399.33,388.01,399.12,415.44,425.73,438.91,465.12,427.93,407.65,406.52,390.29,398.23,405.21,417.37,461.79,414.51,443.93,436.63,419.97,443.64,415.65,415.22,421.43,430.99,424.93,446.58,412.93,280.17,335.94,304.85,273.29,413.89,418.61,420.58,427.09,421.20,412.52,422.25,404.37,413.77,421.95,421.38,466.93,440.79,443.09,433.27,407.72,407.76
2000-04-01 21:46:10.627000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.41,244.18,317.80,318.62,295.36,237.51,266.34
2000-05-03 21:45:55.224000,L7,313.55,283.39,190.07,223.68,232.59,190.93,249.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.43,292.32,293.27,320.00,315.18,308.61,
2000-05-19 21:45:43.918000,L7,398.41,381.41,384.22,376.81,386.12,386.03,542.94,,,,550.96,233.85,,,,541.26,470.94,367.07,348.16,345.48,354.63,354.69,350.82,355.82,352.86,366.03,375.20,369.15,378.22,393.33,,366.72,382.27,382.55,385.72,383.42,376.50,386.55,386.44,373.64,370.03,369.52,364.81,372.22,371.09,380.33,383.01,385.44,376.04,364.14,368.37
2000-05-26 21:51:48.668000,L7,300.71,254.70,,,,,,,,,,192.11,208.63,208.39,271.58,251.04,245.73,238.94,272.82,285.80,275.75,284.06,280.86,286.54,300.75,290.34,287.92,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-07 21:44:45.034000,L7,411.20,375.57,368.06,378.32,351.68,357.88,367.98,362.64,353.88,363.77,362.65,360.79,357.60,351.39,346.79,360.13,357.75,324.02,318.19,347.03,354.22,358.08,359.77,367.00,362.23,389.54,394.03,481.24,343.48,328.66,,,290.17,367.70,365.99,370.74,299.03,302.29,350.57,341.88,341.25,350.13,344.88,349.12,350.73,354.86,362.22,373.21,354.16,345.22,342.74
2000-09-24 21:44:07.338000,L7,386.12,372.00,381.17,389.28,353.21,359.08,365.08,363.58,324.59,275.76,297.73,312.81,353.36,354.98,344.27,324.59,281.70,298.50,308.93,313.54,327.00,316.53,319.37,374.17,321.90,343.41,332.70,339.89,313.20,299.69,310.11,207.82,233.85,256.16,262.18,292.94,311.28,312.07,383.06,378.64,375.03,402.60,359.86,335.78,336.56,353.77,360.36,364.51,354.07,341.20,334.09
2001-01-14 21:44:09.210000,L7,421.84,404.44,397.37,375.43,376.36,382.21,390.64,397.93,388.79,426.40,383.84,382.50,379.24,370.20,369.96,367.96,367.10,366.65,367.05,366.83,375.20,382.78,383.45,388.61,404.85,416.33,411.23,410.45,410.43,344.77,288.22,287.17,298.27,384.55,383.79,387.42,385.39,391.10,384.18,388.21,389.07,383.73,381.86,384.83,383.96,393.09,396.40,408.67,395.12,383.64,391.94
2001-04-04 21:43:43.008000,L7,312.59,277.53,193.70,225.38,231.28,243.96,252.38,199.72,239.72,236.75,216.94,232.69,221.14,223.38,213.24,210.58,210.14,215.45,,,,,,,,,,,,,,,,,,,,,,,,,,184.71,222.26,301.57,302.77,329.13,318.82,306.09,
2001-04-20 21:43:46.702000,L7,250.27,284.59,177.78,226.29,234.28,209.07,196.14,199.47,259.46,249.77,237.76,240.49,238.20,236.41,220.07,209.51,212.39,,,,,,,,,,,,,,,,,,209.70,224.25,245.80,252.82,232.51,,,,,,223.90,301.46,227.44,235.23,281.36,273.75,292.60
2001-05-22 21:43:30.869000,L7,380.81,349.59,360.93,393.20,357.45,346.06,354.97,356.65,366.35,278.33,346.73,366.16,358.49,360.47,265.56,258.03,278.66,354.81,364.79,341.37,366.48,364.38,370.72,379.60,387.79,406.03,403.13,320.22,295.05,180.00,371.22,378.43,375.01,376.03,377.16,365.39,369.63,365.84,376.23,361.76,360.94,366.10,360.47,366.64,365.63,387.46,486.08,445.24,383.32,425.20,367.42
2001-06-07 21:43:18.779000,L7,368.82,336.87,299.47,287.62,349.39,364.27,306.69,301.71,305.99,288.74,278.90,292.87,279.20,275.16,291.86,287.37,268.79,287.90,289.42,292.13,294.72,293.77,293.76,297.16,298.28,303.78,307.06,301.16,257.71,,,,,239.87,249.16,287.85,299.67,308.56,317.59,360.20,354.93,358.13,304.44,230.18,255.47,373.18,369.69,376.56,372.83,351.14,355.67
2001-07-25 21:42:54.824000,L7,402.23,388.38,367.88,364.29,340.54,336.00,346.55,372.57,341.84,342.65,320.36,322.82,328.43,339.13,359.84,327.57,323.26,307.61,320.79,345.83,331.07,332.12,331.73,340.91,340.00,349.55,345.20,351.29,347.91,218.43,,,191.38,246.71,317.00,353.21,293.04,353.80,340.83,342.30,340.83,328.59,337.71,323.46,324.73,355.30,366.50,378.87,363.69,343.48,344.18
2001-08-26 21:42:25.671000,L7,404.19,380.19,373.34,358.42,382.45,364.71,366.54,371.06,368.35,273.27,356.64,365.31,398.58,361.61,353.80,356.17,359.56,355.02,354.34,356.15,362.21,372.26,370.83,367.59,373.36,371.94,366.22,326.53,303.88,220.81,,,,261.56,261.52,284.07,296.74,306.21,358.47,362.51,329.81,333.13,315.74,209.43,248.56,345.87,363.25,370.91,357.16,351.24,341.09
2001-09-11 21:42:14.303000,L7,438.76,430.20,430.87,422.75,448.89,426.70,417.65,423.04,393.92,446.77,410.53,409.42,406.30,415.45,409.90,407.37,406.33,406.95,401.04,401.21,404.17,408.18,415.76,409.54,417.95,420.29,402.09,312.48,358.59,256.02,347.96,376.37,379.37,388.93,393.77,406.66,398.46,406.96,400.13,396.06,456.82,539.39,,,,,,,,,
2001-09-27 21:42:05.338000,L7,421.73,393.89,383.86,384.07,393.12,392.85,399.06,394.08,377.21,382.76,383.54,378.45,376.43,386.00,387.37,391.30,385.49,374.37,377.90,392.94,398.53,385.27,381.35,384.32,400.66,398.04,381.66,363.37,373.82,325.70,303.87,388.00,394.37,403.72,407.90,416.63,447.77,467.85,,,512.14,520.29,563.36,395.53,391.80,393.84,407.44,450.48,438.36,389.87,386.77
2001-10-13 21:41:51.963000,L7,438.50,419.48,407.24,414.22,411.17,415.50,421.52,430.44,422.97,458.82,419.58,416.35,413.97,408.58,407.60,409.96,410.69,407.98,410.75,404.82,419.50,421.30,432.06,424.09,434.23,450.42,458.43,403.59,394.88,406.74,403.39,411.45,405.76,411.68,409.20,406.93,418.48,415.33,407.85,402.78,402.41,395.63,394.21,398.86,402.90,444.43,435.91,492.71,464.78,423.58,452.30
2002-02-02 21:42:30.783000,L7,380.46,354.99,355.83,347.14,354.94,355.68,363.83,345.88,358.72,337.65,341.10,343.54,341.57,338.19,343.31,358.09,351.01,355.84,352.71,354.76,337.79,341.53,340.89,349.01,236.87,259.03,245.43,234.13,,,,,,,,,,,,,,,204.40,188.93,218.04,489.16,395.51,415.17,,,
2002-04-07 21:42:28.931000,L7,378.15,368.05,358.58,380.22,360.89,358.84,411.33,377.27,364.72,283.54,276.13,281.45,272.12,274.55,289.46,275.17,269.49,264.53,269.29,293.82,294.97,289.31,284.20,290.37,287.20,303.23,306.52,281.95,,394.91,370.27,363.34,356.03,365.89,355.41,289.58,289.20,294.34,317.61,299.43,294.89,292.09,215.21,206.01,242.74,327.50,343.50,355.89,342.56,340.65,336.39
2002-08-29 21:41:39.340000,L7,465.57,431.87,402.57,401.12,404.11,400.97,418.55,436.19,417.05,437.23,397.80,404.86,407.16,415.13,416.03,407.52,408.76,413.70,406.15,421.72,427.49,428.50,434.18,454.69,420.68,433.50,425.94,424.45,422.26,400.07,401.77,393.32,394.37,389.81,408.45,389.26,399.12,426.29,416.77,397.29,410.61,404.86,406.09,400.81,403.81,422.86,420.59,413.27,407.83,395.10,397.88
2002-09-14 21:41:31.043000,L7,394.54,368.75,355.25,319.60,355.19,360.75,368.00,381.18,376.74,374.79,349.75,360.05,359.54,334.39,327.17,366.02,364.94,335.83,376.67,376.20,383.39,386.93,403.58,355.46,345.89,327.70,318.09,281.92,227.11,,336.76,296.52,359.48,345.93,326.81,339.12,316.18,357.80,335.34,333.66,351.12,343.25,321.46,230.89,324.47,350.22,368.36,381.53,354.38,353.68,351.99
2002-10-16 21:41:24.730000,L7,330.63,281.68,214.33,227.80,260.61,278.83,290.20,230.12,281.33,,,,,,,238.50,221.78,227.59,246.30,277.87,288.54,243.36,284.72,184.90,,,,,,,,,,,,,,,,,,,,,229.00,302.11,308.97,314.55,252.55,223.21,249.72
2002-11-01 21:41:30.201000,L7,385.14,395.85,362.89,333.12,337.27,350.08,363.71,373.80,370.82,281.69,490.78,496.02,417.78,349.85,355.99,361.74,429.23,450.88,436.62,548.01,385.65,383.85,390.83,395.81,349.87,325.47,320.15,301.01,381.24,370.71,373.90,363.40,371.17,369.32,368.97,371.22,363.74,366.93,373.83,369.75,355.31,378.47,381.13,377.67,367.58,403.91,500.32,397.63,396.57,368.96,370.84
2003-04-10 21:42:26.045000,L7,315.39,276.32,185.61,226.85,232.24,255.46,248.32,,230.27,204.98,204.33,199.02,227.13,221.24,224.89,182.91,200.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.11,310.71,,
2003-04-26 21:42:25.606000,L7,388.15,371.26,360.08,365.39,356.99,360.85,366.58,370.84,372.92,371.16,365.13,367.39,373.64,375.27,364.77,374.67,360.66,382.70,386.28,387.70,372.18,382.35,387.88,400.97,326.44,311.80,330.77,294.17,187.97,,,353.78,367.19,368.43,329.52,306.36,316.77,367.48,335.13,356.83,335.33,360.80,286.13,353.10,257.03,363.25,373.15,379.62,380.95,365.13,365.50
2003-05-28 21:42:22.600000,L7,439.78,425.97,418.13,406.53,403.35,403.20,404.47,419.86,407.44,425.98,418.98,412.62,415.48,417.23,413.80,414.41,409.22,418.33,420.35,415.94,419.00,435.00,423.90,424.10,421.16,411.04,410.10,399.37,399.65,447.94,393.62,386.28,394.03,402.89,395.33,407.60,412.99,397.89,404.20,388.27,380.77,388.09,388.85,390.00,386.67,392.71,403.76,455.02,399.80,391.31,403.47
2003-07-23 21:30:14.355000,L5,332.85,300.50,275.61,258.42,255.77,260.05,269.34,269.55,271.69,276.00,252.94,256.46,246.72,251.44,266.74,265.53,257.71,267.75,294.99,287.01,280.57,271.17,273.93,273.28,281.95,291.25,270.94,262.67,,,,,,211.85,233.48,276.91,285.36,290.38,303.36,301.95,293.30,292.42,267.97,225.65,230.67,310.76,340.64,352.71,351.14,333.69,334.57
2003-11-28 21:32:10.197000,L5,307.97,289.10,262.98,252.66,256.27,258.66,268.14,275.89,273.83,269.08,254.53,248.18,239.38,244.48,254.91,244.73,244.18,247.57,253.97,260.08,261.09,263.15,260.62,278.25,279.40,286.29,265.19,253.54,,,,,,229.60,227.61,259.32,267.55,277.05,293.10,288.17,286.92,222.17,208.61,214.76,258.74,319.12,338.68,347.43,339.30,325.49,319.27
2003-12-30 21:32:24.694000,L5,307.09,281.88,258.24,247.45,251.34,247.56,253.19,272.05,263.28,261.93,243.60,239.48,234.85,243.04,252.49,253.07,255.62,257.63,264.34,268.66,265.61,270.67,268.05,276.82,279.42,280.62,257.00,250.05,,,,,,233.74,239.70,290.02,295.01,297.73,304.36,297.57,293.56,230.05,218.98,212.53,242.18,307.45,327.74,344.79,334.12,322.69,321.39
2004-01-15 21:32:26.348000,L5,295.11,269.50,248.86,250.74,258.19,260.70,268.46,289.30,293.28,276.69,255.16,256.62,256.64,251.49,242.98,235.77,233.07,229.67,228.93,249.45,264.11,270.01,265.71,269.19,269.78,279.58,278.27,272.07,,,,,,223.72,232.05,269.13,284.94,283.86,298.46,295.89,217.20,210.55,210.59,220.87,256.62,327.11,341.98,345.75,337.81,324.79,327.20
2004-01-22 21:38:40.402000,L5,305.04,286.41,254.75,251.89,255.48,259.06,268.21,,,,,,,,,,,,,256.20,261.61,270.10,270.38,275.98,276.83,280.75,274.87,265.37,,,,,,,,,,,,,,,,,,,,,,,
2004-05-06 21:33:58.336000,L5,,,,283.55,327.23,296.65,299.70,286.44,271.21,269.80,256.64,253.26,245.28,250.83,266.69,257.14,257.17,258.70,263.95,268.18,265.68,267.58,266.77,272.58,273.74,280.14,260.13,230.02,,,,,,243.67,242.95,278.23,285.13,292.24,261.03,203.55,229.47,250.65,232.18,221.29,250.63,307.35,321.79,339.05,328.91,319.17,318.81
2004-06-07 21:34:54.755000,L5,319.46,297.66,271.07,254.02,260.28,259.70,268.87,291.50,261.00,262.67,253.19,255.71,248.60,251.35,262.66,256.93,256.96,256.47,264.86,267.33,268.41,271.30,268.83,270.26,281.42,290.13,271.76,259.70,,,,,,241.17,241.78,271.38,288.47,293.02,295.77,294.33,281.92,234.44,217.41,203.69,233.35,299.46,322.95,338.21,337.38,320.14,322.89
2004-06-23 21:35:22.995000,L5,327.32,299.55,273.89,257.14,258.93,264.24,271.05,290.56,262.53,257.57,253.71,256.35,246.97,254.67,264.76,258.09,258.02,258.66,270.24,278.99,268.64,273.45,269.85,274.01,274.89,281.77,247.23,242.11,,,,,,209.70,229.45,241.38,238.61,274.59,291.50,286.90,277.85,227.12,221.68,199.02,223.77,302.87,323.81,337.43,340.80,327.27,315.72
2004-07-25 21:36:14.167000,L5,327.10,300.49,277.58,256.47,250.57,255.64,264.99,284.34,253.34,261.48,256.56,250.75,243.33,246.95,266.21,260.03,253.26,265.90,267.63,268.92,269.90,272.59,272.53,273.59,275.92,264.95,249.94,252.13,,,,,,218.06,222.51,244.22,242.68,282.49,299.70,302.30,293.98,241.39,239.53,220.68,230.87,302.25,326.95,339.50,337.68,324.56,315.87
2005-01-24 21:46:06.161000,L5,306.93,281.80,256.34,249.15,,,,,,,,,,,,,,245.64,252.87,263.24,263.63,267.20,263.62,274.19,275.62,276.58,,,,,,,,512.14,448.50,386.40,330.90,299.45,302.91,300.30,292.05,248.22,,,,,,,,,
2005-02-18 21:40:18.476000,L5,304.44,280.60,257.51,245.65,252.41,255.18,255.89,288.24,265.37,260.28,242.94,236.50,233.29,239.63,246.95,236.58,234.12,242.41,254.24,261.40,261.40,263.20,260.33,272.86,269.65,271.47,262.45,249.93,,,,,,244.72,237.40,267.39,283.18,291.53,304.06,298.25,293.44,248.65,228.52,212.20,244.79,302.27,326.57,345.29,335.60,318.72,327.52
2005-03-22 21:40:41.327000,L5,336.04,311.99,285.70,274.46,269.40,281.46,279.14,304.10,287.39,283.01,272.11,264.21,259.53,266.15,281.02,273.11,268.18,283.23,277.24,289.74,280.62,293.14,284.45,291.34,277.16,276.46,270.17,262.11,,,,,,219.97,230.35,270.20,282.97,277.38,312.57,305.82,206.54,208.48,215.60,218.21,250.83,322.52,334.69,353.43,343.85,329.02,334.32
2005-04-30 21:47:03.060000,L5,370.04,354.06,339.91,338.16,338.49,335.56,356.78,358.31,352.66,359.38,357.31,360.34,356.86,362.72,366.95,357.18,356.70,361.10,362.29,358.01,353.47,358.16,355.66,346.36,346.51,345.43,346.15,339.25,346.43,345.30,337.18,331.12,334.84,350.10,364.36,359.31,364.32,355.01,350.97,342.32,338.83,340.61,335.25,334.98,345.90,,,,,,
