dates,satname,nzd0128-0000,nzd0128-0001,nzd0128-0002,nzd0128-0003,nzd0128-0004,nzd0128-0005,nzd0128-0006,nzd0128-0007,nzd0128-0008,nzd0128-0009,nzd0128-0010,nzd0128-0011,nzd0128-0012,nzd0128-0013,nzd0128-0014,nzd0128-0015,nzd0128-0016,nzd0128-0017
1999-07-18 21:58:25.703000,L7,,,,,,,311.80,204.61,214.99,251.81,230.96,292.39,,,,322.36,282.70,
1999-08-26 22:04:44.971000,L7,260.66,344.71,348.79,324.84,313.01,335.46,322.52,306.15,332.40,337.82,336.20,356.07,360.49,343.93,350.87,350.35,301.23,326.32
1999-09-20 21:58:32.521000,L7,267.70,348.13,342.52,264.40,200.58,,251.81,298.32,321.06,297.49,318.15,336.83,336.40,334.45,333.30,329.88,298.36,234.09
1999-09-27 22:04:48.949000,L7,339.92,361.95,354.65,331.58,340.83,344.56,345.69,324.45,339.99,339.36,331.01,352.34,346.33,346.83,350.68,345.64,343.85,337.98
1999-10-22 21:58:28.758000,L7,335.89,355.91,351.08,317.43,296.52,331.49,321.49,306.43,322.47,321.90,321.99,342.18,344.08,338.14,345.71,335.00,327.07,332.85
1999-11-14 22:04:42.286000,L7,340.29,311.99,277.16,335.94,339.46,336.95,334.62,321.33,331.86,336.95,329.02,344.77,347.39,341.09,350.12,344.03,336.32,341.20
1999-12-09 21:58:33.708000,L7,254.88,201.50,,,,297.97,304.97,303.81,297.76,298.15,315.61,228.87,210.67,213.24,245.43,275.38,263.38,285.12
2000-03-30 21:58:09.573000,L7,339.83,369.02,369.55,356.66,358.76,351.32,349.48,351.48,354.16,352.39,344.55,367.83,371.10,363.42,376.60,377.74,367.81,370.68
2000-04-15 21:57:55.957000,L7,354.36,374.02,365.32,333.39,338.12,360.37,363.30,359.13,359.74,361.89,358.66,374.16,386.64,382.22,380.76,379.27,376.93,381.86
2000-05-24 22:03:46.662000,L7,,315.47,327.84,261.90,169.45,,276.88,205.15,258.46,289.67,312.56,333.50,234.21,246.33,313.66,165.09,297.97,
2000-07-20 21:56:59.837000,L7,222.26,330.30,335.93,309.83,186.46,,319.55,292.77,315.97,300.66,321.57,339.27,309.68,342.05,344.36,332.22,294.70,315.79
2000-08-12 22:02:54.094000,L7,265.45,341.23,341.52,328.62,328.74,311.56,322.56,308.14,319.50,330.60,325.52,347.46,350.05,350.03,354.65,347.05,337.85,354.79
2000-09-06 21:56:22.949000,L7,277.56,333.86,337.25,269.00,239.32,,316.81,300.40,313.45,295.36,313.74,334.07,333.84,327.25,342.60,330.05,310.36,318.41
2000-09-13 22:02:26.190000,L7,340.35,345.14,363.62,351.24,359.51,400.06,386.62,462.96,452.20,362.95,385.36,346.27,326.76,342.50,377.45,373.75,380.01,407.55
2000-10-15 22:01:56.204000,L7,415.94,370.03,366.86,353.76,355.15,359.53,359.94,347.19,372.39,353.27,342.73,352.80,356.63,359.15,365.51,364.77,359.19,362.75
2001-01-03 22:02:12.432000,L7,290.19,401.90,413.94,400.75,402.74,408.44,414.54,409.85,402.63,401.35,388.04,420.87,447.59,394.06,415.51,430.22,400.06,400.08
2001-01-12 21:56:06.772000,L7,274.82,350.56,341.14,332.60,,,323.88,307.31,321.84,316.27,324.73,343.80,338.87,343.53,347.01,337.49,332.19,322.88
2001-02-13 21:56:03.778000,L7,334.85,350.60,345.81,337.23,336.50,333.66,329.62,314.67,326.66,337.55,327.02,345.70,346.73,345.12,351.94,340.72,334.72,339.69
2001-03-24 22:01:59.719000,L7,330.74,355.99,348.95,329.02,340.40,335.37,338.25,313.98,334.74,336.67,327.50,347.75,345.79,342.96,352.36,347.40,346.52,334.98
2001-05-20 21:55:29.073000,L7,229.96,337.13,337.17,264.99,,,308.66,300.43,307.16,296.97,318.62,338.36,307.95,330.74,342.02,333.73,299.33,304.03
2001-09-09 21:54:12.928000,L7,294.86,352.76,347.16,336.28,340.21,341.01,336.41,315.78,326.22,338.07,330.89,350.74,345.37,346.51,348.07,348.99,339.34,331.17
2001-09-25 21:54:04.740000,L7,289.92,351.10,352.79,337.39,348.65,337.01,336.75,315.02,319.30,336.96,335.47,351.60,355.63,349.27,361.16,344.55,323.57,311.64
2001-10-02 22:00:04.650000,L7,334.99,360.26,355.78,343.32,295.60,321.24,269.70,317.17,335.69,337.65,331.94,349.19,350.88,346.47,353.44,352.05,343.31,358.26
2001-10-11 21:53:46.024000,L7,369.28,403.85,389.02,363.63,363.87,363.89,359.91,353.94,357.89,357.04,351.52,374.46,383.82,377.55,386.59,398.58,370.60,377.23
2001-11-03 22:00:10.954000,L7,,218.97,228.65,224.43,157.80,335.96,333.36,325.16,329.40,323.78,310.86,334.23,288.55,324.05,348.78,346.10,334.91,340.20
2002-01-06 22:00:31.992000,L7,279.75,182.14,,,,,279.63,285.49,298.18,300.03,310.31,326.96,331.99,326.65,335.17,327.38,311.39,322.30
2002-01-15 21:54:23.534000,L7,288.78,236.77,235.29,187.46,168.81,,312.95,301.55,308.10,253.95,239.93,337.60,329.72,199.28,232.62,272.48,256.12,321.62
2002-01-22 22:00:40.906000,L7,279.89,219.28,,,,,271.22,297.48,306.72,296.78,310.45,334.16,320.50,324.06,248.74,254.00,268.21,318.29
2002-01-31 21:54:26.647000,L7,469.36,425.16,483.41,409.12,,,,,420.30,473.50,,,,284.07,356.13,349.64,340.28,332.25
2002-03-27 22:00:37.575000,L7,325.77,340.11,359.00,346.64,329.92,277.55,323.14,297.93,342.91,342.67,334.56,352.91,353.51,349.41,360.91,355.46,349.17,357.23
2002-04-12 22:00:37.812000,L7,,,,,,,,,,,,,,,345.76,275.92,303.78,
2002-04-28 22:00:38.357000,L7,283.61,355.53,351.43,333.30,337.18,336.14,338.80,321.44,329.15,336.59,326.30,350.06,348.74,347.99,353.49,350.59,346.26,357.14
2002-05-07 21:54:27.907000,L7,,216.01,200.50,515.52,,,,,261.01,287.37,320.88,342.19,321.09,340.47,347.19,335.28,303.67,311.41
2002-05-23 21:54:18.991000,L7,268.86,352.92,351.26,368.39,354.92,348.51,355.45,342.02,355.27,349.50,348.53,374.32,373.92,368.92,375.40,374.07,381.04,461.44
