dates,satname,nzd0242-0000,nzd0242-0001,nzd0242-0002,nzd0242-0003,nzd0242-0004,nzd0242-0005,nzd0242-0006,nzd0242-0007,nzd0242-0008,nzd0242-0009,nzd0242-0010,nzd0242-0011,nzd0242-0012,nzd0242-0013,nzd0242-0014,nzd0242-0015,nzd0242-0016,nzd0242-0017,nzd0242-0018,nzd0242-0019,nzd0242-0020,nzd0242-0021,nzd0242-0022,nzd0242-0023,nzd0242-0024,nzd0242-0025,nzd0242-0026,nzd0242-0027,nzd0242-0028
1999-09-22 21:46:36.849000,L7,347.72,340.47,343.26,317.64,273.27,339.08,318.64,375.89,339.83,279.07,331.44,358.33,336.36,333.70,204.78,307.43,281.61,275.45,280.80,220.36,295.69,239.18,221.42,259.86,264.50,258.66,208.26,173.87,
1999-10-24 21:46:32.266000,L7,471.49,458.40,462.47,438.16,514.05,481.46,473.71,476.97,468.61,471.44,,,524.89,516.79,492.07,509.17,531.57,490.32,521.72,528.56,511.09,521.58,,,,,,,
2000-04-01 21:46:10.627000,L7,260.67,293.52,,,276.42,342.71,313.84,364.57,326.89,231.18,323.16,,322.78,323.98,319.58,300.82,287.22,273.15,274.14,,205.72,238.08,232.34,267.40,289.92,203.25,203.84,,233.15
2000-05-19 21:45:43.918000,L7,,,,212.65,276.87,302.75,321.85,354.31,324.82,,321.56,,332.26,343.73,316.99,314.91,275.18,289.87,329.22,355.70,307.67,335.63,307.63,321.60,303.83,340.19,334.12,337.41,245.14
2001-01-14 21:44:09.210000,L7,379.77,370.39,382.98,389.17,393.82,421.80,413.56,415.90,446.22,462.59,436.89,445.14,427.60,423.50,432.77,421.59,424.15,417.37,419.69,422.65,437.23,427.76,453.34,503.80,512.11,483.42,473.74,447.49,438.36
2001-04-04 21:43:43.008000,L7,283.34,293.65,327.93,221.50,272.66,345.65,324.10,374.19,333.43,280.64,336.44,357.10,334.53,338.39,323.58,299.18,294.72,297.71,279.79,296.16,353.24,278.44,227.16,324.02,303.10,267.60,251.59,185.00,239.70
2001-05-22 21:43:30.869000,L7,328.33,,,221.44,280.66,354.90,283.53,368.00,329.08,256.08,329.33,190.28,283.95,343.03,317.46,296.53,278.83,274.33,348.18,307.38,306.29,340.86,315.97,320.92,318.82,326.07,326.96,331.35,170.72
2001-07-25 21:42:54.824000,L7,314.58,323.55,,327.94,288.27,350.02,330.06,352.18,277.46,293.44,318.83,342.00,336.27,365.44,348.06,342.38,320.44,341.24,333.98,347.89,331.13,332.65,317.83,348.52,323.73,263.05,277.33,,246.55
2001-08-10 21:42:36.562000,L7,316.62,299.66,262.07,285.90,291.20,351.79,339.96,340.35,347.04,294.67,352.56,361.60,339.33,359.55,354.79,330.30,303.71,343.18,337.05,306.81,356.55,294.52,330.78,371.01,327.15,262.77,246.93,,238.06
2001-08-26 21:42:25.671000,L7,337.24,333.11,,,283.90,199.47,323.68,365.76,330.45,,,354.48,328.14,359.59,198.97,312.81,290.33,292.96,326.40,298.09,352.14,362.78,234.39,321.67,305.39,266.11,238.02,,237.00
2001-09-27 21:42:05.338000,L7,366.43,357.68,259.80,268.50,283.69,347.65,324.51,339.28,336.68,378.13,332.43,333.36,332.32,337.55,322.99,358.79,389.81,387.72,389.79,304.98,243.75,261.17,328.67,325.81,315.14,322.29,325.55,323.93,240.52
2001-10-13 21:41:51.963000,L7,340.45,300.85,187.71,,275.52,358.43,324.22,336.00,351.03,338.35,336.89,320.11,336.99,340.40,323.49,215.86,280.43,229.45,279.95,,,,228.21,261.48,300.04,161.43,265.69,188.25,235.07
2001-10-29 21:41:57.341000,L7,241.09,284.92,278.95,,,351.39,321.24,330.63,,,301.74,290.17,254.69,286.75,312.73,285.95,304.04,320.20,284.06,,280.15,278.77,330.10,323.11,291.57,324.59,212.95,,
2002-02-18 21:42:30.251000,L7,242.79,280.52,311.25,,,329.08,286.04,326.99,326.22,246.31,320.04,313.93,323.47,187.00,,,268.39,233.11,,,,,,241.57,286.13,261.65,207.14,,
2002-04-07 21:42:28.931000,L7,292.30,297.06,337.15,335.95,285.19,353.75,337.62,374.52,349.05,353.52,336.35,339.20,339.99,370.72,331.00,318.53,312.68,324.48,331.46,335.11,305.41,324.20,304.48,327.81,350.56,343.19,345.48,339.70,338.57
2002-08-29 21:41:39.340000,L7,321.48,296.08,317.12,,269.80,346.88,326.59,344.99,329.20,,,328.42,329.30,344.25,320.30,302.83,294.11,288.67,298.43,321.54,159.84,359.93,350.19,330.26,346.82,333.67,332.88,336.20,240.51
2002-09-14 21:41:31.043000,L7,342.44,308.12,335.03,214.48,286.03,343.59,362.20,368.71,332.23,335.35,333.90,214.22,332.98,363.21,329.00,303.13,291.98,348.12,356.04,354.11,348.75,309.64,235.81,323.19,379.10,378.65,372.79,367.77,380.16
2002-11-01 21:41:30.201000,L7,387.81,382.26,392.34,487.52,415.81,423.77,425.53,407.33,399.28,404.01,437.21,424.29,437.18,455.47,451.13,435.95,422.89,422.95,420.09,424.14,417.29,441.95,469.83,,484.45,525.77,421.61,422.03,428.44
