dates,satname,nzd0494-0000,nzd0494-0001,nzd0494-0002,nzd0494-0003,nzd0494-0004,nzd0494-0005,nzd0494-0006,nzd0494-0007,nzd0494-0008,nzd0494-0009,nzd0494-0010
2000-09-20 22:11:14.930000,L7,328.28,303.00,310.49,310.57,302.49,303.13,307.61,302.52,311.19,270.12,
2000-12-18 22:05:01.704000,L7,337.77,292.29,301.02,300.94,238.66,239.51,294.02,294.46,271.28,,
2001-01-03 22:05:00.181000,L7,302.28,293.04,299.66,296.61,242.96,222.55,293.20,292.71,266.99,,
2001-04-16 22:10:30.845000,L7,,292.22,370.32,347.24,335.21,254.86,334.12,284.60,353.87,343.51,
2002-01-29 22:09:33.112000,L7,342.66,359.23,367.07,372.77,331.59,,,,,,
2002-09-10 22:08:43.416000,L7,,344.34,349.54,342.14,341.10,340.97,342.97,343.28,347.33,347.36,347.32
2002-12-24 22:02:57.022000,L7,339.59,337.10,296.99,298.22,290.85,294.20,207.10,297.35,295.90,,
2003-09-30 21:52:18.101000,L5,313.13,291.99,198.62,,,,,,,,
2004-01-27 21:59:38.149000,L5,315.78,295.53,236.37,230.51,215.19,,,,,,
2004-08-15 21:57:37.379000,L5,178.68,182.27,177.02,,,,,,,,
2005-02-14 22:07:21.106000,L5,325.60,300.57,302.94,299.60,298.67,280.49,210.58,309.48,310.98,,
2005-03-11 22:01:31.683000,L5,350.75,335.58,341.81,331.89,341.52,319.26,324.74,215.47,335.09,311.69,
2005-04-12 22:01:42.862000,L5,340.66,333.21,335.21,335.01,329.39,312.22,315.59,325.68,335.13,302.05,
2005-06-22 22:08:22.866000,L5,153.98,166.82,,,,,,,,,
2005-08-09 22:08:46.932000,L5,230.50,223.51,166.94,,,,,,,,
2005-09-19 22:02:44.739000,L5,334.66,297.43,257.92,255.47,275.70,267.62,,,,,
2005-10-05 22:02:41.026000,L5,346.69,326.84,334.85,337.53,329.28,333.51,316.84,330.93,321.88,291.42,
2005-11-06 22:02:46.848000,L5,322.28,292.35,288.88,278.09,274.53,265.70,274.29,288.42,305.18,,
2006-02-17 22:11:22.491000,L5,319.14,301.81,311.32,306.63,301.79,290.60,300.37,309.15,310.46,,
2006-02-26 22:05:22.928000,L5,351.89,338.68,338.64,148.35,171.50,318.81,185.82,332.42,327.43,304.92,
2006-03-14 22:05:42.635000,L5,313.61,301.68,222.40,294.33,245.59,262.61,254.87,284.73,293.61,,
2006-07-27 22:13:58.731000,L5,168.45,199.13,201.51,,,,,,,,
2006-08-05 22:07:55.109000,L5,163.05,174.88,,,,,,,,,
2006-08-28 22:14:23.601000,L5,228.94,290.16,206.11,197.87,,,,,,,
2007-09-09 22:07:45.163000,L5,289.90,241.12,183.58,,,,,,,,
2007-09-16 22:13:28.554000,L5,302.41,284.32,282.33,282.30,268.81,230.10,262.63,290.68,300.30,,
2008-11-14 21:57:52.281000,L5,324.98,301.76,296.71,286.51,289.13,279.43,291.46,305.02,314.39,,
2009-01-17 21:59:44.398000,L5,354.09,348.92,347.75,348.03,351.23,348.54,340.23,340.94,347.08,336.95,330.72
2010-02-05 22:05:29.575000,L5,313.00,291.85,201.68,,,,,,,,
2010-10-26 22:10:38.745000,L5,310.83,285.37,278.39,285.60,270.96,275.22,290.37,304.61,301.13,,
2010-12-13 22:10:13.376000,L5,312.38,293.61,292.07,287.59,285.51,274.71,291.11,306.19,313.72,,
2010-12-22 22:04:29.137000,L5,355.78,349.96,349.84,344.61,338.40,191.77,319.38,330.65,343.09,330.41,285.13
2011-03-12 22:04:31.079000,L5,324.20,305.72,303.11,169.15,295.03,297.57,279.26,301.50,310.86,,
2013-05-11 22:22:18.973000,L8,314.64,295.33,301.87,302.05,293.34,295.84,294.44,296.70,306.67,296.48,
2013-05-11 22:22:42.945000,L8,313.12,291.68,293.11,296.23,290.19,292.04,291.22,294.61,303.78,293.68,
2013-07-07 22:16:35.929000,L8,318.06,297.76,315.68,307.75,305.30,305.12,331.69,309.53,317.40,315.42,337.59
2013-07-23 22:16:34.633000,L8,365.76,304.60,321.24,314.23,348.94,356.68,364.14,349.93,348.48,364.26,268.81
2013-08-31 22:22:26.282000,L8,320.45,296.76,314.73,305.93,330.28,306.88,312.35,303.47,311.84,311.29,312.25
2013-08-31 22:22:50.245000,L8,321.56,299.98,321.61,310.62,340.27,313.31,196.03,344.46,337.02,316.00,347.80
2013-09-25 22:16:28.938000,L8,310.93,249.99,185.25,,,,,,,,
2013-10-11 22:16:29.291000,L8,322.12,326.31,323.22,321.53,316.77,318.24,305.05,323.48,313.37,305.82,306.65
