dates,satname,nzd0506-0000,nzd0506-0001,nzd0506-0002,nzd0506-0003,nzd0506-0004,nzd0506-0005,nzd0506-0006,nzd0506-0007,nzd0506-0008,nzd0506-0009,nzd0506-0010,nzd0506-0011,nzd0506-0012,nzd0506-0013,nzd0506-0014,nzd0506-0015,nzd0506-0016,nzd0506-0017,nzd0506-0019,nzd0506-0020,nzd0506-0021,nzd0506-0022,nzd0506-0023,nzd0506-0024,nzd0506-0025,nzd0506-0026,nzd0506-0027,nzd0506-0028,nzd0506-0029,nzd0506-0030,nzd0506-0031,nzd0506-0032,nzd0506-0033,nzd0506-0034,nzd0506-0035,nzd0506-0036,nzd0506-0037,nzd0506-0038,nzd0506-0039,nzd0506-0040,nzd0506-0041,nzd0506-0042,nzd0506-0043,nzd0506-0044,nzd0506-0045,nzd0506-0018,nzd0506-0046
1999-12-16 22:07:33.708000,L7,303.93,193.12,230.76,226.80,287.99,295.63,293.67,295.12,296.87,208.66,234.19,238.89,220.99,222.18,223.98,228.62,301.47,306.46,212.04,231.52,225.99,155.93,237.53,226.27,270.63,260.00,268.93,272.65,278.77,277.06,290.12,286.21,274.76,265.76,280.50,270.26,271.02,281.73,279.11,280.25,271.51,272.14,259.62,245.15,188.92,,
2000-12-18 22:05:01.704000,L7,,,,,,,,,205.68,205.07,186.56,233.63,239.19,242.21,233.82,239.80,252.64,254.72,248.31,255.03,259.33,266.97,270.41,273.66,270.93,264.85,237.42,184.48,283.29,286.24,284.48,273.51,243.03,252.82,277.27,274.45,217.73,281.36,272.15,278.08,273.06,271.19,275.76,264.43,250.24,251.55,
2001-01-03 22:05:00.181000,L7,,,,,,,,,,,,,,139.34,157.82,167.97,152.10,154.44,138.90,230.93,210.87,,,,238.32,219.09,268.76,226.73,276.87,285.92,281.72,279.04,284.30,270.71,279.40,273.22,265.22,282.55,271.30,274.65,269.71,267.17,258.15,240.63,,230.00,
2001-11-03 22:02:58.699000,L7,496.47,466.03,339.07,259.90,357.38,293.34,327.79,248.81,283.72,453.86,494.57,284.08,257.80,258.36,257.04,260.56,262.91,260.31,435.33,420.09,299.28,314.78,315.89,321.07,314.23,309.88,313.76,312.79,313.82,321.84,333.18,342.55,335.93,334.24,334.78,334.43,332.56,404.05,511.67,513.38,500.00,489.96,294.51,222.54,,261.29,
2002-11-22 22:02:45.529000,L7,,,,,,,,,,,,,,,,,,,,,,,,153.45,168.35,163.93,155.82,238.56,198.13,230.21,230.75,252.30,226.63,234.26,194.39,276.04,164.87,259.79,253.02,256.83,217.90,254.36,161.78,,,,
2002-12-08 22:02:51.522000,L7,294.78,286.23,299.54,290.98,284.69,450.30,485.35,445.25,395.91,492.66,461.23,493.15,477.25,469.63,,455.92,474.94,466.19,475.33,487.52,487.32,486.51,417.35,396.13,395.47,497.49,502.67,505.41,441.85,508.21,503.78,514.32,513.00,442.91,507.98,,451.82,431.95,510.45,443.42,452.14,446.89,494.34,473.19,386.42,469.81,428.27
2002-12-24 22:02:57.022000,L7,215.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.98,217.62,247.94,232.15,142.95,,,,,,
2003-09-30 21:52:18.101000,L5,329.54,319.24,321.15,317.28,313.94,312.74,311.42,313.54,318.63,322.03,320.76,320.77,319.79,319.40,327.05,323.86,326.20,328.10,329.20,330.03,343.91,342.74,356.99,347.03,341.84,341.08,350.76,351.22,349.41,340.33,346.74,352.59,356.91,352.34,352.89,352.38,355.04,349.22,345.48,339.37,341.32,336.12,329.86,326.22,326.06,326.95,352.20
2003-11-17 21:52:57.120000,L5,361.49,336.30,326.81,312.06,305.57,304.78,308.58,307.60,315.01,334.80,348.42,346.00,344.76,355.85,359.75,360.82,341.71,337.60,340.39,338.84,355.35,351.33,367.90,383.22,391.91,383.98,377.31,374.83,374.65,369.76,365.10,363.99,363.73,361.48,348.93,350.87,359.79,373.50,371.79,369.42,363.76,358.90,353.20,354.80,353.17,335.58,367.03
2004-01-20 21:53:24.777000,L5,295.85,298.36,324.67,320.98,348.42,309.91,311.45,311.51,300.65,301.16,300.78,302.10,441.78,361.27,311.46,324.16,320.62,322.48,321.42,325.25,331.30,328.27,328.82,410.78,423.15,419.86,389.67,329.26,349.10,351.99,368.59,354.84,354.23,352.39,350.79,339.98,336.95,334.89,335.96,333.40,335.59,331.47,323.72,330.80,330.60,322.78,349.83
