dates,satname,nzd0312-0000,nzd0312-0001,nzd0312-0002,nzd0312-0003,nzd0312-0004,nzd0312-0005,nzd0312-0006,nzd0312-0007,nzd0312-0008,nzd0312-0009,nzd0312-0010,nzd0312-0011,nzd0312-0012,nzd0312-0013,nzd0312-0014,nzd0312-0015,nzd0312-0016,nzd0312-0017,nzd0312-0018,nzd0312-0019,nzd0312-0020,nzd0312-0021,nzd0312-0022,nzd0312-0023,nzd0312-0024,nzd0312-0025,nzd0312-0026,nzd0312-0027,nzd0312-0028,nzd0312-0029,nzd0312-0030,nzd0312-0031,nzd0312-0032,nzd0312-0033,nzd0312-0034,nzd0312-0035,nzd0312-0036,nzd0312-0037,nzd0312-0038,nzd0312-0039,nzd0312-0040,nzd0312-0041,nzd0312-0042,nzd0312-0043,nzd0312-0044,nzd0312-0045,nzd0312-0046,nzd0312-0047,nzd0312-0048,nzd0312-0049,nzd0312-0050,nzd0312-0051,nzd0312-0052,nzd0312-0053,nzd0312-0054,nzd0312-0055,nzd0312-0056,nzd0312-0057,nzd0312-0058,nzd0312-0059,nzd0312-0060,nzd0312-0061,nzd0312-0062,nzd0312-0063,nzd0312-0064,nzd0312-0065,nzd0312-0066,nzd0312-0067,nzd0312-0068,nzd0312-0072,nzd0312-0073,nzd0312-0074,nzd0312-0088,nzd0312-0089,nzd0312-0090,nzd0312-0091,nzd0312-0092,nzd0312-0093,nzd0312-0094,nzd0312-0095,nzd0312-0096,nzd0312-0097,nzd0312-0098,nzd0312-0099,nzd0312-0100,nzd0312-0101,nzd0312-0102,nzd0312-0103,nzd0312-0104,nzd0312-0105,nzd0312-0106,nzd0312-0107,nzd0312-0108,nzd0312-0109,nzd0312-0110,nzd0312-0111,nzd0312-0112,nzd0312-0124,nzd0312-0125,nzd0312-0126,nzd0312-0127,nzd0312-0128,nzd0312-0129,nzd0312-0130,nzd0312-0131,nzd0312-0132,nzd0312-0069,nzd0312-0070,nzd0312-0071,nzd0312-0075,nzd0312-0076,nzd0312-0077,nzd0312-0078,nzd0312-0079,nzd0312-0080,nzd0312-0081,nzd0312-0082,nzd0312-0083,nzd0312-0084,nzd0312-0085,nzd0312-0086,nzd0312-0087,nzd0312-0113,nzd0312-0114,nzd0312-0115,nzd0312-0116,nzd0312-0117,nzd0312-0118,nzd0312-0119,nzd0312-0120,nzd0312-0121,nzd0312-0122,nzd0312-0123,nzd0312-0133,nzd0312-0134,nzd0312-0135,nzd0312-0136
1999-08-21 21:47:20.968000,L7,477.19,504.90,508.56,490.99,430.93,521.15,424.49,467.03,423.78,446.44,447.25,479.73,454.20,409.26,445.70,467.10,436.11,449.56,432.71,534.55,506.08,512.99,528.21,380.42,471.88,531.01,514.88,390.73,426.32,439.13,461.24,505.04,440.81,156.28,165.06,174.87,173.26,169.26,165.25,169.62,160.35,513.73,502.51,498.69,473.83,457.40,519.00,476.42,505.73,481.22,519.62,485.81,248.41,253.85,260.66,247.22,242.12,245.52,246.90,255.73,254.28,267.68,263.78,278.14,268.88,281.68,283.67,288.49,286.50,522.95,532.24,493.98,536.33,503.31,498.84,505.41,505.03,502.96,504.96,492.99,452.96,510.68,528.79,506.30,482.20,496.79,489.80,390.51,502.76,496.78,485.51,412.76,423.54,402.42,488.04,441.45,502.06,460.42,426.02,399.35,403.13,426.77,417.40,417.47,425.88,517.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-22 21:47:24.746000,L7,514.71,513.00,513.77,527.41,515.72,524.00,512.68,499.09,395.95,409.45,439.49,438.55,395.61,370.68,464.29,491.36,457.35,457.75,494.22,435.87,450.83,455.04,454.36,440.77,418.49,242.86,250.08,230.89,426.23,408.60,470.37,449.07,416.27,431.41,435.41,498.86,448.98,502.37,473.78,465.44,494.95,502.96,419.02,420.39,412.68,404.90,346.78,389.44,393.42,393.15,379.10,370.85,364.97,370.80,383.31,506.20,448.05,439.71,440.90,442.51,436.86,322.01,323.45,344.46,348.02,348.27,346.29,356.55,363.48,370.26,367.84,350.56,503.64,519.38,498.52,491.55,504.98,420.29,433.36,498.99,504.57,507.80,512.94,502.55,507.24,505.97,492.43,523.86,522.81,498.70,474.68,441.55,450.66,429.05,415.63,482.29,476.03,492.96,493.38,512.33,464.61,490.13,494.51,492.87,510.99,507.47,356.76,358.50,362.75,342.56,348.93,351.71,356.54,352.97,358.96,357.60,501.25,521.56,511.86,403.22,502.97,491.53,498.67,515.09,487.56,370.73,475.96,507.67,476.50,512.51,459.48,519.37,489.62,440.77,411.75,404.44,398.58
1999-09-29 21:53:40.155000,L7,241.62,239.01,204.22,182.62,426.91,420.72,426.53,200.97,188.95,155.19,267.21,377.47,417.03,426.82,444.50,399.78,361.15,287.04,289.98,280.11,274.27,265.72,241.08,196.35,153.19,,,,,495.04,499.81,499.42,414.35,432.69,428.02,432.29,446.67,476.69,520.31,510.23,508.09,515.26,422.72,526.27,492.87,473.69,474.47,485.12,501.10,498.50,485.11,485.96,505.74,514.57,500.01,494.17,465.96,444.05,476.26,468.44,442.98,437.58,486.25,473.32,465.33,482.39,143.92,163.87,186.97,258.58,257.26,263.17,264.18,263.27,262.99,282.33,289.44,308.81,330.29,371.00,370.02,365.06,373.79,400.01,371.78,359.77,357.76,359.10,365.42,353.09,349.97,320.70,275.05,275.65,277.37,281.83,283.17,436.34,456.84,440.62,494.99,405.88,342.00,358.10,393.39,387.06,193.61,217.33,238.29,253.18,262.52,267.45,274.47,256.33,267.04,263.81,279.54,294.88,298.39,285.32,291.19,281.29,298.78,304.01,306.27,338.95,214.01,173.49,449.56,,,,407.33,488.27,473.47,478.71,470.17
1999-10-24 21:47:20.173000,L7,356.00,346.93,350.19,350.24,339.76,334.17,313.96,323.37,326.72,334.37,339.27,334.41,349.15,415.11,370.01,355.49,467.86,488.61,479.38,514.32,486.60,494.20,495.34,519.88,361.25,239.08,239.89,219.79,202.29,165.65,370.25,366.57,371.72,243.03,244.62,213.85,393.74,210.32,218.59,222.99,212.44,199.19,170.01,162.64,417.59,410.79,443.50,424.20,461.02,501.82,513.25,391.52,216.15,215.54,222.52,216.36,201.17,387.38,379.48,384.00,396.62,383.01,380.18,394.17,392.38,395.90,401.17,416.00,416.57,405.26,402.19,404.76,484.76,401.04,438.54,436.45,446.27,490.32,491.04,494.66,500.81,488.72,503.92,478.48,486.07,495.82,499.79,509.38,499.71,460.47,459.18,442.92,358.05,424.06,421.82,389.38,431.03,425.80,493.84,511.58,,,463.37,508.78,422.41,449.90,424.13,417.35,412.18,409.56,406.45,406.67,404.18,408.15,407.96,483.83,501.73,487.81,476.94,479.83,475.64,486.37,422.55,473.42,476.95,489.97,395.99,521.71,496.36,484.36,393.62,483.46,467.56,452.84,441.48,426.24,401.92
1999-11-16 21:53:32.114000,L7,390.64,383.96,380.15,376.62,378.71,345.42,337.65,342.95,353.12,364.51,360.58,389.70,404.83,394.81,452.38,383.40,388.49,399.38,400.94,395.64,385.56,401.87,398.10,385.88,379.09,374.73,394.71,417.05,396.93,404.89,387.39,385.68,407.19,396.91,395.51,408.26,416.08,425.21,435.47,439.50,458.40,439.95,437.10,432.28,429.64,430.27,405.25,403.94,401.39,407.24,408.80,420.97,411.11,394.75,464.96,471.78,419.11,406.55,414.30,466.97,469.56,454.67,419.56,474.19,463.85,,,,500.11,504.17,,,418.76,429.09,414.90,415.01,435.34,412.69,431.11,463.13,446.27,455.92,442.08,441.89,432.16,441.21,447.27,507.02,,,,,,,,,,,,,,,,,,,472.77,457.52,473.35,,485.77,519.49,471.15,534.36,531.09,448.54,430.85,449.29,457.98,439.29,429.70,425.21,,,,,,,,,,,,,,,
2000-01-12 21:47:18.340000,L7,,,495.77,399.65,385.00,368.35,355.89,303.88,,297.22,311.39,338.09,478.36,260.91,274.56,341.10,372.64,441.01,513.97,186.20,,,,,,260.49,210.01,,,,,332.71,253.80,213.04,,,,,434.64,516.70,512.80,490.40,459.97,195.32,,,,,,,,,,,,,,530.94,447.05,422.31,469.70,486.36,454.93,,498.51,510.09,489.88,181.80,183.61,276.13,258.25,280.56,225.11,251.03,250.02,282.06,281.26,299.30,364.54,363.01,377.88,354.28,349.23,370.41,380.56,368.62,368.03,382.59,347.98,364.41,368.62,377.27,356.48,220.42,260.62,249.04,266.77,,,,402.29,404.08,408.89,344.43,361.57,374.83,223.78,236.06,269.15,281.73,275.94,279.00,285.32,237.80,243.87,254.68,256.53,282.05,283.88,303.58,268.14,244.93,280.20,277.06,277.43,473.13,398.41,391.72,405.77,401.07,,,,424.37,399.75,343.00,374.48
2000-01-19 21:53:25.812000,L7,496.00,501.86,491.84,488.81,493.75,473.87,478.69,477.44,474.12,529.59,493.14,478.38,481.82,472.34,494.60,436.47,417.69,526.15,510.16,507.75,474.29,412.62,476.61,469.04,463.71,469.03,473.99,294.32,296.73,475.93,518.45,430.06,497.64,323.82,335.17,337.83,347.08,354.00,355.61,239.39,362.09,373.99,365.61,345.18,339.99,312.86,330.65,334.49,326.50,336.23,336.96,338.54,327.07,329.91,341.13,333.96,333.21,335.96,327.95,213.92,330.02,198.48,330.53,334.19,340.62,341.54,350.44,354.03,351.11,357.07,357.38,350.16,369.93,361.29,367.87,361.50,371.16,380.77,408.64,431.11,502.43,427.11,442.36,500.13,488.00,462.05,471.21,477.24,385.02,404.24,388.57,367.85,334.16,340.54,334.55,334.67,345.07,377.88,378.83,389.10,417.01,434.83,425.65,413.93,418.92,430.75,264.79,347.09,351.34,345.14,344.99,340.04,342.79,291.30,351.73,348.72,343.93,348.16,341.06,391.43,387.87,377.77,386.18,363.00,361.18,363.64,380.36,410.58,428.98,418.83,388.66,375.22,377.66,423.28,416.04,402.65,382.84
2000-05-03 21:46:43.127000,L7,366.01,346.33,347.63,348.76,338.95,335.86,322.12,521.96,490.56,479.21,492.83,501.29,498.47,493.69,258.99,211.85,165.98,155.12,156.51,520.32,524.89,513.97,521.97,512.22,515.47,521.18,508.62,487.46,483.76,483.31,484.00,484.03,450.71,461.32,448.33,472.10,250.72,514.97,517.57,512.36,528.96,524.20,511.25,325.01,300.01,229.01,273.41,276.29,253.89,209.49,447.61,471.67,506.57,529.31,444.97,500.81,488.60,489.94,511.69,397.94,398.13,397.86,443.93,409.57,424.77,463.84,484.02,520.17,511.95,413.30,413.55,413.29,486.40,491.22,493.02,380.51,484.77,467.34,466.75,472.36,499.70,515.18,450.01,471.32,449.96,458.11,465.37,472.65,409.01,471.09,475.23,485.70,474.70,474.69,508.29,496.07,510.63,525.11,499.38,393.63,412.79,426.24,420.13,419.51,426.25,440.58,510.26,414.93,412.27,474.30,479.43,,495.25,469.46,420.23,479.01,490.66,478.85,488.27,500.07,507.60,408.17,463.30,452.79,483.12,466.51,529.19,525.23,520.67,491.52,391.24,499.09,490.77,438.47,418.39,407.07,395.78
2000-05-19 21:46:31.829000,L7,510.57,521.43,204.96,176.49,165.75,223.79,151.70,171.14,175.58,165.83,440.07,208.27,285.54,302.08,256.06,207.35,152.69,460.89,469.36,474.00,461.53,454.55,452.37,464.89,482.09,451.19,467.91,454.64,451.50,444.55,430.65,438.84,431.46,431.99,443.17,446.24,455.87,453.18,466.67,475.25,484.38,476.13,477.00,466.60,454.99,455.18,440.98,271.43,255.38,218.64,457.80,465.63,186.48,241.95,269.05,258.83,255.67,268.54,234.74,260.87,257.64,249.45,232.64,210.38,479.36,459.37,253.75,256.31,253.47,520.46,502.32,527.15,384.27,388.79,388.18,442.69,499.65,485.92,472.81,482.57,445.39,499.61,513.81,506.82,495.61,489.83,486.70,501.51,505.67,502.67,390.19,459.12,459.27,463.60,458.94,520.32,441.16,374.07,377.07,389.64,414.05,416.55,513.85,492.78,498.65,525.38,481.29,515.09,510.31,471.47,486.38,496.26,477.98,519.84,518.45,530.37,481.78,394.36,364.18,339.35,390.39,399.32,481.36,473.10,,480.76,512.91,510.35,515.66,446.34,482.69,369.68,362.11,424.42,399.57,386.31,375.29
2000-05-26 21:52:36.566000,L7,,,431.77,504.17,480.63,464.57,471.88,467.02,472.98,452.85,458.76,192.51,275.37,294.84,250.18,196.00,144.70,461.96,498.90,515.40,476.96,476.53,242.42,481.19,494.67,481.57,471.60,477.01,454.85,,453.76,447.88,150.47,160.98,175.08,181.00,173.70,165.41,154.13,488.74,508.66,257.41,273.91,500.11,471.52,519.82,516.83,466.11,468.64,441.56,422.23,432.72,436.80,303.12,418.84,417.33,422.20,422.48,414.52,410.33,455.44,386.71,393.22,356.75,358.40,401.14,428.21,397.77,378.96,319.19,276.23,347.87,420.30,411.79,453.93,445.72,454.89,392.73,433.09,460.98,481.46,424.52,421.89,435.48,437.70,439.99,448.97,462.14,494.17,446.47,368.49,327.68,448.42,453.47,478.30,496.35,319.05,457.44,468.77,405.14,458.24,471.80,511.08,180.73,368.81,380.58,358.51,381.49,377.36,375.89,380.62,471.57,284.20,487.88,492.87,495.37,489.61,318.91,495.03,419.71,368.42,494.70,370.57,390.24,389.89,438.77,462.52,484.83,507.51,193.37,273.10,,,381.00,362.48,360.84,343.12
