dates,satname,nzd0481-0000,nzd0481-0001,nzd0481-0002,nzd0481-0003,nzd0481-0004,nzd0481-0005,nzd0481-0006,nzd0481-0008,nzd0481-0007
1999-08-26 22:07:08.722000,L7,297.83,306.72,272.21,306.25,255.26,280.15,193.52,289.81,
1999-08-26 22:07:32.686000,L7,,497.63,454.78,389.55,388.82,506.39,403.85,,486.49
1999-10-13 22:07:12.582000,L7,291.78,234.83,213.63,,,,284.42,,273.77
1999-11-30 22:06:59.059000,L7,294.69,305.29,304.03,294.80,288.54,306.39,313.06,175.65,240.47
1999-12-16 22:07:09.748000,L7,299.22,311.35,314.27,303.32,314.72,310.63,315.25,328.84,309.48
1999-12-16 22:07:33.708000,L7,,,278.63,261.78,145.29,293.44,307.34,288.04,
2000-03-21 22:06:49.022000,L7,390.83,481.24,349.08,464.30,440.52,459.92,492.96,,441.29
2000-05-08 22:06:20.956000,L7,294.13,273.80,313.21,301.81,313.61,315.25,315.06,295.72,311.25
2000-05-08 22:06:44.900000,L7,283.79,219.95,273.13,269.46,281.89,215.84,189.81,,199.48
2000-05-24 22:06:10.472000,L7,292.93,269.81,296.72,288.40,303.36,254.38,287.37,319.37,320.21
2000-06-25 22:05:55.844000,L7,288.91,265.11,324.75,297.93,321.72,328.29,333.52,366.66,336.03
2000-06-25 22:06:19.852000,L7,290.68,268.89,329.28,306.41,327.81,333.58,339.01,369.21,340.40
2000-07-27 22:05:24.302000,L7,297.52,296.98,333.46,321.88,327.71,334.09,340.79,372.01,350.46
2000-07-27 22:05:48.258000,L7,296.76,299.82,332.19,323.15,328.07,335.31,345.99,375.15,351.70
2000-08-03 22:11:31.842000,L7,336.70,364.59,378.67,382.73,383.21,385.24,387.38,399.97,390.62
2000-08-12 22:05:17.927000,L7,301.60,327.49,333.89,330.51,330.52,340.83,338.66,370.57,328.24
2000-08-12 22:05:41.803000,L7,301.21,327.73,336.18,330.37,331.14,343.72,343.74,371.75,329.10
2000-09-20 22:10:50.972000,L7,288.31,275.01,180.12,,,275.62,286.68,286.78,282.83
2000-12-18 22:04:37.758000,L7,321.91,321.41,329.58,328.33,327.89,330.59,338.17,349.97,321.38
2000-12-18 22:05:01.704000,L7,319.91,320.68,329.09,326.79,325.81,329.75,337.66,347.45,319.89
2001-01-03 22:04:36.218000,L7,298.37,298.09,301.93,297.29,299.29,292.38,306.36,323.43,305.73
2001-01-03 22:05:00.181000,L7,294.58,289.99,289.69,289.57,268.73,277.56,299.69,309.21,299.07
2001-02-20 22:04:36.568000,L7,283.10,281.06,268.21,281.51,246.54,267.08,284.20,193.40,261.44
2001-02-20 22:05:00.525000,L7,220.68,192.92,184.40,192.55,246.59,267.15,231.76,189.45,261.94
2001-04-09 22:04:17.927000,L7,305.54,324.31,365.47,327.33,366.54,377.95,322.40,387.35,368.38
2001-04-09 22:04:41.882000,L7,305.99,325.91,371.29,327.13,368.08,380.30,323.35,386.60,368.71
2001-07-14 22:03:33.580000,L7,292.20,270.34,280.55,318.02,304.47,302.61,317.50,303.50,232.77
2001-07-14 22:03:57.537000,L7,192.32,207.40,269.56,244.75,,,296.13,298.44,294.61
2001-08-15 22:03:02.378000,L7,297.68,280.43,220.35,234.49,236.09,248.23,307.37,,305.26
2001-08-15 22:03:26.328000,L7,306.66,317.33,310.98,311.86,328.68,327.88,324.98,341.65,314.86
2002-03-11 22:03:07.402000,L7,,269.14,307.08,286.53,255.49,292.72,296.99,295.74,299.06
2002-06-15 22:03:07.576000,L7,289.99,259.53,278.13,179.56,255.71,217.21,287.23,,274.41
2002-12-08 22:02:51.522000,L7,292.50,285.65,184.67,295.63,269.67,292.46,297.53,195.68,291.07
2002-12-24 22:02:57.022000,L7,288.34,268.90,272.52,278.93,261.28,229.89,240.07,287.08,289.22
2003-08-13 21:51:08.818000,L5,328.71,332.21,332.17,327.46,336.45,337.02,338.49,348.23,339.71
2003-08-29 21:51:26.098000,L5,330.29,333.89,339.31,329.94,349.03,351.45,337.90,346.99,338.93
2003-08-29 21:51:49.928000,L5,329.65,332.39,338.02,329.89,344.46,351.45,337.90,345.56,338.93
2003-09-14 21:51:42.461000,L5,358.14,356.85,365.19,356.22,356.32,361.19,361.80,366.34,357.74
2003-10-16 21:52:08.058000,L5,363.27,363.72,363.15,358.08,357.68,351.13,355.48,393.32,349.79
2003-11-17 21:52:33.290000,L5,367.09,367.76,372.64,363.19,370.84,374.16,372.92,356.17,371.03
2003-11-17 21:52:57.120000,L5,362.39,362.25,365.84,358.49,363.95,366.93,367.78,349.31,361.26
2003-12-10 21:58:53.775000,L5,,,348.98,338.50,336.96,347.24,344.97,396.50,341.25
2004-01-20 21:53:24.777000,L5,298.20,321.34,333.73,317.21,321.73,316.35,321.53,328.91,334.42
2004-05-27 21:55:06.972000,L5,280.41,265.86,287.70,277.00,302.74,240.52,182.93,312.78,305.81
2004-06-12 21:55:35.599000,L5,293.11,275.11,274.60,269.22,298.46,234.04,178.17,313.82,308.67
2004-06-12 21:55:59.429000,L5,306.69,288.15,321.61,306.98,322.47,321.30,308.55,341.00,327.28
2004-06-28 21:56:04.477000,L5,350.96,360.30,374.58,363.60,360.10,377.94,371.00,379.60,378.42
2004-06-28 21:56:28.308000,L5,350.69,359.30,370.58,363.60,360.10,380.03,369.32,380.48,377.37
2004-07-30 21:56:51.838000,L5,338.51,353.81,358.62,356.91,354.89,371.96,361.92,380.20,356.16
2004-07-30 21:57:15.668000,L5,322.48,313.80,327.15,323.01,333.70,337.57,332.40,348.13,328.44
2004-08-15 21:57:13.549000,L5,327.10,297.64,316.90,317.80,321.59,322.97,317.71,335.94,324.47
2004-08-15 21:57:37.379000,L5,326.39,298.90,318.02,319.36,323.28,325.14,321.32,338.16,325.82
2004-10-18 21:58:47.729000,L5,358.69,349.24,352.72,344.43,342.15,347.12,346.63,362.17,346.00
2004-10-18 21:59:11.702000,L5,363.54,359.00,359.54,351.63,347.43,357.93,353.90,372.26,352.21
2005-01-13 22:06:28.954000,L5,316.75,320.52,329.29,313.84,312.87,316.59,321.09,,
2005-02-07 22:01:03.020000,L5,348.71,352.78,377.17,385.30,388.55,372.75,336.74,318.30,337.46
2005-03-11 22:01:07.710000,L5,325.37,150.53,261.52,275.81,264.39,226.35,189.19,311.90,322.30
2005-04-12 22:01:18.889000,L5,364.56,366.27,377.13,367.45,362.83,382.08,366.32,385.70,384.63
2005-04-12 22:01:42.862000,L5,387.72,384.90,389.22,384.32,377.86,407.20,379.57,403.13,401.10
2005-04-19 22:07:31.266000,L5,369.15,376.91,380.23,373.65,367.59,384.44,383.89,381.68,377.67
2005-05-05 22:07:37.767000,L5,342.97,352.87,356.85,346.37,352.23,347.98,341.81,345.59,338.34
2005-07-08 22:08:03.465000,L5,326.88,327.65,335.42,325.76,329.74,,,,
2005-09-19 22:02:44.739000,L5,353.72,349.56,355.40,353.09,357.23,347.62,348.62,332.95,336.55
2005-10-05 22:02:17.195000,L5,352.85,355.70,364.27,357.90,356.48,362.94,363.31,355.43,356.16
2005-10-05 22:02:41.026000,L5,352.90,355.99,364.28,358.08,356.48,363.08,363.27,354.39,356.53
2005-11-06 22:02:22.875000,L5,373.90,374.50,384.36,372.27,372.95,401.72,376.43,406.38,380.37
2005-11-06 22:02:46.848000,L5,373.53,370.72,381.93,369.13,369.85,399.59,374.00,405.59,378.48
2006-02-01 22:10:37.799000,L5,,382.74,380.50,372.67,376.19,416.08,386.10,,386.72
2006-02-26 22:05:22.928000,L5,335.98,343.45,350.89,339.15,337.61,331.28,330.88,324.92,332.74
2006-05-17 22:06:21.807000,L5,,,,,284.92,223.76,289.40,303.97,304.98
2006-08-21 22:08:07.440000,L5,371.34,362.50,367.41,361.28,368.39,382.23,374.87,454.45,504.29
2006-10-08 22:08:17.083000,L5,291.85,265.86,265.51,262.76,263.44,230.85,240.93,,
2006-10-08 22:08:40.914000,L5,290.23,260.42,201.88,,,,,,
2006-10-24 22:08:26.357000,L5,355.77,354.44,361.70,351.07,350.73,354.72,355.22,350.74,347.80
2006-12-11 22:08:52.184000,L5,343.82,344.64,348.71,323.42,322.16,325.63,333.14,327.07,328.28
2006-12-11 22:09:16.015000,L5,341.23,341.82,346.71,321.49,322.39,325.66,332.67,331.49,330.25
2007-02-13 22:09:11.063000,L5,350.59,357.68,366.52,351.54,348.21,355.41,361.40,363.23,364.80
2007-09-09 22:07:21.190000,L5,353.27,357.03,361.97,356.32,352.25,352.85,352.70,362.08,350.82
2007-09-09 22:07:45.163000,L5,354.55,357.53,362.39,357.85,352.81,352.78,352.79,363.07,353.35
2007-09-16 22:13:28.554000,L5,347.82,348.99,354.74,343.42,340.04,345.23,345.74,370.21,361.04
2008-02-16 22:04:45.714000,L5,365.75,368.89,382.50,368.68,372.67,386.55,381.60,372.06,370.99
2008-11-14 21:57:28.308000,L5,352.35,348.55,356.58,344.21,343.28,359.21,354.92,363.90,354.36
2008-11-14 21:57:52.281000,L5,321.76,314.85,321.03,311.88,314.92,313.97,325.04,318.75,322.72
2009-01-01 21:58:55.309000,L5,357.47,359.94,363.90,356.05,360.38,355.71,354.08,369.98,353.66
2009-01-17 21:59:20.568000,L5,374.03,378.35,384.35,386.21,384.15,394.79,404.65,377.27,397.48
2009-01-17 21:59:44.398000,L5,368.33,368.58,376.93,374.40,372.40,377.08,387.65,368.27,387.58
2010-02-05 22:05:29.575000,L5,373.47,380.08,386.71,379.22,379.67,401.74,384.11,401.03,396.77
2010-12-13 22:10:13.376000,L5,295.17,308.18,,,300.90,307.80,315.49,324.23,324.34
2010-12-22 22:04:05.307000,L5,339.34,340.13,349.18,341.59,344.27,344.61,345.09,337.70,335.10
2010-12-22 22:04:29.137000,L5,329.61,329.02,337.93,331.89,331.58,336.14,334.47,326.50,324.11
2011-01-07 22:04:08.243000,L5,242.88,291.76,276.63,274.77,238.46,309.37,313.75,321.19,318.55
2011-01-30 22:10:20.732000,L5,,176.06,306.94,302.50,288.93,304.35,312.84,321.56,315.71
2011-02-08 22:04:11.186000,L5,383.35,384.47,382.46,374.67,371.33,390.11,383.32,390.93,380.43
2011-02-08 22:04:35.159000,L5,384.56,384.19,382.33,374.28,370.99,389.34,384.48,396.59,381.98
2011-02-15 22:10:22.480000,L5,366.75,371.64,372.59,356.26,343.84,351.76,354.25,365.24,358.36
2011-03-12 22:04:07.249000,L5,362.72,367.21,370.81,360.66,361.67,361.73,373.21,379.56,363.56
2011-03-12 22:04:31.079000,L5,359.66,364.54,367.74,359.57,361.28,360.58,371.29,378.77,362.79
2011-03-28 22:04:02.070000,L5,365.40,372.93,385.93,385.87,378.43,383.26,386.59,384.46,377.60
2013-05-11 22:22:18.973000,L8,334.31,339.94,346.71,339.11,343.88,349.19,348.72,377.93,345.23
2013-06-05 22:16:15.001000,L8,302.25,270.17,202.62,163.64,,,,323.13,
2013-06-05 22:16:38.960000,L8,302.31,270.16,202.78,163.35,,,,252.20,
2013-06-28 22:22:20.943000,L8,156.09,176.66,321.83,305.44,316.33,315.51,319.22,346.74,323.29
2013-07-07 22:16:11.966000,L8,304.48,318.80,329.24,312.94,325.96,329.99,330.83,376.67,331.69
2013-07-07 22:16:35.929000,L8,305.54,321.18,331.63,315.24,327.69,331.97,332.93,378.33,333.22
2013-07-23 22:16:10.674000,L8,301.27,277.79,318.42,299.47,313.85,312.63,313.41,348.24,317.09
2013-07-23 22:16:34.633000,L8,324.32,325.06,335.33,321.81,327.81,331.80,331.07,377.12,333.77
2013-08-31 22:22:26.282000,L8,336.92,337.49,357.09,338.63,343.15,344.45,348.72,374.53,349.12
2013-09-25 22:16:04.975000,L8,320.67,331.34,334.27,331.22,335.45,341.52,349.83,353.63,340.91
2013-09-25 22:16:28.938000,L8,320.20,331.54,334.20,331.22,335.52,342.69,349.81,353.54,340.80
2013-10-11 22:16:05.328000,L8,300.49,315.84,320.69,310.51,240.41,192.72,164.96,143.56,168.66
2013-10-11 22:16:29.291000,L8,266.15,317.20,321.79,312.03,241.16,193.89,165.36,143.81,168.78
2013-10-18 22:22:13.444000,L8,,,,,,,,302.09,
2013-10-27 22:15:55.590000,L8,306.53,321.77,326.88,316.76,324.90,327.30,328.18,372.92,326.84
2013-10-27 22:16:19.549000,L8,306.61,321.57,327.16,317.02,325.05,327.49,328.31,372.01,326.96
2013-11-19 22:22:01.448000,L8,315.28,325.83,334.25,325.24,233.96,176.37,337.44,352.68,332.78
2013-12-05 22:22:00.725000,L8,360.59,346.40,359.03,343.31,346.80,388.19,368.58,409.97,387.94
2013-12-21 22:21:51.057000,L8,355.26,362.87,367.85,360.11,379.85,385.68,390.26,401.43,370.14
2013-12-30 22:15:37.096000,L8,308.87,315.08,317.02,307.85,312.23,319.26,322.62,334.42,318.35
2013-12-30 22:16:01.055000,L8,309.84,315.38,317.18,308.00,312.69,319.65,323.17,334.86,318.78
2014-01-22 22:21:31.494000,L8,359.65,364.86,376.88,360.79,380.12,386.49,392.85,400.18,370.52
2014-02-23 22:21:08.076000,L8,359.02,356.63,374.91,359.56,380.43,381.41,362.14,394.86,360.72
2014-03-11 22:20:55.957000,L8,360.99,373.66,374.32,366.36,387.32,390.86,393.49,404.12,375.17
2014-03-20 22:14:37.534000,L8,307.63,319.14,333.00,324.95,327.82,324.48,326.57,384.33,331.23
2014-03-20 22:15:01.497000,L8,308.19,319.82,333.44,324.18,327.25,323.92,325.95,382.33,330.63
2014-03-27 22:20:37.696000,L8,303.53,306.61,273.18,280.29,264.71,301.19,312.35,319.98,309.68
2014-05-23 22:13:42.455000,L8,174.59,229.08,264.42,274.19,258.02,216.89,288.61,180.76,291.21
2014-05-30 22:19:58.900000,L8,333.74,345.45,356.73,345.54,354.57,382.85,361.06,391.59,361.51
